Era,Name,Notes,Art Type,Image,Project Type,Use,Link(s)
Mr. Hood,Mr. Hood,Cover for Mr. Hood. Features the actual Mr. Hood in the bottom left.,Scan,,Front Cover,Used,https://dump.li/image/get/6c56bc959aa71748.jpeg
Mr. Hood,Mr. Hood [Back],Back cover of Mr. Hood.,Scan,,Back Cover,Used,https://ibb.co/v4d1393C
Mr. Hood,Peachfuzz/Gasface Refill,"kinda shitty scan. if anyone has a better one, please let me know",Scan,,Front Cover,Used,https://dump.li/image/get/69ace4fc16cdc02e.jpeg
Mr. Hood,Witty Nitty,,Scan,,Front Cover,Used,https://ibb.co/W4Dt4yNX
Mr. Hood,Who Me?,,Scan,,Front Cover,Used,https://ibb.co/zVJ4dtPV
Mr. Hood,Who Me? [Back],,Scan,,Back Cover,Used,https://i.ibb.co/h9wSXLq/1-Apm-NVMkk-FZ0-ST0fcl-OYEeg.webp
Mr. Hood,Mr. Hood CD Art #1,,Scan,,Physical Packaging,Used,https://i.ibb.co/DVtKwr9/ALBUMkmdmrhoodcdmore2.jpg
Mr. Hood,Mr. Hood CD Art #2,,Scan,,Physical Packaging,Used,https://i.ibb.co/C58wZyz/ALBUMkmdmrhoodcdmore4.jpg
Mr. Hood,Instrumentals 1991-94,,Scan,,Front Cover,Used,https://dump.li/image/get/c2f6bd20bd2259c0.jpeg
Mr. Hood,Instrumentals 1991-94 [Back Cover],,Scan,,Back Cover,Used,https://dump.li/image/get/43cf8169495a431e.jpeg
Mr. Hood,Mr. Hood [Advertisement],Ad for Mr. Hood dated 1991.,Scan,,Promo Art,Used,https://i.ibb.co/xDwZ1gH/1-d8-C4-Fv585-Z45p-UQd-Jwz0w.webp
Mr. Hood,3rd Bass - The Gas Face (Ft. Zev Love X),,Scan,,Front Cover,Used,https://i.ibb.co/p1Yg2Zd/R-657826-1690174729-2271.jpg
BL_CK B_ST_RDS,BL_CK B_ST_RDS,"The infamous cover of BL_CK B_ST_RDS. Drawn by Zev Love X himself. This cover is the reason why Elecktra Records refused to release the album, and dropped KMD from their label. ",Digital,,Front Cover,Used,https://dump.li/image/get/48b994c7f8c1c3bf.jpeg
BL_CK B_ST_RDS,BL_CK B_ST_RDS [Back],,Scan,,Front Cover,Used,https://dump.li/image/get/cdec5e42301d6512.jpeg
BL_CK B_ST_RDS,BL_CK B_ST_RDS [Alternate],"Alternate cover for BL_CK B_ST_RDS. Differences include a different background color, the KMD logo being in the top right corner, and a Parental Advisory tag in the top left corner.",Scan,,Front Cover,Alternate,https://files.catbox.moe/y40l1q.jpg
