Era,Name,Notes,Link(s),Release Date,Type,Length,Available Length,Quality
"4 Single(s)
1 International Single(s)
0 Promotional Single(s)
5 Album Track(s)
0 Bonus Track(s)",Got To Be There,"(01–03/??/1969) (The Jackson 5ive sign to Motown Records)
(01/24/1972) (Got To Be There is released)",,,Michael's first solo outing with Motown Records after three years of success with the Jackson 5ive.,,,
Got To Be There,Ain't No Sunshine,Track #1,https://open.spotify.com/track/5ou2nZT8UQJn1nuiUxAyjs?si=6cda3faf1448407f,"January 24th, 1972",Single,4:09,,
Got To Be There,I Wanna Be Where You Are,Track #2,https://open.spotify.com/track/3mnVgyzn5HC7Sqkn3B5zHs?si=a7e2fa7d0ac2405c,"January 24th, 1972",Single,3:00,,
Got To Be There,Girl Don't Take Your Love From Me,Track #3,https://open.spotify.com/track/2laojQD1QCqjvmMn8lFlPk?si=80a606ea24414bad,"January 24th, 1972",Album Track,3:46,,
Got To Be There,In Our Small Way,Track #4,https://open.spotify.com/track/6m6WAwH7v59fGJQz2luaXN?si=ec0de36a3d9b4fb0,"January 24th, 1972",Album Track,3:34,,
Got To Be There,Got To Be There,Track #5,https://open.spotify.com/track/08QvVJT8y6b0i2nH9mUeMj?si=e05868e77d674a7a,"January 24th, 1972",Single,3:23,,
Got To Be There,Rockin' Robin,Track #6,https://open.spotify.com/track/63gcHyuhAC8G2C0bVQUOJI?si=90b84b1e04fb4ad1,"January 24th, 1972",Single,2:30,,
Got To Be There,Wings Of My Love,Track #7,https://open.spotify.com/track/5h6EHy1GvTcGrpedGZCPHL?si=c4bd2332ea704e93,"January 24th, 1972",Album Track,3:32,,
Got To Be There,Maria (You Were The Only One),Track #8,https://open.spotify.com/track/0w5Jpsn5Hr3CZkN2TvE681?si=8aef36f53bdc4af4,"January 24th, 1972",Album Track,3:41,,
Got To Be There,Love Is Here And Now You're Gone,Track #9,https://open.spotify.com/track/1UWM5Y6O7jU4ec2iaNn1os?si=7cddf9c54a0a41a3,"January 24th, 1972",Album Track,2:51,,
Got To Be There,You've Got A Friend,Track #10. Released as a single in Turkey and Venezuela.,https://open.spotify.com/track/1jrJQ1Gib2ubaxAXe1z2Jc?si=1706b70ed9a948f7,"January 24th, 1972",International Single,4:45,,
