Era,Name,Notes,"File
Date",Leak Date,Full Length,No. Of Tracks,Available Length,Quality,Link(s)
"1 OG File(s)
3 Full
0 Tagged
0 Edited
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",Got To Be There,"(01–03/??/1969) (The Jackson 5ive sign to Motown Records)
(01/24/1972) (Got To Be There is released)",,,Michael's first solo outing with Motown Records after three years of success with the Jackson 5ive.,,,,
,Multitracks / Stems,,,,,,,,
Got To Be There,Got To Be There,Is slower-paced than the final mix.,,,4:06,14,Full,Lossless,
Got To Be There,I Wanna Be Where You Are,Has an alternate vocal take.,,,3:31,16,Full,Lossless,
Got To Be There,Maria (You Were The Only One),,,,3:59,16,Full,Lossless,
Got To Be There,Ain't No Sunshine,"Only 16 tracks are usable, as was the standard for all Motown tracks pre-1976. Includes an alternate vocal take.","Jul 2, 2009",,4:28,21,OG File,Lossless,
"1 OG File(s)
0 Full
0 Tagged
0 Edited
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",Ben,"(01/24/1972) (Got To Be There is released)
(08/04/1972) (Ben is released)",,,"The second release with Motown, ""Ben"" has the distinction of not only further boosting Michael's popularity, but also hosting the title track, which would be the first of many songs to be nominated for a prestigious award.",,,,
,Multitracks / Stems,,,,,,,,
Ben,We've Got A Good Thing Going,"Only 16 tracks are usable, as was the standard for all Motown tracks pre-1976. Includes an alternate vocal take. Leaked alongside the ""Smile"" session folder on March 3rd, 2025.","Jul 2, 2009","Mar 3, 2025",3:22,24,OG File,Lossless,https://pillows.su/f/69aa70a09ee700a1b9b543fce384beba
"0 OG File(s)
1 Full
0 Tagged
0 Edited
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",Music & Me,"(08/04/1972) (Ben is released)
(04/13/1973) (Music & Me is released)",,,"Although it was argubaly one of Michael's least successful albums from Motown, it yielded ""Music And Me,"" quite possibly the best song to describe Michael's love for music despite it being written by an outside writer.",,,,
,Multitracks / Stems,,,,,,,,
Music & Me,Music And Me,Contains a scratch vocal take.,,,2:42,16,Full,Lossless,
"2 OG File(s)
3 Full
0 Tagged
0 Edited
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
6 Unavailable","Forever, Michael","(04/13/1973) (Music & Me is released)
(01/16/1975) (Forever, Michael is released)",,,"The last album put out by Motown Records, originally slated for release in 1974 before it was delayed. Sessions from the initial version of the album were later released on 1984's ""Farewell My Summer Love.""",,,,
,Multitracks / Stems,,,,,,,,
"Forever, Michael",We're Almost There,,,,4:32,11,Full,Lossless,
"Forever, Michael",Take Me Back,,,,,,Confirmed,Not Available,
"Forever, Michael",One Day In Your Life,,"Jul 8, 2009",,4:51,16,OG File,Lossless,
"Forever, Michael",Cinderella Stay Awhile,,,,,,Confirmed,Not Available,
"Forever, Michael",We've Got Forever,,,,,,Confirmed,Not Available,
"Forever, Michael",Just A Little Bit Of You,,,,,16,Full,Lossless,
"Forever, Michael",You Are There,,,,,,Confirmed,Not Available,
"Forever, Michael",Dapper Dan,,,,,,Confirmed,Not Available,
"Forever, Michael","Dear Michael
(prod. Hal Davis)
(A Letter To Michael)",Includes tape box scan.,"Jul 14, 2009","Mar 23, 2025",2:57,16,OG File,Lossless,https://pillows.su/f/bdcd9d118b90ab8f9a5e5184b48f2e74
"Forever, Michael",I'll Come Home To You,,,,,,Confirmed,Not Available,
"Forever, Michael","Farewell, My Summer Love",Album outtake.,,,4:14,16,Full,Lossless,https://pillows.su/f/ad873799ab0780c1dcbd08d788b652dc
"0 OG File(s)
4 Full
0 Tagged
0 Edited
7 Partial
0 Snippet(s)
0 Stem Bounce(s)
1 Unavailable",Off The Wall,"(01/16/1975) (Forever, Michael is released)
(08/10/1979) (Off The Wall is released)",,,"First album produced by Quincy Jones and the first to be released through the CBS-owned Epic Records, starting a relationship that would last until 1987 and 2002, respectively.",,,,
,Multitracks / Stems,,,,,,,,
Off The Wall,"Don't Stop 'Til You Get Enough
(prod. Quincy Jones & Michael Jackson)
(Don't Stop, Keep On Don't Stop)","Contains an unused synth bass track within the submixed ""Drums and Bass L/R"" tracks.","Feb 25, 2009",,8:05,45,Partial,Lossless,
Off The Wall,"Rock With You
(prod. Quincy Jones)
(I'm Gonna Eat You Up)","Has some unused orchestration, unused horn parts, and a guitar track that was never used.",,,4:40,49,Full,Lossless,
Off The Wall,"Workin' Day And Night
(prod. Quincy Jones & Michael Jackson)",,,"Jan 9, 2020",6:22,48,Full,CD Quality,
Off The Wall,"Get On The Floor
(prod. Quincy Jones & Michael Jackson)","Contains an unused clavient track, an unused third verse, and unused backing vocals. Also contains scratch vocals. Downsampled to 44.1k and missing some tracks, but the full song is here.",,,7:37,61,Partial,Lossless,
Off The Wall,"Get On The Floor
(prod. Quincy Jones & Michael Jackson)",Submixed pack mixed by Brian Vibberts. Incomplete.,"Dec 28, 2016","Jan 28, 2023",7:34,7,Partial,Lossless,https://pillows.su/f/256882eb94f01c30c86572c33a3b13ba
Off The Wall,"Off The Wall
(prod. Quincy Jones)","Contains unused horn/string/thermin parts, backing vocals, percussion (shaker block), and an unused guitar track.",,,5:38,61,Partial,Lossless,
Off The Wall,"Girlfriend
(prod. Quincy Jones)",Has some unused guitar and synth tracks.,,,4:09,77,Partial,Lossless,
Off The Wall,"She's Out Of My Life
(prod. Quincy Jones)",Several unused guitars and two vocal takes + five vocal overdubs are present; also has an alternate orchestral intro.,,,3:38,35,Full,Lossless,
Off The Wall,"Can't Help It [Work Tape]
(prod. Quincy Jones)
(I Can't Help It)",A primitive version of the song with a more salsa-like feel to it. Downsampled to 44.1k.,"Feb 25, 2009",,5:10,8,Full,Lossless,https://pillows.su/f/31a5c6b777e5f363259007f913975202
Off The Wall,"I Can't Help It
(prod. Quincy Jones)
(Can't Help It)",Final version of the track.,,,,48,Confirmed,Not Available,
Off The Wall,"It's The Falling In Love
(prod. Quincy Jones)","Has some unused tracks and a solo scratch vocal by Michael. Downsampled to 44.1k and missing some tracks, but the full song is here.","Feb 25, 2009","Jan 9, 2020",5:43,87,Partial,Lossless,
Off The Wall,"Burn This Disco Out
(prod. Quincy Jones)","Contains unused ""fire siren"" sound effects.","Feb 24, 2009",,4:40,53,Partial,Lossless,
"2 OG File(s)
9 Full
0 Tagged
0 Edited
3 Partial
0 Snippet(s)
3 Stem Bounce(s)
4 Unavailable",Thriller,"(10/18/1980) (The Jacksons' Triumph is released)
(11/29/1982) (Thriller is released)",,,"Quite possibly one of the most iconic albums ever made, to the point where it was seen as the best-selling album of all time alongside the Eagles' ""Greatest Hits"" album. Around 25-30 songs were made for the album, all in various states of completion.",,,,
,Sessions,,,,,,,,
Thriller,"Billie Jean
(prod. Quincy Jones & Michael Jackson)","OG Filename: Billie Jean 2009 Project
This Is It production session. Missing one of the raw tracks and a handful of clips. Temp description.",,"Mar 23, 2025",,N/A,Partial,Lossless,https://pillows.su/f/671bec4ec6d898b948335e3b341d0126
,Multitracks / Stems,,,,,,,,
Thriller,"Wanna Be Startin' Somethin' [Submixed Pack]
(prod. Quincy Jones & Michael Jackson)",,,,,10,Full,Lossless,https://pillows.su/f/e75a4cbb0d3d63f00d9a861e63bdaa20
Thriller,"Wanna Be Startin' Somethin' [Submixed Pack II]
(prod. Quincy Jones & Michael Jackson)",Is missing a few tracks.,,"Jan 9, 2020",,21,Full,Lossless,
Thriller,"Wanna Be Startin' Somethin'
(prod. Quincy Jones & Michael Jackson)",Submixed; has some unused horn parts.,,,,33,Full,Lossless,https://pillows.su/f/50ef90e55fe62790fd7e24babe8569ed
Thriller,"Baby Be Mine
(prod. Quincy Jones)",Rumored to have been swirling about in the trading circuit a few years ago.,,,,,Rumored,Not Available,
Thriller,"The Girl Is Mine
(prod. Quincy Jones & Michael Jackson)",Rumored to have been swirling about in the trading circuit a few years ago.,,,,48 (?),Rumored,Not Available,
Thriller,"Thriller [Vocal Slave Reels]
(prod. Quincy Jones)
(Starlight)","Transfer of two tapes - a lead vocal slave and a backing vocal slave - used during the production of ""Thriller."" Includes several alternate vocal takes and excludes the horn tracks as well as Vincent Price's famous laugh. Commonly known as the ""Starlight session"", but this is inaccurate.","Aug 17, 2009",,6:02,48,OG File,Lossless,
Thriller,"Thriller [IMAX Session]
(prod. Quincy Jones)
(Starlight)",,,,,35,Confirmed,Not Available,
Thriller,"Beat It
(prod. Quincy Jones & Michael Jackson)",Contains some unused ad libs from Michael.,,,,48,Confirmed,Not Available,
Thriller,"Billie Jean
(prod. Quincy Jones & Michael Jackson)",,,,7:11,39,Full,Lossless,
Thriller,"Billie Jean [BGV Slave Reel]
(prod. Quincy Jones & Michael Jackson)","Commonly known as ""Demo #2"", however this is inaccurate. Contains background vocal layers and cue mixes for an earlier version of the song.","Aug 19, 2009","Jan 9, 2020",,24,OG File,Lossless,https://pillows.su/f/039153869824cbf01a9cfdd14fef9ef2
