Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
"0 OG File(s)
0 Full
0 Tagged
0 Edited
1 Partial
1 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",Got To Be There,"(01–03/??/1969) (The Jackson 5ive sign to Motown Records)
(01/24/1972) (Got To Be There is released)",,,Michael's first solo outing with Motown Records after three years of success with the Jackson 5ive.,,,
Got To Be There,I've Gotta Be Me,"Cover of the Sammy Davis Jr. song of the same name, which is a cover of ""I've Got To Be Me"" from the Broadway musical Golden Rainbow.
Editor Note: If you have the original snippet (not a YouTube reupload), please reach out to us!",,,Apr 2008,Partial,Low Quality,https://pillows.su/f/48d4dcf8dbbf703ea23e96daf1423267
Got To Be There,I Can't Get You Off My Mind,"Only a 37-second snippet has leaked onto the Internet.
Editor Note: If you have the original snippet (not a YouTube reupload), please reach out to us!",,,2000s,Snippet,High Quality,https://pillows.su/f/2c74cb2a019a027c93687d14b18cb1f6
"0 OG File(s)
2 Full
0 Tagged
0 Edited
0 Partial
0 Snippet(s)
1 Stem Bounce(s)
32 Unavailable",Off The Wall,"(01/16/1975) (Forever, Michael is released)
(08/10/1979) (Off The Wall is released)",,,"First album produced by Quincy Jones and the first to be released through the CBS-owned Epic Records, starting a relationship that would last until 1987 and 2002, respectively.",,,
,Early sessions,"(01/16/1975) (Forever, Michael is released)
(03/11/1976) (The Jackson 5ive leave Motown for CBS Records)
(12/04/1978) (Recording sessions for Off The Wall begin)",,,,,,
Off The Wall,"A Baby Smiles
(Baby Smiles)",Named during the 1993 deposition. Lyrics were included in the 1992 poem book Dancing The Dream.,,,,Confirmed,Not Available,
Off The Wall,Disco Kids,Worked on with James Whitney around 1976. Formerly registered at the Library of Congress.,,~1976,,Confirmed,Not Available,
Off The Wall,"Don't Stop [V1]
(Keep On Don't Stop, Don't Stop 'Til You Get Enough)",,,,,Confirmed,Not Available,
Off The Wall,"Fire Is The Feeling [V1]
(ref. Michael Jackson & LaToya Jackson)
(Night Time Lover)","According to LaToya Jackson in the July 31st, 1980 issue of Jet magazine, she and Michael wrote a song for Donna Summer titled ""Fire Is The Feeling"" ""about three years ago."" The song was later re-written and recorded by LaToya under the title ""Night Time Lover"" for her debut studio album. It's unknown if a demo under the title ""Fire Is The Feeling"" was ever recorded.",,~1977,,Rumored,Not Available,
Off The Wall,Goin' To Rio,"Existence confirmed during the 1993 deposition. According to Tom Jobim, it uses musical arrangements that originated in Brazil. While there was a persistent rumor that Carole Bayer Sager co-wrote the track, she has denied ever working on it.",,,,Confirmed,Not Available,
