Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Hiatus Era,"???
(feat. The-Dream) (prod. Swizz Beatz)","Samples Paradise by Sade, unknown if this is from the unreleased swizz x nas album",,,"Apr 6, 2026",Snippet,Recording,https://pillows.su/f/2a34ac9c6f54e5fcc538e90a21a46fcd
Hiatus Era,"Keep Talkin That Shit
(feat. French Montana & Dave East)  (prod. Jahlil Beats)",From 2016,4:05,,"Mar 16, 2026",Full,HQ,https://pillows.su/f/895251806ba4bd7c58a997fb0ab1f3ca
Hiatus Era,"🏆 ???
(feat. Lauryn Hill)","Track played during Ms. Hill's Montreal stop of her Artist In Residence tour, featuring a verse from Nas. Unknown what ERA",,,"Dec 3, 2025",Snippet,Recording,https://pillows.su/f/eab227840e62e3e7a005dda884de8704
Light-Years,"Raekwon - The Omerta
(feat. Nas) (prod. Nottz)","This version features the Nas verse where he disses Jim Jones, Raekwon has denied that this is a diss towards Jim Jones saying that it was recorded months before Jim Jones said he was more relevant than Nas",3:18,,"Jul 19, 2025",Full,HQ,https://pillows.su/f/34ff8dba847b01a4ebd269282d0b3d4a
God's Son,🏆Crabs In A Barrel,"Track 2 on a early God's Son Tracklist. Crabs in The Barrel got removed off the album cuz of disses towards the music industry. First snippet of it leaked on March 23rd 2023, second snippet leaked on April 5th 2025.",2:44,,"Apr 5, 2025",Snippet,CDQ,https://pillows.su/f/7b9b3acadf075b6823a0baaf0dced4c9
God's Son,Hungry,,,,"Apr 5, 2025",Snippet,CDQ,https://pillows.su/f/a3aa14835a0b65232671215d92d35dc6
Life Is Good,"Slow Movin
(Platinum Pioneer)","tagged from 2010, was being sold by Max",3:10,,"Apr 5, 2025",Snippet,HQ,https://pillows.su/f/92ed5707e31f23300dffe481455d8822
Life Is Good,"Padded Room
(prod. Boi-1da, Jordan Evans, & Matthew Burnett)
(Trust)","This is the original version of ""Trust"", an iTunes bonus track for Life Is Good, with the only known difference being a different chorus",,,"Apr 5, 2025",Snippet,CDQ,https://pillows.su/f/7daa4a122c9b2035e88bb234c45fc746
Hiatus Era,"🏆Believe
(prod. Taz Arnold & Flying Lotus)
(Falsehood)","Uses the same instrumental as ""Falsehood"". Unknown if it features Kendrick.",,,"Apr 5, 2025",Snippet,CDQ,https://pillows.su/f/d5ecf413ce57945675e8957cfc0b02c9
Life Is Good,"⭐No Such Thing As White Jesus [V1]
(feat. Frank Ocean)
(Royalty)","As confirmed by an article dated July 5th, 2012, the original title of “Royalty” is “No Such Thing As White Jesus.” Hitboy’s lost hard drive resurfaced after Yedolf's Engineers took it by mistake and was then returned to be finished. Coincidentally, Frank Ocean’s Channel Orange and Nas' Life Is Good were both released on July 17th, 2012 and the collaboration happened because they were both in the studio finishing up their then-albums.

Nas scrapped the original controversial lyrics from 2012 and reused the hook to make “Royalty” because the original song did not include the last two lines in the chorus about ‘royalty’. Interestingly, Frank Ocean has writing credits for Jay-Z’s and Yedolf's “No Church in the Wild”, which means Frank may have been continuing to explore with Nas why religion along with White Jesus may have been fabricated by mankind.

A snippet of the track surfaced by Hit-Boy in 2014 via instagram, another snippet being high quality would surface In Early 2023. A groupbuy began for the track on March 26th 2025 and ended up finishing sucessfully on April 3rd 2025. Track date is August 3rd 2011",5:02,,"Apr 3, 2025",Full,CDQ,https://pillows.su/f/ac9a2091ea134372eb7f6c5a209789c0
