Era,Name,Notes,Copy Length,File Date,Type,Quality,Link(s)
Exclusive Audio Footage,"Clipse - Exclusive Audio Footage [Full Album]
(prod. The Neptunes)","The original Clipse debut album from 1999 entirely produced by The Neptunes. The album was supposed to release under Elektra Records. After the poor performance of the single ""The Funeral"", and the financial struggles of the label, the album was shelved. Afterrwards, the album was leaked afterwards. The full album was released on file-sharing sites and bootleg copies in 2004-2005 by an Elektra employee. Later on the album was brought to streaming platforms briefly in May 2022.

1. Prayer
2. Hear Me Out
3. Power
4. Interlude 
5. You Don't Even Know (feat. Kelis & Pharrell Williams) 
6. Breakfast In Cairo (feat. Kurupt & N.O.R.E.) 
7. Interlude 2
8. Hostage (feat. Tammy Lucas) 
9. Wild Cowboy (feat. Markita) 
10. Got Caught Dealin (feat. Pharrell Williams)
11. Interlude 3
12. Taiwan To Texas (feat. Pharrell Williams) 
13. Interlude 4
14. Stick Girl
15. You Can't Touch Me (feat. Lee Harvey & Fam-Lay) 
16. Feel Like Me (feat. Pharrell Williams) 
17. Bodysnatchers (feat. Pharrell Williams) 
18. Diana Ross
19. Watch Over Me
20. Interlude 5
21. The Funeral",60:04,"Apr 28, 1999",Full,Lossless,https://pillows.su/f/ae3d68f5dd8fb6184a0a7c5bea328c94
Hell Hath No Fury,,,,,,,
Hell Hath No Fury,,,,,,,
Hell Hath No Fury,,,,,,,
Hell Hath No Fury,,,,,,,
Hell Hath No Fury,"Original, Scrapped Version of Clipse - Hell Hath No Fury (2003-05)
(prod. The Neptunes)","After releasing Lord Willin' and going on tour, Clipse began recording the album in late 2003. Work on the album was halted in 2004, when Arista Records. Their label at the time, was dissolved into its sister label Jive Records. As part of a larger merger between Sony Music Entertainment and BMG. Star Trak Entertainment moved on to Interscope Records, but due to contractual issues, the group was forced to stay with Jive. While Clipse resumed work on the album, its release was delayed by Jive throughout the rest of 2004 and much of 2005. Additional delays resulted when Clipse sued Jive after the label refused to grant the group a release from its contract. These legal issues would not be resolved until May 2006. Further delays pushed the release date to August 29 then to October 31 and then November 28. Two singles were released prior to the album. ""Mr. Me Too"" was released on May 23, 2006 and peaked at Number 65 on Hot R&B/Hip-Hop Songs chart. The song contained a reference to their record label Jive where Pusha T apologized to the fans for the constant album delays and blamed them on the executives at Jive.
Confirmed Tracks of OG ""Hell Hath No Fury"".

""Definition of a Roller"" (featuring Miles)
""Stuntin' Y'all"" (featuring Pharrell Williams)
""Double Down"" (featuring Vybz Kartel)
""Pussy"" (featuring Pharrell) ",Unknown,Unknown,Confirmed,Not Available,"https://www.thefader.com/2014/01/07/clipse-south-of-heaven
https://djbooth.net/features/2016-11-28-clipse-hell-hath-no-fury-review/"
Til The Casket Drops,Clipse - Road To Til The Casket Drops (Mixtape),"Copy of ""Road To Till The Casket Drops"" album. Unfortunately the highest available quality is MP3/192kpbs. 

1. Intro
2. The Haters Wish
3. Big Dreams
4. Lauren London
5. So Fly (Now We've Her)
6. Addiction
7. Pop Champagne (feat. Ab-Liva)
8. Numb It Down
9. S.L.U. (feat. Ab-Liva)
10. Swing Ya Rag
11. Lil Willie Interlude
12. Feds Taking Pictures.",,,Full,High Quality,https://pillows.su/f/8105ca4b9edd1dda0b30cc28fe23cf06
Fear of God,Fear Of God (Mixtape),,,,Full,High Quality,
Fear of God,Play Cloths Holiday (Mixtape),,,,Full,CD Quality,https://pillows.su/f/ea4de3bbaa60b964eb75b8a9b3051562
Blowbama,Blowbama - Watermarked,"Early tagged copy of ""Blowbama"". Leaked alongside the next copy.

?. Circle
?. Cold Blooded
?. MW (H.G.T.V. Freestyle)
?. Sisters And Brothers
?. Star Wars
?. Success And Nightmares",,"May 16, 2024",Tagged,CD Quality,https://imgur.gg/f/VCprpcw
