Era,Name,Notes,Track Length,"Leak
Date",File Date,Portion,Quality,Link(s)
Darkest Before Dawn,"Heart Is So Cold
(feat. Future) (prod. Hudson Mohawke)
(CHIMES RMX) ",Earlier version of CHIMES RMX by Hudson Mohawke. Doesn't have French Montana and Travis Scott's parts yet. This version was intended for Cruel Winter according to Flab.,,"Mar 9, 2026",,Full,High Quality,https://pillows.su/f/62e5bf35710349f4cfece9c856c2cbd5
Darkest Before Dawn,"⭐️ Road To Riches
(feat. Future)",Throwaway from the Darkest Before Dawn sessions. Has a line that was later reused on Crutches Crosses Caskets.,,"Mar 9, 2026",,Full,CD Quality,https://pillows.su/f/2e28b3a67258f3d1dd3608f2a1cd4496
Blowbama,"⭐️ Childish [V7]
(feat. VIC MENSA) (prod. Pharrell Williams)","OG Filename - CHILDISH-VIC_REF
Version with a Vic Mensa hook and a 4 count Pharrell intro.",,"May 16, 2024",,Full,CD Quality,https://pillows.su/f/fae6e2a4458f826a3f45022e1b044e11
Blowbama,"Come Back Baby [V5]
(prod. Ye)","OG Filename: 01 Come Back Baby Ref 2.12.18
First version with Pusha T vocals from 1.18.18. Leaked in full on September 21st, 2023.",,"May 16, 2024",,Full,CD Quality,https://pillows.su/f/e78ba1b1151226ae23a7b91c7fcda6a1
Blowbama,✨ Team Good                                                              (feat. Desiigner & Future(?))                                                                         (Got 'Em G.O.O.D.),Song from Blobama sessions. Could have been considered for Cruel Winter based on the name.,,"May 16, 2024",,Full,CD Quality,https://pillows.su/f/3d79c8aa106af48236f078cd8f2e0c1a
Blowbama,"Bad Mon [V1]
(prod. Plain Pat)",OG Filename - Bad Man OG Beat open hook                                                                    Likely the earliest version of Bad Mon,,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/7302e8913dec19702f4fc4c5b382b2ce
Blowbama,"Bad Mon [V2]
(prod. Plain Pat)",OG Filename - badmon new808-test                                                                           ,,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/28e817ca051004567c1f01f9d42a117b
Blowbama,"Bad Mon [V3]
(prod. Plain Pat)","OG Filename - Bad Mon_ref 3.19.17                                                                        March 19 Version of ""Bad Mon""",,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/77d8533598ab67196030495e18ae7143
Blowbama,"Bad Mon [V4]
(ref. Quentin Miller) (prod. Plain Pat)","OG Filename - Bad Mon Pat_QM ref 04.13.17                                                            Version of Bad Mon with Quentin Miller doing a reference for a few bars. Dated April 13, 2017",,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/bc8ac701966e82430f2ff8358876d41b
Blowbama,"Bad Mon [V5]
(prod. Plain Pat)","OG Filename - Bad Mon_ref for QM 04.18.17                                                                             April 18 version of ""Bad Mon""",,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/bcdf7ef12219ca5ff64e8629235af27d
Blowbama,"⭐️ Bad Mon [V6]
(prod. Plain Pat)","OG Filename - Bad Mon_07.17.17 ref                                                                             Complete Throwaway from Blobama/King Push sessions, dated July 17, 2017, Version of this song is seen on a tracklist for Blobama",,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/c8df8941104619c81529190fb7e2b2d5
Blowbama,Childish [V1],"OG Filename - Childish_ref 01.05.17                                                               Earliest known version of ""Childish""",,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/7e3375a356aee9b0a0dc31c3e1b885b3
Blowbama,"Childish [V2]
(feat. The-Dream)","OG Filename - Childish Dream Hook Ref 1
Reference by The-Dream for the hook of Childish, likely made in the same session as ""Gold"".",,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/6eac66052768108be088165fcc59ae70
Blowbama,"Childish [V3]
(feat. The-Dream)","OG Filename - Childish_ref 03.19.17                                                            Version of Childish from Marcb 19, 2017",,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/d8ca5087649fc47ab5c99268438e45cc
Blowbama,"Childish [V4]
(ref. VIC MENSA)",OG Filename - Childish_9 vic hook                                                                  Reference by Vic Mensa for the hook of Childish,,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/7bb061034502795f737dde0307415464
Blowbama,Childish [V5],OG Filename: Childish_ref for QM 04.18.17                                                                                 Reference for Quentin Miller for Childish,,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/c8db2d705a1d7fd7710ce7491abd6a42
Blowbama,"Childish [V6]
(ref. Quentin Miller)",OG Filename 1 Childish _QM ref 04.22.17                                                                                Quentin Miller reference track for Childish,,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/d8ca5087649fc47ab5c99268438e45cc
Blowbama,"Come Back Baby [V4]
(prod. Ye)","OG Filename: Come Back Baby 2 ref 1 (1.23.18)
First version with Pusha T vocals from 1.18.18. Leaked in full on September 21st, 2023.",,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/4c2278e3d51c6930a197d26e7ccbac2e
Blowbama,Cold Blooded [V1]                                          (feat. Swizz Beatz) (prod. Ye),Open Verse version of Cold Blooded with drums.,,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/c4547b89399811f832a315df3ee85c4c
Blowbama,Cold Blooded [V2]                                          (feat. Swizz Beatz) (prod. Ye),Open Verse version of Cold Blooded without drums.,,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/689eb27dfaa73253084c29b68afab764
Blowbama,Cold Blooded [V3]                                          (feat. Swizz Beatz) (prod. Ye),File Dated 3.19.17 ,,"Dec 26, 2023","Mar 19, 2017",Full,CD Quality,https://pillows.su/f/bbbe9a460302f14c5e1ce2990848f19a
Blowbama,Cold Blooded [V4]                                                                      (feat. Swizz Beatz & Ye) (prod. Ye),OG Filename: cold blooded_kw bb ref                                                                        Version of Cold Blooded with Kanye West doing beatboxing over the beat as a drum reference. Unknown if theres is a version with proper drums.,,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/8db8e7dbea814778ceea09e247f4dddb
Blowbama,Cold Blooded [V5]                                          (feat. Swizz Beatz) (prod. Ye),"Version of Cold Blooded with an Adidas Tag, likely to be used for a commercial.)",,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/7fa87b00f00d7f92e71fd3b3eb7fbe19
Blowbama,"Games We Play [V1]
(prod. Ye)
(The Games We Play, Chop 1)","OG Filename: KW Chop 1_Pusha ref 1 (11.1.17)
Previewed in a post by Steven Victor on November 2nd, 2017 with the filename ""KW Chop 1 Pusha Ref 1"". Snippet was lost, but was resurfaced by Alek. Recorded November 1st, 2017.",2:46,"Dec 26, 2023","Oct 1, 2017",Full,CD Quality,https://pillows.su/f/1ae1f79ed7aa6688aa0bc6e45084d68f
Blowbama,"What More Can I Tell You [V1]
(prod. Plain Pat)
(Gold)","OG Filename: Gold_ref 03.18.17
OG version of gold",,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/c1b0dee2a1cd95b4ddb30b23c2726347
Blowbama,"Gold [V3]
(prod. Plain Pat)",Version of Gold with an open hook and bridge.,,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/9f6c0c07f6916f7f7a0c2f483498aea0
Blowbama,"Gold [V4]
(prod. Plain Pat)",Different Open Verse,,"Dec 26, 2023",,Full,CD Quality,https://pillows.su/f/8499d61cc51d4a9f054cad8109743a06
Blowbama,"Come Back Baby [V3]
(prod. Ye)","OG Filename: Come Back Baby ref 1 1.18.18
First version with Pusha T vocals from 1.18.18. Leaked in full on September 21st, 2023.",,"Sep 21, 2023",,Full,CD Quality,https://pillows.su/f/4c2278e3d51c6930a197d26e7ccbac2e
Blowbama,"⭐️ Gold [V2]
(feat. The-Dream) (prod. Plain Pat)","OG Filename: Gold_ref 03.18.17
Blobama-era Pusha T throwaway that had his verse reused for ""Feel The Love"". Was originally snipped by a now-defunct sellers site, before leaking on December 20th, 2022 by Waterfalls after the snippet for the Gunna version was posted.",2:57,"Dec 20, 2022",,Full,CD Quality,https://pillows.su/f/a073cd2d3b39707a10e0ae87951d9e16
Blowbama,"Gold [V5]
(feat. Gunna) (prod. Plain Pat)","Version of ""Gold"" which features Gunna instead of The-Dream, but still contains the vocals reused for ""Feel The Love"". Unsure if this came before or after The-Dream's version. Snippet leaked on December 19th, 2022. ",,"Dec 19, 2022",,Snippet,CD Quality,https://pillows.su/f/18a443a3127a896354a5ce533a74799a
DAYTONA,"How Do You Respond? [V6]
(feat. Ye) (prod. Ye)
(Queen Bitch, What Would Meek Do?)","OG Filename: How Do You Respond Ref.6 (5.4.18)
Protools files from May 4th, 2018 show the file. No other information is known.",,"May 4, 2018",,Rumored,Not Available,
Blowbama,"How Do You Respond? [V5]
(feat. Ye) (prod. Ye)
(Queen Bitch, What Would Meek Do?)","OG Filename: How Do You Respond Ref (2.24.18)
Protools files from February 24th, 2018 show the filename. No other information is known.",2:42,"Feb 24, 2018","Nov 14, 2023",Full,CD Quality,https://pillows.su/f/5ee58c8a2d54dc612919ef03b6b37f6d
Blowbama,"How Do You Respond? [V4]
(prod. Ye)
(Queen Bitch, What Would Meek Do?)","OG Filename: How Do You Respond Ref 1 (11 21 17)
Solo Pusha T version from November 21st. Features an open verse. Leaked on September 21st, 2023.",3:17,"Nov 21, 2017","Sep 21, 2023",Full,CD Quality,https://pillows.su/f/ec1888c6074353fd69eee7b9850f9c4f
Blowbama,"Ye - Queen Bitch [V1]
(prod. Ye)
(How Do You Respond?, What Would Meek Do?)","Fully solo version of ""Queen Bitch"" featuring almost 5 minutes of Ye vocals without an open. Has lines that were later we used for ""I Love It"". Recorded the same day as the ""K Flows"" version. Unclear whose song it was, at this time. Snippet leaked on November 18th, 2022. Leaked on November 14th, 2023 along with the Protools sessions.",4:43,"Nov 1, 2017","Nov 14, 2023",Full,Lossless,https://pillows.su/f/c0e89ce8cba14082d23524bbbf5929d6
Blowbama,"Ye - Queen Bitch [V2]
(prod. Ye)
(How Do You Respond?, What Would Meek Do?)","OG Filename: Queen Bitch K Flows (11.1.17)
Solo version of ""Queen Bitch"". Not a solo version in the normal sense, but it's a bounced file of Kanye's verse cut-down from the longer version. Leaked on March 10th, 2021 by flab.",1:50,"Nov 1, 2017","Mar 10, 2021",Full,High Quality,https://pillows.su/f/e6f7a0d6ce4be33988d703849373e8f7
Darkest Before Dawn,"Ye - Money Pussy Alcohol [V2]
(prod. Ye)
(M.P.A.)","OG Filename: KW - Money Pussy Alcohol Ref (1.9.14)
Second version, which would later be taken by Pusha T. Contains only the hook that would later be ripped straight from this file onto the released version, alongside a long open section.",2:05,"Jan 9, 2014","Oct 14, 2023",OG File,CD Quality,https://pillows.su/f/e859395a0e91624a0fbbd0fa7c4828bf
Darkest Before Dawn,"Ye - Money Pussy Alcohol [V1]
(M.P.A.)","OG Filename: KW - Money Pussy Alcohol Ref (1.7.14)
Nothing else is known except the filename of this track.",,"Jan 7, 2014",,Confirmed,Not Available,N/A
Fear of God,Ye - I'll Be Alright [V2],"Contains some mumble, and autotune singing. Original snippets leaked October 12th, 2022 & February 22nd, 2023.",3:28,"Apr 7, 2009","Mar 3, 2023",OG File,CD Quality,https://pillows.su/f/26830a437515499a9d49a354db94b4da
Exclusive Audio Footage,"⭐️ Got Caught Dealin' Pt. 2 (We Get Money)
(feat. Pharrell Williams & Tammy Lucas) (prod. The Neptunes)",Single track was first debuted in 1998 on a radio station. Exact date is unknown and nothing is know about this track. It features Tammy Lucas and Pharrell Williams.,4:08,"Jun 20, 1905","Jan 1, 1998",Full,Lossless,https://pillows.su/f/c760aae17325f3b0bb1ea641c8c83de2
Exclusive Audio Footage,"Thief in the Night
(feat. Pharrell) (prod. The Neptunes)","Clipse's first song. Nothing known about this track. Pharrell told both of them to be a duo after the recording of this track. They Name theirselves ""Eclipse"", but shorten to ""Clipse"" later on.",?,"Jun 16, 1905",,Confirmed,Not Available,
