Era,Name,Notes,Portion,Quality,Link(s)
Unknown | Completely Unheard | Snippet / Partial / Recording Available | Alternate Version Available | Confirmed Version Available,,,,,
Exclusive Audio Footage,Exclusive Audio Footage,"Tracklist for “Exclusive Audio Footage”
1. Prayer
2. Hear Me Out
3. Power
4. Interlude 
5. You Don't Even Know (feat. Kelis & Pharrell Williams) 
6. Breakfast In Cairo (feat. Kurupt & N.O.R.E.) 
7. Interlude 2
8. Hostage (feat. Tammy Lucas) 
9. Wild Cowboy (feat. Markita) 
10. Got Caught Dealin (feat. Pharrell Williams)
11. Interlude 3
12. Taiwan To Texas (feat. Pharrell Williams) 
13. Interlude 4
14. Stick Girl
15. You Can't Touch Me (feat. Lee Harvey & Fam-Lay) 
16. Feel Like Me (feat. Pharrell Williams) 
17. Bodysnatchers (feat. Pharrell Williams) 
18. Diana Ross
19. Watch Over Me
20. Interlude 5
21. The Funeral",N/A,Leaked,
Lord Willin',Lord Willin,"Tracklist for “Lord Willin”
1. Intro
2. Young Boy
3. Virginia
4. Grindin’
5. Cot Damn
6. Ma, I Don’t Love Her
7. FamLay Freestyle
8. When The Last Time
9. Ego
10. Comedy Central
11. Let’s Talk About It
12. Gangsta Lean
13. I’m Not You
14. Grindin’ (Remix)
15. Grindin’ (Selector Remix)",Clear,,
Hell Hath No Fury,We Got It 4 Cheap: Vol 1,"Tracklist for the Clipse mixtape “We Got It 4 Cheap, Vol 1”
1. Intro 
2. You’ll See (feat. Pharrell Williams)
3. Coast To Coast
4. Interlude )Who We Do This 4)
5. I Shot Ya
6. Re-Up Anthem
7. You Know My Style
8. Interlude (Get Familiar)
9. Drop It Like Its Hot
10. Ni**as Know
11. Stay ftom Around Me
12. Interlude (feat. Hasaan, Voice of Reason)
13. Stuntin’ Y’all (feat. Pharrell Williams)
14. Interlude (Hit Men)
15. Radical (Sandman Freestyle)
16. Don’t Let Me Die (Ab-Liva Freestyle)
17. Interlude (Sandman)
18. Just A B-Boy
19. Interlude (Ab-Liva)
20. The Sermon
21. Nothing Like It
22. Queen Bitch
23. Cross The Border
24. Pussy (Remix)
25. Outro",Clear,,
Hell Hath No Fury,"We Got it 4 Cheap, Vol. 2","Tracklist for the 2005 mixtape, “We Got It 4 Cheap, Vol 2)

1. Previously on We Got it 4 Cheap
2. Re-Up Intro
3. What's Up (feat. Pharrell Williams)
4. Run This Shit
5. Roll With The Winners
6. Mic Check
7. Interlude
8. Zen
9. Hate It or Love It (feat. Pharrell Williams)
10. Play Your Part (feat. Pharrell Williams)
11. Monopoly
12. Tha Corner
13. Im A Hustla
14. Daytona 500
15. Maybe Interlude
16. Maybe (feat. Pharrell Williams)
17. One Thing
18. Ultimate Flow
",Clear,,
Hell Hath No Fury,Hell Hath No Fury,,Clear,,
Fear Of God,,,,,
My Name Is My Name,,,,,
Darkest Before Dawn,,,,,
Darkest Before Dawn,,,,,
King Push,,,,,
King Push,,,,,
King Push,,,,,
King Push,,,,,
King Push,,,,,
King Push,,,,,
King Push,,,,,
It's Almost Dry,,,,,
It's Almost Dry,,,,,
It's Almost Dry,,,,,
It's Almost Dry,,,,,
It's Almost Dry,,,,,
It's Almost Dry,,,,,
Let God Sort 'Em Out,,,,,
