Era,Name,Notes,Leak Date,Type,Available Length,Quality,Link(s)
"2 Full
0 Tagged
0 Partial
0 Snippet
0 Unavailable",Music Of The Sun,"(02/20/1988) Rihanna is born.
(08/29/2005) Music Of The Sun is released.",,,,,
,Instrumentals,,,,,,
Music Of The Sun,"Pon De Replay (Instrumental)
(prod. Carl Sturken, Evan Rogers & Vada Nobles)","Instrumental for ""Pon De Replay"".",,Instrumental,Full,Lossless,Link Needed
,Stems / Sessions,,,,,,
Music Of The Sun,"Pon De Replay (Stems)
(prod. Carl Sturken, Evan Rogers & Vada Nobles)","Multitrack stems for ""Pon De Replay"".",,Stems,Full,Lossless,https://krakenfiles.com/view/DGxLImF9Pm/file.html
"0 Full
0 Tagged
0 Partial
0 Snippet
0 Unavailable",A Girl Like Me,"(08/29/2005) (Music Of The Sun is released.)
(04/10/2006) (A Girl Like Me is released.)",,,,,
A Girl Like Me,"SOS (Instrumental)
(prod. J.R. Rotem, Evan Rogers & Carl Sturken)","Instrumental for ""SOS"".",,Instrumental,Full,CD Quality,Link Needed
"7 Full
0 Tagged
0 Partial
0 Snippet
0 Unavailable",Good Girl Gone Bad,"(04/10/2006) (A Girl Like Me is released.)
(06/02/2008) (Good Girl Gone Bad: Reloaded is released.)",,,,,
,Instrumentals,,,,,,
Good Girl Gone Bad,"Disturbia (Instrumental)
(prod. Brian Kennedy & Makeba Riddick)","Instrumental for ""Disturbia"".",,Instrumental,Full,High Quality,Link Needed
Good Girl Gone Bad,"Hate That I Love You (Instrumental)
(prod. Ne-Yo & StarGate)","Instrumental for ""Hate That I Love You"".",,Instrumental,Full,CD Quality,Link Needed
Good Girl Gone Bad,"Rehab (Instrumental)
(prod. Timbaland, Justin Timberlake & Hannon Lane)","Instrumental for ""Rehab"".",,Instrumental,Full,High Quality,Link Needed
Good Girl Gone Bad,"Shut Up and Drive (Instrumental)
(prod. Evan Rogers & Carl Sturken)","Instrumental for ""Shut Up and Drive"".",,Instrumental,Full,CD Quality,Link Needed
Good Girl Gone Bad,"Take A Bow (Instrumental)
(prod. Ne-Yo & StarGate)","Instrumental for ""Take A Bow"".",,Instrumental,Full,CD Quality,Link Needed
,Acapella,,,,,,
Good Girl Gone Bad,"Disturbia (Acapella)
(prod. Brian Kennedy & Makeba Riddick)","Acapella for ""Disturbia"".",,Acapella,Full,Lossless,https://krakenfiles.com/view/pqKz27FmuU/file.html
,Sessions,,,,,,
