Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s),Images
Pre-Infinite,M&M - The M&M Solo Tape EP,Cover for the M&M Solo Tape made by James Deel (Chaos Kid) and Marshall M (Eminem) [R.I.P Chaos Kid],James Deel & Marshall M,,,,Used,/shadygold/art/m-m-the-m-m-solo-tape-ep.png,
Pre-Infinite,Chaos Kid - If Only I Could Turn The Sun Off... I Would Show You A Brighter Day,Cover for Chaos Kid's EP made by Manix. (R.I.P Manix & Chaos Kid),Mike Ruby,Scan,,,Used,/shadygold/art/chaos-kid-if-only-i-could-turn-the-sun-off-i-would-show-you-.jpg,
Pre-Infinite,​​Soul Intent - F#@!in' Backstabber,"Cover used on the F#@!in' Backstabber single, drew by Em himself (Source: The Way I Am book)",Eminem,,,,Used,/shadygold/art/soul-intent-f-in-backstabber.jpg,
Infinite,Infinte (Front Cover),"Art used on Infinite releases, the black and white version is a bootleg released in Europe, 2003.",,,,,Used,/shadygold/art/infinte-front-cover.jpg,
Infinite,"""Infinite"" (Single)",Almost the same as the cover above but cassette,,Scan,,,Used,/shadygold/art/infinite-single.jpg,
Slim Shady EP,​​S​​lim Shady EP (Front Cover),,Mike Kempf,Scan,,,Used,/shadygold/art/s-lim-shady-ep-front-cover.jpg,
Slim Shady EP,​​S​​lim Shady EP (Back Cover),,Mike Kempf,Scan,,,Used,/shadygold/art/s-lim-shady-ep-back-cover.jpg,
Slim Shady EP,"Shabab Shadeeq - 5 Star Generals (feat. Eminem, Skam, A.L, & Kwest Tha Madd Lad)",Fuckin Shabaam used the most shitty quality file he had for streaming. Fuck you Shabaam.,,,,,Used,/shadygold/art/shabab-shadeeq-5-star-generals-feat-eminem-skam-a-l-kwest-th.jpg,
The Slim Shady LP,The Slim Shady LP (Front Cover),,Mark LeRoy,Scan,,,Used,/shadygold/art/the-slim-shady-lp-front-cover.jpg,
The Slim Shady LP,The Slim Shady LP (Back Cover),,,Scan,,,Used,/shadygold/art/the-slim-shady-lp-back-cover.png,
The Slim Shady LP,The Slim Shady LP (Special Edition - Front Cover),,,Scan,,,Used,/shadygold/art/the-slim-shady-lp-special-edition-front-cover.jpg,
The Slim Shady LP,The Slim Shady LP  (Expanded Edition - Front Cover),Made by Danny Hastings and Sketches in the booklet by SKAM2?.,Danny Hastings,Cover,,,Used,/shadygold/art/the-slim-shady-lp-expanded-edition-front-cover.jpg,
The Slim Shady LP,Eminem Anyman/ Pharoah Monch WWIII - Single Cover,,,,,,Used,/shadygold/art/eminem-anyman-pharoah-monch-wwiii-single-cover.jpg,
The Slim Shady LP,Eminem Anyman/ Pharoah Monch WWIII - Shig Remixes,,,,,,Used,/shadygold/art/eminem-anyman-pharoah-monch-wwiii-shig-remixes.jpg,
The Slim Shady LP,"Eminem Anyman/ Pharoah Monch WWIII - Album (Remix, Reinvented & Revisted Cover)",,,,,,Used,/shadygold/art/eminem-anyman-pharoah-monch-wwiii-album-remix-reinvented-rev.jpg,
The Slim Shady LP,Just Don't Give a Fuck,,,Scan,,,Used,/shadygold/art/just-don-t-give-a-fuck.jpg,
The Slim Shady LP,My Name Is,,,Scan,,,Used,/shadygold/art/my-name-is.jpg,
The Slim Shady LP,Role Model,,,Scan,,,Used,/shadygold/art/role-model.jpg,
The Slim Shady LP,Guilty Conscience,,,Scan,,,Used,/shadygold/art/guilty-conscience.jpg,
The Slim Shady LP,Guilty Conscience (Front Cover) - Promo CD, ,,,,,Used,/shadygold/art/guilty-conscience-front-cover-promo-cd.jpg,
The Slim Shady LP,OldWorlDisorder - Shyhalüde / 3hree6ix5ive,"The underground shit he did with Skam, drawn by the man himself.",Skam2?,,,,Used,/shadygold/art/oldworldisorder-shyhal-de-3hree6ix5ive.jpg,
The Slim Shady LP,Unmastered Sequence,,,,,,Used,/shadygold/art/unmastered-sequence.jpg,
The Marshall Mathers LP,The Marshall Mathers LP (Front Cover #1),,Jonathan Mannion,Scan,,,Used,/shadygold/art/the-marshall-mathers-lp-front-cover-1.jpg,
The Marshall Mathers LP,The Marshall Mathers LP (Front Cover #2),,Jonathan Mannion,Scan,,,Used,/shadygold/art/the-marshall-mathers-lp-front-cover-2.jpg,
The Marshall Mathers LP,The Marshall Mathers LP (Tour Edition Front Cover),,,Scan,,,Used,/shadygold/art/the-marshall-mathers-lp-tour-edition-front-cover.jpg,
The Marshall Mathers LP,The Marshall Mathers LP (Tour Edition Back Cover),,,Scan,,,Used,/shadygold/art/the-marshall-mathers-lp-tour-edition-back-cover.jpg,
The Marshall Mathers LP,The Marshall Mathers LP (25th Anniversary Edition Front Cover),,,,,,Used,/shadygold/art/the-marshall-mathers-lp-25th-anniversary-edition-front-cover.jpg,
The Marshall Mathers LP,Amsterdamn,"""Jonathan Mannion stated that the streaky lights in the picture was supposed to represent the last thing you see in Amsterdam before passing out. Even after changing the name of the album, Mannion was pressing for Eminem to use this as the cover, but Interscope felt it didn't match the direction of MMLP at that point."" Also, it isn't the same picture in the booklet, this one has Eminem written in neon.",Jonathan Mannion,,,,Unused,/shadygold/art/amsterdamn.png,
The Marshall Mathers LP,The Real Slim Shady,,,Scan,,,Used,/shadygold/art/the-real-slim-shady.jpg,
The Marshall Mathers LP,The Way I Am (1?),,,Scan,,,Used,/shadygold/art/the-way-i-am-1.jpg,
The Marshall Mathers LP,Stan,,,Scan,,,Used,/shadygold/art/stan.jpg,
The Marshall Mathers LP,Bitch Please II,,,Scan,,,Used,/shadygold/art/bitch-please-ii.png,
The Marshall Mathers LP,I'm Back,,,Scan,,,Used,/shadygold/art/i-m-back.png,
The Marshall Mathers LP,The Notorious B.I.G. - Dead Wrong,,,Cover,,,,/shadygold/art/the-notorious-b-i-g-dead-wrong.jpg,
The Marshall Mathers LP,Dr. Dre - Forgot About Dre,,,Cover,,,,/shadygold/art/dr-dre-forgot-about-dre.jpg,
The Marshall Mathers LP,Tony Touch - Get Back (feat. Eminem & D12),,,Cover,,,Used,/shadygold/art/tony-touch-get-back-feat-eminem-d12.jpg,
Devil's Night,Devil's Night,,Jonathan Mannion & Joe Nitzberg,Cover,,,Used,/shadygold/art/devil-s-night.jpg,
Devil's Night,Devil's Night (Back Cover),,Jonathan Mannion & Joe Nitzberg,,,,Used,/shadygold/art/devil-s-night-back-cover.jpg,
Devil's Night,Devil's Night European Special Edition - Front Cover,,Jonathan Mannion & Joe Nitzberg,,,,Used,/shadygold/art/devil-s-night-european-special-edition-front-cover.jpg,
Devil's Night,Devil's Night European Special Edition - Back Cover,,Jonathan Mannion & Joe Nitzberg,,,,Used,/shadygold/art/devil-s-night-european-special-edition-back-cover.jpg,
Devil's Night,Devil's Night (Expanded Edition - Front Cover),,Jonathan Mannion & Joe Nitzberg,,,,Used,/shadygold/art/devil-s-night-expanded-edition-front-cover.jpg,
Devil's Night,Shit On You ,,Skam,,,,Used,/shadygold/art/shit-on-you.jpg,
Devil's Night,Shit On You Variation (with sticker),,,Scan,,,Used,/shadygold/art/shit-on-you-variation-with-sticker.jpg,
Devil's Night,Shit On You Variation - Back Art,,,,,,Used,/shadygold/art/shit-on-you-variation-back-art.jpg,
Devil's Night,Shit On You Variation (without sticker),,,Scan,,,Used,/shadygold/art/shit-on-you-variation-without-sticker.jpg,
Devil's Night,Shit On You Promo Art 1,,,Scan,,,Used,/shadygold/art/shit-on-you-promo-art-1.jpg,
Devil's Night,Shit On You Promo Art 2 (Front Cover),,,Scan,,,Used,/shadygold/art/shit-on-you-promo-art-2-front-cover.jpg,
Devil's Night,Shit On You Promo Art 2 (Back Cover),,,Scan,,,Used,/shadygold/art/shit-on-you-promo-art-2-back-cover.jpg,
Devil's Night,Shit On You Promo Art Promo Poster,,,Scan,,,Used,/shadygold/art/shit-on-you-promo-art-promo-poster.jpg,
Devil's Night,Purple Pills,,,,,,Used,/shadygold/art/purple-pills.png,
Devil's Night,Purple Pills Promo Art - Front Cover,,,,,,Used,/shadygold/art/purple-pills-promo-art-front-cover.jpg,
Devil's Night,Purple Pills Promo Art - Back Cover,,,,,,Used,/shadygold/art/purple-pills-promo-art-back-cover.jpg,
Devil's Night,Purple Hills Video Version - Front Cover,,,,,,Used,/shadygold/art/purple-hills-video-version-front-cover.jpg,
Devil's Night,Purple Hills Video Version - Back Cover,,,,,,Used,/shadygold/art/purple-hills-video-version-back-cover.jpg,
Devil's Night,Purple Hills Promo Art,,,,,,Used,/shadygold/art/purple-hills-promo-art.jpg,
Devil's Night,Purple Hills Uk Promo Art,,,,,,Used,/shadygold/art/purple-hills-uk-promo-art.jpg,
Devil's Night,Purple Hills Spain Promo Art - Front Cover,,,,,,Used,/shadygold/art/purple-hills-spain-promo-art-front-cover.jpg,
Devil's Night,Purple Hills Spain Promo Art - Back Cover,,,,,,Used,/shadygold/art/purple-hills-spain-promo-art-back-cover.jpg,
Devil's Night,Ain't Nuttin' But Music,,,,,,Used,/shadygold/art/ain-t-nuttin-but-music.jpg,
Devil's Night,Fight Music,,,,,,Used,/shadygold/art/fight-music.jpg,
The Eminem Show,The Eminem Show,,,,,,Used,/shadygold/art/the-eminem-show.jpg,
The Eminem Show,The Eminem Show (Back Cover),,,,,,Used,/shadygold/art/the-eminem-show-back-cover.jpg,
The Eminem Show,The Eminem Show (Expanded Edition - Front Cover),,,,,,Used,/shadygold/art/the-eminem-show-expanded-edition-front-cover.jpg,
The Eminem Show,The Eminem Show (Expanded Edition - Back Cover),,,,,,Used,/shadygold/art/the-eminem-show-expanded-edition-back-cover.jpg,
The Eminem Show,The Eminem Show - Interscope Reimagined Set,Shit Art really stupid campaign dumbasses bought into.,Damien Hirst,Scan,,,Used,/shadygold/art/the-eminem-show-interscope-reimagined-set.jpg,
The Eminem Show,The Eminem Show - Ubran Outfitters Red Exclusive Vinyl- Front Cover ,Most HQ version unfortunately,,,,,Used,/shadygold/art/the-eminem-show-ubran-outfitters-red-exclusive-vinyl-front-c.jpg,
The Eminem Show,Without Me,,,,,,Used,/shadygold/art/without-me.jpg,
The Eminem Show,Cleanin' Out My Closet,,,,,,Used,/shadygold/art/cleanin-out-my-closet.jpg,
The Eminem Show,Sing For The Moment,,,,,,Used,/shadygold/art/sing-for-the-moment.jpg,
The Eminem Show,Business,,,,,,Used,/shadygold/art/business.jpg,
The Eminem Show,Superman,,,,,,Used,/shadygold/art/superman.png,
The Eminem Show,"Royce Da 5'9"" - Rock City",,,,,,,/shadygold/art/royce-da-5-9-rock-city.jpg,
8 Mile Soundtrack,8 Mile (Music From And Inspired By The Motion Picture) (Front Cover),,,Cover,,,Used,/shadygold/art/8-mile-music-from-and-inspired-by-the-motion-picture-front-c.jpg,
8 Mile Soundtrack,8 Mile (Music From And Inspired By The Motion Picture) (Back Cover),,,,,,Used,/shadygold/art/8-mile-music-from-and-inspired-by-the-motion-picture-back-co.jpg,
8 Mile Soundtrack,8 Mile (Music From And Inspired By The Motion Picture) (Expanded Edition - Front Cover),,,Cover,,,Used,/shadygold/art/8-mile-music-from-and-inspired-by-the-motion-picture-expande.jpg,
8 Mile Soundtrack,8 Mile (Music From And Inspired By The Motion Picture) (Expanded Edition - Animated Cover),,,Cover,,,Used,,
8 Mile Soundtrack,8 Mile (Music From And Inspired By The Motion Picture) 20th Annivery Die Cast - Front Cover,,,Cover,,,Used,/shadygold/art/8-mile-music-from-and-inspired-by-the-motion-picture-20th-an.png,
8 Mile Soundtrack,8 Mile (Music From And Inspired By The Motion Picture) 20th Annivery Die Cast - Back Cover,,,CD,,,Used,/shadygold/art/8-mile-music-from-and-inspired-by-the-motion-picture-20th-an.png,
8 Mile Soundtrack,More Music From 8 Mile (Front Cover),,,Cover,,,Used,/shadygold/art/more-music-from-8-mile-front-cover.jpg,
8 Mile Soundtrack,More Music From 8 Mile (Back Cover),,,,,,Used,/shadygold/art/more-music-from-8-mile-back-cover.jpg,
8 Mile Soundtrack,Lose Yourself,,,Cover,,,Used,/shadygold/art/lose-yourself.jpg,
8 Mile Soundtrack,The Singles Boxset,,,Cover,,,Used,/shadygold/art/the-singles-boxset.jpg,
D12 World,D12 World (Front Cover),,,Cover,,,Used,/shadygold/art/d12-world-front-cover.jpg,
D12 World,D12 World (Back Cover),,,,,,Used,/shadygold/art/d12-world-back-cover.jpg,
D12 World,D12 World (Lenticular - Front Cover),,,Scan,,,Used,/shadygold/art/d12-world-lenticular-front-cover.png,
D12 World,My Band,,,Cover,,,Used,/shadygold/art/my-band.jpg,
D12 World,How Come,,,Cover,,,Used,/shadygold/art/how-come.jpg,
D12 World,40 Oz (CD Front Cover),,,Cover,,,Used,/shadygold/art/40-oz-cd-front-cover.jpg,
D12 World,40 Oz (Remix) (Vinyl),,,Scan,,,Used,/shadygold/art/40-oz-remix-vinyl.jpg,
Encore,Encore,,,Cover,,,Used,/shadygold/art/encore.png,
Encore,Encore Collector's Edition - (Front Cover),,,Cover,,,Used,/shadygold/art/encore-collector-s-edition-front-cover.jpg,
Encore,Encore Collector's Edition - (Back Cover),,,Scan,,,Used,/shadygold/art/encore-collector-s-edition-back-cover.jpg,
Encore,Boo-Yaa T.R.I.B.E. - 911 (feat. Eminem & B-Real) - Youtube Single Cover,,,Cover,,,Used,/shadygold/art/boo-yaa-t-r-i-b-e-911-feat-eminem-b-real-youtube-single-cove.jpg,
Encore,Just Lose It,,,,,,Used,/shadygold/art/just-lose-it.jpg,
Encore,Just Lose It (Pockit Version) [Digital Single],,,,,,Used,/shadygold/art/just-lose-it-pockit-version-digital-single.jpg,
Encore,Just Lose It (Clean) - Original Itunes Cover,,,,,,Used,/shadygold/art/just-lose-it-clean-original-itunes-cover.jpg,
Encore,Just Lose It (Explicit) - Original Itunes Cover,,,,,,Used,/shadygold/art/just-lose-it-explicit-original-itunes-cover.jpg,
Encore,Just Lose it Promo CD - Variant 1,,,,,,Used,/shadygold/art/just-lose-it-promo-cd-variant-1.jpg,
Encore,Just Lose it Promo CD - Variant 2,,,,,,Used,/shadygold/art/just-lose-it-promo-cd-variant-2.jpg,
Encore,Just Lose It - Promo Poster,,,,,,Used,/shadygold/art/just-lose-it-promo-poster.jpg,
Encore,Encore ,,,,,,Used,/shadygold/art/encore.png,
Encore,Like Toy Soldiers,,,,,,Used,/shadygold/art/like-toy-soldiers.png,
Encore,Mockingbird,,,,,,Used,/shadygold/art/mockingbird.jpg,
Encore,Ass Like That,,,,,,Used,/shadygold/art/ass-like-that.jpg,
Encore,Invasion: Shady Times,,,,,,Used,/shadygold/art/invasion-shady-times.jpg,
Encore,Invasion Part II: The Conspiracy Theory,,,,,,Used,/shadygold/art/invasion-part-ii-the-conspiracy-theory.jpg,
Encore,Invasion Part III: Countdown To Armageddon,,,,,,Used,/shadygold/art/invasion-part-iii-countdown-to-armageddon.jpg,
Encore,Shade 45 Sirius Bizness,,,,,,Used,/shadygold/art/shade-45-sirius-bizness.jpg,
Encore,Masta Ace - Hellbound,,,,,,,/shadygold/art/masta-ace-hellbound.jpg,
Encore,Obie Trice - Got Some Teeth / Shit Hits The Fan / Oh! (feat. Busta Rhymes) Promo Poster,,,,,,Used,/shadygold/art/obie-trice-got-some-teeth-shit-hits-the-fan-oh-feat-busta-rh.jpg,
Encore,Obie Trice - Cheers Poster,,,,,,Used,/shadygold/art/obie-trice-cheers-poster.jpg,
Curtain Call,Curtain Call (Front Cover),,,,,,Used,/shadygold/art/curtain-call-front-cover.jpg,
Curtain Call,Curtain Call Vinyl (Front Cover) -  (Target Exclusive Edition),,,,,,Used,/shadygold/art/curtain-call-vinyl-front-cover-target-exclusive-edition.jpg,
Curtain Call,When I'm Gone,,,,,,Used,/shadygold/art/when-i-m-gone.jpg,
Curtain Call,Shake That,,,,,,Used,/shadygold/art/shake-that.png,
Curtain Call,Anger Management 3,,,,,,Used,/shadygold/art/anger-management-3.jpg,
Curtain Call,Trick Trick - Welcome 2 Detroit,,,,,,,/shadygold/art/trick-trick-welcome-2-detroit.jpg,
Curtain Call,Trick Trick - Welcome 2 Detroit,,,,,,,/shadygold/art/trick-trick-welcome-2-detroit.jpg,
Curtain Call,Tony Yayo - Drama Setter (feat. Eminem & Obie Trice) - Promo Vinyl Cover,,,,,,Used,/shadygold/art/tony-yayo-drama-setter-feat-eminem-obie-trice-promo-vinyl-co.jpg,
The Re-Up,The Re-Up (Front Cover),,,,,,Used,/shadygold/art/the-re-up-front-cover.jpg,
The Re-Up,You Don't Know,,,,,,Used,/shadygold/art/you-don-t-know.jpg,
The Re-Up,Jimmy Crack Corn,,,,,,Used,/shadygold/art/jimmy-crack-corn.jpg,
The Re-Up,The Re-Up Promo Poster,,,Cover,,,Used,/shadygold/art/the-re-up-promo-poster.jpg,
The Re-Up,Halloween 2006 Mixtape Ad Poster ,"A mixtape hosted by DJ Whoo Kid and The Alchemist was supposed to drop in October of 2006. This mixtape was apparently reworked into what we know as ""The Re-Up"".",,,,,Used,/shadygold/art/halloween-2006-mixtape-ad-poster.jpg,
Album 6,Akon - Smack That (CD Single),,,,,,Used,/shadygold/art/akon-smack-that-cd-single.jpg,
Album 6,Akon - Smack That (Streaming),,,,,,Used,/shadygold/art/akon-smack-that-streaming.jpg,
King Mathers,Ca$his - The County Hound - EP,"Eminem Features on this EP with the track ""Pistol Poppin'"" often used on ""King Mathers"" comps.",,,,,Used,/shadygold/art/ca-his-the-county-hound-ep.jpg,
King Mathers,T.I - T.I vs. T.I.P (Deluxe Version),"Eminem features on the albums track ""Touchdown"". Eminem also originally recorded Everything (I Do) to this beat as he liked to write to others beats at the time.",,,,,Used,/shadygold/art/t-i-t-i-vs-t-i-p-deluxe-version.jpg,
Relapse,Relapse (Front Cover),,,,,,Used,/shadygold/art/relapse-front-cover.jpg,
Relapse,Relapse Refill (Front Cover),,,,,,Used,/shadygold/art/relapse-refill-front-cover.jpg,
Relapse,3A.M. / My Mom ,On the 15th anniversery of Relapse (Mischief Night in Detroit) Eminem released an exclusive vinyl picture disk of 3A.M. & My Mom.,Mike Saputo,,,,Used,/shadygold/art/3a-m-my-mom.jpg,
Relapse,Crack A Bottle,,,,,,Used,/shadygold/art/crack-a-bottle.jpg,
Relapse,We Made You (CD),,,,,,Used,/shadygold/art/we-made-you-cd.jpg,
Relapse,We Made You (Streaming),,,,,,Used,/shadygold/art/we-made-you-streaming.png,
Relapse,3 a.m.,,,,,,Used,/shadygold/art/3-a-m.jpg,
Relapse,3 a.m - Travis Barker Remix,,,,,,Used,/shadygold/art/3-a-m-travis-barker-remix.jpg,
Relapse,Elevator - Single Cover,,,,,,Used,/shadygold/art/elevator-single-cover.jpg,
Relapse,Hell Breaks Loose - Single Cover,,,Cover,,,Used,/shadygold/art/hell-breaks-loose-single-cover.jpg,
Relapse,Old Time's Sake - Single Cover ,,,,,,Used,/shadygold/art/old-time-s-sake-single-cover.jpg,
Relapse,Old Time's Sake - Single Cover (Alt. Version),,,Cover,,,Used,/shadygold/art/old-time-s-sake-single-cover-alt-version.jpg,
Relapse,Beautiful,,,Cover,,,Used,/shadygold/art/beautiful.jpg,
