Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2025,"$4,000.00",Multi-Era,Acapellas,"158 Acapellas

Jessie Reyez - Coffin OG File
Nicki Minaj - Majesty (feat. Eminem & Labyrinth) [V1]
Wicked Ways [V2]","$4,000","Jan 8, 2025","Jan 8, 2025",Private Buy,Yes,N/A
2024,"$48,000.00",Multi-Era,2004-2013 Bundle,"Paul (skit) [V1]
Christopher Reeves [V3]
My Darling [V12] + Stems
Sexual Healing [V1]
Sexual Healing (feat. Dr. Dre) [V2]
Ritz + Stems","$2,000","Oct 6, 2024","Oct 6, 2024",Private Buy,Yes,"https://pillows.su/f/5f2c8b6e973406c268aa22275e788efc
https://pillows.su/f/8fd15cf3ccc28601473e734e38f0d5ff"
2024,"$48,000.00",Multi-Era,2003-2017 Bundle,"Love Drunk
I'm Twisted
Sociopath (feat. 50 Cent)
Follow Me (feat. Nate Dogg)
Key To My Room [V2]
Jump Out [V2]
Freak (feat. Anderson .Paak & WESTSIDE BOOGIE)
Take It [V3]
Smack You (Suge Shot Em)
Slaughterhouse - Trade Off (feat. Eminem)","$35,000","Sep 7, 2024","Sep 7, 2024",Private Buy,Yes,Link Needed
2024,"$48,000.00",Multi-Era,Pre-2019 Grail Bundle,"Back And Forth [V1]
Antichrist [V3] + Skit
I'm Sorry [V2]
Marshall Powers","$10,000","Aug 9, 2024","Aug 10, 2024",Private Buy,Yes,"https://pillows.su/f/41e2abaf6cb1e350580ae0b69982ccb1
https://pillows.su/f/cd6868075d25c0a7df482bc353320c4d
https://pillows.su/f/8547a84c7803b1da7016ed56b6ff9071"
2024,"$48,000.00",Relapse 2,Back And Forth,"Back And Forth [V1]
This Is [V1] (Bonus but was sent before the song could be bought)","$2,000","Jul 25, 2024","Aug 4, 2024",Normal,No,https://pillows.su/f/42847c6713e58740289d45851dc04459
2024,"$48,000.00",Album 6,Careful What You Wish For,Careful What You Wish For [V2] + Session,"$1,000","Jul 18, 2024","Jul 18, 2024",Normal,Yes,
2021,"$1,100.00",Kamikaze,Joyner Lucas - What If? (Alternate),Joyner Lucas - What If? (feat. Eminem) [V3],"$1,100","Apr ?, 2021","May ?, 2021",Private Buy,Yes,https://pillows.su/f/90f27361b199e92a84a186f74cd925b2
2020,"$1,000.00",Music To Be Murdered By,Conway The Machine - Bang,Conway The Machine - Bang (feat. Eminem) [V1],"$1,000","Jun 21, 2020","Jun 21, 2020",Private Buy,Yes,N/A
2019,"$8,250.00",Relapse,Things Get Worse,Things Get Worse [V1],$750,"Nov 4, 2019","Nov 9, 2019",Normal,Yes,https://pillows.su/f/2e13d6adc6d748cfa6f717526291b93f
2019,"$8,250.00",King Mathers,Cut Back & Hip Hop,"Cut Back
Hip Hop","$1,000","Nov 1, 2019","Nov 3, 2019",Normal,Yes,"https://pillows.su/f/d2c59efe1a2d2aa1aca05df47805134a
https://pillows.su/f/ebefd5a01796e6ada9f2e8e792bdd16f"
2019,"$8,250.00",King Mathers,Everything,Everything,"$1,500","Oct 29, 2019","Nov 1, 2019",Normal,Yes,N/A
2019,"$8,250.00",Kamikaze,Joyner Lucas - What If?,Joyner Lucas - What If? (feat. Eminem) [V2],"$1,500","Oct 31, 2019","Oct 31, 2019",Normal,Yes,https://pillows.su/f/b4ecabebd430971223749bc8c1b85f66
2019,"$8,250.00",Relapse 2,Nut Up,Nut Up [V4],"$3,500","Aug 15, 2019","Aug 15, 2019",Normal,Yes,https://pillows.su/f/0f65e51053793529f3ef101c520902ea
