 Era,Name,Notes,Source,Type,Currently Available,Link(s),,
"9 Total
4 Instrumental
3 Acapella
1 Other
1 TV Track",Pre-Infinite,"(10/17/1972) (Marshall Bruce Mathers III is born in Missouri)
(XX/XX/1995) (Work on Infinite begins)",,,,,,
,Instrumentals,,,,,,,
Pre-Infinite,Biterphobia (Instrumental),Full version hasn't leaked yet.,Leak,Instrumental,LQ Snippet,https://pillows.su/f/ceb66115b7db36a9c3eeb545f1c02c7e   https://pillows.su/f/340d9930f652cfaede64fe0d32c3683c,,
Pre-Infinite,Steppin' On To The Scene (Instrumental),A version of the instrumental that was accidently cut off was on the Under New Management/Cold Room On This Defin' Tape.,Tape,Instrumental,LQ Snippet,https://pillows.su/f/2b64d638cacbfd928893233b81233c6a,,
Pre-Infinite,Under New Management (Instrumental),Leaked instrumental for Under New Management. Currently all we have of the song.,Leak,Instrumental,Full LQ,https://pillows.su/f/1a97820bea88a11c90bccc2a44e42a82,,
Pre-Infinite,2Pac - Out On Bail [V1] (Instrumental),Source unknown.,Unknown,Instrumental,Full HQ,https://pillows.su/f/34098b36067848d02f08907963926bd9,,
,Acapellas,,,,,,,
Pre-Infinite,2Pac - Black Cotton [V1] (Acapella),Source unknown. Lacks Mopreme's parts.,Unknown,Acapella,Partial HQ,https://pillows.su/f/d0bd752576de923eb224ba753087ae9f,,
Pre-Infinite,2Pac - Hennessy [V1] (Acapella),Source unknown. Weirdly has different layers panned to different ears.,Unknown,Acapella,Partial HQ,https://pillows.su/f/5d1a4b36cb5fddfe614cbfa96c290678,,
Pre-Infinite,2Pac - Out On Bail [V1] (Acapella),Source unknown. Lacks the chorus.,Unknown,Acapella,Partial CDQ,https://pillows.su/f/2b75f0bd284aff85691f670ffbca8d95,,
,Other,,,,,,,
Pre-Infinite,2Pac - Black Cotton [V1] (Ad-libs) (Acapella),Only has the layers and ad-libs.,Unknown,Other,Full HQ,https://pillows.su/f/3c024d92fc47150f8e90527777e25596,,
Pre-Infinite,2Pac - Hennessy [V1] (TV Track),Source unknown.,Unknown,TV Track,Full HQ,https://pillows.su/f/31c02657eb0326df3fc6e35f5e58771f,,
"7 Total
4 Instrumental
3 Acapella",Slim Shady EP,"(11/12/1996) (Infinite releases)
(12/16/1997) (SSEP releases)",,,"After his failed suicide attempt, Eminem worked on the Slim Shady EP. It got some buzz in the underground and online sites couldn't keep it in stock. Following the Rap Olympics, Dean Geistlinger from Interscope, an assistant in Jimmy Iovine's office at that time would be given the demo by Eminem. The tape then would eventually find its way to Dr. Dre & Jimmy Iovine's hands, who loved it.",,,
,Instrumentals,"
",,,,,,
Slim Shady EP,Just Don't Give A Fuck (Instrumental) [V1-V4],"According to Mr. Porter, he tackled the beat about 4 times before the SSEP version.",Info,Instrumental,Not Available,,,
Slim Shady EP,Just Don't Give A Fuck (Instrumental) [EP Version],"Official instrumental for ""Just Don't Give A Fuck (EP Version)"".",Unknown,Instrumental,Full Lossless,https://pillows.su/f/50e5059fad5cc8880ecb9e3d75399bc2,,
Slim Shady EP,"Outsidaz - Macosa (Instrumental)
(prod. Pacewon)","Official instrumental for ""Macosa"".",Single Vinyl,Instrumental,Full HQ,https://pillows.su/f/634c20a4cc17ccc1536720399716c208,,
Slim Shady EP,The Anonymous - Green and Gold (Instrumental),"Official instrumental for ""Green and Gold"".",Digital Single,Instrumental,Full Lossless,https://pillows.su/f/0c6685c6cbf46f04bb095b790e4ad9da,,
,Acapellas,"
",,,,,,
Slim Shady EP,Just Don't Give A Fuck (Acapella) [EP Version],"Official acapella for ""Just Don't Give A Fuck (EP Version)"".",Unknown,Acapella,Full Lossless,https://pillows.su/f/fb7cddc7528df256b59af457035c1e22,,
Slim Shady EP,"Indigenous Tribe - Fists-O-Fury (Acapella)
(feat. Eminem)
(Drastic Measures, Microphone Autopsy, Proximity Mine)","A snippet of the acapella, only includes Em's verse. ",Single Vinyl,Acapella,HQ Snippet,https://pillows.su/f/0aebd023c5f2fec5334656695f9d42ce,,
Slim Shady EP,"Outsidaz - Macosa (Acapella)
(feat. Eminem)","Official acapella for ""Macosa"".",Single Vinyl,Acapella,Full HQ,https://pillows.su/f/4b34df98081b597d2cd7b3d20e3f4b62,,
"24 Total
14 Instrumental
10 Acapella",The Slim Shady LP,"(12/16/1997) (Slim Shady EP releases)
(02/23/1999) (The Slim Shady LP releases)",,,"Dr. Dre eventually got to work with Eminem, they made 5 songs in their first sesison together (My Name Is, Role Model, Being Partners, When Hell Freezes Over & Night And Day), 3 of those would be release on The Slim Shady LP. This is usually considered to be Eminem's first studio album.",,,
,Instrumentals,,,,,,,
The Slim Shady LP,"My Name Is (Instrumental)
(prod. Dr. Dre)","Official instrumental for ""My Name Is"".",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/562994a1352a7a9217613cc7521bb21e,,
The Slim Shady LP,"Guilty Conscience (Instrumental) [Hook Version]
(prod. Dr. Dre & Eminem)","Official instrumental for ""Guilty Conscience"".",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/c0ca2e7e097037e80851c6fe84e3ad8d,,
