  Album,Name & Date,Tracklist,Info,Image
Unknown | Completely Unheard | Snippet / Partial / Beat / Vocals / Recording Available | Alternate Version Available | Confirmed Version Available | Alternate Name/Info,,,,
Marshall & Ronnie Tapes,Marshall & Ronnie Tapes,"1. Doogie (feat. Ronnie)
2. Cool It D (feat. Ronnie)
3. Operator (feat. Ronnie)",Seen on a tape sold on Discogs.,
Steppin' On To The Scene,Steppin’ On To The Scene EP,"M&M Side
1. Steppin’ On To The Scene
2. Fattest Skinny Kid Alive
3. Under New Management

Chaos Kid Side
1. Style-O-Maniac
2. Enuff Is Enuff
3. Lord Have Mercy","Official tracklist for ""Steppin' On To The Scene EP""",
Soul Intent,F#@!in' Backstabber,"1. F#@!in' Backstabber
2. Biterphobia","Official tracklist for the ""F#@!in' Backstabber"" single.",
Infinite,Infinite (Release),"1. Infinite
2. W.E.G.O. (Interlude) (feat. DJ Head & Proof)
3. It's O.K. (feat. Eye-Kyu)
4. Tonite
5. 313 (feat. Eye-Kyu)
6. Maxine (feat. Denaun & Three (Detroit))
7. Open Mic (feat. Thyme)
8. Never 2 Far
9. Searchin' (feat. Angela Workman & Eye-Kyu)
10. Backstabber
11. Jealousy Woes II","Official tracklist for ""Infinite""",
Infinite,Infinite 2 [XX.XX.1996],"1. Guillotine Style (feat. Pacewon)
2. Run The Jewels
3. Distaste",Seen on a lyric sheet.,
Slim Shady EP,Tracks From The Slim Shady EP [XX.XX.1997],"1. Just Don't Give A Fuck
2. Murder, Murder
3. Just The Two Of Us
4. Low Down, Dirty",A tracklist from quarter 2 of 1997.,
Slim Shady EP,Rough Demo '97 [XX.XX.1997],"1. No One's Iller (feat. Bizarre Kid, Swifty & Fuzz)
2. Low Down, Dirty
3. Slim Shady
4. Dumpin' (feat. Parts Unknown & Proof)",A tracklist from quarter 4 of 1997.,
Slim Shady EP,The Slim Shady EP [12.16.1997],"01. Slim Shady (Intro)
02. Low Down, Dirty
03. If I Had
04. Just Don't Give A Fuck
05. Mommy (Skit)
06. Just The Two Of Us
07. No One's Iller (feat. Bizarre, Fuzz Scoota & Swifty McVay)
08. Murder, Murder
09. If I Had (Radio Edit)
10. Just Don't Give A Fuck (Radio Edit)","Official tracklist for ""The Slim Shady EP""",
The Slim Shady LP,Slim Shady (Demo) [XX.XX.1998],"1. Fucking Crazy
2. Get Down Tonight
3. I'm Shady
4. Rock Bottom",,
The Slim Shady LP,Slim Shady LP Demo [XX.XX.1998],"1. Slim Shady
2. Cum on Everybody
3. Just Don't Give a Fuck
4. Low, Down, Dirty
5. Bad Meets Evil
6. Brain Damage
7. Still Don't Give a Fuck
8. Rock Bottom
9. No One's Iller
10.Take The World
11. As The World Turns
12. Murder Murder
13. Just The Two Of Us
14. Sick Like That",Seems to consist of songs from before the first demo tape with Dr. Dre,
The Slim Shady LP,Demo Tape [3.8.1998],"1. My Name Is
2. Role Model
3. Being Partners (Ghost Stories)
4. Hell Freezes Over ('Till Hell Freezes Over)
5. My Conscience (Guilty Conscience)",The first demo tape Eminem made with Dr. Dre.,
The Slim Shady LP,Unmastered Sequence [XX.XX.1998],"1. My Name Is
2. My Conscience (feat. Dr. Dre)
3. If I Had...
4. Public Service Announcement (skit)
5. I'm Shady
6. Brain Damage
7. When Bad Meets Evil (feat. Royce Da 5'9"")
8. Just Don't Give A Fuck
9. Lounge (skit)
10. My Fault
11. Just The Two Of Us
12. C'mon Everybody
13. As The World Turns
14. Low Down, Dirty
15. No One's Iller (feat. Bizarre, Fuzz & Swift)
16. Take The World With Me (feat. Bizarre & Pacewon)
17. Murder, Murder",From quarter 3 of 1998.,
