Era,Name,Notes,Designer,Date,Image,Art Type,Use,Link(s)
I Came From Nothing,"I Came From Nothing
(with DJ Swamp Izzo)","Official cover art for I Came From Nothing.

Best Available Resolution: 600x600",,,,Cover,Mixtape,https://i1.sndcdn.com/artworks-0GaYHcmVnbqG1iYE-TYHw2Q-original.jpg
I Came From Nothing 2,I Came From Nothing 2,"Official cover art for I Came From Nothing 2.

Best Available Resolution: 1500x1500",,,,Cover,Mixtape,https://i.scdn.co/image/ab67616d0000b27323297a33434c317e427ec0fb
I Came From Nothing 2,I Came From Nothing 2 [Tracklist],,,,,,,
I Came From Nothing 3,I Came From Nothing 3,"Official cover art for I Came From Nothing 3.

Design: J Whitley",,,,Cover,Mixtape,https://i1.sndcdn.com/artworks-HMhVCSDcEz8Q3xI8-UqMlDw-original.jpg
I Came From Nothing 3,I Came From Nothing 3,,,,,Tracklist,Mixtape,
I Came From Nothing 3,"Yung Tone - I Got Em
(feat. Young Thug & Bandit Gang Marco)",Best Available Resolution: 300x300,,,,Cover,Feature,
1017 Thug,1017 Thug,"Official cover art for I Came From Nothing.

Design: NB GFX (Nick Bailey)

Best Available Resolution: 1500x1500",,,,Cover,Mixtape,https://a1.mzstatic.com/r40/Music126/v4/47/a3/01/47a301e8-61df-775c-a7bf-b75bd2c189af/853175006694.jpg
Lobby Runners,"Lobby Runners
(with Peewee Longway, Migos & Rich The Kid)","Official cover art for Peewee Roscoe's Lobby Runners with Young Thug, Migos, and Rich The Kid.

Design: NB GFX (Nick Bailey)

Best Available Resolution: 1600x1600",,,,Cover,Mixtape,https://image.mymixtapez.com/albums/23065/cover/0/large
Black Portland,"Black Portland
(with Bloody Jay)","Official cover art for Black Portland with Bloody Jay.

Best Available Resolution: 1500x1500",,,,Cover,Mixtape,https://i1.sndcdn.com/artworks-46fa7463-6773-415c-b780-7e727cb11ca2-0-original.jpg
Black Portland,"Black Portland [Tracklist]
(with Bloody Jay)",,,,,Tracklist,Mixtape,
Hy!£UN35 (2014),2 Bitches,,,,,Cover,Single,
Hy!£UN35 (2014),"Bossy
(feat. Slug)","Design: Silk The Prince

Higheste Available Resolution:",,,,,,
Hy!£UN35 (2014),Danny Glover,"Design: NB GFX (Nick Bailey)

Best Available Resolution: 640x640",,,,Cover,Single,
Hy!£UN35 (2014),"Danny Glover (Remix)
(feat. Nicki Minaj)","Design: NB GFX (Nick Bailey)

Best Available Resolution: 640x640",,,,Cover,Single,
Hy!£UN35 (2014),Eww,"Design: ThreeKingsDR

Best Available Resolution: 1666x1666",,,,Cover,Single,
Hy!£UN35 (2014),"Hundreds (I Had a Dream)
(feat. Meek Mill)",,,,,Cover,Single,
Hy!£UN35 (2014),"Hundreds (I Had a Dream) [Alternate Cover]
(feat. Meek Mill)","Alternate cover art for ""Hundreds (I Have A Dream)"" shared by Thug on twitter.

Design: Mikal The God

Best Available Resolution: 665x661",,,,Cover,Single,
Hy!£UN35 (2014),"Loaded
(feat. Peewee Longway)","Design: NB GFX (Nick Bailey)

Best Available Resolution: 640x640",,,,Cover,Single,
Hy!£UN35 (2014),"Old English
(with A$AP Ferg & Freddie Gibbs)",,,,,Cover,Single,
Hy!£UN35 (2014),"Pussy Ass Bitch
(feat. Ferrari Ferrell)",,,,,Cover,Single,
Hy!£UN35 (2014),"Red Sox
(feat. Juvenile)","Design: Colourful Mula

Best Available Resolution: 576x576",,,,Cover,Single,
Hy!£UN35 (2014),Some More,,,,,Cover,Single,
Hy!£UN35 (2014),Stoner,"OG Filename: Stoner-1300.jpg

Cover art for ""Stoner"".

Design: NB GFX (Nick Bailey)",,,,Cover,Single,https://a1.mzstatic.com/r40/Music124/v4/b2/2d/87/b22d87db-8381-a9c6-0737-0f3bff7b7d2c/075679943293.jpg
Hy!£UN35 (2014),Stoner (Remixes),,,,,Cover,Single,
Hy!£UN35 (2014),"Treasure
(feat. Zuse)",Best Available Resolution: 3000x3000,,,,,,
Hy!£UN35 (2014),"ABG Khrome - 25 Lighters
(feat. Young Thug & Y.Tizzle)",,,,,,,
Hy!£UN35 (2014),"Akon & OG Boo Dirty - NASA
(feat. Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Bandit Gang Marco - Nasty (Remix)
(feat. Kevin Gates & Young Dro)",Design: VA Media,,,,Cover,Feature,
Hy!£UN35 (2014),"Bandit Gang Marco - Nasty (Remix)
[Alternate Cover]
(feat. Kevin Gates & Young Dro)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Berner - All In A Day
(feat. Young Thug, YG & Vital)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Blvd Marc - Fumble (Remix)
(feat. Young Thug)",Design: NB GFX (Nick Bailey),,,,Cover,Feature,
Hy!£UN35 (2014),"Code G - Geek'd Out My Mind
(feat. Young Thug)",Best Available Resolution: 1500x1500,,,,Cover,Feature,
Hy!£UN35 (2014),"David Cash - Rob My Connect
(feat. Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"DDash - Doorz
(feat. Young Thug)",Best Available Resolution: 275x275,,,,Cover,Feature,
Hy!£UN35 (2014),"Dose - Truth
(feat. Young Thug & Lil Durk)","Design: Colourful Mula

Best Available Resolution: 1455x1455",,,,Cover,Feature,
Hy!£UN35 (2014),"Garci - We On (Remix)
(feat. Young Thug)","Design: Rell GFX

Best Available Resolution:",,,,Cover,Feature,
Hy!£UN35 (2014),"Gucci Mane - Panaramic Roof
(feat. Young Thug)","Design: KD Designz (Kevian Dodd)

Best Available Resolution: 600x600",,,,Cover,Feature,
Hy!£UN35 (2014),"Gucci Mane - Paper Problems
(feat. Young Thug & PeeWee Longway)","Design: KD Designz (Kevian Dodd)

Best Available Resolution: 612x612",,,,,,
Hy!£UN35 (2014),"Havok Jones - Who You?
(feat. Young Thug)",Best Available Resolution: 2100x2100,,,,Cover,Feature,
Hy!£UN35 (2014),"Hot Lotto - Juiced
(feat. Young Thug & Fat Trel)",,,,,Cover,Feature,
Hy!£UN35 (2014),"ImYaBoyBigD - Zombie
(feat. Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"JD Boyz - Squad
(feat. Young Thug)","Design: Silk The Prince

Best Available Resolution: 1750x1750",,,,Cover,Feature,
Hy!£UN35 (2014),"Juicy J - Low
(feat. Nicki Minaj, Lil Bibby & Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"K-Major - A Lot Of Cash
(feat. Young Thug)","Design: Slick Lo

Best Available Resolution: 500x500",,,,Cover,Feature,
Hy!£UN35 (2014),"Lil Durk - Party
(feat. Young Thug)","Design: 2RawDesignz

Best Available Resolution: 600x600",,,,Cover,Feature,
Hy!£UN35 (2014),"Mack Milly - The Realest
(feat. Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Metro Boomin - Chanel Vintage
(feat. Future & Young Thug)",Design: ALLBLCK (Chaz Morgan),,,,Cover,Feature,
Hy!£UN35 (2014),"Migos - New Atlanta
(feat. Young Thug, Rich Homie Quan & Jermaine Dupri)","Design: Silk The Prince

Best Available Resolution: 17501750",,,,Cover,Feature,
Hy!£UN35 (2014),"Mike WiLL Made-It - Take A Picture
(feat. Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Ola Playa - All Kinda Drugs
(feat. Black Portland)",,,,,Cover,Feature,
Hy!£UN35 (2014),"PeeWee Longway - Know Bout Me
(feat. Young Thug & Offset)","Design: HubbGFX

Best Available Resolution: 1280x1280",,,,Cover,Feature,
Hy!£UN35 (2014),"Rich The Kid - Austin Powers
(feat. Young Dolph & Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Rugga - Drug Habit
(feat. Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Seven Montana - Fly Talk
(feat. Young Thug)",Design: Silk The Prince,,,,Cover,Feature,
Hy!£UN35 (2014),"Shyst Red - Water Diamonds
(feat. Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Skooly - Every Morning
(with Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Stackzz - 36
(feat. Young Thug & PeeWee Longway)",,,,,Cover,Feature,
Hy!£UN35 (2014),"T.I. - About The Money
(feat. Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"The Rock Mob - This Summer
(feat. Young Thug)",Design: Head Honcho 247,,,,Cover,Feature,
Hy!£UN35 (2014),"Tiffany Foxx - Young N Thuggin
(feat. Pusha T, Young Thug & Chubbie Baby)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Trae Tha Truth - Try Me
(feat. Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Trapboy Freddy - Whip Dat D'nope
(feat. Young Thug & Richboy Lex)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Travis Scott - Mamacita
(feat. Rich Homie Quan & Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Tyga - Hookah
(feat. Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Wale - Clappers (Remix)
(feat. Rick Ross, Fat Trel & Young Thug)",,,,,,,
Hy!£UN35 (2014),"YC - Main Chic
(feat. Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Young Jit - No Limit
(feat. PopLord & Young Thug)",Design: NB GFX (Nick Bailey),,,,Cover,Feature,
Hy!£UN35 (2014),"Young Scooter - Disfunction
(feat. Future, Juicy J & Young Thug)","Design: Dominate GFX

Best Available Resolution: 1492x1492",,,,Cover,Feature,
Hy!£UN35 (2014),"Young Scooter - Drugs
(feat. Young Thug)",,,,,Cover,Feature,
Hy!£UN35 (2014),"Young Scooter - New Young Niggas
(feat. Young Thug & Rich Homie Quan)","Design: BMG Nell1

Best Available Resolution: 1492x1492",,,,Cover,Feature,
Hy!£UN35 (2014),"Zuse - Mayday
(feat. Young Thug)",,,,,Cover,Feature,
Metro Thuggin,"The Blanguage
(with Metro Boomin)",,,,,Cover,Single,
Metro Thuggin,"Speed Racer
(with Metro Boomin)", Design: ALLBLCK (Chaz Morgan),,,,Cover,Single,
Metro Thuggin,"Cash Talk
(with Metro Boomin)", Design: ALLBLCK (Chaz Morgan),,,,Cover,Single,
Metro Thuggin,"Cash Talk [Alternate Cover 1]
(with Metro Boomin)", Design: ALLBLCK (Chaz Morgan),,,,,,
Metro Thuggin,"Cash Talk [Alternate Cover 2]
(with Metro Boomin)", Design: ALLBLCK (Chaz Morgan),,,,,,
Metro Thuggin,"Cash Talk [Alternate Cover 3]
(with Metro Boomin)", Design: ALLBLCK (Chaz Morgan),,,,,,
Metro Thuggin,"Warrior
(with Metro Boomin)", Design: ALLBLCK (Chaz Morgan),,,,Cover,Single,
Metro Thuggin,"Free Gucci
(with Metro Boomin)",,,,,Cover,Single,
For Geekers Only,,,,,,Cover,Mixtape,https://x.com/SilkBeVibing/status/494518801724362754?s=20
For Geekers Only,,,,,,Cover,Mixtape,
Eagles Landing,"Eagles Landing
(Collaboration with Young Scooter)",,,,,Cover,Mixtape,
Nerds,,,,,,Cover,Mixtape,
Young Thugga Mane La Flare,"Young Thugga Mane La Flare
(with Gucci Mane)",Official cover art for Young Thugga Mane La Flare with Gucci Mane.,,,,Cover,Mixtape,https://a1.mzstatic.com/r40/Music126/v4/a3/56/0e/a3560e98-04c1-3852-e501-64cb8b973233/0856307006425.jpg
Young Thugga Mane La Flare,"Bricks Like A Project
(with Gucci Mane)","Design: KD Designz (Kevian Dodd)

Best Available Resolution: 612x612",,,,,,
