Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"To view only songs that are not on streaming, right-click the G column and click ""Sort sheet A to Z""",,,,,,,
I Came From Nothing,"Rich Kidz - Go Hard (Bonus)
(feat. Young Thug & Richie Rich)","Track 19 on Rich Kidz & Money Savage's mixtape ""We Supposed to Stop (But We Didn’t)"".",2:36,"May 14, 2010",Feature,Yes,https://open.spotify.com/track/63eqX5jQ5LfM0xGgMgpExH?si=7172744e51e24418
I Came From Nothing,"Ca$h Out - I Got It
(feat. Young Thug) (prod. Dun Deal)","Track 14 on DJ Kutt Throat's mixtape ""Fake I.D Vol. 3"".",3:05,"Jun 23, 2010",Feature,Yes,https://open.spotify.com/track/0Y78Uz7fDqbi133WkUtkn7?si=4c8a9e4f8f074ef9
I Came From Nothing,"Yung Booke - #1 Stunner
(feat. Young Thug)","Track 14 on Yung Booke's mixtape ""Airbourne Academy"".",3:00,"Oct 23, 2010",Feature,No,https://soundcloud.com/kaliedescop/young-thug-n-young-booke-number-1-stunner?si=a270bca7f3184a1c9a89b765fa7b6498&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
I Came From Nothing,"Tayman - Meet A Beast
(feat. Young Thug, Richie Rich & Streets)","Track 7 on Tayman's mixtape ""Pillsbury Street"".",3:35,"Nov 12, 2010",Feature,No,https://www.youtube.com/watch?v=WKwC_L_0-mw
I Came From Nothing,"Tayman - I'm On
(feat. Young Thug)","Track 8 on Tayman's mixtape ""Pillsbury Street"".",4:33,"Nov 12, 2010",Feature,No,http://youtube.com/watch?v=pbQsB9Dgh-M
I Came From Nothing,"Tayman - Flexin' In Da City
(feat. Young Thug) (prod. Dun Deal)","Track 10 on Tayman's mixtape ""Pillsbury Street"".",3:48,"Nov 12, 2010",Feature,No,https://www.youtube.com/watch?v=bmz6gmJuVNI
I Came From Nothing,"Rich Kidz - 100 Dollar Autograph
(feat. Young Thug) (prod. Dun Deal)","Track 2 on Rich Kidz, DJ Spinz and DJ Scream's mixtape ""Straight Like That"" and track 4 on ""Straight Like That 2"".",4:06,"Nov 26, 2010",Feature,Yes,https://open.spotify.com/track/1I61xNJZ1yTdlU9yxirM7H?si=2ecd9a9fc25b4870
I Came From Nothing,"Kwony Cash - President Slide Show
(feat. Young Thug) (prod. Kwony Cash)","Track 8 on Kwony Cash and DJ Swamp Izzo's mixtape ""Dis One 4 the Peons"".",3:42,"Dec 19, 2010",Feature,Yes,https://open.spotify.com/track/4obr8sGbD4zK69kO0lnIK7?si=be875e36c7cc4ebb
I Came From Nothing,"Rich Kidz - Rumor
(feat. 2 Chainz & Young Thug) (prod. London On Da Track)","Track 5 on Rich Kidz' mixtape ""Straight Like That 2"".",5:13,"Apr 28, 2011",Feature,Yes,https://open.spotify.com/track/1GgniDj0lWk5luD4XKWKU3?si=75b7b029112c44dc
I Came From Nothing,"J Money - I'm Cold
(feat. Young Thug)","Track 3 on J Money's mixtape ""Sauce 4 Sale"".",4:16,"May 13, 2011",Feature,Yes,https://open.spotify.com/track/2ciosWH0L4PV5TqH6ioYXA?si=0b411de5b2874283
I Came From Nothing,Intro,"Track 1 on ""I Came From Nothing"".",0:26,"Jun 8, 2011",Mixtape Track,No,Link Needed
I Came From Nothing,Jungle,"Track 2 on ""I Came From Nothing"".",3:09,"Jun 8, 2011",Mixtape Track,No,Link Needed
I Came From Nothing,"We Are
(prod. Johhny Juliano)","Track 3 on ""I Came From Nothing"".",3:48,"Jun 8, 2011",Mixtape Track,No,Link Needed
I Came From Nothing,Eat U Alive,"Track 4 on ""I Came From Nothing"".",3:36,"Jun 8, 2011",Mixtape Track,No,Link Needed
I Came From Nothing,"Ball On Y'all
(feat. Capo Kam & Skypad War)","Track 5 on ""I Came From Nothing"".",4:00,"Jun 8, 2011",Mixtape Track,No,Link Needed
I Came From Nothing,Drop Bars,"Track 6 on ""I Came From Nothing"".",2:35,"Jun 8, 2011",Mixtape Track,No,Link Needed
I Came From Nothing,Spartan,"Track 7 on ""I Came From Nothing"".",2:31,"Jun 8, 2011",Mixtape Track,No,Link Needed
I Came From Nothing,Zan Man,"Track 8 on ""I Came From Nothing"".",3:09,"Jun 8, 2011",Mixtape Track,No,Link Needed
I Came From Nothing,"In Dis Bitch
(feat. Kumtie)","Track 9 on ""I Came From Nothing"".",4:29,"Jun 8, 2011",Mixtape Track,No,Link Needed
I Came From Nothing,Rip,"Track 10 on ""I Came From Nothing"".",5:02,"Jun 8, 2011",Mixtape Track,No,Link Needed
I Came From Nothing,"Achieve
(feat. Teezie Dolla)","Track 11 on ""I Came From Nothing"".",4:37,"Jun 8, 2011",Mixtape Track,No,Link Needed
I Came From Nothing,"We Ballin'
(feat. Joc Lowe)","Track 12 on ""I Came From Nothing"".",3:40,"Jun 8, 2011",Mixtape Track,No,Link Needed
I Came From Nothing,"Summer
(feat. London Jae)","Track 13 on ""I Came From Nothing"".",4:54,"Jun 8, 2011",Mixtape Track,No,Link Needed
