Era,"Name
(Check Out The Tracker Website!)","Notes
(Join the Young Thug Discord!)",Track Length,File Date,Leak Date,Type,Available Type,Quality,Source
"2 OG File(s)
17 Full
0 Tagged
0 Partial(s)
1 Snippet(s)
0 Unavailable",I Came From Nothing,"(08/16/1991) Jeffery Lamar Williams is born in Atlanta, Georgia
(06/08/2011) ""I Came From Nothing"" is officially released
(12/20/2011) ""I Came From Nothing 2"" is officially released
(07/04/2012) ""I Came From Nothing 3"" is officially released",,,"Across 2011 to 2012, Jeffery Lamar Williams, known as Young Thug, released three mixtapes in his I Came From Nothing series, with the first and third being hosted by DJ Swamp Izzo.",,,,
I Came From Nothing,"#1 Stunner [OG]
(feat. Yung Booke)
(Number 1 Stunner)","OG Filename: NUMBER 1 STUNNER ft YUNG BOOKE.mp3
Demo of ""#1 Stunner"", a 2010 track released on Yung Booke's mixtape ""Airborne Academy"". File is tagged & titled as Thug's song, and also listed as track 8 of 18 for an unknown project. Encoded by iTunes 9.0.3, which released in February 2010 and was replaced by version 9.1 in March.",3:21,,,Demo,OG File,High Quality,https://pillows.su/f/62eb22650c3dd53d75704f494b6454d4
I Came From Nothing,All I Want [V1],"Previewed on the Nash Made YouTube channel on June 24, 2012.",,,"Jun 24, 2012",Demo,Snippet,Recording,https://pillows.su/f/c7a3de0057400e6ac7c77650efb12f59
I Came From Nothing,All I Want [V2],Contains tags. Era unconfirmed.,2:10,,"Feb 13, 2014",Throwaway,Full,High Quality,https://pillows.su/f/d5ce72a9c95def84b5943c8b5f4aeb8a
I Came From Nothing,"Racks After Racks
(feat. Jose Guapo & B.F.P.L.) (prod. Dun Deal)",Throwaway from the I Came From Nothing sessions.,4:19,,"Nov 18, 2010",Throwaway,Full,High Quality,https://pillows.su/f/d3b21d689b563fc072c25fef8cf1cfe4
I Came From Nothing,"This Is My Life
(prod. Dun Deal)","OG Filename: This Is My Life
The first song Young Thug ever did with Dun Deal.",3:34,,,Throwaway,OG File,High Quality,https://pillows.su/f/c1b3d3f9f97172dcf62143e46d54b086
I Came From Nothing,"Wake Up
(prod. Ferrari Smash)",Contains tags. Era unconfirmed.,3:10,,"Dec 16, 2012",Throwaway,Full,High Quality,https://pillows.su/f/c06ad261b497a239a8873327b807d3af
I Came From Nothing,"Way
(feat. Skooly) (prod. DP Beatz)",Era unconfirmed.,3:09,,"Aug 18, 2012",Throwaway,Full,High Quality,https://pillows.su/f/e9f13abececee7422ac84faa5096bc2c
I Came From Nothing,"We Da Best 
(feat. YSL Sluhh, Doc & Capo Kam)",Throwaway from the I Came From Nothing sessions.,4:35,,"Apr 30, 2011",Throwaway,Full,CD Quality,https://pillows.su/f/cf71154aba520f589f876687577542a9
I Came From Nothing,"Block 125 - Wanna Be It
(feat. Young Thug)
(Wanna B It)",Contains tags. Era unconfirmed.,3:15,,"Feb 7, 2013",Feature,Full,High Quality,https://pillows.su/f/3b24cfc1f3f142b0a2b238bd31b11ff9
I Came From Nothing,"Deno Savage - We Up
(feat. Yung Booke & Young Thug)","Hosted by drugmoneyusa on YouTube on June 28, 2013. Era unconfirmed.",4:15,,"Jun 28, 2013",Feature,Full,High Quality,https://pillows.su/f/5c1d9562e63429439dbd1f2e83b9cca5
