Era,Name,"Notes
(Join the Discord if you have any suggestions)",Designer,Art Type,Image,Project Type,Use,Link(s)
GQ,MPR,"Single art for ""MPR"".",Unknown,Digital,,Front Cover,Used,/smokegold/art/mpr.jpg
GQ,Flexin',"Single art for ""Flexin'"".",Unknown,Digital,,Front Cover,Used,/smokegold/art/flexin.jpg
GQ,"Rah Swish - Brush Em
(with Pop Smoke)","Single art for original version of ""Brush Em""",Unknown,Digital,,Front Cover,Unused,/smokegold/art/rah-swish-brush-em-with-pop-smoke.jpg
Meet The Woo 1,Meet The Woo [Single Art],"Single art for ""Meet The Woo"".",Unknown,Digital,,Front Cover,Used,/smokegold/art/meet-the-woo-single-art.jpg
Meet The Woo 1,Welcome To The Party,"Single art for ""Welcome To The Party"".",Unknown,Digital,,Front Cover,Used,/smokegold/art/welcome-to-the-party.jpg
Meet The Woo 1,Meet The Woo,"Album art for ""Meet The Woo"".",Unknown,Digital,,Front Cover,Used,/smokegold/art/meet-the-woo.jpg
Meet The Woo 1,Dior,"Single art for ""Dior"".",Unknown,Digital,,Front Cover,Alternate,/smokegold/art/dior.png
Meet The Woo 1,RIco Nasty - Welcome To The Party (NastyMix),"Single art for Rico Nasty's ""Welcome To The Party (NastyMix)"".",Unknown,Digital,,Front Cover,Used,/smokegold/art/rico-nasty-welcome-to-the-party-nastymix.jpg
Meet The Woo 1,"Welcome To The Party [Remix]
(feat. Nicki Minaj)","Single art for ""Welcome To The Party (Remix) [feat. Nicki Minaj]"".",Unknown,Digital,,Front Cover,Used,/smokegold/art/welcome-to-the-party-remix-feat-nicki-minaj.jpg
Meet The Woo 1,"Welcome To The Party [Remix]
(feat. Skepta)","Single art for ""Welcome To The Party (Remix) [feat. Skepta]"".",Unknown,Digital,,Front Cover,Used,/smokegold/art/welcome-to-the-party-remix-feat-skepta.jpg
Meet The Woo 2,"War
(feat. Lil Tjay)","Single art for ""War (feat. Lil Tjay)"".",Unknown,Digital,,Front Cover,Used,/smokegold/art/war-feat-lil-tjay.jpg
Meet The Woo 2,"Fetty Luciano - Double It
(feat. Pop Smoke)","Single art for Fetty Luciano's ""Double It"". The artwork was done by Lil Mac, a member of GS9, rapper, producer and graphic designer.",Lil Mac,Digital,,Front Cover,Unused,/smokegold/art/fetty-luciano-double-it-feat-pop-smoke.jpg
Meet The Woo 2,"AP [Potential Cover Art]
(feat. Rich The Kid)","Art used in the unreleased music video for the original version of ""AP"", featuring Rich The Kid.",Unknown,Digital,,Concept Art,Concept Art,/smokegold/art/ap-potential-cover-art-feat-rich-the-kid.jpg
Meet The Woo 2,"DJ Drewski - Mary Jane
(feat. Lil Tjay & Pop Smoke)","Single art for DJ Drewski's ""Mary Jane"" featuring Lil Tjay and Pop Smoke.",Unknown,Digital,,Front Cover,Unused,/smokegold/art/dj-drewski-mary-jane-feat-lil-tjay-pop-smoke.jpg
