Era,Name,Notes,Image / Length,Date,Type,Currently Available,In Circulation?,Link(s)
,"GQ
(Unsigned, Before Meet The Woo Vol. 1)",,,,,,,
,Music Videos,,,,,,,
GQ,"Armed & Dangerous [Music Video]
(prod. Will Hansford & WMD Productions)
(Exposing Me Remix)","Released by GoddyGoddy on YouTube on December 25th, 2020, titled ""POP SMOKE - ARMED & DANGEROUS EXPOSING ME REMIX (Official Music Video) [SHOT BY GoddyGoddy]"". Eventually taken down for copyright.",,,Music Video,Full CDQ,Full CDQ,https://youtu.be/ReJMqdT2npo
GQ,"Flexin' [Cut Scenes]
(prod. Kamale Beatz & 808 Melo)","Cut scenes from the ""Flexin'"" music video, previewed by GoddyGoddy.",,,Music Video,CDQ Snippet,Possibly,https://pillows.su/f/d5325dafdcf62193636655ef2e008d58
GQ,"GQ [Music Video]
(prod. Krits)
(MPR Pt.1)","Music video for ""GQ"", the original ""MPR"". Shot by V.Lens.",,,Music Video,LQ Snippet,Possibly,https://youtu.be/0I732jdIzPk
GQ,"Meet The Woo [Original Music Video]
(prod. 808 Melo)","Released by GoddyGoddy on YouTube on January 15th, 2021, titled ""POP SMOKE - MEET THE WOO (OG Music Video) [SHOT BY GoddyGoddy]"". Eventually taken down for copyright.",,,Music Video,Full CDQ,Full CDQ,https://youtu.be/EOuWK4M37cc
GQ,"Rah Swish - Brush Em [Music Video]
(with Pop Smoke) (prod. 808 Melo)","Music video for the original version of ""Brush Em"".",,,Music Video,Full CDQ,Full CDQ,https://youtu.be/mNVOvV9Q7ck
,Meet The Woo Vol. 1,,,,,,,
,Music Videos,,,,,,,
Meet The Woo 1,"Dior [Director's Cut]
(prod. 808 Melo)","Released by GoddyGoddy on YouTube on April 25th, 2020, titled 'Pop Smoke ""Dior"" (Director's Cut)'. Different version of the music video, and uses the original version of Dior, excluding the extra verse. Eventually taken down for copyright.",,,Music Video,Full CDQ,Full CDQ,https://youtu.be/LJc7LtQk5pY
Meet The Woo 1,"PTSD [Music Video]
(prod. soSpecial)","A snippet of the music video for ""PTSD"" was previewed at the end of the OG ""Meet The Woo"" music video.",,,Music Video,CDQ Snippet,Possibly,https://youtu.be/XYTqrjCFyaU
Meet The Woo 1,"Welcome To The Party [Original Music Video 1]
(prod. 808 Melo)","Original music video for ""Welcome To The Party"". Uses an earlier version of the song compared to released version.",,,Music Video,Full CDQ,Full CDQ,https://youtu.be/uG3KE7dRLY4
Meet The Woo 1,"Welcome To The Party [Original Music Video 2]
(prod. 808 Melo)","Another unreleased original music video of ""Welcome To The Party"".",,,Music Video,LQ Snippet,Possibly,https://youtu.be/2zLBqPIfycg
,Videos,,,,,,,
Meet The Woo 1,Hot 97 Interview,"Drewski sat down with Pop Smoke as the success ""Welcome to the Party,"" became one of the biggest tracks in the streets of the summer. He spoke on his his inspiration, the releases of tracks ""Money, Power, Respect,"" and ""Flexin'"", his mom's reaction to his success, GS9, Cardi B posting the track on her Instagram and more.",,"Jul 1, 2019",Interview,Full CDQ,Full CDQ,https://youtu.be/X91suWv2DN4
,Never Recorded,,,,,,,
Meet The Woo 1,"Dior
(feat. Lil Tjay) (prod. 808 Melo)","Lil Tjay mentioned in an interview with Full Send Podcast that he was first introduced to Pop Smoke through Jay Gwuapo, who later showed him Pop's song ""MPR"". After hearing ""Welcome To The Party"" later on, he invited Pop to come to the studio, where Pop previewed him the unreleased version of ""Dior"", and asked Tjay if he wanted to hop on. Tjay declined as he didn't wanna mess up his track while he was blowing up and so he'd have the song for himself, and they could make new collabs instead.",,,Other,"Never
Recorded",N/A,https://youtu.be/pkr8r4c4mUQ
,Meet The Woo Vol. 2,,,,,,,
,Music Videos,,,,,,,
Meet The Woo 2,"100k On A Coupe [Music Video]
(feat. Calboy) (prod. Black Xypher & 808 Melo)","Unreleased music video for ""100k On A Coupe"" featuring Calboy. Several behind the scenes clips have been shared, and clips from the music video were used in the music video for ""Zoo York"" by Lil Tjay, featuring Fivio Foreign and Pop Smoke.",,,Music Video,CDQ Snippet,Possibly,Link needed
Meet The Woo 2,"AP [Original Music Video]
(feat. Rich The Kid) (prod. 808 Melo & Rico Beats)","Original music video for ""AP"", originally featuring Rich The Kid. Leaked on YouTube on August 4th, 2021 by LowUrge.",,"Nov 16, 2020",Music Video,Full HQ,Full HQ,https://youtu.be/_V9jeofz8UY
Meet The Woo 2,"Armed N Dangerous [Music Video]
(prod. Rico Beats & 808 Melo)","Unreleased music video for the original version of ""Armed N Dangerous (Charlie Sloth Freestyle)"".",,,Music Video,Full CDQ,Full CDQ,https://youtu.be/s8Ors-uoUpI
Meet The Woo 2,"War [Original Music Video]
(feat. Lil Tjay) (prod. 808 Melo & Swirv)","Original music video for ""War"" featuring Lil Tjay. Uses the original version of the song.",,,Music Video,Full CDQ,Full CDQ,https://pillows.su/f/e9571356d97ab959cedb26714f987681
Meet The Woo 2,"Welcome To The Party (Remix) [Music Video]
(feat. French Montana) (prod. 808 Melo)","Snippet of French Montana's remix to ""Welcome To The Party"" was previewed.",,,Music Video,LQ Snippet,Possibly,https://youtu.be/pY707CUgBmg
Meet The Woo 2,"Fetty Luciano - Double It [Music Video]
(feat. Pop Smoke) (prod. 808 Melo)","Music video for ""Double It"" released by shmoney records on YouTube, titled ""DOUBLE IT Fetty Luciano ft. Pop Smoke (OFFICIAL VIDEO)"", released October 9th, 2019. Released crediting the song as Fetty Luciano's, with Pop Smoke featuring.",,"Oct 9, 2019",Music Video,Full CDQ,Full CDQ,https://youtu.be/5ZX0MC8L6r4
,Videos,,,,,,,
