Era,Name,"Notes
(Join the Discord if we missed anything)",Track Length,Date,Type,Streaming,Link(s)
"To view only songs that are not on streaming, right-click the G column and click ""Sort sheet A to Z""!",,,,,,,
"0 Album Track
2 Single
0 Feature
0 Production
1 Other","GQ
(Unsigned, Before Meet The Woo Vol. 1)","(06/20/1999) (Bashar Barakah Jackson is born in Canarsie)
(April 2019) (Pop Smoke signs to Victor Victor Worldwide)",,,,,
GQ,"MPR
(prod. 808 Melo)","OG Filename: POP SMOKE MPR
Pop Smoke's first song, a remix of Sheff G's 'Panic, Pt. 3'.",2:35,"Dec 19, 2018",Single,Yes,"Apple Music
Spotify
SoundCloud"
GQ,"Flexin'
(prod. 808 Melo)
(Flexing)",Pop Smoke's second song.,2:38,"Jan 28, 2019",Single,Yes,https://open.spotify.com/track/7mpoOB5YMpPnbllsALgSfr?si=e559b2c5fd5f4173
GQ,"Flexing [SoundCloud Version]
(prod. 808 Melo)
(Flexin')","Version of ""Flexin'"" with a longer runtime and a random open verse, uploaded to SoundCloud.",3:14,"Jan 28, 2019",Other,No,https://soundcloud.com/biggavelipro/pop-smoke-flexing
"9 Album Track
2 Single
1 Feature
0 Production
0 Other","Meet The Woo, Vol. 1","(April 2019) (Pop Smoke signs to Victor Victor Worldwide)
(July 26, 2019) (Meet The Woo, Vol. 1 officially releases)",,,,,
Meet The Woo 1,"Rah Swish - Brush Em
(feat. Pop Smoke) (prod. 808 Melo)","Raw version of song that lacked mixing and mastering and had solo production. Song was later removed from streaming services and was officially re-released on Faith with mixing and mastering and more production, and an alternate Rah Swish line.",2:29,"Apr 2, 2019",Feature,No,https://pillows.su/f/f7ca0f7b515fadf97e612ff66ee8fc3c
Meet The Woo 1,"Meet The Woo
(prod. 808 Melo)","Lead single for Meet The Woo, Vol. 1. Track 1 on the mixtape.",2:00,"Apr 9, 2019",Single,Yes,https://open.spotify.com/track/4kdKKsPHWsyNrvFsZrcg52?si=0ceae293d0164f10
Meet The Woo 1,"Welcome To The Party
(prod. 808 Melo)","Second single for Meet The Woo, Vol. 1. Track 2 on the mixtape.",3:35,"Apr 23, 2019",Single,Yes,https://open.spotify.com/track/0fIffclhgJC5h8AdMMVvkp?si=e1cb51bc13b148a9
Meet The Woo 1,"Meet The Woo
(prod. 808 Melo)","Track 1 on Meet The Woo, Vol. 1.",2:01,"Jul 26, 2019",Album Track,Yes,https://open.spotify.com/track/4kdKKsPHWsyNrvFsZrcg52?si=51a8f5f1073648f1
Meet The Woo 1,"Welcome To The Party
(prod. 808 Melo)","Track 2 on Meet The Woo, Vol. 1.",3:34,"Jul 26, 2019",Album Track,Yes,https://open.spotify.com/track/0fIffclhgJC5h8AdMMVvkp?si=79c5edf4820e40bc
Meet The Woo 1,"Hawk Em
(prod. 808 Melo)","Track 3 on Meet The Woo, Vol. 1.",1:58,"Jul 26, 2019",Album Track,Yes,https://open.spotify.com/track/2ZRdQMMKtmPLdYp9aP5cK5?si=440f9f3d4f2144cb
Meet The Woo 1,"Better Have Your Gun
(prod. Yoz Beatz & 808 Melo)","Track 4 on Meet The Woo, Vol. 1.",3:19,"Jul 26, 2019",Album Track,Yes,https://open.spotify.com/track/5T9aZRhY5uYeovAQtATLyK?si=6cb4a399a74f4ebf
Meet The Woo 1,"Scenario
(prod. 808 Melo)","Track 5 on Meet The Woo, Vol. 1.",4:01,"Jul 26, 2019",Album Track,Yes,https://open.spotify.com/track/2T1GbU75iGVtOhNUbZuNqk?si=f438de4228134cfd
Meet The Woo 1,"Dior
(prod. 808 Melo)","Track 6 on Meet The Woo, Vol. 1.",3:36,"Jul 26, 2019",Album Track,Yes,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep?si=1dc94eea18e54540
Meet The Woo 1,"Feeling
(prod. Yoz Beatz, MoraBeats, CZR Beats, MoneyEvery, Madara Beatz, 808 Melo & Rico Beats)","Track 7 on Meet The Woo, Vol. 1.",2:41,"Jul 26, 2019",Album Track,Yes,https://open.spotify.com/track/51HgBYRV0YivvvQMyptpYH?si=b7e1b01e91c64bae
Meet The Woo 1,"PTSD
(prod. SoSpecial)","Track 8 on Meet The Woo, Vol. 1.",3:19,"Jul 26, 2019",Album Track,Yes,https://open.spotify.com/track/24b6djSbUFQtXAdyb3FMbr?si=4d8a3b4675604773
Meet The Woo 1,"Brother Man
(prod. 808 Melo & Rico Beats)","Track 9 on Meet The Woo, Vol. 1.",3:02,"Jul 26, 2019",Album Track,Yes,https://open.spotify.com/track/7wttMlE6un70hfwymwniYl?si=23f7fd52782b404e
"16 Album Track
7 Single
7 Feature
0 Production
1 Other","Meet The Woo, Vol. 2","(09/13/2019) (Meet The Woo (Deluxe) officially releases)
(02/12/2020) (Meet The Woo 2 (Deluxe) officially releases)",,,,,
Meet The Woo 2,"Rico Nasty - Welcome To The Party (NastyMix)
(feat. Pop Smoke) (prod. 808 Melo)","A Rico Nasty remix to Pop Smoke's ""Welcome To The Party."" Posted to her YouTube and SoundCloud, not available on other streaming platforms. Pop Smoke is not credited in the title.",2:31,"Jul 31, 2019",Feature,No,https://soundcloud.com/rico_nasty/welcome-to-the-party-nastymix?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Meet The Woo 2,"Welcome To The Party (Remix)
(feat. Skepta) (prod. 808 Melo)","Remix of Pop Smoke's ""Welcome To The Party"" with UK rapper Skepta. Released as a single, also included in the deluxe version of Meet The Woo, Vol. 1.",3:35,"Aug 14, 2019",Single,Yes,https://open.spotify.com/track/1IN7pViz23ZsjIH5hV47GO?si=5ce643f037bc44a2
Meet The Woo 2,"Welcome To The Party (Remix)
(feat. Nicki Minaj) (prod. 808 Melo)","Remix of Pop Smoke's ""Welcome To The Party"" with rapper Nicki Minaj. Released as a single, also included in the deluxe version of Meet The Woo, Vol. 1.",3:00,"Aug 16, 2019",Single,Yes,https://open.spotify.com/track/0i56hhAdCCT5KqZIy4pHQ4?si=78c5f1fc28cf4c6d
Meet The Woo 2,"War
(feat. Lil Tjay) (prod. Swirv & 808 Melo)","Single by Pop Smoke featuring Lil Tjay. Included as a bonus track on Pop's second mixtape Meet The Woo, Vol. 2.",3:43,"Oct 4, 2019",Single,Yes,https://open.spotify.com/track/0JhonNQL2ixH1JcsgEj4Hn?si=cd42ffc6d83049fb
Meet The Woo 2,"Fetty Luciano - Double It
(feat. Pop Smoke) (prod. 808 Melo)","Song originally ""released,"" with the official music video being released October 2019. Song was later officially released as a Pop Smoke track on Faith.",,"Oct 1, 2019",Feature,No,https://youtu.be/5ZX0MC8L6r4
Meet The Woo 2,"Trap Manny - 50k
(feat. Pop Smoke) (prod. Swirv & 808 Melo)","Single by Trap Manny featuring Pop Smoke. Song was later included in In Trap We Trust by Trap Manny, released in 2021.",2:52,"Nov 22, 2019",Feature,Yes,https://open.spotify.com/track/6S3gYyODPpdcx9dVRurQX2?si=b7a48e54e9de4698
Meet The Woo 2,"Fire In The Booth, Pt. 1
(with Charlie Sloth) (prod. Rico Beats, Itchy (UK), Cage Beats & 808 Melo)","Lyrics reused for ""Armed N Dangerous (Charlie Sloth Freestyle)."" Apple Music exclusive.",3:46,"Nov 1, 2019",Single,No,"https://music.apple.com/us/album/fire-in-the-booth-pt-1/1488631765?i=1488631772
https://youtu.be/AJUK2HFizOc"
Meet The Woo 2,"Rah Swish - Load It
(feat. Pop Smoke) (prod. Yamaica)","Song was originally released, then taken down by the label and re-released as a solo Rah Swish song with a verse in place of Pop Smoke's. Pop's verse was later posthumously stem edited onto his song AP, in place of Rich The Kid's original verse.",2:42,"Dec 4, 2019",Feature,No,https://pillows.su/f/00bcbd5ac3f43433da8f7eaf9f45e895
Meet The Woo 2,"Drive The Boat
(prod. Rolex & Foreign Teck)","Single by Pop Smoke, released in 2019.",2:41,"Dec 6, 2019",Single,Yes,https://open.spotify.com/track/4m2KzbRNBgL53fGzfCEPA0?si=29d77c4098ce4cb9
Meet The Woo 2,"100k On A Coupe
(feat. Calboy) (prod. Black Xypher & 808 Melo)","Single by Pop Smoke featuring Calboy, released in 2019. Also included in GTA V, played on the Diamond Casino Heist ending cutscene.",1:57,"Dec 13, 2019",Single,Yes,https://open.spotify.com/track/4wVuGccjXDNf9sWWVajkpk?si=d41f5a5dc4b44502
Meet The Woo 2,"JACKBOYS, Pop Smoke & Travis Scott - GATTI
(prod. AXL Beats & 808 Melo)","Track 7 on JACKBOYS' self-titled studio album, released in 2019. Also appears on the Target edition of  Pop Smoke's 2020 mixtape Meet The Woo 2 as Track 17.",3:01,"Dec 27, 2019",Feature,Yes,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g?si=2e5e7a612431426c
Meet The Woo 2,"Christopher Walking
(prod. Dez Wright, WondaGurl & CashMoneyAP)","Single by Pop Smoke released in 2020, later included as the 4th track on his second mixtape Meet The Woo 2.",3:11,"Jan 16, 2020",Single,Yes,https://open.spotify.com/track/6ede6Tky0YYKyUKqKuEpQf?si=2942981700db42a6
