Era,Name,Info / Notes,Artist,Artwork,Type,Usage,Link(s)
Ego Death,Ego Death [Cover],"Cover for ""Ego Death.""",,,Front Cover,Used,https://ibb.co/pBBY4fQ5
Ego Death,4 Wut Tho [Single Cover],Cover for the 4 Wut Tho single posted to Steve's SoundCloud.,,,Front Cover,Used,https://ibb.co/1fh8cFFW
Ego Death,Out Of Me Head [Single Cover],Cover for the Out Of Me Head single posted to Steve's SoundCloud.,,,Front Cover,Used,https://ibb.co/TqBgdLG7
Ego Death,Oh nahh [Single Cover],Cover for the Oh nahh single posted to Steve's SoundCloud.,,,Front Cover,Used,https://ibb.co/xSBv1cMS
Ego Death,Jars Of It [Single Cover],Cover for the Jars Of It single posted to Steve's SoundCloud.,,,Front Cover,Used,https://ibb.co/9mm64JFF
Ego Death,Atomic Vomit [Single Cover],Cover for the Atomic Vomit single posted to Steve's SoundCloud.,,,Front Cover,Used,https://ibb.co/Q33bVfGW
Ego Death,The Song [Single Cover],Cover for the The Song single posted to Steve's SoundCloud.,,,Front Cover,Used,https://ibb.co/7xVXfv68
Ego Death,C U Girl [Single Cover],Cover for the C U Girl single.,,,Front Cover,Used,https://ibb.co/4nsbSmFS
Ego Death,Dothers May Song [Single Cover],Cover for the Dothers May Song single posted to Steve's SoundCloud.,,,Front Cover,Used,https://ibb.co/7t2KXtCF
Steve Lacy's Demo,Steve Lacy's Demo [Cover],"Cover for ""Steve Lacy's Demo.""",,,Front Cover,Used,https://ibb.co/LDZ2tHSg
Steve Lacy's Demo,Donchano [Single Cover],Cover for the Donchano single posted to Steve's SoundCloud.,,,Front Cover,Used,https://ibb.co/Xf9bStFS
Steve Lacy's Demo,When I [Single Cover],Cover for the When I single posted to Steve's SoundCloud.,,,Front Cover,Used,https://ibb.co/wZ3GgJsX
Steve Lacy's Demo,That's No Fun [Single Cover],Cover for the That's No Fun single posted to Steve's SoundCloud.,,,Front Cover,Used,https://ibb.co/xSKv1Ctx
Steve Lacy's Demo,Some [Single Cover],Cover for the Some single.,,,Front Cover,Used,https://ibb.co/qLH0PYc9
Steve Lacy's Demo,Dark Red [Single Cover],Cover for the Dark Red single.,,,Front Cover,Used,https://ibb.co/Zt926CC
Apollo XXI,Apollo XXI [Cover],"Cover for ""Apollo XXI.""",,,Front Cover,Used,https://ibb.co/qMxJ7h9m
Apollo XXI,Apollo XXI [Back Cover],Back cover for the Apollo XXI CD.,,,Back Cover,Used,https://ibb.co/Rpy0df6L
Apollo XXI,Apollo XXI (Japanese CD) [Back Cover],Back cover for the Japanese version of the Apollo XXI CD.,,,Back Cover,Used,https://ibb.co/pjT3DFHr
Apollo XXI,4real [Single Cover],Cover for the 4real single posted to Steve's SoundCloud.,,,Front Cover,Used,https://ibb.co/yF7FBY1d
Apollo XXI,N Side [Single Cover],Cover for the N Side single.,,,Front Cover,Used,https://ibb.co/4ndf46qY
The Lo-Fis,The Lo-Fis [Cover],"Cover for ""The Lo-Fis.""",,,Front Cover,Used,https://ibb.co/kV5Yj9rq
Gemini Rights,Gemini Rights [Cover],"Cover for ""Gemini Rights.""",,,Front Cover,Used,https://ibb.co/20h58Qrx
Gemini Rights,Mercury [Single Cover],Cover for the Mercury single.,,,Front Cover,Used,https://ibb.co/q2j7vc0
Gemini Rights,Bad Habit [Single Cover],Cover for the Bad Habit single.,,,Front Cover,Used,https://ibb.co/Dc4RtNv
Oh yeah?,Oh yeah? [Cover],"Cover for ""Oh yeah?"", shot by photographer Gus Van Stant and designed by John Patrikas and Maddy Denley.","Gus Van Stant, John Patrikas
& Maddy Denley",,Front Cover,Used,https://ibb.co/XkvT5xQM
Oh yeah?,Nice Shoes [Single Cover],Cover for the Nice Shoes single.,,,Front Cover,Used,https://ibb.co/fdbczQBw
