Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",Ego Death,,,,,,
Ego Death,Get Away,Track 1 on Ego Death.,2:30,"Jun 26, 2015",Album Track,Yes,https://open.spotify.com/track/10SUWedx0zohs8M3OJpnA7?si=5dac89e1fbf54a32
Ego Death,"Gabby
(feat. Janelle Monáe)",Track 2 on Ego Death.,3:33,"Jun 26, 2015",Album Track,Yes,https://open.spotify.com/track/5xok0LRntz8qY9ljEwPV9L?si=8915fba11ddf48ba
Ego Death,Under Control,Track 3 on Ego Death.,4:04,"Jun 26, 2015",Album Track,Yes,https://open.spotify.com/track/2kBHv0gFA2iheTUXmPB9e1?si=2822a9681a564504
Ego Death,Go With It,Track 4 on Ego Death.,4:27,"Jun 26, 2015",Album Track,Yes,https://open.spotify.com/track/5cpB6MXX1RmdVHnTLcKtHC?si=93754acac1824fc5
Ego Death,Just Sayin/I Tried,Track 5 on Ego Death.,6:54,"Jun 26, 2015",Album Track,Yes,https://open.spotify.com/track/2F4JaV4P4zajoAiUkHD36b?si=9e60049a5e40457a
Ego Death,"For The World
(feat. James Fauntleroy)",Track 6 on Ego Death.,3:23,"Jun 26, 2015",Album Track,Yes,https://open.spotify.com/track/2wknuokNRAnUPoNmYe0shu?si=8df6b1cb88f14d24
Ego Death,"Girl
(feat. KAYTRANADA)",Track 7 on Ego Death.,6:56,"Jun 26, 2015",Album Track,Yes,https://open.spotify.com/track/3PFaFVWq5wucLu6s4baj9D?si=680ba43bd2e44792
Ego Death,Special Affair,Track 8 on Ego Death.,2:58,"Jun 26, 2015",Album Track,Yes,https://open.spotify.com/track/3NWTRZ0A8xKlBP1qgNftql?si=cdfe5ac6e3ff43a6
Ego Death,Somthings Missing,Track 9 on Ego Death.,6:21,"Jun 26, 2015",Album Track,Yes,https://open.spotify.com/track/0fScVCIlDvKJYB550Fp8rM?si=8898b499bbdb4837
Ego Death,Partners In Crime Part Three,Track 10 on Ego Death.,3:23,"Jun 26, 2015",Album Track,Yes,https://open.spotify.com/track/2Gltp7RUlcuErncUmyEFvI?si=2bcf782683a54481
Ego Death,Penthouse Cloud,Track 11 on Ego Death.,4:44,"Jun 26, 2015",Album Track,Yes,https://open.spotify.com/track/1x0OUPKa4Rcj1jCoLI66bZ?si=f60644ceef204d63
Ego Death,"Palace/Curse
(feat. Tyler, The Creator)",Track 12 on Ego Death.,7:20,"Jun 26, 2015",Album Track,Yes,https://open.spotify.com/track/300DUx4tdtCdGEUXR032jA?si=5d96ee26780c4501
Ego Death,C U Girl,"Single that was put on all streaming platforms on February 15th, 2015.",2:09,"Feb 15, 2015",Album Track,Yes,https://open.spotify.com/track/6FBzhcfgGacfXF3AmtfEaX?si=72c7adfc1fd84800
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",Steve Lacy's Demo,,,,,,
Steve Lacy's Demo,Looks,Track 1 on Steve Lacy's Demo.,1:31,"Feb 24, 2017",Album Track,Yes,https://open.spotify.com/track/3XvVsoJmlfBfLFXGR57DeK?si=2e33a6a955a248e4
Steve Lacy's Demo,Ryd,Track 2 on Steve Lacy's Demo.,2:20,"Feb 24, 2017",Album Track,Yes,https://open.spotify.com/track/5Ha9IheRrkDyr7ZdhaRsWb?si=033dc4e51db84b86
