Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
Ego Death,4 wut tho,"Song posted to Steve's SoundCloud on May 21st, 2014. Instrumental only.",,"May 21, 2014",0:56,,Full,High Quality,https://pillows.su/f/6862ec4e57cf7f56351ac78799e75280
Ego Death,"Curse
(prod. Steve Lacy)",Demo of Curse from when it was Steve's song. Has a much shorter length at 2:10 and lacks Syd's vocals.,,"Jan 8, 2016",2:10,,Full,High Quality,https://pillows.su/f/3fc2ef438a75878071e4d2a6e67f1cce
Ego Death,⭐ Dothers May Song,"Song posted to Steve's SoundCloud on May 10th, 2015.",,"May 10, 2015",0:44,,Full,High Quality,https://pillows.su/f/a0f5d312fcd9edc28433a1d271045063
Ego Death,"...every since
(prod. Steve Lacy & THC)","Song posted to Tumblr on Aug 28th, 2014. Has production from Axel from THC collective.",,"Aug 28, 2014",0:55,,Full,High Quality,https://pillows.su/f/51628eb7dd1a0261d182dbd73a506889
Ego Death,Moreshortshit,"Song posted to Steve's SoundCloud on December 10th, 2014.",,"Dec 10, 2014",0:52,,Full,High Quality,https://pillows.su/f/71d7cb963f06defc7bc5934b7a49184b
Ego Death,⭐ Oh Nahh,"Rap song posted to Steve's SoundCloud August 31st, 2014.",,"Aug 31, 2014",1:46,,Full,High Quality,https://pillows.su/f/d5522953ba0517188c0a8ea95fdd92d3
Ego Death,The Song [V1],Version of The Song without an intro. Later put onto the compilation album The Lo-Fis.,,"Feb 22, 2015",0:34,,Partial,High Quality,https://pillows.su/f/32eec5eaf27503e1e28961eb878b69ca
Ego Death,"Matt Martians - i kno u kno 
(feat. Bobby Earth) (prod. Matt Martians, Jameel Bruner & Steve Lacy)","Song posted to Matt's SoundCloud on October 20th, 2014. Has Steve playing bass.",,"Oct 20, 2014",1:56,,Full,High Quality,https://pillows.su/f/8c570066eca158b5bf551df5fefd36dc
Ego Death,"Matt Martians - I Know You Wanted To Fly...
(prod. Matt Martians & Steve Lacy)","Song posted to Matt's SoundCloud on October 9th, 2014. Has Steve playing bass.",,"Oct 9, 2014",2:08,,Full,High Quality,https://pillows.su/f/5a728d410ac74411fffea70f49ede369
Ego Death,"Syd - ???
(prod. Steve Lacy)","Song from 2015 with production by Steve. Nothing else is known about this song. Posted to leaked.cx on June 6th, 2024. Currently lost as the link now leads to a deleted file.",,"Jul 6, 2024",,,Snippet,High Quality,Link Needed
Steve Lacy's Demo,1st Beat,"Beat made by Steve. Posted July 15, 2015.",,"Jul 15, 2015",1:00,,Full,High Quality,https://pillows.su/f/679751d030b4354fa58c0d515368c336
Steve Lacy's Demo,1234,"Beat made by Steve posted to Steve's old SoundCloud account ""Steev L-M."" The exact date is not known.",,,1:00,,Full,High Quality,https://pillows.su/f/4f6532aa5036484b1f847d8d035f2560
