Era,Name,Notes,Image / Length,Date Made,Type,Available Length,Quality,Link(s)
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","A [V1]
(Ctrl)","(04/08/2014) (Z officially releases)
(04/??/2014) (SZA begins progress on A)
(10/??/2016) (A receives a rework as Ctrl)",,,"A is a project SZA stated she would drop before her sophomore album sometime in 2019. It is suspected this could be an EP containing throwaways from Ctrl. On 9/6/2018, SZA stated in a quote-retweet that ""A's already done,"" confirming she has another unreleased project as shown in a tweet she made on 8/6/2019 containing a conversation between her and her manager, Punch.",,,
,Music Videos,,,,,,,
A [V1],"Breaking Even [Music Video]
(dir. SZA)","Top Dawg initially created an Instagram post on 1/12/2016 showcasing a snippet of the ""Breaking Even"" music video. There are additional snippets which can be found in the respective 'WHERE THE HELL HAVE YOU BEEN' short film for 'Ctrl' during the beginning segments. Said snippets in the short film do not contain any audio from the song, and ""20 Something"" can be heard playing over it. Top Dawg's snippet shows that the video was directed by SZA.

Top Dawg via Instagram (1/12/2016):
""Locked and loaded.. Another bullet in the chamber... #TDE @justsza""",?:??,,Music Video,Snippet,High Quality,"https://youtu.be/1leZNRxqIc4
https://www.instagram.com/p/BAdKWZvxZTF"
A [V1],"LouAnne Johnson [Music Video]
(Consideration)","The music video for SZA's original version of ""Consideration"" titled ""LouAnne Johnson"". She considered the song to be the centerpiece of her album and even pleaded with Top Dawg not to give the song to Rihanna due to all the progress she had made on it. The music video is confirmed to exist and no parts of it have yet surfaced.",N/A,,Music Video,Confirmed,Not Available,https://www.youtube.com/watch?v=zo_oBQZJOmc
A [V1],Percolator [Music Video],"On 5/9/2016, SZA made a tweet confirming the existence of a music video for ""Percolator"" and that it was fully shot and edited. It likely contains the dance routine which she practice in other media. A low-quality snippet of the video was shared to social media by SZA at an unknown date, but it was before these tweets were made about it.

SZA via Twitter (5/9/2016):
""""Percolator"" .. But das already shot 😋""",N/A,,Music Video,Snippet,Low Quality,https://pixeldrain.com/u/8YhEEFfh
A [V1],Unknown [Music Videos],"SZA shot many music videos for songs that were not included in the final track listing for Ctrl, though it was not explicitly mentioned which titles they were for.

SZA via Twitter (6/21/2017):
""shot a bunch of videos to songs not on the album before we decided cus Imma mess lol there's an alt love galore vid too somewhere""",N/A,,Music Video,Confirmed,Not Available,https://x.com/sza/status/877638164109606912
,Videos,,,,,,,
A [V1],Star Sessions Interview,"An interview between Star Sessions and SZA which was uploaded to YouTube on 7/16/2014. She discusses the release of her third studio EP Z, beauty standards, surgery, and her dream collaboration. She mentions collaborating with Jhené Aiko, which she had tweeted about before during that time.",28:00,"Jul 16, 2014",Interview,Full,High Quality,https://youtu.be/VXpV6i2X4JA
,Other,,,,,,,
A [V1],The Michiana Sessions,"The Michiana Sessions are a composition of four tracks which were recorded in Michiana, Michigan. The most notable from the list are ""All I Got,"" which was confirmed to be the working title for earlier versions of ""Broken Clocks"" by SZA, and ""Pu$$y Monsta,"" which is an unleaked song likely produced by Carter Lang, considering his mother is the one who saved the whiteboard of titles.",N/A,,Tracklist,Full,High-Res,https://pixeldrain.com/u/rpvHNbdo
A [V1],twoAM Alternate Cover,"OG Filename: 38
Alternate single cover for ""twoAM"" which was uploaded to SZA's official Ctrl website under the filename ""38."" It features her rowing a kayak in her pool, rather than her laying in grass.",N/A,,Cover Art,Full,High-Res,https://pixeldrain.com/u/b1uY9u1i
A [V1],Wrangler [Concept Inst.],"OG Filename: beatnew.01_01
A near four-minute loop used as a concept instrumental for ""Wrangler.""",3:53,"Apr 26, 2015",Instrumental,OG File,Lossless,https://pillows.su/f/20c717b720d65d745062e35474cc1c73
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","Ctrl [V2]
(A)","(10/??/2016) (A receives a rework)
(06/09/2017) (Ctrl officially releases)",,,"Ctrl is the debut studio album by American singer and songwriter SZA. The album was released on June 9, 2017, through Top Dawg Entertainment, and features guest appearances from Kendrick Lamar, Travis Scott, Isaiah Rashad and James Fauntleroy.",,,
,Music Videos,,,,,,,
Ctrl [V2],Love Galore [Alt. Music Video],"An alternate music video for ""Love Galore"". It is unknown whether or not Travis Scott is featured in this version, let alone which version of the song it is at all. A snippet was shared by SZA and she can be seen posing and moving around grass letters which spell ""CTRL"". She has not made any further acknowledgements of this video.",?:??,,Music Video,Snippet,High Quality,https://pixeldrain.com/u/mktPQ5Cf
Ctrl [V2],Decisions [Music Video],"Music video for ""Decisions"" which may or may not exist. Considering [V7] was uploaded to SoundCloud by RCA on 4/13/2017, it was supposedly intended to be released as a single.",N/A,,Music Video,Rumored,Not Available,N/A
,Videos,,,,,,,
Ctrl [V2],Apple Music Interview,"An interview between Ebro Darben and SZA which was uploaded to the Apple Music YouTube channel on 6/8/2017, one before Ctrl released. She discusses the then-upcoming release of Ctrl, how she got her stage name, if she knows RZA, why she named her debut album ""Ctrl,"" and additional information.",17:53,"Jun 8, 2017",Interview,Full,High Quality,https://youtu.be/_LIQUe-NMkE
Ctrl [V2],Ctrl Trailers,Four trailers created for the debut album by SZA: Ctrl. Each video contains a song performed by RZA which was created specifically for the promotion of the album. It is unknown whether said songs were originally intended for inclusion on the album's track list or not. All trailers are still available on SZA's Instagram.,Varies,"May 24, 2017",Promo,Full,High Quality,"https://www.instagram.com/sza/reel/BUf4kyGj35D
https://www.instagram.com/sza/reel/BUf4vQeDbXi
https://www.instagram.com/sza/reel/BUf49mgDFDB"
Ctrl [V2],The Breakfast Club Interview,"An interview between The Breakfast Club and SZA which was uploaded to their respective YouTube channel on 6/7/2017. She discusses her then-upcoming debut studio album Ctrl, past relationships, sidechicks, and additional information.",53:31,"Jun 7, 2017",Interview,Full,High Quality,https://youtu.be/LwOIBNYIiBI
Ctrl [V2],OTHERtone Interview,"An interview between Scott Vener, SZA, and Pharrell Williams which was uploaded to YouTube on 3/3/2017. She talks about her then-upcoming album Ctrl, her dog Piglet, and additional information.",9:39,"Mar 3, 2017",Interview,Full,High Quality,https://youtu.be/Rpso1EKshPE
Ctrl [V2],HOT 97 Interview #1,"An interview between HOT 97's Nessa and SZA was uploaded to HOT 97's YouTube channel on 6/7/2017, two days before her her debut album Ctrl released. She discusses Ctrl, relating to Rihanna, collaborating with Jill Scott and Pharrell Williams, her faith, and the ""Love Galore"" music video featuring Travis Scott.",27:02,"Jun 7, 2017",Interview,Full,High Quality,https://youtu.be/XnN7p1lZU2k
Ctrl [V2],HOT 97 Interview #2,"The second interview between HOT 97 and SZA that was uploaded to YouTube on 6/9/2017, when Ctrl was officially released.",36:37,"Jun 9, 2017",Interview,Full,High Quality,https://youtu.be/KIWLAbRlfkw
Ctrl [V2],WHERE THE HELL HAVE YOU BEEN: road to Ctrl,"The official documentary-styled short film which shows SZA's progress from the beginning of Ctrl to its inevitable completion. Many snippets of unreleased songs, such as ""Anything Outro"", ""Breaking Even"", and ""Selfish"" can be heard here. The aforementioned tracks in question were scrapped for unknown reasons.",3:21,"Feb 7, 2017",Film,Full,High Quality,https://pixeldrain.com/u/PEC3rWvt
,Other,,,,,,,
Ctrl [V2],LADYGUNN Photoshoot,SZA's photoshoot for LADYGUNN Magazine. Leaked in a successful groupbuy by SZAHUB. Contains 144 images.,N/A,,Photoshoot,Full,High-Res,Link Needed
Ctrl [V2],Nylon Photoshoot,Nylon photoshoot ZIP that leaked after a groupbuy. Reuploaded by Jisenku.,N/A,,Photoshoot,Full,High-Res,https://imgur.gg/f/zFMS5ev
Ctrl [V2],"Love Galore (Rehearsal) [V1]
(prod. Carter Lang & ThankGod4Cody)","OG Filename: Love Galore Ref
Leaked on 12/9/2024 as a bonus to the stem leaks of ""Love Galore"" and ""The Weekend"". Recording date unknown.",7:34,,Other,OG File,Lossless,https://pillows.su/f/050bb2377d00466aa61df7223e998910
Ctrl [V2],"Love Galore (Rehearsal) [V2]
(prod. Carter Lang & ThankGod4Cody)",OG Filename: SZA-LOVE GALORE-REH REC-10_13,?:??,"Oct 13, 2017",Other,Confirmed,Not Available,N/A
Ctrl [V2],"Love Galore (Rehearsal) [V3]
(prod. Carter Lang & ThankGod4Cody)",OG Filename: SZA-LOVE GALORE-REH REC-10_25,?:??,"Oct 25, 2017",Other,Confirmed,Not Available,N/A
