Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
LANA [V2],"ThankGod4Cody - I Choose Me [V1]
(feat. SZA) (prod. ThankGod4Cody)","Contains different production and is said to have an open verse by a seller. Snippet leaked on July 25, 2026.",?:??,,"Jul 25, 2026",Snippet,CD Quality,https://pillows.su/f/28aca50381c76000be8e8244c4c31ae8
LANA [V2],???,"Unknown song presumably from LANA. Snippet leaked on June 24, 2026.",?:??,,"Jun 24, 2026",Snippet,CD Quality,https://pillows.su/f/a383c2c502a15ed1cc81f38c52be29cb
LANA [V2],"🏅 ThankGod4Cody - I Choose Me [V2]
(feat. SZA & Yukimi) (prod. ThankGod4Cody)","Collaboration between ThankGod4Cody, SZA, and Little Dragon's Yukimi Nagano. A snippet of the song was posted to ThankGod4Cody's Instagram Story on 9/25/2024. The song is intended for Cody's album Graceland. Another snippet was leaked on June 8, 2026, in which the seller stated it is a finished song.",4:25,,"Jun 8, 2026",Snippet,CD Quality,"https://pillows.su/f/8d99b9e2a733e0fa5090588d2a0bc90d
https://pillows.su/f/21121154e676603f80662451f5e1f5e3"
LP3 / LP4,"???
(with Clairo)","Clairo and SZA were in a studio session together, per SZA's Instagram story from June 3, 2026.

SZA via Instagram (6/3/2026):
""@clairo ✨👼🏻""",N/A,,"Jun 3, 2026",Confirmed,Not Available,https://imgur.gg/f/Dq2S2iS
LANA [V2],"???
(Do What's Right)","Unknown 2024 song. Snippet leaked on May 16, 2026.",?:??,,"May 16, 2026",Snippet,CD Quality,https://pillows.su/f/20424c316eb695757597d34f0e56b9dc
LANA [V2],"??? [V2]
(prod. Jay Versace)
(Off The Record, Ms. Never Miss)","Has no sample reverb. Snippet leaked on May 16, 2026.",?:??,,"May 16, 2026",Snippet,CD Quality,https://pillows.su/f/32ec189091a19641ce90d70623bccdfc
See.SZA.Run,"✨ Manhattan - I'd Rather
(feat. SZA) (prod. APSuperProducer)","Originally released on SZA's now-deleted Bandcamp account. Was originally released on January 5, 2012, when it resurfaced on May 13, 2026, after being lost for almost a decade.",N/A,,"May 13, 2026",Full,High Quality,https://pillows.su/f/7171e3e0f678ceddb703fd2d1d599d84
A [V1],🏆 A [Unreleased Project],"SZA revealed in tweets and other forms of confirmation that A is complete and would be released soon, but it is considered scrapped as it has been years since her last mention of the extended play. On 7/25/2019, while touring her debut studio album Ctrl, she stated that she would be dropping a ""little project"" before her sophomore album. In text messages between her and Punch, her manager, he said they both ""need to drop A."" The project is thought to contain completed and mastered versions of Ctrl outtakes due to SZA re-teasing snippets like ""Tread Carefully"" in 2018 but was scrapped in favor for a short deluxe of Ctrl. According to an Instagram post made by SZA on 5/13/2026, the project is being revived and will possibly be released soon.",N/A,,"May 13, 2026",Confirmed,Not Available,"https://x.com/sza/status/1158948115480629248
https://www.thefader.com/2019/07/25/sza-new-project-2019-new-album-tde-ctrl
https://x.com/sza/status/1037771268894777344
https://www.instagram.com/p/DYSvtCaSUHhSCGfdaVON5KBbYMRYkAN_UR9hiQ0/"
A [V1],Midnight Hour [V1],"OG Filename: Midnight Hour_Classick Ruff & Midnight Hour_mix
Previously posted on LEAKTH.IS in 2022 but was lost until it resurfaced on 1/31/2026. Leaked on May 11, 2026, before it was reuploaded a day later, on May 12.",?:??,,"May 12, 2026",OG File,CD Quality,https://pillows.su/f/783cc7bfff5937e02527f5d340aa93a8
Z,"✨ ???
(prod. The Antydote & Ikaz Boi)
(1NE, Blow Your Mind)","OG Filename: SZA Tracking 11-3-13
Rough demo with opens after about a minute in. Only contains a verse and hook. Stem bounce leaked on April 27, 2026.",3:51,"Nov 3, 2013","Apr 27, 2026",Stem Bounce,Lossless,https://pillows.su/f/2d5ac9240e42f40b19c9400e44cbf1a1
Z,"???
(prod. The Beat Freqz)
(Barry and Bill Vibe)","OG Filename: SZA Second Song Tracking 11-3-13
Chorus and partial verse idea. Stem bounce made by Inertia on March 26, 2026. Bounce with all plugins surfaced on April 27, 2026.",1:36,"Nov 3, 2013","Apr 27, 2026",Stem Bounce,Lossless,https://pillows.su/f/687b15546832b1850d4e1ddfb908b2b1
A [V1],"Mozarella Sticks [V3]
(prod. ThankGod4Cody)
(Roses, Convocation)","OG Filename: SZA_CONVOCATION_11.25.14_IVO
Background vocals have different mixing. Stem bounce leaked on April 27, 2026.",4:26,"Nov 25, 2014","Apr 27, 2026",Stem Bounce,Lossless,https://pillows.su/f/e9da44a048b95d49a3d3189c756f4121
A [V1],"Mozarella Sticks [V4]
(feat. ???) (prod. ThankGod4Cody)
(Roses, Convocation)","Contains a long mumble vocal take for the second verse from an unknown male artist which is dated the same day as the session. Stem bounce leaked on April 27, 2026.",4:26,"Nov 25, 2014","Apr 27, 2026",Stem Bounce,Lossless,https://pillows.su/f/79bbfb55c9d140cf4fab9fbe349c0003
