Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"7 Album Track(s)
0 Single(s)
0 Feature(s)
0 Production
0 Other","See.SZA.Run
(See Sos Run)","(11/08/1989) (Solána Imani Rowe is born in St. Louis, Missouri)
(??/??/2010) (Solána adopts the stage name SOSA)
(08/05/2012) (Her first ever single ""Time Travel Undone"" officially releases)
(??/??/2012) (Her stage name changes from SOSA to SZA)
(10/29/2012) (See.SZA.Run officially releases)",,,Other,,
See.SZA.Run,"Bed
(prod. APSuperProducer)",Track 1 on See.SZA.Run.,,"Oct 29, 2012",Album Track,No,https://pillows.su/f/4cf20d5c0873f322bd7ffdc9368e83bf
See.SZA.Run,"Euphraxia
(prod. Dot)",Track 2 on See.SZA.Run.,,"Oct 29, 2012",Album Track,No,https://pillows.su/f/4cf20d5c0873f322bd7ffdc9368e83bf
See.SZA.Run,"Advil
(prod. brandUn Deshay)",Track 3 on See.SZA.Run.,,"Oct 29, 2012",Album Track,No,https://pillows.su/f/4cf20d5c0873f322bd7ffdc9368e83bf
See.SZA.Run,"Time Travel Undone
(prod. Top Notch)",Track 4 on See.SZA.Run.,,"Aug 6, 2012",Album Track,No,https://pillows.su/f/4cf20d5c0873f322bd7ffdc9368e83bf
See.SZA.Run,"Crack Dreams
(prod. brandUn DeShay)",Track 5 on See.SZA.Run.,,"Oct 29, 2012",Album Track,No,https://pillows.su/f/4cf20d5c0873f322bd7ffdc9368e83bf
See.SZA.Run,"Country
(prod. brandUn DeShay)",Track 6 on See.SZA.Run.,,"Aug 14, 2012",Album Track,No,https://pillows.su/f/4cf20d5c0873f322bd7ffdc9368e83bf
See.SZA.Run,"Once Upon A High
(prod. Hassan Insane)",Track 7 on See.SZA.Run.,,"Oct 29, 2012",Album Track,No,https://pillows.su/f/4cf20d5c0873f322bd7ffdc9368e83bf
"8 Album Track(s)
0 Single(s)
0 Feature(s)
0 Production
0 Other",S,"(10/29/2012) (See.SZA.Run officially releases)
(04/10/2013) (S officially releases)",,,Other,,
S,"Castle
(prod. Felix Snow)",Track 1 on S.,3:02,"Apr 10, 2013",Album Track,No,https://pillows.su/f/f3eca4dd44185f50d09297849956260f
S,"Terror.Dome
(prod. Warren Vaughn)",Track 2 on S.,4:26,"Apr 10, 2013",Album Track,No,https://pillows.su/f/f3eca4dd44185f50d09297849956260f
S,"Aftermath
(prod. WNDRBRD)",Track 3 on S.,3:38,"Apr 10, 2013",Album Track,No,https://pillows.su/f/f3eca4dd44185f50d09297849956260f
S,"The Odyssey
(prod. brandUn DeShay)",Track 4 on S.,3:22,"Apr 10, 2013",Album Track,No,https://pillows.su/f/f3eca4dd44185f50d09297849956260f
S,"Pray
(prod. Felix Snow)",Track 5 on S.,3:18,"Apr 10, 2013",Album Track,No,https://pillows.su/f/f3eca4dd44185f50d09297849956260f
S,"Ice.Moon
(prod. Felix Snow & Patrick Lukens)",Track 6 on S.,3:10,"Apr 10, 2013",Album Track,No,https://pillows.su/f/f3eca4dd44185f50d09297849956260f
S,"Wings
(prod. Patrick Lukens)",Track 7 on S.,4:26,"Apr 10, 2013",Album Track,No,https://pillows.su/f/f3eca4dd44185f50d09297849956260f
S,"Kismet (Outro)
(prod. Zodiac)",Track 8 on S.,2:47,"Apr 10, 2013",Album Track,No,https://pillows.su/f/f3eca4dd44185f50d09297849956260f
"10 Album Track(s)
3 Single(s)
6 Feature(s)
0 Production
1 Other",Z,"(04/10/2013) (S officially releases)
(08/13/2013) (The first single ""Julia"" releases)
(10/10/2013) (Loose single ""Teen Spirit"" releases)
(04/08/2014) (Z officially releases)",,,Other,,
