Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
,S,"(10/29/2012) (See.SZA.Run officially releases)
(04/10/2013) (S officially releases)",,,,,"S is the second extended play by American singer SZA. It was self-released on April 10, 2013. After meeting members of independent label Top Dawg and releasing her debut EP See.SZA.Run, SZA began working on S, beginning recording in early 2013. SZA worked with a variety of producers on the album, including Zodiac, Patrick Lukens, Brandun DeShay, WNDRBRD, Waren Vaughn and Felix Snow.",,
S,"Ice.Moon [Sessions]
(prod. WondaGurl)","OG Filename: Ice Moons Oct 29.2013
Sessions for ""Ice.Moon"".","Oct 29, 2013",,N/A,,Full,Lossless,https://pixeldrain.com/l/HnLikGiU#item=21
S,"Ice.Moon Revisited [Sessions]
(feat. Ab-Soul) (prod. WondaGurl)","OG Filename: SZA Tracking 11-5-13
Sessions for ""Ice.Moon Revisited"" .","Nov 5, 2013",,N/A,,Full,Lossless,https://pixeldrain.com/l/HnLikGiU#item=41
,Z,"(04/10/2013) (S officially releases)
(08/13/2013) (The first single ""Julia"" releases)
(10/10/2013) (Loose single ""Teen Spirit"" releases)
(04/08/2014) (Z officially releases)",,,,,"Z is SZA‘s 3rd overall and 1st commercial EP released by Top Dawg Entertainment on April 8th 2014. It was the follow up to her second EP “S”. The EP was recorded throughout summer 2013 at TDE Red Room in Carson, California, with all tracks written by SZA herself and production contributions by Mac Miller, Emile Haynie, among others.",,
Z,"1NE [Sessions]
(prod. The Antydote & Ikaz)","OG Filename: SZA Tracking 11-3-13
Sessions for ""1NE"".","Nov 3, 2013",,N/A,,Full,Lossless,https://pixeldrain.com/u/7MWME2bV
Z,"Babylon [Sessions]
(prod. DJ Dahi)","OG Filename: SZA Babylon & ERA_Sza Babylon_022414
Sessions for ""Babylon"".","Feb 24, 2014",,N/A,,Full,Lossless,https://pixeldrain.com/u/xEneErW3
Z,Barry and Bill Vibe [Sessions],"OG Filename: SZA Second Song Tracking 11-3-13
Session for ""Barry and Bill Vibes"".","Nov 3, 2013",,N/A,,Full,Lossless,https://pixeldrain.com/u/sKN2rvVK
Z,"Feather Weight [Sessions]
(prod. WondaGurl)","OG Filename: Wondergurl
Sessions for ""Feather Weight"".","Sep 23, 2013",,N/A,138,Full,Lossless,https://pillows.su/f/d1b90f4aff7fa9e015638e4b8baccab2
Z,Nilla Wafers [Sessions],"OG Filename: ERA_SZA_Nilla Wafers_022414
Sessions for ""Nilla Wafers"".","Feb 24, 2014",,N/A,,Full,Lossless,https://pixeldrain.com/u/nALd9Tk5
Z,Stencil [Sessions],"OG Filename: Stencil
Session for ""Stencil"". Contains only three silent audio files.","Sep 23, 2013",,N/A,,Full,Lossless,https://pixeldrain.com/u/UMTKFMrm
