Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
See.SZA.Run,See.SZA.Run,"#1. Bed
#2. Euphraxia
#3. Advil
#4. Time Travel Undone
#5. Crack Dreams
#6. Country
#7. Once Upon a High",,"Oct 29, 2012",Clear,SZA,
S,S,"#1. Castles
#2. Terror Dome
#3. Aftermath
#4. The Odyssey
#5. Pray
#6. Ice Moon
#7. Wings
#8. Kismet",,"Oct 28, 2013",Clear,SZA,
Z,Z,"#1. Ur
#2. Child's Play (feat. Chance the Rapper)
#3. Julia
#4. Warm Winds (feat. Isaiah Rashad)
#5. HiiJack
#6. Green Mile
#7. Babylon (feat. Kendrick Lamar)
#8. Sweet November
#9. Shattered Ring
#10. Omega",,"Apr 8, 2014",Clear,SZA,
A [V1],The Michiana Sessions,"- twoAM
- Midnight HR (Midnight Hour)
- All I Got (Broken Clocks)
- Pu$$y Monsta",,2016,Clear,SZA,
A [V1],A,"""Consideration"" was part of a 2015 track listing as far as what SZA implied, stating the song was the centerpiece of the album before it was released by Rihanna in January 2016.

#?. LouAnne Johnson",,2015,Blocked,SZA,
A [V1],A,"#1. Doves In The Wind
#2. Anything
#3. Eureka
#4. Go Gina
#5. Percolator
#6. Supermodel
#7. Decisions
#8. Breaking Even
#9. Jodie Foster (Jodie)
#10. Drew Barrymore
#11. Anything Outro
#12. Drunk
#13. Inside Man
#14. Let Me Know
#15. Free Dumb
#16. Prom
#17. Thundercat Outro
#18. Passport
#19. Tread Carefully
#20. Pretty Little Bird(s)
#21. Give It Up
#22. Broken Clock(s)
#23. Simmer (Lady Friend)
#24. A Little More Time
#25. Black
#26. Wavy
#27. Roses
#28. Lack of Better Words",,"Jun 21, 2016",Clear,Secondary,
Ctrl [V2],Ctrl,"#1. Doves In The Wind
#2. Drew Barrymore
#3. Supermodel
#4. Love Galore
#5. Anything
#6. Go Gina
#7. (The) Weekend
#8. Prom
#9. Inside Man Interlude
#10. Percolator
#11. Broken Clocks
#12. Wavy (Interlude)
#13. Anything Outro
#14. Dem Dem Dem Ay Ayy (Breaking Even)
#15. Zip Loc Bag
#16. Consideration (LouAnne Johnson)
#17. Drunk
#18. MMS
#19. Bikini Bottom",,2017,Clear,Secondary,
Ctrl [V2],Ctrl,"Unknown what the full track list at the time was, but it is likely that ""Decisions"" was to be apart of a later revision in April 2017 before it was suddenly scrapped.

#?. Super Model
#?. Decisions",,Apr 2017,Clear,Leaked,
Ctrl [V2],Ctrl,"#1. Supermodel
#2. Love Galore (feat. Travis Scott)
#3. Doves In The Wind (feat. Kendrick Lamar)
#4. Drew Barrymore
#5. Prom
#6. The Weekend
#7. Go Gina
#8. Garden (Say It Like Dat)
#9. Broken Clocks
#10. Anything
#11. Wavy (Interlude) [feat. James Fauntleroy]
#12. Normal Girl
#13. Pretty Little Birds (feat. Isaiah Rashad)
#14. 20 Something",,"Jun 9, 2017",Clear,SZA,
SOS,SOS,"- I Hate U
- Joni
- Shirt
- Dahi (Used)

- Snooze
- I Like It (30 For 30)
- King & Queen

- [?] Williams (Glo/Hit Different?)
- Lure Me
- Down 4 U
- Turn Some U's
- May (Interlude)
- The Challenger (Interlude)

RODNEY
- Sunrise
- Clean Cruise
- Shirt

SONGS
- Work It
- Another World

POP
- Nobody Gets Me

BOOM
- Dahi (Used)
- Aspara(gus)
- Narnia Dirt Bike (Shirt)
- Rod(eo)",,2021,Blurry,SZA,
