Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
"0 OG File(s)
4 Full
0 Tagged
0 Partial
0 Snippet(s)
2 Unavailable",See.SZA.Run,,,,,,,
See.SZA.Run,"✨ Exit Wounds
(prod. Belevista Boys)",Originally released on SZA's now-deleted Bandcamp account. Considered a throwaway from the See.SZA.Run sessions.,4:06,,"Apr 5, 2011",Full,CD Quality,https://pillows.su/f/dd07e9c9d3fd26e1c5d02d0747abef68
See.SZA.Run,"Manhattan - Blurry Lines
(feat. SZA) (prod. Air French Band)",Originally released on Manhattan's now-deleted Bandcamp account. Track 5 on his album Road To FADER.,N/A,,"Nov 29, 2010",Confirmed,Not Available,N/A
See.SZA.Run,"✨ Manhattan - I'd Rather
(feat. SZA) (prod. APSuperProducer)","Originally released on SZA's now-deleted Bandcamp account. Was originally released on January 5, 2012, when it resurfaced on May 13, 2026, after being lost for almost a decade.",N/A,,"May 13, 2026",Full,High Quality,https://pillows.su/f/7171e3e0f678ceddb703fd2d1d599d84
See.SZA.Run,"✨ Manhattan - Soldier
(feat. SZA) (prod. Emay)
(If I Had A Soldier)",Originally released on Manhattan's now-deleted Bandcamp account. Track 4 on his album Road To FADER.,2:28,,"Nov 29, 2010",Full,High Quality,https://pillows.su/f/dad3ce07fb1ce2fce5fd3412ee315594
See.SZA.Run,"✨ Manhattan - Where Do We Go? / Faraway
(feat. SZA) (prod. M.I.K.E SEE)",Originally released on Manhattan's now-deleted Bandcamp account. Track 5 on his album Live From The Glitter Dome.,6:46,,"Jun 24, 2010",Full,High Quality,https://pillows.su/f/f2b2c4e85fd07622d24e09c693278afe
See.SZA.Run,"🏆 XXYYXX - outro [V1]
(feat. SZA) (prod. XXYYXX)
(safer)","Uncut version of the song which was supposedly bounced on 4/7/2011 based on the filename of the shortened version uploaded to SoundCloud: ""outro [2018-11-11 040711]"".",?:??,"Apr 7, 2011","Nov 11, 2018",Confirmed,Not Available,N/A
"0 OG File(s)
1 Full
0 Tagged
0 Partial
0 Snippet(s)
1 Unavailable",S,,,,,,,
S,"Band-Aids In A Box
(prod. Felix Snow)",A throwaway from the S sessions. Leaked on 10/26/2016.,2:40,,"Oct 26, 2016",Full,CD Quality,https://pillows.su/f/e7fb95a60cdd4ccdd21f44c9035fd87d
S,"Dreams
(prod. WNDRBRD)",Throwaway from the S sessions. No information is known except the title and producer.,N/A,,,Confirmed,Not Available,N/A
"10 OG File(s)
4 Full
0 Tagged
0 Partial
2 Snippet(s)
4 Unavailable",Z,,,,,,,
Z,"Child's Play
(feat. Chance the Rapper) (prod. Dae One & XXYYXX)","Dae One, the main producer of the song, mentions the existence of a version of ""Child's Play"" with a bridge which was cut from the final version which Dae One states ""no one's ever heard.""",?:??,,"Oct 14, 2022",Confirmed,Not Available,https://temp.imgur.gg/f/9wKUqbO
Z,"Child's Play
(feat. Earl Sweatshirt) (prod. Dae One & XXYYXX)","According to Dae One, ""Child's Play"" was originally intended to feature Earl Sweatshirt. After the record was finalized and he heard back from Punch, SZA's manager, the song instead featured Chance the Rapper, which was likely a last-minute decision by the label. It is unknown if there is a recorded version of the song featuring Earl.",?:??,,"Oct 14, 2022",Confirmed,Not Available,https://temp.imgur.gg/f/9wKUqbO
Z,"Child's Play
(feat. Chance the Rapper) (prod. Dae One & XXYYXX)","An alternate version of ""Child's Play"" with additional elements to the instrumental added by Dae One. He noted that the released version of the song was simply a ""skeleton,"" and SZA prefered that over the version with additional production.",?:??,,"Oct 14, 2022",Confirmed,Not Available,https://temp.imgur.gg/f/9wKUqbO
Z,"⭐ Feather Weight
(prod. WondaGurl)","OG Filename: Feather Weight
A throwaway from the Z sessions. Leaked on 6/12/2023.",4:39,"Sep 24, 2013","Jun 12, 2023",OG File,Lossless,https://pillows.su/f/39834df66964ce4b8796c96a80885a88
Z,"⭐️ Stay [V1]
(prod. Body Language)
(Just Be)","OG Filename: Stay2.11
A throwaway from the Z sessions. Leaked on 6/30/2024.",3:08,"Feb 11, 2014","Jun 30, 2024",OG File,High Quality,https://pillows.su/f/c386f4d10b5862326b4d7bbd22f54a7d
Z,"Just Be [V2]
(prod. KAYTRANADA?)
(Stay)","Version of the song with alternate production. The seller currently states the producer may be KAYTRANADA, though they say it's their own speculation and is not yet confirmed. Snippet leaked on 11/26/2025.",?:??,,"Nov 26, 2025",Snippet,CD Quality,https://pillows.su/f/c6dab1af0a1afd3a9b91a25c033d8dfc
Z,"⭐ Nilla Wafers [V1]
(No Boys Allowed)","OG Filename: SZA_Nilla_Wafers_Mix
A throwaway from the Z sessions. Features a shortened version of ""I Doubt It"" in the outro, alike ""Green Mile"". Leaked on 6/14/2021.",3:43,"Feb 24, 2014","Jun 14, 2021",OG File,Lossless,https://pillows.su/f/37881d376c7d946afe5d489b21224b8d
Z,⭐ Promises,"OG Filename: promisessza ff bpm 150
A throwaway from the Z sessions.",3:29,,"Jul 15, 2023",OG File,CD Quality,https://pillows.su/f/56180c2fbfc28856daff7f8b05a49cbd
Z,"The Glow
(prod. Body Language)","OG Filename: Sza- Theglow(8.24)
A throwaway from the Z sessions. Leaked on 9/19/2024.",3:28,"Aug 24, 2013","Sep 19, 2024",OG File,High Quality,https://pillows.su/f/2bf574680557f7c5702eff3173d7b486
Z,"AA [V1]
(prod. Mac Miller)
(Warm Winds)","Original version of the first part of ""Warm Winds"" that contains no background vocals according to the seller. It was under the working title ""AA"" and also has minimal production differences compared to release. Snippet leaked on 11/26/2025.",?:??,,"Nov 26, 2025",Snippet,CD Quality,https://pillows.su/f/be009005c88a77d51d5d92b937dd8b7f
Z,"Warm Winds [V2]
(feat. Isaiah Rashad) (prod. Mac Miller)","OG Filename: Warm Winds no verses
Version with only Isaiah Rashad's vocals on the hook. As the filename suggests, there are no verses.",3:00,"Feb 14, 2014","Mar 14, 2026",OG File,CD Quality,https://pillows.su/f/7271aa5a00d08a7897808afb0777b848
Z,"⭐ Warm Winds [V3]
(feat. Isaiah Rashad) (prod. Mac Miller)","OG Filename: ERA_Sza Warm Winds_Rough_021414
Version of the song with finished alternate verses from SZA. Leaked on March 14, 2026, along with 32.2GB of SZA content from Engine Room Audio.",3:00,"Feb 14, 2014","Mar 14, 2026",OG File,CD Quality,https://pillows.su/f/0c0c53c91ca620990a268216564457a2
Z,"✨ Warm Winds [V4]
(feat. Isaiah Rashad) (prod. Mac Miller)","OG Filename: Sza - Warm Winds
Contains different mixing and alternate structure. The first part of the song in the released version does not make an appearance in this version. Leaked on 7/21/2021.",4:12,,"Jul 21, 2021",OG File,CD Quality,https://pillows.su/f/db3b38003faf108f520cf459caca8b0c
Z,"Writer's Block
(prod. Dave Free)","A throwaway from the Z sessions. Appears in the single edition of ""Julia"" on SoundCloud. Could have been intended to be an interlude for Z or A. Partial snippet teased on 8/13/2013.",1:40,,"Aug 13, 2013",Full,High Quality,https://pillows.su/f/f32883f575d04956a9619df91dc95818
Z,"✨ ???
(prod. The Antydote & Ikaz Boi)
(1NE, Blow Your Mind)","OG Filename: SZA Tracking 11-3-13
Rough demo with opens after about a minute in. Only contains a verse and hook. Stem bounce leaked on April 27, 2026.",3:51,"Nov 3, 2013","Apr 27, 2026",Stem Bounce,Lossless,https://pillows.su/f/2d5ac9240e42f40b19c9400e44cbf1a1
Z,"???
(prod. The Beat Freqz)
(Barry and Bill Vibe)","OG Filename: SZA Second Song Tracking 11-3-13
Chorus and partial verse idea. Stem bounce made by Inertia on March 26, 2026. Bounce with all plugins surfaced on April 27, 2026.",1:36,"Nov 3, 2013","Apr 27, 2026",Stem Bounce,Lossless,https://pillows.su/f/687b15546832b1850d4e1ddfb908b2b1
Z,"Ab-Soul - Poolside Romance
(feat. Mac Miller & SZA) (prod. Thundercat)","An unreleased song by Ab-Soul. Charlamagne, from The Breakfast Club podcast, mentioned it in an interview with Ab-Soul which took place on 12/15/2022, and that it featured Mac Miller and SZA. It is speculated that the song was not released due to sample clearance complications.",N/A,,"Dec 15, 2022",Confirmed,Not Available,N/A
Z,"Avicii - Lethal Drug [V2]
(feat. Chris Martin & SZA)
(Love in a Lethal Dose)","Originally titled ""Love in a Lethal Dose"". Appeared in Coldplay's recording studio for their fifth studio album Mylo Xyloto. This song was later rewritten by Avicii.",3:47,,"Mar 13, 2022",Full,Lossless,https://pillows.su/f/e3c7805a2879d4e97cfb5427e50dd040
Z,"⭐️ Kendrick Lamar - Loved Ones [V1]
(feat. SZA) (prod. Sounwave & Terrace Martin)
(Loved 1, Redemption)","A throwaway from the To Pimp a Butterfly sessions. The song was ultimately repurposed for Jay Rock's title track ""Redemption"".",4:11,,"Sep 29, 2018",Full,High Quality,https://pillows.su/f/e6377bc08f45bce31927d21cf0f9800f
Z,"Jean Deaux - Swingset
(feat. SZA)","OG Filename: SZA x Jean Deaux - Swingset
An unreleased song by Jean Deaux featuring SZA. It was published to YouTube on 1/16/2015. A download link to the original file is included in the description of the video. Recorded in 2013 according to metadata, likely after S was released.",2:42,,"Jan 16, 2015",OG File,High Quality,https://pillows.su/f/1c6369ad4868accc446c8f7d7a22c7ce
Z,"Mac Miller - Friendly Hallucinations [V1]
(prod. Thundercat & Taylor Graves)","OG Filename: Friendly Hallucinations
Original version of the song not featuring SZA.",4:46,,"Mar 20, 2026",OG File,CD Quality,https://pillows.su/f/7f209e14d058b0db804951d1423161c2
Z,"Thurz - Poly Six
(feat. SZA) (prod. THX)",An unreleased collaboration between Thurz and SZA.,4:25,,"Jul 4, 2024",Full,High Quality,https://pillows.su/f/fe8f0a055c34847e48a1ec6d3ccb09a2
"58 OG File(s)
12 Full
0 Tagged
3 Partial
47 Snippet(s)
45 Unavailable",A [V1],,,,,,,
A [V1],🏆 A [Unreleased Project],"SZA revealed in tweets and other forms of confirmation that A is complete and would be released soon, but it is considered scrapped as it has been years since her last mention of the extended play. On 7/25/2019, while touring her debut studio album Ctrl, she stated that she would be dropping a ""little project"" before her sophomore album. In text messages between her and Punch, her manager, he said they both ""need to drop A."" The project is thought to contain completed and mastered versions of Ctrl outtakes due to SZA re-teasing snippets like ""Tread Carefully"" in 2018 but was scrapped in favor for a short deluxe of Ctrl. According to an Instagram post made by SZA on 5/13/2026, the project is being revived and will possibly be released soon.",N/A,,"May 13, 2026",Confirmed,Not Available,"https://x.com/sza/status/1158948115480629248
https://www.thefader.com/2019/07/25/sza-new-project-2019-new-album-tde-ctrl
https://x.com/sza/status/1037771268894777344
https://www.instagram.com/p/DYSvtCaSUHhSCGfdaVON5KBbYMRYkAN_UR9hiQ0/"
A [V1],"🏆 Little More Time [V1]
(feat. ???)
(A Little More Time)","Earlier version of the song under the title ""Little More Time"". Features an unknown male vocalist, very likely being Carter Lang or her brother MNHATTN. Previously unheard but seen on track listings. Seller confirmed the length to be around 5 minutes long. Snippet leaked on 11/26/2025.",~5:00,,"Nov 26, 2025",Snippet,CD Quality,https://pillows.su/f/beb051d1be649833047bbe0dc0215b44
A [V1],A Little More Time [V2],Title seen in the 6/21/2016 track listing for the album.,?:??,,,Confirmed,Not Available,N/A
A [V1],"⭐ Anybody [V1]
(prod. Shea Taylor)","OG Filename: Anybody_SZA Ref 11-14
Finished song that was intended for A before it was given to Maeta and released in 2023. Contains slight production differences, such as the instrumental being pitched down. A snippet leaked 3/22/2024 and 9/21/2025. Leaked on March 20, 2026.",2:20,"Nov 14, 2015","Mar 20, 2026",OG File,CD Quality,https://pillows.su/f/4a8c07064cbf671a9fd65aeea2fca026
A [V1],"Anything [V1]
(prod. The Antydote)","Original concept of ""Anything"" which was teased on social media by SZA sometime in 2014. It was teased alongside an early mix snippet of ""Anything Outro.""",?:??,,,Snippet,Recording,https://pillows.su/f/3d8c0c2564f7a5c08ee1de58b2de0ecc
A [V1],"Anything [V2]
(prod. The Antydote)",Title seen in the 6/21/2016 track listing for the album.,?:??,,,Confirmed,Not Available,N/A
A [V1],"Anything Outro [V1]
(prod. The Antydote)
(Anything Pt. II, Sephora)","Early mix of ""Anything Outro"" which was only teased as the instrumental sometime in 2014 by SZA.",?:??,,,Snippet,Recording,https://pillows.su/f/d6d35236dc4daa35617487411c24af75
