Era,"Name
(Tracker Website Here)",Info / Notes,Track Length,Release Date,Type,Streaming?,Link(s)
,"Tecca & Friends
(Collaboration with Pasto Flocco)","(08/26/2002) Tyler-Justin Anthony Sharpe is born)
(2018) (Tecca & Friends is officially released)",,,Made in 2018 whilst Tecca was still in Highschool. Not much is known about the project other than the name and cover art. The tape was made in collaboration with Pasto Flocco a highschool friend of Tec's.,,
,Singles,,,,,,
Tecca & Friends,"stressless
(Prod. Izak)","OG Filename: tecca  ㄠ - New Project (mastered) (1)22.wav
Soundcloud exclusive.",1:49,"Sep 20, 2017",Single,No,https://pillows.su/f/66830e8676bf1fecb2c318ba5c34e56b
Tecca & Friends,"Simple
(Prod. Guillermo)",Soundcloud exclusive.,1:37,"Oct 29, 2017",Single,No,https://pillows.su/f/381a48d62e9046d6b62619ba2f640521
Tecca & Friends,"No More
(feat. Prod) (Prod. StevenJavier & Deltah Beats)","OG Filename: Evany Tineo - New Project2 (mastered).wav
One of the songs that was supposedly on Tecca & Friends that remained available on his soundcloud. Soundcloud exclusive.",1:49,"Nov 4, 2017",Single,No,https://pillows.su/f/471ffc37e4665b49b18adf978c5598c2
Tecca & Friends,"Papi Theme Song
(prod. Chupi)",One of Tecca's earliest songs recorded and released. Song named confirmed by producer.,1:17,"Nov ?, 2017",Single,No,https://pillows.su/f/4c6e16f307805e18a32ad8553749b1a9
Tecca & Friends,"Callin
(Prod. Tyto & ProdByTakeoff)","OG Filename: lil tecca - callin (prod. tyto)16bit.wav
Soundcloud exclusive.",1:31,"Dec 27, 2017",Single,No,https://pillows.su/f/bc3b6b3ca7853aada72eda840badf564
Tecca & Friends,FLYBOY,Soundcloud exclusive. Producer is unknown as Tecca didn't give credits nor has the beat been found anywhere online.,2:44,"Feb 23, 2018",Single,No,https://pillows.su/f/34e42e88d5e8f9d819bdeec396d62051
Tecca & Friends,Legend Of The North,One minute freestyle.,1:00,"Mar 15, 2017",Single,No,https://pillows.su/f/4b965da2ad79a58a08d19553a5041ea8
Tecca & Friends,"Legend Of The North II
(prod. Kaiser)","Served as the second rendition of ""Legend Of The North.""",1:47,"May 4, 2017",Single,No,https://pillows.su/f/b42d7d41641db10d84024b50940d3bd2
