Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2026,,LIVE LOVE LAUGH DIE,Hide N Seek,Hide N Seek,600$,"July 3, 2026","July 8, 2026",Normal,Cancelled,
2026,,Blind,TOOKIN BIRTHDAY PARTY,TOOKIN BIRTHDAY PARTY,380$,"June 15, 2026","June 18, 2026",Blind,Completed,
2026,,Pegasus,NDA - EARLY RELEASE PARTY,NDA - EARLY RELEASE PARTY,550$,"June 12, 2026","June 15, 2026",Normal,Completed,https://pillows.su/f/b7e1a0fd3041787b17a6bb11c5501a44
2026,,Blind,TRIPPIE X SUNNY 2020 GB,TRIPPIE X SUNNY 2020 GB,500$,"March 14, 2026","March 16, 2026",Blind,Force Leaked,
2025,,LIFE'S A TRIP 2,Don't Wake Up,Don't Wake Up,550$,"Febrary 19, 2026","February 20, 2025",Normal,Completed,"https://imgur.gg/f/ecQW3jJ
https://pillows.su/f/0189ba3d6822664eba3baade85466712"
2025,,LIVE LOVE LAUGH DIE,Star,Star,800$,"February 3, 2026","February 6, 2025",Normal,Completed,https://pillows.su/f/f4c909d66922e203f9c0d8b6a1405e76
2025,,LIFE'S A TRIP 2,BODY 4 BODY - Prod C NOTE,BODY 4 BODY - Prod C NOTE,800$,"December 5, 2025","December 12, 2025",Normal,Completed,https://imgur.gg/f/eYhFpCu
2025,,LIFE'S A TRIP 2,1400 X BNYX,1400 X BNYX,600$,"November 14, 2025","November 20, 2025",Normal,Completed,https://imgur.gg/f/v0sU8d6
2025,,LIVE LOVE LAUGH DIE,UNREAL X's + Tic Tac (Bonus Song),UNREAL X's + Tic Tac (Bonus Song),800$,"October 18, 2025","October 19, 2025",Normal,Completed,https://imgur.gg/f/qOtPPMx
2025,,MANSION MUSIK [V1],Pop The Bean! + Bonuses,Pop The Bean! + Bonuses,"1,300$","October 3, 2025","October 6, 2025",Normal,Completed,https://imgur.gg/f/6Nm5qCi
2025,,NDA,Break Em In,Break Em In,600$,"September 19, 2025","September 19, 2025",Normal,Completed,"https://imgur.gg/f/UJXO9GT
https://imgur.gg/f/dILhnds"
2025,,Blind,Trippie x ???,"Trippie x ???
Previewed Trippie w/ Feature",700$,"August 15, 2025","August 25, 2025",Blind,Completed,https://pillows.su/f/d29fda7c1afc9d43e2fbb93ce41b4213
2025,,Trip At Knight [V2],No Ice In My Lean,No Ice In My Lean,900$,"August 1, 2025","August 6, 2025",Normal,Completed,https://imgur.gg/f/NazKhBN
2025,,!,There He Go (with Chris King),There He Go (with Chris King),500$,"July 25, 2025","July 28, 2025",Normal,Completed,https://imgur.gg/f/13LABWc
2025,,Blind,Unknown Grail,Unknown Grail,"1,500$","July 9, 2025","July 14, 2025",Blind,Completed,https://pillows.su/f/d2c3d1c1b071319eb2dcb1639c0501e2
2025,,Multiple Eras,Worried Bout Nothin + All Type of Drugs,Worried Bout Nothin + All Type of Drugs,"3,500$","May 23, 2025","June 7, 2025",Normal,Completed,"https://pillows.su/f/ab543ddfbba005194ca1421eed88baa7
https://pillows.su/f/bb8ec59b31b40476ff6c4c881d2945a3"
2025,,Pegasus,Best Friends,Best Friends,"1,200$","May 10, 2025","May 13, 2025",Normal,Completed,https://pillows.su/f/91debf4b7fa5e2419f8b6ead5b7ea027
