"This tab is to showcase the unreleased music videos, the released music videos will be on the Released tab. If there is any problems, join the Trippie Tracker Discord and let us know. Thank you for using the tracker!",,,,,,,,,
Era,Name,"Notes
(Join the Discord to help fix any issues)",Notable Guests,Length,Date,Director(s),Status,Quality,Link
,Awakening My InnerBeast,"(Jun 18, 1999) (Michael Lamar White IV is born)
(2014) (Trippie Redd begins making music)
(Aug 26, 2016) (Awakening My InnerBeast is released)",,,,,,,
Awakening My InnerBeast,"Green Thumbs+++
(prod. Solo Mitch)
(Green Thumbs)","Shot in ??? 2016
",N/A,N/A,N/A,N/A,Snippet,Low Quality,https://imgur.gg/f/jTP37sZ
,"Beast Mode ++++
(Collaboration with Pi'erre Bourne)","(Aug 26, 2016) (Awakening My InnerBeast is released)
(Oct 17, 2016) (Beast Mode ++++ is released)",,,,,,,
,Snippets & Unsurfaced,,,,,,,,
Beast Mode ++++,"Thy Pharmacy - Rockstar Lifestyle
(feat. Trippie Redd, Lil Wop, Goldie14 & PB TROPP)",Shot in October 2016,N/A,N/A,N/A,N/A,Snippet,High Quality,"https://imgur.gg/f/sK4idUI
https://imgur.gg/f/z4HygRP
https://imgur.gg/f/H8nEEqs"
Beast Mode ++++,"Lil Wop - Trap
(feat. Trippie Redd) (prod. Savage & SEGA)","Shot in September? 2016, Track 9 on Wopster the Mixtape.",N/A,N/A,N/A,N/A,Snippet,High Quality,https://imgur.gg/f/QXJGGWb
,A Love Letter To You,"(Jan 18, 2017) (White Room Project is released)
(May 12, 2017) (A Love Letter To You is released)",,,,,,,
,Snippets & Unsurfaced,,,,,,,,
A Love Letter To You,"Can You Rap Like Me?
(prod. P. Soul)",Shot in April? 2017,N/A,N/A,N/A,N/A,Snippet,High Quality,"https://imgur.gg/f/uDF9JoR
https://imgur.gg/f/8r3chhQ"
,LIFE'S A TRIP,"(Oct 6, 2017) (A Love Letter To You 2 is released)
(Oct 31, 2017) (Angels & Demons with Lil Wop is released)
(Jul 25, 2018) (TR666+!$ 1400/800 is released)
(Aug 10, 2018) (LIFE'S A TRIP is released)",,,,,,,
,Snippets & Unsurfaced,,,,,,,,
LIFE'S A TRIP,"AWAY AWAY
(prod. OZ)",Shot in February 2018,N/A,N/A,N/A,N/A,Snippet,High Quality,https://imgur.gg/f/LNk2rgi
LIFE'S A TRIP,"UKA UKA
(prod. OZ)",Shot in December 2017,N/A,N/A,N/A,N/A,Snippet,High Quality,"https://imgur.gg/f/1zs7AbV
https://imgur.gg/f/dSHAK8C"
LIFE'S A TRIP,"UKA UKA [V2]
(prod. OZ)",Shot in February 2018,N/A,N/A,N/A,N/A,Snippet,High Quality,https://imgur.gg/f/HoXIKmL
,"A Love Letter To You 3
(A.L.L.T.Y. 3)","(Aug 10, 2018) (LIFE'S A TRIP is released)
(Nov 9, 2018) (A Love Letter To You 3 is released)",,,,,,,
A Love Letter To You 3,"Fire Starter
(feat. Emani 22) (prod. Tony Trouble & Honorable C.N.O.T.E.)","OG Filename: Trippie Redd - Fire Starter FINAL
Placeholder",N/A,2:41,"Nov 16, 2018",WAVYLORD,Leaked,Full HQ,https://imgur.gg/f/F9RVKUB
A Love Letter To You 3,"Tory Lanes - FeRRis WhEEL
(feat. Trippie Redd) (prod. Dez Wright & OZ)","OG Filename: ferris wheel zac edit (1080p)
Placeholder",N/A,2:40,"Nov 26, 2018",N/A,Leaked,Full HQ,https://imgur.gg/f/CpxGg3d
,Snippets & Unsurfaced,,,,,,,,
A Love Letter To You 3,"I Tried Loving
(prod. Icon South)",Shot in October 2018,N/A,N/A,N/A,N/A,Snippet,High Quality,"https://imgur.gg/f/nTmbvFL
https://imgur.gg/f/ZMCsHun"
A Love Letter To You 3,"Loyalty Before Royalty
(prod. Rex Kudo & OZ)",Shot in August/September 2018,N/A,N/A,N/A,LOUIEKNOWS,Snippet,High Quality,https://imgur.gg/f/OdU9eDj
A Love Letter To You 3,"Walk & Talk
(prod. Zaytoven)",Shot in December 2018,N/A,N/A,N/A,LOUIEKNOWS,Snippet,High Quality,https://imgur.gg/f/pE0knAD
,"!
(Exclamation Mark, Immortal, Mobile Pussy Suit, Neon Shark V1)","(Nov 9, 2018) (A Love Letter To You 3 is released)
(Feb 28, 2019) (Old Self is released)
(Aug 9, 2019) (Exclamation Mark is released)",,,,,,,
!,"Under Enemy Arms
(prod. MTK & Hammad Beats)","OG Filename: Trippie Redd - Under Enemy Arms (VFX)
Placeholder",N/A,N/A,N/A,N/A,Leaked,Full HQ,https://mega.nz/file/YtpQyJyB#MNxxLwIBrj33qFh3NPuv7oc8y8_-ZLKim8E5l2P5Ofw
,Snippets & Unsurfaced,,,,,,,,
!,"Lil Gotit - Speedracer
(feat. Trippie Redd) (prod. Hammad Beats)""","Unreleased Lil Gotit x Trippie collab previewed in 2019.                      Leaked on January 6, 2020. Shot in September 2019",N/A,N/A,N/A,N/A,Snippet,Low Quality,https://imgur.gg/f/WenixJR
,A Love Letter To You 4,"(Aug 9, 2019) (Exclamation Mark is released)
(Nov 22, 2019) (A Love Letter To You 4 is released)",,,,,,,
A Love Letter To You 4,"Placeholder
(prod. Placeholder)","OG Filename: Placeholder
Placeholder",N/A,N/A,N/A,N/A,Rumored,Not Available,N/A
,A Love Letter To You 4 (Deluxe),"(Nov 22, 2019) (A Love Letter To You 4 is released)
(Feb 21, 2020) (A Love Letter To You 4 (Deluxe) is released)",,,,,,,
A Love Letter To You 4 (Deluxe),"Aquafina [V1]
(prod. Pi'erre Bourne)
(Majoro's Mask)","OG Filename: Trippie Redd - Aquafina Edit CUT -4K
Leaked shortly after ALLTY4 Deluxe's release. The file was originally named ""Aquafina,"" but was re-titled to ""Majoro's Mask.""","Chris King, Sunny 2point0, hnrz hunter & Shootem Up",2:09,"Dec 14, 2019",WAVYLORD,Leaked,Full HQ,https://imgur.gg/f/om6Orcf
A Love Letter To You 4 (Deluxe),"Aquafina [V2]
(prod. Pi'erre Bourne)
(Majoro's Mask)","OG Filename: TRIPPIE REDD - AQUAFINA FINAL 4K-4K
Leaked shortly after ALLTY4 Deluxe's release. The file was originally named ""Aquafina,"" but was re-titled to ""Majoro's Mask.""","Chris King, Sunny 2point0, hnrz hunter & Shootem Up",2:13,"Dec 18, 2019",WAVYLORD,Leaked,Full HQ,https://imgur.gg/f/TyWiuUq
