Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
NDA,"GET $
(prod. ???)","OG Filename: GET $
The song was surfaced on ""THE LEAK 3"" EP - dropped by Trippie himself - as track 4 under the name of 𝔊𝔈𝔗 $ on July 16, 2026. OG Filename was revealed by a leaker on leakedcx.",2:41,"Mar 29, 2026","Jul 16, 2026",Full,High Quality,
NDA,"✨ Head Spin
(prod. ???)
(head Spin)","OG Filename: Head Spin
The song was surfaced on ""THE LEAK 3"" EP - dropped by Trippie himself - as track 5 under the name of ℌ𝔢𝔞𝔡 𝔖𝔭𝔦𝔫 on July 16, 2026. OG Filename was revealed by a leaker on leakedcx.",2:58,"Apr 22, 2026","Jul 16, 2026",Full,High Quality,
NDA,"✨ MY BRO
(prod. ???)","OG Filename: MY BRO
The song was surfaced on ""THE LEAK 3"" EP - dropped by Trippie himself - as track 6 under the name of 𝔐𝔜 𝔅ℜ𝔒 on July 16, 2026. OG Filename was revealed by a leaker on leakedcx.",2:01,"Mar 30, 2026","Jul 16, 2026",Full,High Quality,
NDA,"🗑️ Never Leaving The House [V2]
(prod. 406ahmad)
(the black house)","OG Filename: Never Leaving The House HIGH
The song was surfaced on ""THE LEAK 3"" EP - dropped by Trippie himself - as track 1 under the name of 𝔱𝔥𝔢 𝔟𝔩𝔞𝔠𝔨 𝔥𝔬𝔲𝔰𝔢 on July 16, 2026. OG Filename was revealed by a leaker on leakedcx. The mention of ""HIGH"" in the filename hints at it being a later version with this ASS voice preset (same as the bad version of Seems Like btw).",1:45,"Jul 13, 2026","Jul 16, 2026",Full,High Quality,
NDA,"⭐ Too Much Cake
(prod. ???)","OG Filename: Too Much Cake
The song was surfaced on ""THE LEAK 3"" EP - dropped by Trippie himself - as track 3 under the name of 𝔗𝔬𝔬 𝔐𝔲𝔠𝔥 ℭ𝔞𝔨𝔢 on July 16, 2026. OG Filename was revealed by a leaker on leakedcx.",1:42,"Mar 29, 2026","Jul 16, 2026",Full,High Quality,
NDA,"✨ Zip It Up
(prod. ???)","OG Filename: Zip It Up
The song was surfaced on ""THE LEAK 3"" EP - dropped by Trippie himself - as track 2 under the name of ℨℑ𝔓 ℑ𝔗 𝔘𝔓 on July 16, 2026. OG Filename was revealed by a leaker on leakedcx.",2:03,"Mar 13, 2026","Jul 16, 2026",Full,High Quality,
Pegasus,"⭐ Hello Kitty [V3?]
(feat. Sunny 2point0) (prod. Outtatown & star boy)","OG Filename: Hello Kitty
An alternative mix of the song.",2:54,2020,"Jun 18, 2026",OG File,High Quality,https://pillows.su/f/9593b0513e71b1aabbecf074cd4eb810
A Love Letter To You 5 [V1],"Heads Up [V1]
(prod. The Audibles)
(Pedestal)","OG Filename: Heads Up TRIP
Original version of the song leaked via Tookin on June 17, 2026, during his OG Files Buy.",3:36,"Sep 3, 2022","Jun 17, 2026",OG File,High Quality,https://pillows.su/f/1088748f62a901477a755319c8a81147
Trip At Knight [V1],"Oompa & Bubby
(prod. DJ Scheme & Rex Kudo)","OG Filename: Oompa & Bubby REF
It is unsure when this song was recorded, being mid/late 2020, it's a chance that this song could be from the Pegasus sessions. The OG File leaked via Galaxy during Tookin's OG Files buy on June 16, 2026.",3:22,N/A,"Jun 16, 2026",OG File,CD Quality,https://pillows.su/f/4efe120d9b8f7a4f89993dd5fba69b94
LIFE'S A TRIP 2,"✨ Mystery Box
(prod. DT)
(Superhuman)","OG Filename: Mystery Box
The song was previewed January 12, 2024 on N3ON's livestream. Uses the same instrumental as ""I Ain't Sorry"" by Tee Grizzley featuring Hunxho. The song leaked on April 3, 2026 via Stamper on his project ""God's Gift"" as track 12. The OG File leaked via Tookin during his OG Files buy on June 16, 2026.",2:16,"Jan 11, 2024","Jun 16, 2026",OG File,High Quality,https://pillows.su/f/5c313b419fc3b54570cf07f65e2c04b2
LIFE'S A TRIP 2,"✨ Tossed in Flames
(prod. Zodiac & brokeboishy)
(Cell Saga, Cold Hearted)","OG Filename: Tossed in Flames
The snippet surfaced on May 14, 2025. The song leaked on April 3, 2026 via Stamper on his project ""God's Gift"" as track 14. The OG File leaked via Tookin during his OG Files buy on June 15, 2026.",2:34,"Dec 15, 2023","Jun 16, 2026",OG File,High Quality,https://pillows.su/f/99ca687801b8848aabb22043224dc6fb
Trip At Knight [V1],"Night With You* [V2]
(with 24kGoldn) (prod. ???)","OG Filename: Trip x Golden
Bounce of the unnamed song from 2020. Leaked after a successful GB held by @14.",2:05,"Feb 15, 2023","Jun 15, 2026",OG File,High Quality,https://pillows.su/f/b7e1a0fd3041787b17a6bb11c5501a44
LIVE LOVE LAUGH DIE,"Forrest Gump
(prod. TooDope & Rosen Beatz)","OG Filename: Forrest Gump
Leaked on April 25, 2025. The OG File leaked via Tookin on June 15, 2026 during his OG File Buy.",2:24,"Oct 24, 2024","Jun 15, 2026",OG File,High Quality,https://pillows.su/f/c2f426561e052b657c0ffd86e822a4aa
NDA,⭐ Go Showtie [V2],"OG Filename: Go Showtie NEW
The snippet surfaced on February 21, 2026, via mango's vc. Samples In Da Club by 50 Cent. The song then leaked on April 3, 2026 via Stamper on his project ""God's Gift"" as track 8. This is most likely the second version due to it being ""NEW."" The OG File leaked via Tookin during his OG Files buy on June 16, 2026.",1:40,"Apr 5, 2025","Jun 15, 2026",OG File,High Quality,https://pillows.su/f/d8091273c71cd3899010742fd4c6ba43
NDA,"Killaz
(Die With Me)","OG Filename: Killaz
The snippet surfaced on February 21, 2026, via mango's vc. Leaked on April 3, 2026 via Stamper on his project ""God's Gift"" as track 7. Contains the same Evil Empire tag as ""Double M Gang."" The OG File leaked via Tookin during his OG Files buy on June 16, 2026.",2:38,"Jan 13, 2026","Jun 15, 2026",OG File,Lossless,https://pillows.su/f/8f21f4efc164f6e41f628677f5c22b7f
Awakening My InnerBeast,Money++,"OG Filename: 109 - Trippie Redd x Money++
A throwaway song from 2016. Leaked on May 24, 2026.",2:34,N/A,"May 24, 2026",OG File,CD Quality,https://pillows.su/f/d63f9b46d6186443af7b93c8bbc82728
Awakening My InnerBeast,"Super Krazy
(Super Crazy)","OG Filename: 111 Trippie Redd - Super Krazy
A throwaway song from 2016. Leaked on May 24, 2026.",2:20,N/A,"May 24, 2026",OG File,CD Quality,https://pillows.su/f/1dc5bf55b327f9651c40327c98d1422d
NDA,To The Moon*,"Previewed by Trippie on May 2, 2026.",N/A,N/A,"May 2, 2026",Snippet,Low Quality,
