Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"5 Album Track(s)
6 Single(s)
2 Feature(s)
1 Music Video(s)
0 Other",Awakening My InnerBeast,"(Jun 18, 1999) (Michael Lamar White IV is born)
(2014) (Trippie Redd begins making music)
(Aug 26, 2016) (Awakening My InnerBeast is released)",,,Other,,
Awakening My InnerBeast,"ThyRod
(feat. C33SUNNi3 & SKNNYBLU3) (prod. ???)",Uploaded to C33Sunni3's SoundCloud page.,5:10,"Dec 23, 2014",Single,No,https://soundcloud.com/kingmaniac/thyrod-ft-king-trippie-x-king-skiny
Awakening My InnerBeast,"Evvv - Like That
(feat. Boo Ca$h, Lil Jeffo, & Trippie Redd) (prod. Evvv)",Uploaded to Evvv's SoundCloud page.,5:18,"Aug 1, 2015",Feature,No,https://www.youtube.com/watch?v=9NK1ncMzpGw
Awakening My InnerBeast,"Angry Vibes
(prod. Dee B)","A song that is rumored to be released in 2015 and contains lyrics from the song ""Who Run It (Remix)"" with Lil Yachty.",3:05,"Aug 28, 2015",Single,No,https://soundcloud.com/playhouse_radio/trippie-red-angry-vibes-produced-by-dee-b
Awakening My InnerBeast,"Dirty Redd
(prod. Og abi)",Earliest available song on Trippie's SoundCloud.,4:46,"Oct 16, 2015",Single,No,https://soundcloud.com/trippie-hippie-2/dirty-redd?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Awakening My InnerBeast,"Chaz Homi - anything for the dolla
(feat. Boo Ca$h, Lil Jeffo, & Trippie Redd) (prod. Chaz Homi)",Uploaded to Chaz Homi's SoundCloud page.,3:12,"Mar 9, 2016",Feature,Yes,https://soundcloud.com/chaz-murray-1/chaz-homi-anything-for-the-dolla-ft-trippie-redd?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Awakening My InnerBeast,"Rockstar
(prod. 808-H)",Uploaded to Harold's SoundCloud page.,2:01,"Mar 10, 2016",Single,No,https://soundcloud.com/itsnotharold/tripe-redd-rockstar-prod-by-808-h?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Awakening My InnerBeast,"Carolina Blue--
(prod. Elliott Trent)",Uploaded to Trippie's SoundCloud in 2016.,1:47,"Jun 2, 2016",Single,Yes,https://soundcloud.com/trippie-hippie-2/carolina-blue?si=56ab5bfcbaa440ae80fb4e9d7b564b62&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Awakening My InnerBeast,"Water
(prod. Pvps)
(Water Vibes)","Recorded in early 2016 and had a music video made in that year, it is Trippie's first music video ever according to the music video's producer. Unknown when it could've official released.",2:24,2016,Single,No,https://pillows.su/f/6238678850f6763cbd449f73406cdf21
Awakening My InnerBeast,"Water [Music Video]
(prod. Pvps)
(Water Vibes)","Music video for ""Water,"" shot by @avixgod.",2:24,2016,Other,No,https://youtu.be/IFk221N-Sh4?si=LTQJMpYeqHo42Eqt
Awakening My InnerBeast,"Green Thumbs
(prod. Solo Mitch)",Track 1 of Awakening My InnerBeast.,3:28,"Aug 26, 2016",Album Track,Yes,https://soundcloud.com/trippie-hippie-2/green-thumbs-produced-by-solo-mitch?in=trippie-hippie-2/sets/awakening-my-innerbeast-ep&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Awakening My InnerBeast,".+NO WAY+
(feat. Kodie Shane & Longwe) (prod. Pi'erre Bourne)",Track 2 of Awakening My InnerBeast.,3:32,"Aug 26, 2016",Album Track,Yes,https://soundcloud.com/trippie-hippie-2/no-way?in=trippie-hippie-2/sets/awakening-my-innerbeast-ep&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Awakening My InnerBeast,"bitch go
(prod. Pi'erre Bourne)",Track 3 of Awakening My InnerBeast.,1:57,"Aug 26, 2016",Album Track,Yes,https://soundcloud.com/trippie-hippie-2/bitch-go?in=trippie-hippie-2/sets/awakening-my-innerbeast-ep&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Awakening My InnerBeast,".+Wrist Work+
(feat. A1Billionaire) (prod. osbBreeze)",Track 4 of Awakening My InnerBeast.,3:22,"Aug 26, 2016",Album Track,Yes,https://soundcloud.com/trippie-hippie-2/wrist-work?in=trippie-hippie-2/sets/awakening-my-innerbeast-ep&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Awakening My InnerBeast,"Welp! [Watch how I Move]+++
(prod. Trippie Redd)",Track 5 of Awakening My InnerBeast.,2:30,"Aug 26, 2016",Album Track,Yes,https://soundcloud.com/trippie-hippie-2/welp-produced-by-trippie-redd?in=trippie-hippie-2/sets/awakening-my-innerbeast-ep&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
"5 Album Track(s)
0 Single(s)
2 Feature(s)
2 Music Video(s)
0 Other","Beast Mode ++++
(Collaboration with Pi'erre Bourne)","(Aug 26, 2016) (Awakening My InnerBeast is released)
(Oct 17, 2016) (Beast Mode ++++ is released)",,,Other,,
Beast Mode ++++,"1400 Gang/Qs & Ps
(prod. Pi'erre Bourne)","Track 1 on Beast Mode ++++. Samples MF DOOM's & Madlib's song ""Accordion.""",2:18,"Oct 17, 2016",Album Track,No,https://soundcloud.com/trippie-hippie-2/qs-and-ps?in=trippie-hippie-2/sets/beast-mode&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
