Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
Awakening My InnerBeast,"Placeholder
(prod. Placeholder)","OG Filename: Placeholder
Placeholder",,,,,Rumored,Not Available,N/A
Beast Mode ++++,"Placeholder
(prod. Placeholder)","OG Filename: Placeholder
Placeholder",,,,,Rumored,Not Available,N/A
Rock The World Trippie (xxxxx),"Placeholder
(prod. Placeholder)","OG Filename: Placeholder
Placeholder",,,,,Rumored,Not Available,N/A
White Room Project,"Placeholder
(prod. Placeholder)","OG Filename: Placeholder
Placeholder",,,,,Rumored,Not Available,N/A
!,"Snake Skin
(prod. MTK & Hammad Beats)","OG Filename: Cake - Fmaj 74bpm
Original loop for ""Snake Skin.""",,,1:04,74,Full,High Quality,https://imgur.gg/f/iZZ7CWw
!,"Everything BoZ
(feat. Coi Leray) (prod. MTK & Hammad Beats)","OG Filename: MTK - Lando Amin 70BPM
Original loop for ""Everything BoZ"" featuring Coi Leray. The loop samples the song ""way back"" by Travis Scott.",,,0:17,70,Full,High Quality,https://imgur.gg/f/kYQvhHl
Trip At Knight [V2],"Miss The Rage
(feat. Playboi Carti) (prod. Loesoe)","OG Filename: MTR Ft. PC
Instrumental for ""Miss The Rage"" featuring Playboi Carti.
OG FILE NEEDED",,,3:56,155,Full,Lossless,https://pillows.su/f/7da30b00e17b643777fde8c217a07c4d
Trip At Knight [V2],"On The Moon!
(prod Varela Katana)","Instrumental for ""On The Moon!"" Leaked on April 28, 2025.",,,2:30,77,Full,High Quality,https://pillows.su/f/7a59fe6a2d1caab1946f2827fc8163d4
A Love Letter To You 5 [V2],"I'm Mad At Me
(prod. Anina Shona, BBYKOBE, Igor Mamet, niketaz, & O12)","OG Filename: niketaz x aninashona x o12 - by my side 90bpm (no sample, vintage)
Instrumental for ""I'm Mad At Me""",,,3:01,90,OG File,High Quality,https://pillows.su/f/265d01456f66bc593035db7321c58e0c
Saint Michael,"Mop Em Down
(prod. Oddwin)","OG Filename: 8.16.22
Instrumental for ""Mop Em Down."" Leaked on April 27, 2025.","Aug 16, 2022",,1:59,80,OG File,High Quality,https://pillows.su/f/4abb1f5c9d49f0e069dbfd7d1ffe4c25
LIFE'S A TRIP 2,"Hello?
(prod. slimemaco & saintracks)","OG Filename: @saintracks @slimemaco -- new vertigo 146 tag
Instrumental for ""Hello?"" Leaked on February 21, 2026 (?), don't really know if it leaked or it's been out already.",2024,,1:48,146,OG File,High Quality,https://pillows.su/f/403d4484b1a5e4cd8fec179398704dd0
LIVE LOVE LAUGH DIE,"In Love With Someone Else
(prod. samiwithadollar & ay0ley)
(In Love with somebody else)","OG Filename: off the edge - 113bpm @ay0ley
The official sample for ""In Love With Someone Else"" made by ay0ley.",2025,,5:58,113,Full,High Quality,https://imgur.gg/f/PCGWGTN
LIVE LOVE LAUGH DIE,"Lost Tribe
(prod. saintracks, toomonthebeatfool & expressivv)","OG Filename: WATCH 138 -  SAINTRACKS TOOM EXPRESIVV
Instrumental for ""Lost Tribe."" Leaked on February 21, 2026",2024,,2:19,138,Full,High Quality,https://pillows.su/f/8928dc94ed9e7c56c02b2739762b8c9e
