Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
Awakening My InnerBeast,Awakening My InnerBeast,"Tracklist for the offical release of Awakening My Innerbeast.

1. Green Thumbs
2. +NO WAY+ (feat. Kodie Shane & Longwe)
3. bitch go
4. +Wrist Work+ (feat. A1Billionaire) 
5. Welp! [Watch how I Move]+++",,"Aug 26, 2016",N/A,Trippie,
Beast Mode ++++,Beast Mode ++++,"Tracklist for the offical release of Beast Mode ++++.

1. 1400 Gang/Qs & Ps
2. Young Wild Boys
3. Solar Flare
4. Too late
5. HEARTBREAK-14",,"Oct 17, 2016",N/A,Trippie,
Rock The World Trippie (xxxxx),Rock The World Trippie (xxxxx),"Tracklist for the offical release of Rock The World Trippie (xxxxx).

1. Gave her soul away (feat. Lil Wop & Jerome Milly)
2. Dead or Alive
3. The New Jay z (Im just chilling baby)
4. Its OK (okok xxxxx) (feat. T-Wayne)
5. +NO WAY+ +++ High Steez (feat. Elliott Trent)
6. Low life/Rockstar pt 2
7. Lone WareWolf (Enemies) (feat. Lil Wop)",,"Nov 13, 2016",N/A,Trippie,
White Room Project,White Room Project,"Tracklist for the offical release of White Room Project.

1. Way on
2. Long Way Home From Mars!
3. Triple Double
4. Purple Vibes (feat. TTO K.T)
5. Hurt to the Bone
6. Love Scars/You hurt me
7. Trap Star [Big-14] freestyle 1400 1400 1400",,"Jan 18, 2017",N/A,Trippie,
A Love Letter To You,A Love Letter To You,"Tracklist for the offical release of A Love Letter To You.

1. Love Scars
2. Rack City/Love Scars 2 (feat. Antonia & Chris King)
3. Romeo & Juliet
4. Deeply Scared (feat. UnoTheActivist)
5. Blade of Woe (feat. Famous Dex)
6. It Takes Time
7. Poles 1469 (feat. 6ix9ine)
8. No Smoke No Smoke 1400 B.C. / Sauce (feat. Pachino)
9. Stoves on 14th (feat. Black Jezuss)
10. Limitless (feat. Lil Tracy & Rocket Da Goon)
11. Can You Rap Like Me?
12. Never Ever Land",,"May 12, 2017",N/A,Trippie,
A Love Letter You'll Never Get...,A Love Letter You'll Never Get...,"Tracklist for the offical release of A Love Letter You'll Never Get....

1. Woah Woah Woah/Crashbandicoot And Chill (feat. Bali Baby)
2. I Know How to Self Destruct",,"Aug 29, 2017",N/A,Trippie,
A Love Letter To You 2,A Love Letter To You 2,"Tracklist for the offical release of A Love Letter To You 2.

1. Bust Down
2. Feel Good (feat. Cydnee with a C & Khalil)
3. In Too Deep
4. Deadman's Wonderland (feat. Antionia)
5. Woah Woah Woah/Crashbandicoot And Chill (feat. Bali Baby)
6. Back of My Mind (feat. Chris King & Cydnee with a C)
7. Today (feat. UnoTheActivist)
8. Hellboy
9. Back Back Back
10. Dangerous (feat. Chris King & Rocket Da Goon)
11. Overweight (feat. Chris King)
12. Overdose on L1FE
13. I Know How to Self Destruct
14. Let Me Down",,"May 12, 2017",N/A,Trippie,
Angels & Demons,Angels & Demons,"Tracklist for the offical release of the collab tape with Lil Wop, Angels & Demons.

1. Gave Her Soul Away
2. Gleam
3. N A DAZE
4. Like A Savage
5. Too Long",,"Oct 31, 2017",N/A,Trippie,
TR666+!$ 1400/800,TR666+!$ 1400/800,"Tracklist for the offical release of TR666+!$ 1400/800.

1. Black Magic
2. BILAP (feat. Chief Keef)",,"Jul 25, 2018",N/A,Trippie,
LIFE'S A TRIP,LIFE'S A TRIP,"An early version of LIFE'S A TRIP tracklist, confirmed to be 26 tracks long, teased via Trippie Redd's Instagram in June 2018.

1. AWAY AWAY
2. Taking A Walk
3. WISH
4. BIGGER THAN SATAN
5. Missing My Idols
6. Me Likey
7. Red Butterflies
8. Bird Shit
9. BANG!
10-26 - ???",,2018,Clear,Trippie,
LIFE'S A TRIP,LIFE'S A TRIP,"Tracklist for the offical release of LIFE'S A TRIP.

1. Together
2. Taking A Walk
3. Wish (Trippie Mix) (with Diplo)
4. Missing My Idols
5. Forever Ever (feat. Young Thug & Reese LAFLARE)
6. Bird Shit
7. BANG!
8. How You Feel
9. Dark Knight Dummo (feat. Travis Scott)
10. UKA UKA
11. Shake It Up
12. Oomps Revenge
13. Gore
14. Underwater FlyZone",,"Aug 10, 2018",Clear,Trippie,
TrippieBoat,Trippie x Boat,"Unofficial tracklist for the joint Trippie Redd and Lil Yachty collab project.

#?. Chanel Drip
#?. I'm Ready
#?. RED
#?. Only In My Dreams
#?. Ungrateful
#?. Guap Boys 2 
#?. Who Run It Remix",,N/A,N/A,N/A,
A Love Letter To You 3,A Love Letter To You 3,"Tracklist for the offical release of A Love Letter To You 3.

1. Topanga
2. Fire Starter (feat. Emani22)
3. Toxic Waste
4. Negative Energy (feat. Kodie Shane)
5. Can't Love
6. Love Scars 3
7. A.L.L.T.Y. 3 (feat. Baby Goth)
8. Emani Interlude (feat. Emani22)
9. Elevate & Motivate (feat. YoungBoy Never Broke Again & Nel-Denarro)
10. I Tried Loving
11. Wicked
12. Loyalty Before Royalty
13. 1400 / 999 Freestyle (feat. Juice WRLD)
14. So Alive
15. Diamond Minds (feat. Tory Lanez & Elliott Trent)
16. Camp Fire Tale",,"Nov 9, 2018",Clear,Trippie,
