Era,Name,"Notes
(Join the Discord if we missed anything)",Copy Length,"File
Date",Available Length,Quality,Link(s)
,"Super Sonic
(Collaboration with Danny Wolf)",,,,,,
Super Sonic,Super Sonic,"All songs for Super Sonic, an unreleased collaborative tape between Yeat and Danny Wolf. Became available in full on October 23, 2024. Lacks ordering.",19:42,"Aug 25, 2018",OG File,CD Quality,Link Needed
,"Deep Blue $trips
(Deep Blue Strips, Deep Blu $trips)",,,,,,
Deep Blue $trips,"Deep Blue $trips
(Deep Blue Strips, Deep Blu $trips)",OG files for Deep Blue $trips.,6:40,"Sep 19, 2020",OG File,Lossless,https://pillows.su/f/5e9b7dde0b78c3bf2908d0fe0905c0eb
Deep Blue $trips,"Deep Blue Strips
(Deep Blue $trips, Deep Blu $trips)",OG files for the alternate version of Deep Blue Strips via SoundCloud playlist.,,"Sep 20, 2020",OG File,Lossless,https://pillows.su/f/c1b92661e36164fc992fb4f6ffe43d86
,Wake Up Call, ,,,,,
Wake Up Call,Wake Up Call,"OG files for Wake Up Call that taken from Yeat's SoundCloud. Leaked missing filenames on June 2, 2024.",19:18,2019,OG File,Lossless,https://pillows.su/f/fe357f3517c48d7447ee29f460f29c46
,"Different Creature
(Collaboration with Clibbo)",,,,,,
Different Creature,Different Creature,"Original version of Different Creature including mixing and ad-lib differences in some tracks. OG files leaked missing filenames on June 2, 2024.",17:01,2019,OG File,CD Quality,https://pillows.su/f/7bcbb836a9356c466ce5bd0f747b45e1
,"Elegance
(Elegance!)",,,,,,
Elegance,Two Face,"15-track scrapped project that was privately uploaded to Yeat's SoundCloud on February 2, 2019. Became fully available on August 11, 2025.",,"Feb 2, 2019",OG File,CD Quality,Link Needed
Elegance,Chemistry,"8-track scrapped project that was privately uploaded to Yeat's SoundCloud on March 3, 2019. While some tracks were already available, the project became available in entirety after it leaked on February 10, 2025.",,"Mar 3, 2019",OG File,CD Quality,Link Needed
Elegance,Alien EP,"7-track scrapped project that was privately uploaded to Yeat's SoundCloud on March 10, 2019. Became fully available on August 11, 2025.",,"Mar 10, 2019",OG File,CD Quality,Link Needed
Elegance,"Elegance
(Elegance!)","9-track scrapped project that was privately uploaded onto Yeat's SoundCloud on May 21, 2019. Its existence became known after it leaked in full on July 21, 2024.",22:40,"May 21, 2019",OG File,CD Quality,Link Needed
,"I'm So Me
(Im $o Me)",,,,,,
I'm So Me,"I'm So Me
(Im $o Me)",Original tracklist of I'm So Me.,,"Dec 27, 2019",Full,CD Quality,https://pillows.su/f/0195827f3cd56a069a61a37de76158f3
I'm So Me,"I'm So Me
(Im $o Me)","Version of I'm So Me ripped from Spotify prior to being removed, with the removal of ""Complicated"" and ""Bird/Layyed Up.""",33:17,"Dec 27, 2019",Full,CD Quality,https://pillows.su/f/c0b897f0957eb8407273adc4c17e61ef
,"Hold Ön
(Hold On)",,,,,,
Hold Ön,"Hold On/ IDEA
(Hold Ön)","Idea version of Hold Ön, privately uploaded to Yeat's SoundCloud on August 10, 2020.",18:36,"Aug 10, 2020",Full,CD Quality,Link Needed
,2093,,,,,,
2093,2093 (Pre-Release Leak),"A tagged version of 2093, including all songs except ""Power Trip,"" leaked the day before the album released, February 15, 2024. Quality of the songs are degraded.",1:06:25,2024,Tagged,High Quality,https://pillows.su/f/ec63694fa5c6decf61ee9f87abd388e1
2093,2093 [Digital Album],"Digital Download Filename: 2093 Digital Album
Digital download album for 2093. Exclusively available on 2093.shop on February 16, 2024.",1:10:37,"Feb 16, 2024",Full,High Quality,https://pillows.su/f/a03225ba8b2c945506c8b787dc531764
,2093 (P2),,,,,,
2093 (P2),2093 (P2) [Digital Album],"Digital Download Filename: 2093 (P2)
Digital download album for 2093 (P2). Exclusively available on 2093.shop on February 17, 2024.",1:17:38,"Feb 17, 2024",Full,High Quality,https://pillows.su/f/c388f2e378487b4c6eba525e5e522c60
,2093 (P3),,,,,,
2093 (P3),2093 (P3) [Digital Album],"Digital Download Filename: 2093 (P3)
Digital download album for 2093 (P3). Exclusively available on 2093.shop on February 21, 2024.",1:28:33,"Feb 21, 2024",Full,High Quality,https://pillows.su/f/260d0d95918d3e09c05deda83c61be4f
,LYFESTYLE [V2],,,,,,
