Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
TOTAL,"$69,795.00",,,,,,,,,
2026,"$21,350.00",Multi-Era,li work + Ughh,"li work
Ughh
nother league [V2]
Krazy Up [V1]
mean feen (OG File)
rav3 p4rty (OG File)
DOGHOUSE (OG File)
Shmunk [V2]","$2,650","Jul 24, 2026","Jul 24, 2026",Normal,Yes,"https://pillows.su/f/26862a0f5d115e94813c98cc4036bd7e
https://pillows.su/f/be310be61789a75da4be75b52b889333"
2026,"$21,350.00",A DANGEROUS LYFE [V1],??? (stand still*),??? (stand still*),$150,"Jul 22, 2026","Jul 22, 2026",PB to Leak,Yes,N/A
2026,"$21,350.00",Multi-Era,5x OG Files + Demos,"Kant change [V1]
fukit [V1] (OG File)
all 4 nothin [V1] (OG File)
Kinda Krazy (OG File)
Buying Shit (OG File)",$100,"Jul 20, 2026","Jul 21, 2026",PB to Leak,Yes,N/A
2026,"$21,350.00",ADL [V2],DOWN,"Lil Yachty & Yeat - DOWN
Swërved It (OG File)
now (OG File)","$1,750","Jul 19, 2026","Jul 22, 2026",Normal,Yes,N/A
2026,"$21,350.00",ADL [V3],NAKED [V1],NAKED [V1],$100,"Jul 9, 2026","Jul 9, 2026",PB to Leak,Yes,N/A
2026,"$21,350.00",Multi-Era,11x OG Files + Demos,"Aint Enough (OG File)
big bently (OG File)
Hatër (OG File)
ïm sick [V1] (OG File)
im tha type OPEN
Jus Bëtter OPEN
luh skelë (OG File)
n0 commënt [V1]
on tha line (OG File)
Outsidë OPEN
push 2 start (OG File)",$650,"Jul 5, 2026","Jul 5, 2026",PB to Leak,Yes,N/A
2026,"$21,350.00",2093,ROLL,"ROLL
New X [V1]
mysëlf [V1]
ENOUGH [V1] (No morë talk)
2 ALIVË [V1] (Last Day)
Bad bënd / DëMON (OG File)
lotta choices (Plenty options) [OG File]
1st hunnid [V2]
Stupid Rich shyt (OG File)
X ta C [V1]
Split (OG File)","$2,800","Jun 17, 2026","Jun 26, 2026",Blind,Yes,N/A
2026,"$21,350.00",Multi-Era,got 2 slow down + Snap tha chain,"got 2 slow down
Snap tha chain
Twizzy Rich (OG File)
OTW [V1]",$700,"Jun 6, 2026","Jun 8, 2026",Normal,Yes,N/A
2026,"$21,350.00",Alivë,Distance,"Distance
Balenci Feet [V1]
cant complain [V1]

(NOTE: The buy ran as a blind 2021 buy, however, the track ended up being 2020)",$750,"Jun 4, 2026","Jun 5, 2026",Blind,Yes,N/A
2026,"$21,350.00",DANGEROUS SUMMER,REUP,"REUP

(NOTE: The buy ran as a blind 2025 buy and was originally $2,750, but was temporarily reduced to $2,500 for May 25, 2026.)","$2,500","May 21, 2026","May 25, 2026",Blind,Yes,N/A
2026,"$21,350.00",Alivë,Kant Luvv,Kant Luvv,$450,"May 19, 2026","May 19, 2026",Normal,Yes,https://pillows.su/f/29d4b69c80e31effdaf021b2c8f3c88d
2026,"$21,350.00",A DANGEROUS LYFE [V1],HOT 2 THA TOUCH [V2],HOT 2 THA TOUCH [V2],"$1,500","May 10, 2026","May 12, 2026",Normal,Yes,"https://pillows.su/f/53217fb01592ebe4825b6d5d33f76b35
https://pillows.su/f/486c35d6df5dce4bb5f58babd2a30221"
2026,"$21,350.00",A DANGEROUS LYFE [V1],ever know freestyle,"ever know freestyle
condo","$2,250","May 2, 2026","May 5, 2026",Blind,Yes,N/A
2026,"$21,350.00",DANGEROUS SUMMER,ONE TAKE,"ONE TAKE
condo
LOCO (Master OG File)
2TONE (with Don Toliver) [Master OG File]
LOOSE LEAF (Master OG File)
OH I DID (with NGeeYL) [Master OG File]
I'M YEAT (Master OG File)
FLY NITË (Master OG File)

(NOTE: ""condo"" was included as a bonus if the buy finished within a day, however, it did not.)","$3,000","Apr 18, 2026","Apr 20, 2026",Normal,Yes,"https://pillows.su/f/07277e801cb910605b78f182730f512f
https://pillows.su/f/78bdf106feefe8c17dcff5bdb5648825
https://pillows.su/f/4ab1e6aaf27072626e530ca508807c49"
2026,"$21,350.00",Lyfëstyle [V1],The Wolf,"The Wolf
Popout OPEN
killin em OPEN
flytroop [V2]
gon3 (OG)

(NOTE: The buy was originally $2,250, but lowered to $2,000 for being completed within 24 hours, having been completed in under 3 hours.)","$2,000","Apr 17, 2026","Apr 17, 2026",Normal,Yes,"https://pillows.su/f/61cc4795b1cd9edbc2c2b663025140fc
https://pillows.su/f/17e832b7b3f7928d361075a14baef39e"
2025,"$36,450.00",Multi-Era,My turn + Truely,"My turn
Truely
RolËy Daê 2 (OG File)
DAILY
Minion song (Rich Minion) [OG File]","$4,800","Oct 24, 2025","Oct 26, 2025",Normal,Yes,Link Needed
2025,"$36,450.00",4L with us,Kry bout it + farr + Snap tha chain,"Kry bout it
farr
Snap tha chain

(NOTE: Originally $2,500, reduced to $2,000 after ""farr"" was removed, further reduced to $1,580 after ""Snap tha chain"" was removed. Buy was cancelled after $630 of that was raised was gambled and completely lost, thus that amount being pledged to a future buy.)","$1,580","Oct 15, 2025","Oct 22, 2025",Normal,No,https://pillows.su/f/f6881980d432c09537d85995292a2022
2025,"$36,450.00",4L,Real Lyfe,Real Lyfe,"$1,400","Oct 11, 2025","Oct 14, 2025",Normal,Yes,Link Needed
2025,"$36,450.00",Up 2 Më [V1],Bak onna X,"Bak onna X
SLidin (OG File)","$2,150","Sep 30, 2025","Oct 3, 2025",Normal,Yes,Link Needed
2025,"$36,450.00",4L,Otw!!,"Otw!!
high music

(NOTE: Originally ran as blind, but the content was revealed shortly after.)","$1,850","Sep 20, 2025","Sep 24, 2025",Normal,Yes,Link Needed
2025,"$36,450.00",4L,Sit bakk,"Sit bakk
U could
dnt lië (OG File)
2high (Wavëy Krazy) [OG File]
Hëlly (OG File)

(NOTE: Originally $3,000, but was decreased to $2,400 after the removal of ""U could"")","$2,400","Sep 10, 2025","Sep 16, 2025",Normal,Yes,Link Needed
2025,"$36,450.00",4L,Bak in town,"Bak in town
Flashëy (OG File)
Feel More (OG File)","$2,200","Sep 7, 2025","Sep 7, 2025",Normal,Yes,Link Needed
2025,"$36,450.00",Trëndi,Bak Outside,"Bak Outside
never changed (OG File)

(NOTE: Originally $2,800, decreased to $2,000, decreased again to $1,100, then forceleaked)","$2,000","Sep 4, 2025","Sep 5, 2025",Normal,Forceleaked,Link Needed
