Era,Name,Notes,Image / Length,Date Made,Type,Available Length,Quality,Link(s)
,"530
(Collaboration with YNGROY as 530)
(530Gang)",,,,,,,
,Other,,,,,,,
530,"Lil Uzi Vert - Die Today
(prod. Cassius Jay & DJ Spinz)
(Today Was A Good Day)","OG Filename: Uzi Cassius Spinz Die Today
Track by Lil Uzi Vert that was unofficially put onto streaming platforms without clearing by producer Cassius Jay. Originally released as ""Die Today,"" then after being delisted, was reuploaded with the new name ""Today Was A Good Day,"" and no credits to Lil Uzi Vert. Yeat later remixed the track over a reproduced instrumental.",2:52,"Mar 18, 2017",Other,OG File,CD Quality,https://pillows.su/f/ae5975acfc31089207891bc00144cd88
530,"Playboi Carti - I Got
(prod. Pi'erre Bourne)
(Tattoo, Double Tesla (YEAT REMIX))","OG Filename: Playboi Carti- I Got
Recorded and first previewed by A$AP Bari on Snapchat in 2017, shortly after the release of Playboi Carti’s self-titled debut mixtape. The track was considered to be lost after it did not end up on his debut album, Die Lit, however, a high quality snippet of the song leaked on August 21, 2019, before leaking in full two days later. Yeat later recorded his own remix of the track on a re-produced version of the instrumental, titled ""Double Tesla (YEAT REMIX).""",4:29,,Other,OG File,CD Quality,https://pillows.su/f/094b768310f13546deb608967d63ed4c
,"Deep Blue $trips
(Deep Blue Strips, Deep Blu $trips)",,,,,,,
,Never Recorded,,,,,,,
Deep Blue $trips,"???
(prod. Yeat)","OG Filename: making beat o...
Beat produced by Yeat for fun, previewed on his Twitter (now X) on August 19, 2018 with caption: ""Might quit rap for this beats shit 😩 This beat for purchase for 400$.""",,"Aug 19, 2018",Instrumental,Snippet,High Quality,"https://twitter.com/yeat1_/status/10311647919587123222
https://pillows.su/f/6183d2102a3fc1bab70eb77119a68d73"
,Other,,,,,,,
Deep Blue $trips,"Lil Uzi Vert - Cuttin My Wrists [V1]
(prod. Chopsquad DJ, Metro Boomin & Southside)
(6 Minute Freestyle, 1st Off ... (6minfreestyle Remix))","Possible OG Filename: Uzi SouthSide Cuttin My Wrist Rough
Track by Lil Uzi Vert from between July 4 to July 11, 2018. Yeat remixed the track over a re-produced instrumental, titled ""1st Off ... (6minfreestyle Remix).""",6:33,,Other,Full,CD Quality,https://pillows.su/f/3c9b8783d234aac3a940096e3f4e630b
Deep Blue $trips,"Lil Uzi Vert - Cuttin My Wrists [V2]
(prod. Chopsquad DJ, Metro Boomin & Southside)
(6 Minute Freestyle, 1st Off ... (6minfreestyle Remix))","Previewed by G Herbo in an Instagram Live on October 7, 2018.",,,Other,Snippet,Recording,Link Needed
Deep Blue $trips,"Lil Uzi Vert - Racks [V1]
(prod. Brandon Finessin, DJ Bangout, Nick Mira, Taz Taylor & Oogie Mane)
(That's A Rack, That's A Wrap, that a rack)","OG Filename: Uzi Racks
Original version of ""That's A Rack"" by Lil Uzi Vert, originally titled ""Racks."" Teased on DJ's computer.",,"May 14, 2018",Other,Confirmed,Not Available,Source Needed
Deep Blue $trips,"Playboi Carti - Money Over All
(feat. RX Peso) (prod. Pi'erre Bourne) 
(All She Gotta Do Is Call, That fasho)","OG Filename: Money Over All 8.12.18
Throwaway by Playboi Carti dated August 12, 2018, originally intended for the original version of his album Whole Lotta Red. Yeat later recorded unreleased track ""That fasho,"" which uses a re-produced version of the instrumental by Curesful.",3:12,"Aug 12, 2018",Other,Full,CD Quality,https://pillows.su/f/0982b4299f802cacdc9d653d5655b2b3
,"Elegance
(Elegance!)",,,,,,,
,Other,,,,,,,
Elegance,"Lil Uzi Vert - Racks [V2]
(prod. Brandon Finessin, DJ Bangout, Nick Mira, Taz Taylor & Oogie Mane)
(That's A Rack, That's A Wrap, that a rack)","OG Filename: Uzi Brandon Finessin Racks
WAV file for ""That's A Rack."" ",3:57,"Apr 4, 2019",Other,OG File,Lossless,https://pillows.su/f/80c3ab3a4535408fae7dce98826a58e0
Elegance,"Lil Uzi Vert - Racks [V3]
(prod. Brandon Finessin, DJ Bangout, Nick Mira, Taz Taylor & Oogie Mane)
(That's A Rack, That's A Wrap, that a rack)","OG Filename: Uzi Brandon Finessin Racks Master 1644
Master for ""That's A Rack"" by Lil Uzi Vert. Remixed by Yeat.",3:58,"Apr 5, 2019",Other,OG File,Lossless,https://pillows.su/f/af2f9c5bbee0f0ad92205c69d777f764
Elegance,"Playboi Carti - ???
(prod. Richie Souf & Zaytoven)
(Trenches, Make Tha Trap Say Aye Remix, Coronavirus, Corona virus)","Track by Playboi Carti using the instrumental from ""Make Tha Trap Say Aye"" by OJ Da Juiceman featuring Gucci Mane. A snippet of the track was leaked by @twoninevet on Instagram on May 19, 2020. Yeat later created his own remix titled ""Coronavirus"" with a re-produced version of the instrumental in 2020.",,,Other,Snippet,Recording,https://pillows.su/f/e3b09b087833a9d3ee271178d30ca3b5
,"I'm So Me
(Im $o Me)",,,,,,,
,Other,,,,,,,
I'm So Me,"Juice WRLD & Young Thug - Bad Boy [V1]
(prod. Pi'erre Bourne)
(Will Smith And Martin Lawrence, 2 up)","OG Filename: THUG x JUICEWRLD - BAD BOY (BAINZRUFF)
First version of ""Bad Boy"" by Juice WRLD and Young Thug with an alternate verse from Juice WRLD. Yeat recorded his own remix of the track titled ""2 up,"" over a re-produced instrumental by Curesful.",2:23,,Other,OG File,CD Quality,https://pillows.su/f/af4b7b1c1a7ac724406fca27e9364ce2
I'm So Me,"Juice WRLD & Young Thug - Bad Boy [V2]
(prod. Pi'erre Bourne)
(Will Smith And Martin Lawrence, 2 up)","OG Filename: THUG x JUICEWRLD - BAD BOY v2
Second version of ""Bad Boy"" by Juice WRLD and Young Thug. Yeat recorded his own remix of the track titled ""2 up,"" over a re-produced instrumental by Curesful.",2:35,,Other,OG File,CD Quality,https://pillows.su/f/ef9bb0b8459f38029b53b10eb9225d5e
I'm So Me,"Juice WRLD & Young Thug - Bad Boy [V3]
(prod. Pi'erre Bourne)
(Will Smith And Martin Lawrence, 2 up)","OG Filename: THUG x JUICEWRLD - BAD BOY v3
Version of ""Bad Boy"" Juice WRLD and Young Thug, previewed on April 28, 2019 with the alternate Juice WRLD verse. Yeat recorded his own remix of the track titled ""2 up,"" over a re-produced instrumental by Curesful.",2:38,,Other,OG File,CD Quality,https://pillows.su/f/ca5ad4c3bb0ba5334783523ec9d8c097
