Era,Name,Notes,Length,Date Made,Type,Available Length,Quality,Link(s),Location,Director(s),In Circulation?
,"Deep Blue $trips
(Deep Blue Strips, Deep Blu $trips)",,,,,,,,,,
,Released,,,,,,,,,,
Deep Blue $trips,"BR!NK
(prod. Yeat)
(Brink!)",Official music video for track 3 on Deep Blue Strips. Presented by Internet Hippy and shot by Brix Work.,2:09,"Oct 20, 2018",,Officially Released,,https://youtu.be/5tKjBuv3x0M,,Brix Work,Officially Released
,Wake Up Call,,,,,,,,,,
,Released,,,,,,,,,,
Wake Up Call,"Stay Up
(prod. Mike Frost)",Official music video for track 7 on Wake Up Call. Presented by ELEVATOR.,2:12,"Feb 21, 2019",,Officially Released,,https://youtu.be/mdC4RIdDWjc,,Mason Luckiewicz,Officially Released
,"Elegance
(Elegance!)",,,,,,,,,,
,Unreleased,,,,,,,,,,
Elegance,"recap
(prod. YoungBoyBrown)","OG Filename: recap222222
Music video behind the scenes previewed by Yeat on Twitter (now X) in a Tweet captioned ""Stiff as hell when i heard the sirens 🤣🏃🏼‍♀️"" on March 12, 2019. File dated March 21, 2019. Shot by Adin Penner on March 8, 2019 and edited by Mason Luckiewicz. Leaked on November 4, 2025.",1:44,"Mar 21, 2019",,Full CDQ,,https://imgur.gg/f/0wZZlas,"1530 NE Martin Luther King Jr Blvd
Portland, OR 97232
United States",,Full CDQ
,"Different Creature
(Collaboration with Clibbo)",,,,,,,,,,
,Released,,,,,,,,,,
Different Creature,"Cant Think
(prod. Clibbo)
(Can't Think)","Video Title: Cant Think - Yeat [Dir. UselessFilms]
Deleted official music video for track 4 on Different Creature.",2:27,"Aug 21, 2019",,Deleted Release,,"https://youtu.be/H655dMr8U78
https://imgur.gg/f/qh2ThTT",,UselessFilms,Deleted Release
Different Creature,"Goat Emoji
(prod. Clibbo)","Video Title: Yeat - Goat Emoji [Dir. by @JackRottier]
Official music video for track 1 on Different Creature. Directed by Jack Rottier.",2:37,"Sep 28, 2019",,Officially Released,,https://youtu.be/hhZVXi8OlwY,"6102 Highland Pl
West New York, NJ 07093
United States
40°47'10.06""N 74°00'21.13""W",Jack Rottier,Officially Released
,"I'm So Me
(Im $o Me)",,,,,,,,,,
,Released,,,,,,,,,,
