Era,Name,Notes,"File
Date",Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
,"1500
(Collaboration with Forever World Records)
(Forever World)",,,,,,,,
,Acapellas,,,,,,,,
1500,???,Era unconfirmed.,,,3:04,,Snippet,High Quality,https://pillows.su/f/f5605201849c9e40261b7118e2384d5f
,Instrumentals,,,,,,,,
1500,"BAND$ 
(feat. Comethazine) (prod. ReeseyGotIt)","Original instrumental for ""BAND$"" by Yeat featuring Comethazine. Uploaded to the producer's YouTube on May 15, 2024 titled ""Yeat x Comethazine - Band$ (Official Instrumental) [Prod.ReeseyGotIt].""",,,3:42,,Full,High Quality,"https://pillows.su/f/bf8d632a56cf304e7aca1f0be3259de3
https://pillows.su/f/fa58b802e8d35b18a96473be4ad3949c
https://pillows.su/f/99936ed3cc9ecd01f379ece4458a3a39
https://youtu.be/10WyGwjcWRo?si=KgCmmuWWuZYuewt7"
,"Collaboration with SwagHollywood
(Swoo Gang)",,,,,,,,
,Instrumentals,,,,,,,,
Collaboration with SwagHollywood,"Detour 
(feat. SwagHollywood) (prod. Dee B)","OG Filename: 1-800-heartbreaker(tags)
Original instrumental for ""Detour"" by Yeat featuring SwagHollywood. Uploaded to the producer's SoundCloud on January 15, 2018, titled ""FREE Nav + Lil Uzi Vert Type Beat ""1-800-Heartbreaker.""",,,2:18,,Full,High Quality,https://pillows.su/f/246bcc9a69cf72c68e2637f823d94310
,"Deep Blue $trips
(Deep Blue Strips, Deep Blu $trips)",,,,,,,,
,Instrumentals,,,,,,,,
Deep Blue $trips,"power move
(prod. Zach808 & Dvtchie)","Instrumental for ""power move."" Uploaded to co-producer Dvtchie's YouTube on November 1, 2017 titled ""(FREE) Pierre Bourne x Playboi Carti Type Beat ""Ran it up"" (Prod. Zach808 x Dvtchie).""",,,2:41,,Full,High Quality,"https://pillows.su/f/91bd3ff2dd86a5a2c33bac7340acfbde
https://youtu.be/eTamTUIJwYQ?si=7ggXmws5kHJEK0DG"
,"I'm So Me
(Im $o Me)",,,,,,,,
,Acapellas,,,,,,,,
I'm So Me,"??? - Peon
(feat. Yeat)","OG Filename: Peon ft. yeat VOCALS 1
Found through Onlyfiles. Only includes Yeat vocals. Resurfaced on October 3, 2023. Era unconfirmed.",,,3:04,,OG File,CD Quality,https://pillows.su/f/44dbfca38378c366c71f6c15144ae715
,We Us,,,,,,,,
,Instrumentals,,,,,,,,
We Us,"Percaholic
(feat. Weiland) (prod. ITSMAJQR)
(1500)","OG Filename: 1500 @ITSMAJQR 160 BPM
Official instrumental for ""Percaholic."" Posted to YouTube sometime in March of 2022.",,,2:36,160,Full,High Quality,https://pillows.su/f/085088c3fa4f33854d022f7a09ed1698
,"Hold Ön
(Hold On)",,,,,,,,
,Instrumentals,,,,,,,,
Hold Ön,"Put It On
(prod. JudoBeatz)
(Pop Yo Shit)","OG Filename: Judo 579 BPM150
Instrumental for ""Put It On."" Previewed by JudoBeatz on TikTok on April 3, 2026.",,,2:46,150,Snippet,High Quality,https://pillows.su/f/91f5516fee2ee71b8f0ad1b8132d21d7
Hold Ön,"Twins
(prod. wifi)","OG Filename: twins inst wifi
Instrumental for ""Twins."" Leaked on July 21, 2024.",,,2:21,150,OG File,High Quality,https://pillows.su/f/c587c92f68564db7257c3b6ed3210618
,Alivë,,,,,,,,
,Instrumentals,,,,,,,,
Alivë,"2real
(prod. Yeat & Firemane)","OG Filename: 2real yeat fire 161
Instrumental produced by Yeat. Filename teased while previewing another instrumental in an Instagram post. Unknown if he recorded over the instrumental. Era unconfirmed.",,,1:59,161,Confirmed,Not Available,N/A
Alivë,"Always Alivë
(prod. 2AAB)
(Always Alive, Alwäyz Alivë, Alwayz Alive, Everything)","OG Filename: ALIEN RACE 141 2AAB
Original instrumental for track 1 on Alivë, ""Always Alivë.""",,,,141,Confirmed,Not Available,Source Needed
Alivë,"atmpshere
(prod. Yeat & OG Abi)","OG Filename: atmpshre yeat x abi
Instrumental produced by Yeat and previewed in an Instagram post. Unknown if he recorded over the instrumental. Era unconfirmed.",,,1:48,,Snippet,High Quality,https://pillows.su/f/f6dab6d3bdaa46ab82e29894c792386e
Alivë,"Christmas
(prod. Mattthw & Matthew Gomez)","Original instrumental for ""Christmas."" Uploaded to Mattthw's YouTube titled """"POP OUT"" - DABABY x STUNNA 4 VEGAS TYPE BEAT (prod. mattthw x matthew gomez)"" on November 7, 2020.",,,1:50,,Full,High Quality,"https://pillows.su/f/327ecf25aa4d9df5aac71cc45fbc3a73
https://youtu.be/URcp2OsTGi8"
Alivë,"demon speed
(prod. Yeat)
(Demonspeed)","OG Filename: Demonspeed (prod yeat)
Instrumental previewed by Yeat in an Instagram post.",,,3:10,,Snippet,High Quality,https://pillows.su/f/9139dc74b7b1a38896a3ff40b39fadbb
Alivë,"Every Sunday
(prod. T99 & Luca Malaspina)","Official instrumental for track 22 on Alivë, ""Every Sunday."" Leaked on December 9, 2021.",,,,,Full,High Quality,Link Needed
Alivë,"Everything Up
(prod. ​PinkGrillz)
(RAGER GIRL)","Original instrumental for ""Everything Up."" Uploaded to producer PinkGrillz's YouTube channel titled ""[FREE] trippie redd x k suave x rage type beat - ""rager girl"" (prd. pinkgrillz88)"" on February 23, 2021.

""bpm: 150
key: f minor""",,,2:43,150,Full,High Quality,"https://pillows.su/f/24651f09b17aee42f4cabc9277edbf48
https://youtu.be/4xagRZ600Gw
https://bsta.rs/680f262f
https://bsta.rs/a967bf39"
Alivë,"li change
(prod. Yeat & Firemane)","OG Filename: li change prod yeat fire 142
Instrumental produced by Yeat. Filename teased while previewing another instrumental in an Instagram post. Unknown if he recorded over the instrumental. Era unconfirmed.",,,2:42,142,Confirmed,Not Available,N/A
Alivë,"Green
(prod. YEAT)
(mob tiez)","OG Filename: mob tiez [prod yeat] 6
Original instrumental for ""Green."" Leaked on September 6, 2025.",,,3:19,,OG File,CD Quality,https://pillows.su/f/305d7a1fb8148efbafb4eb775998139d
Alivë,Ny [Original Instrumental],"Original instrumental for ""Ny."" Uploaded to YouTube titled ""[FREE FOR PROFIT] Trippie Redd x SoFaygo Type Beat - Blood Moon.""",,,3:01,,Full,High Quality,https://pillows.su/f/8a953c848e94f4384a7995dc8cbfe98c
Alivë,"Painting Picturës
(prod. wifi)
(Painting Pictures)","OG Filename: Painting Picturës (prod. wifi) inst
Instrumental for ""Painting Picturës"" from 2020. Leaked alongside the track in a successful same-day $275 groupbuy on August 12, 2024.",,,2:14,150,OG File,High Quality,https://pillows.su/f/a492d48c0f4af8edd7fd1d164d87a019
Alivë,"popout
(prod. Yeat)","OG Filename: popout prod yeat
Instrumental produced by Yeat and previewed in an Instagram post. Unknown if he recorded over the instrumental. Era unconfirmed.",,,2:45,,Snippet,High Quality,https://pillows.su/f/cbb11085ea38ac36438e38f1b46fa9d1
Alivë,"RR
(prod. YEAT)","OG Filename: RR prod yeat
Instrumental previewed by Yeat in an Instagram Story captioned ""🧛🏼‍♂️,"" likely on February 10, 2021. Unknown if he recorded over the instrumental.",,,,,Snippet,Recording,https://pillows.su/f/fcb9ce50e6e7307113a55c21e388477a
Alivë,"Untitled
(prod. Yeat & Rision)","OG Filename: YEAT X RISION 120BPM
Untitled instrumental produced by Yeat and previewed in an Instagram post. Unknown if he recorded over the instrumental. Era unconfirmed.",,,3:28,120,Snippet,High Quality,https://pillows.su/f/6738482bb74816e3460d83ea933bab1b
Alivë,"???
(prod. BenjiCold)
(Geek hours)","Instrumental for ""Geek hours."" Uploaded to the producer's YouTube channel on September 4, 2020, titled ""BenjiCold x BandiCoot x KanKan Type Beat "" Ok 2 .""""",,,2:00,,Tagged,High Quality,https://pillows.su/f/4ece7dd8f509925590f3f604d50617fc
Alivë,"???
(prod. Yeat)",Instrumental produced by Yeat and previewed in an Instagram post. Unknown if he recorded over the instrumental. Era unconfirmed.,,,,,Snippet,High Quality,https://pillows.su/f/e558bfd60ebecd3a74b68f721db9b3c7
Alivë,"???
(prod. Yeat & Firemane)",Instrumental produced by Yeat and previewed in an Instagram post. Unknown if he recorded over the instrumental. Era unconfirmed.,,,,,Snippet,High Quality,https://pillows.su/f/3bae9575428f1bef1577e70e53e92b82
Alivë,"GOONIE - Zaza
(feat. YEAT & Kankan) (prod. BenjiCold)","Original instrumental for track 5 on This Thing of Ours Vol. 2 by GOONIE. Contains a ""purchase this beat"" tag. Uploaded to BenjiCold's YouTube on October 29, 2020, titled ""BenjiCold x Oao Type Beat.""",,,2:50,,Tagged,High Quality,"https://pillows.su/f/20f72ae750cec09ca0c47c8760c79e69
https://youtu.be/rJ7CrYScTyg"
