Era,Name,Notes,Designer,Form,Image,Type,Use,Links
Featuring Ty Dolla $ign,Ego Death,"Official cover for ""Ego Death"".",Harry Buggz,Digital,,Front Cover,Used,"https://ibb.co/BKfdzXvW
https://archive.org/details/7122306"
Featuring Ty Dolla $ign,Ego Death,"Billboard for ""Ego Death"", featuring a different design of Skrillex's character.",Harry Buggz,Photo,,Front Cover,Used,https://ibb.co/VWTkVtFs
Featuring Ty Dolla $ign,Ego Death,"Rough draft for ""Ego Death"".",Harry Buggz,Digital,,Front Cover,Concept Art,https://ibb.co/KmYHZxt
Featuring Ty Dolla $ign,Ego Death,"Rough draft for ""Ego Death"".",Harry Buggz,Digital,,Front Cover,Concept Art,https://ibb.co/X2cgjLH
Featuring Ty Dolla $ign,Ego Death,"Rough draft for ""Ego Death"".",Harry Buggz,Digital,,Front Cover,Concept Art,https://ibb.co/TgLwp6w
Featuring Ty Dolla $ign,Ego Death,Concept art for Ty's character.,Harry Buggz,Digital,,Concept Art,Concept Art,https://ibb.co/gmZN034
Featuring Ty Dolla $ign,Ego Death,Concept art for Ye's character.,Harry Buggz,Digital,,Concept Art,Concept Art,https://ibb.co/bm67VHq
Featuring Ty Dolla $ign,Ego Death,Concept art for FKA twigs' character.,Harry Buggz,Digital,,Concept Art,Concept Art,https://ibb.co/tH0SzPD
Featuring Ty Dolla $ign,Ego Death,"Concept art for a dancer character featured in the ""Ego Death"" music video.",Harry Buggz,Digital,,Concept Art,Concept Art,https://ibb.co/pv7kf8M
Beach House 4 [V2],Beach House 4,"One of nine covers designed by RVDIO Design that were submitted for Beach House 4. It's unknown if these covers were actually considered for the album by Ty, but it's unlikely that they were. Found on RVDIO's design portfolio.",RVDIO,Digital,,Front Cover,Unused,https://ibb.co/4n3Y8h3x
Beach House 4 [V2],Beach House 4,"One of nine covers designed by RVDIO Design that were submitted for Beach House 4. It's unknown if these covers were actually considered for the album by Ty, but it's unlikely that they were. Found on RVDIO's design portfolio.",RVDIO,Digital,,Front Cover,Unused,https://ibb.co/ccqD2DX3
Beach House 4 [V2],Beach House 4,"One of nine covers designed by RVDIO Design that were submitted for Beach House 4. It's unknown if these covers were actually considered for the album by Ty, but it's unlikely that they were. Found on RVDIO's design portfolio.",RVDIO,Digital,,Front Cover,Unused,https://ibb.co/6cm0cKs8
Beach House 4 [V2],Beach House 4,"One of nine covers designed by RVDIO Design that were submitted for Beach House 4. It's unknown if these covers were actually considered for the album by Ty, but it's unlikely that they were. Found on RVDIO's design portfolio.",RVDIO,Digital,,Front Cover,Unused,https://ibb.co/cKSnTrLx
Beach House 4 [V2],Beach House 4,"One of nine covers designed by RVDIO Design that were submitted for Beach House 4. It's unknown if these covers were actually considered for the album by Ty, but it's unlikely that they were. Found on RVDIO's design portfolio.",RVDIO,Digital,,Front Cover,Unused,https://ibb.co/23chfZc7
Beach House 4 [V2],Beach House 4,"One of nine covers designed by RVDIO Design that were submitted for Beach House 4. It's unknown if these covers were actually considered for the album by Ty, but it's unlikely that they were. Found on RVDIO's design portfolio.",RVDIO,Digital,,Front Cover,Unused,https://ibb.co/LzK5kw4V
Beach House 4 [V2],Beach House 4,"One of nine covers designed by RVDIO Design that were submitted for Beach House 4. It's unknown if these covers were actually considered for the album by Ty, but it's unlikely that they were. Found on RVDIO's design portfolio.",RVDIO,Digital,,Front Cover,Unused,https://ibb.co/jvvDK1MC
Beach House 4 [V2],Beach House 4,"One of nine covers designed by RVDIO Design that were submitted for Beach House 4. It's unknown if these covers were actually considered for the album by Ty, but it's unlikely that they were. Found on RVDIO's design portfolio.",RVDIO,Digital,,Front Cover,Unused,https://ibb.co/gFTvPRPh
Beach House 4 [V2],Beach House 4,"One of nine covers designed by RVDIO Design that were submitted for Beach House 4. It's unknown if these covers were actually considered for the album by Ty, but it's unlikely that they were. Found on RVDIO's design portfolio.",RVDIO,Digital,,Front Cover,Unused,https://ibb.co/Ng5RnxKx
VULTURES 2,VULTURES 2,"Official cover for VULTURES 2. According to Ty, this cover is a photo, taken by Aus Taylor, of an action figure that was gifted to Ty by a fan.",Aus Taylor,Digital,,Front Cover,Used,https://ibb.co/NnY4LhLg
VULTURES 2,VULTURES 2,"In an interview with Big Boy, it was revealed that Ye was in Paris with Pharrell, Aus, and others, when a sketch of Ty holding a photo of TC was made that ""everybody liked"".",Aus Taylor,Photo,N/A,Concept Art,Concept Art,Source Needed
VULTURES 2,VULTURES 2,Alternate cover for VULTURES 2 that was used as Ty's profile picture on Instagram.,Aus Taylor,Digital,,Front Cover,Alternate,https://ibb.co/brn2d84
VULTURES 2,VULTURES 2,"Alternate cover for VULTURES 2. Posted by Ye to Instagram on March 9, 2024.",Aus Taylor,Digital,,Front Cover,Alternate,https://ibb.co/1YKvYT4K
VULTURES 2,VULTURES 2,"Alternate cover for VULTURES 2. Posted by Victor Shevchenko to Instagram on March 10, 2026.",Aus Taylor,Photo,,Front Cover,Alternate,https://ibb.co/MD3hKm0t
VULTURES 2,VULTURES 2,"Alternate cover for VULTURES 2. Posted by Ty Dolla $ign to Instagram on March 9, 2024.",Aus Taylor,Digital,,Front Cover,Alternate,https://ibb.co/WvVpTTtr
VULTURES 2,Vultures Vol. 2,"Alternate cover for VULTURES 2. Posted by Ye to Instagram on January 23, 2024.",Gosha Rubchinskiy & Valentin Fufaev,Digital,,Front Cover,Alternate,https://ibb.co/Ld6rLCTg
TYCOON,TYCOON,Official cover for TYCOON.,Kid Super,Digital,,Front Cover,Used,https://ibb.co/SSLSVrb
TYCOON,AUGER LEAKS,Cover for the TYCOON bonus tracks sent out by Auger96 to fans who purchased the album.,Unknown,Digital,,Front Cover,Used,https://ibb.co/CKY0Qr6t
TYCOON,TYCOON,Alternate cover for TYCOON.,Unknown,Digital,,Front Cover,Alternate,https://ibb.co/2YP5x2dK
TYCOON,TYCOON,Alternate cover for TYCOON.,Unknown,Digital,,Front Cover,Alternate,https://ibb.co/DDcdxGGT
TYCOON,TYCOON,"Mugshot promo posters with Future, Lil Baby, and 2 Chainz.",Unknown,Photo,,Promo Art,Used,Link Needed
TYCOON,TYCOON,Mugshot promo posters with Leon Thomas and Rich The Kid.,Unknown,Photo,,Promo Art,Used,Link Needed
TYCOON,TYCOON,Mugshot promo posters with YG and Tyga.,Unknown,Photo,,Promo Art,Used,Link Needed
TYCOON,TYCOON,Mugshot promo posters with Kodak Black.,Unknown,Photo,,Promo Art,Used,Link Needed
TYCOON,TYCOON,Mugshot promo posters with Travis Scott.,Unknown,Photo,,Promo Art,Used,Link Needed
TYCOON,TYCOON,"Unused promo posters with Playboi Carti, Destroy Lonely, and Chloe Bailey.",Unknown,Photo,,Promo Art,Unused,Link Needed
TYCOON,Wheels Fall Off,"Official cover for ""Wheels Fall Off'.",Unknown,Digital,,Front Cover,Used,https://ibb.co/tpWXrDfM
TYCOON MA$HUPS,TYCOON MA$HUPS,Official cover for TYCOON MA$HUPS.,jabba.gfx,Digital,,Front Cover,Used,https://ibb.co/V0YBK7cH
