Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
PURPLE MOON,"???
(prod. Varg²™)","Song with low-pitched vocals. Played by Ty on stream May 18th, 2026. Snippets posted by Ty to Instagram on July 12th and July 21st, 2026.",,,"Jul 20, 2026",Partial,Recording,"https://pillows.su/f/6e968a663c73295c9e1543bfa3cd984a
https://pillows.su/f/deb555e6aaccc056c03a92a551fb17e5
https://pillows.su/f/da97b9fbb230dde466eea9348f269f58"
girl music vol. 2: sex playlist,"G-Eazy - ???
(feat. Ty Dolla $ign)","Played by G-Eazy and Ty at an event on July 5th and July 19th, 2026.",,"Mar 20, 2026","Jul 19, 2026",Snippet,Recording,"https://pillows.su/f/5e68946b3ac92e94924fc1c177e7a751
https://pillows.su/f/39e5788a44c3b1ab37fafca1e7ac4a00"
PURPLE MOON,"🏆 HERE, THERE AND EVERYWHERE
(prod. Ty Dolla $ign, Jairus Mozee & Mike Moore)","Cover of ""Here, There and Everywhere"" by The Beatles which, according to Ty, would appear on PURPLE MOON due to the vocal pitching used on the song. Ty also stated that he played the talkbox on the song along with the keys with Mike Moore, and the guitar was played by Jairus Mozee. Likely recorded in mid to late 2024, as the song has been played alongside other files from that period, and Ty was recording covers of various songs at the time, including ""THROW AWAY"" and ""THOUSAND MILES"". Mike Moore has also stated that the song was made ""years ago"". During stream on April 18th, 2026, Ty stated that he wants to ""make this video ASAP"" and the song could possibly appear on girl music vol. 2, which he would also repeat on stream on May 5th, 2026. First played by Ty on stream September 2nd, 2025. Snippet posted by Ty to Instagram on July 16th, 2026.",2:26,,"Jul 16, 2026",Full,Recording,"https://pillows.su/f/95b96befc70ed69a34f9901b2a79c683
https://pillows.su/f/e80849643735208163064380c4ed48ff"
$ign Language 2,"???
(feat. A$AP Ferg) (prod. Juicy J & damn james!)
(Okay Alright)","$ign Language 2-era song featuring a verse from A$AP Ferg. Samples ""Mass Appeal"" by Gang Starr. Played by Ty on stream September 2nd, 2025. Snippet posted by Ty to Instagram on July 15th, 2026.",2:35,,"Jul 15, 2026",Full,Recording,"https://pillows.su/f/a678ecf5249a2e9f4fb60d0b1d1a37a5
https://pillows.su/f/116a1beb9e86a509a8177bbf052aa6f0"
girl music vol. 2: sex playlist,"D. Savage - ???
(feat. Ty Dolla $ign)","Snippet posted by Ty to Instagram on July 14th, 2026.",,,"Jul 14, 2026",Snippet,CD Quality,https://pillows.su/f/fd89226b218f7f7266a274fb2559c6d3
Ongoing,"??? [V1]
(prod. Ty Dolla $ign)
(Pay No Mind)","Instrumental. Snippet posted by Ty to Instagram on July 14th, 2026.",,,"Jul 14, 2026",Snippet,CD Quality,https://pillows.su/f/a74eeb880be981e043a33d808fb436da
Ongoing,"??? [V2]
(prod. Ty Dolla $ign)
(Pay No Mind)","Snippet posted by Ty to Instagram on July 14th, 2026.",,,"Jul 14, 2026",Snippet,CD Quality,https://pillows.su/f/624b40e2037c7648bb995eb97b619e98
VULTURES 2,"EASY COME EASY GO [V5]
(prod. Ojivolta)
(EASY COME AND EASY GO, LOST AND FOUND)","Version played alongside other late VULTURES 2-era files dated shortly before the album's release. Played by Ty on stream July 13th, 2026.",,,"Jul 13, 2026",Snippet,Recording,https://pillows.su/f/1e355103ae06100d5792740aebce6073
VULTURES 2,"PAY PER VIEW [V12]
(feat. Project Pat) (prod. Nico Baran, Juicy J, DJ Paul & The Legendary Traxster)","Version with Ty's re-recorded verse as well as slightly different production, played alongside other late VULTURES 2-era files. Played by Ty on stream July 13th, 2026.",,,"Jul 13, 2026",Partial,Recording,https://pillows.su/f/de7861610b8d1cd0d1d93273202dbed2
VULTURES 2,???,"Song with Ye vocals. Played by Ty on stream July 13th, 2026.",,,"Jul 13, 2026",Snippet,Recording,https://pillows.su/f/0c47a71b846f7cb54acba7e5ec1feca8
VULTURES 2,???,"Song with Ye vocals. Played by Ty on stream July 13th, 2026.",,,"Jul 13, 2026",Snippet,Recording,https://pillows.su/f/ba303d794e609a87cc586e411c6599b4
VULTURES 3,"🤖 Kanye West - LAST BREATH [V9]
(ref. Ty Dolla $ign) (feat. Peso Pluma) (prod. Kanye West)","Version with vocals from Peso Pluma, possibly a second reference track recorded by Ty. Played by Ty on stream July 13th, 2026.",,"Feb 1, 2025","Jul 13, 2026",Snippet,Recording,https://pillows.su/f/9ab6996ac62c0ba014693e0a08d3d809
TYCOON [V1],"???
(prod. Ty Dolla $ign)
(Nothing Else Matters)","Played by Ty on stream September 2nd, 2025. Snippet posted by Ty to Instagram on July 13th, 2026.",,,"Jul 13, 2026",Partial,Recording,"https://pillows.su/f/79695f7349029d5fd21c111f617fc777
https://pillows.su/f/9924ca8843e8f18ed6f62b099af9ef1a"
TYCOON [V1],"??? [V1]
(prod. Ty Dolla $ign)
(Wait For Me)","Original instrumental. Played by Ty on stream July 13th, 2026.",,,"Jul 13, 2026",Partial,Recording,https://pillows.su/f/7b0b442885af619b91a1c82a79255658
TYCOON [V1],"Freak [V2]
(feat. Ye) (prod. TheLabCook & William Van Zandt)","Version with real vocals from Ye, likely his initial freestyle for the song. Acapella played by Ty on stream July 13th, 2026.",,,"Jul 13, 2026",Snippet,Recording,"https://pillows.su/f/e2d69b50a87fe44702aab5736ddb9180
https://pillows.su/f/2b9fa351425144721b6243e7df0ca369"
