Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"0 Album Track(s)
0 Single(s)
39 Feature(s)
11 Production
0 Other",Before Beach House,"(04/13/1982) (Tyrone William Griffin Jr. is born in Los Angeles)
(10/01/2012) (Beach House is officially released)",,,Other,,
Before Beach House,"Hunter
(with Camara Kambon)",Song from the soundtrack for Biker Boyz (2003).,,,Other,No,
Before Beach House,Waiting (Remix),Song on the soundtrack for The Cookout (2004). Written by Tyrone Griffin Jr. and Camara Kambon.,,,Other,No,
Before Beach House,Bloodwalk,Song on the soundtrack for The Cookout (2004).,,,Other,No,
Before Beach House,"perskryptshyn [V1]
(with Jack Sample Pros) (prod. Jack Sample Pros)","Version released by JACK SAMPLE THUGS to Myspace tagged under the album ""jspros"". This version is about half a minute longer than the final release of the song. Other differences unknown. Lost when Myspace lost all user content uploaded before 2016. The upload date is bugged, being listed as December 31, 2005, or January 1, 2006; the song was likely uploaded sometime in 2006.",4:55,,Production,Lost,https://myspace.com/jacksample/music/song/perskryptshyn-25025508-24826693
Before Beach House,"Sa-Ra - And If
(with Ty of Ty & Kory) (prod. Sa-Ra & Ty of Ty & Kory)",Track 5 on Sa-Ra's The Hollywood Recordings.,2:37,,Feature,Yes,https://open.spotify.com/track/47sjawuqA6uyYNTPtRNakQ?si=d1ddf9e54f564b28
Before Beach House,"Sa-Ra - Do Me Gurl
(with Ty of Ty & Kory) (prod. Sa-Ra & Ty of Ty & Kory)",Track 11 on Sa-Ra's The Hollywood Recordings.,3:57,,Feature,Yes,https://open.spotify.com/track/4rQ1sqIak5ReXCD3Lpqwk1?si=e80b65bbfe134dad
Before Beach House,"Perskryptshyn [V2]
(with Jack Sample Pros) (prod. Jack Sample Pros)","Track 9 on compilation album Producer, Vol. 1. Written by T. Griffin and K. Harrold. Drums and keys played by Fly Ty. Effects done by Chordz. Trumpet played by Keyon Harrold. Executive produced by FLY TY & REK-RAP.",4:14,,Production,Yes,https://open.spotify.com/track/0NgqoMfBvQpTYnqbU895Ji?si=c8ccad9a1baa44d1
Before Beach House,"the intro [V1]
(with Jack Sample Pros) (prod. Jack Sample Pros)","Version released by JACK SAMPLE THUGS to Myspace tagged under the album ""rawandbangin vol 2"", likely meaning that this is the original version of the intro to Raw & Bangin' Vol. 2. This version is over five minutes long, whereas the version on the mixtape is only about a minute and a half long. Unknown if Ty & Kory or Venus Brown have vocals on this version. Lost when Myspace lost all user content uploaded before 2016. The upload date is bugged, being listed as December 31, 2007, or January 1, 2008; the song was likely uploaded sometime in early 2008, before the release of Raw & Bangin' Vol. 2.",5:18,,Production,Lost,https://myspace.com/jacksample/music/album/rawandbangin-vol-2-8633579
Before Beach House,"Shawn Jackson - Soopafly
(feat. Ty) (prod. Chordz & Fly Jack)",Track 3 on Shawn Jackson's First Of All....,3:54,,Feature,No,https://pillows.su/f/b09e127cbcd70c6ec382f5d2e11763e2
