Era,Name,Notes,Designer(s),Art Type,Image,Project Type,Use,Link(s)
Purple Thoughtz,Purple Thoughtz,Cover art of Lil Uzi Vert's debut solo EP called Purple Thoughtz. ,Unknown,Digital,,Front Cover,Used,https://ibb.co/MkBHKkdk
Home Economic$,Home Economic$,Cover art of the EP between Lil Uzi Vert and Reese LaFlare.,Deo Rodriguez,Digital,,Back Cover,Unused,https://ibb.co/Vch5QPTm
The Real Uzi,"The Real Uzi 
[Back Cover]",Back cover for the debut mixtape The Real Uzi.,Unknown,Digital ,,Back Cover,Used,https://ibb.co/7t9XQ0Md 
The Real Uzi,The Real Uzi,Cover art for the debut mixtape The Real Uzi.,Unknown,Digital ,,Front Cover,Used,https://ibb.co/1Gxw9fbW
The Real Uzi,DJ Diamond Kuts - Bustin in the Parking Lot,Cover for DJ Diamond Kuts song Bustin In The Parking Lot. Lil Uzi Vert wrote the song.,Unknown ,Digital,,Front Cover,Used,https://ibb.co/kshXpvgp
The Real Uzi,Kur - I Don't Give A Fuck,Cover for I Don't Give A Fuck by Kur featuring Lil Uzi Vert.,Unknown,Digital,,Front Cover,Used,https://ibb.co/b5HrVXYv
The Real Uzi,Louis Rose - Barry White,Cover for Barry White by Louis Rose featuring Lil Uzi Vert.,Unknown,Digital,,Front Cover,Used,https://ibb.co/3Y9xB9FM
The Real Uzi,Kur - Chiraq Pt. 2,Cover for Chiraq Pt. 2 by Kur featuring Lil Uzi Vert.,Unknown,Digital,,Front Cover,Used,https://ibb.co/tM4R6zQT
The Real Uzi,William Aston - Big & Puff,Cover for Big & Puff by William Aston featuring Lil Uzi Vert.,Unknown,Digital ,,Front Cover,Used,https://ibb.co/NgW49wgp
Luv Is Rage,Luv Is Rage,Cover for Lil Uzi Vert his second mixtape and his debut at Atlantic Records. The cover is inspired by a photo of Lil Uzi Vert.,Farris,Digital,,Front Cover,Used,https://ibb.co/rG8VSHHr
Luv Is Rage,Luv Is Rage ,More bright & clearer version of the cover.,Farris,Digital,,Front Cover,Used,https://ibb.co/BVRWvJx5
Luv Is Rage,"Luv Is Rage
[Eternal Atake 2 Cover]",Cover that was put on all albums & mixtapes that was available on all streaming platforms at the time Eternal Atake 2 was announced.,Farris,Digital,,Front Cover,Used,https://ibb.co/s9c1RdB3
Luv Is Rage,"Luv Is Rage
[Front Cover Physical]",Front cover for the physical editions of the mixtape.,Unknown,Photo,,Physical Packaging,Used,https://ibb.co/B5XqZnPq
