Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
TOTAL,"$410,410.00",,,,,,,,,
2026,,Pink Tape [V2],"Slick Head*
(prod. Jahlil Beats)","- Main Song -
Slick Head*

PB for ""Slick Head*""","$1,200","Jul 14, 2026",-,Private,In Progress,
Unknown,,Barter 16,"Racks
(prod. Ricky Racks)
(Racks 2)","- Main Song (Blind) -
Racks

Blind PB for a B16 track, forceleaked by cold during the pb",?,?,-,Private,Force Leaked,N/A
2026,,Barter 16,"Rich Gang
(prod. London On Da Track)
(Cut-Throat)","- Main Song (Blind) -
Rich Gang

Blind PB for a B16 track. Said by Bueberries to be Hook - verse - Hook.",$750,"Jun 30, 2026","Jul 2, 2026",Private,Completed,N/A
2026,,ALL WHITE,"We All Fall [V1 + V2]
(prod. Grimes & Da Honorable C.N.O.T.E.)
(Doing The Most)","- Main Song (Blind) -
We All Fall [V1 + V2]

Bueberries had a seller offering a 2025 song that ""sounds like radar"", blind.
 What the fuck this is the second scam in a row they offered a 2025 song and the seller dipped with the funds (except for those who requested refunds in time)
the next day after exit scam from holder a person came forward with doing the most and the funds were used for this",?,?,"Jun 22, 2026
Jun 23, 2026",Private,Completed,N/A
Unknown,,Pink Tape [V2],"Desto - Screeching
(feat. Lil Uzi Vert) (prod. ???)
(Chrome)","- Main Song -
Chrome

Scam GB of the century, song was larped about being a 2023 solo Uzi throwaway but ended up being a horrible solo edit of Desto's song ""Screeching"" which had an Uzi feature.",?,?,-,Normal,Force Leaked,N/A
2026,,Forever Young,"Bikini Bottom*
(prod. Brandon Finessin)","- Main Song -
Bikini Bottom

Ran normally.
Buy had almost no motion, seemingly was cancelled due to lack of funds as there is no postings of it",$785,"Apr 12, 2026",-,Normal,Cancelled,N/A
2026,,Delta Pink Tape [V1],Blind buy,"- Main Song (Blind) -
Master P

Master P, ran blind",$800,?,"Mar 31, 2026",Blind,Completed,N/A
2026,,Luv Is Rage,"🏆 All Night*
(prod. Steve Aoki)
(Party All Night)","- Main Song (Blind) -
All Night (Party All Night)

Ran blind, announced to be a top 10 grail but ended up being the worst possible option","$2,000","Mar 9, 2026","Mar 10, 2026",Blind,Completed,N/A
Unknown,,Multiple Eras,x4 Buy,"- Main Songs (Blind) -
Line (V1)
Movie (My Reality V2)
Ease

Ran blind",?,?,?,Blind,Completed,N/A
Unknown,,Pink Tape [V3],x2 2023,"- Main Songs (Blind) -
Earthquake

Ran blind with only the year as info",?,?,?,Blind,Completed,N/A
2026,,Luv Is Rage 2 [V2],"Lil Duke - All My Life
(feat. Lil Uzi Vert) (prod. ???)","- Main Song (Blind) -
All my life

Ran blind","$1,050","Feb 19, 2026","Feb 20, 2026",Blind,Completed,N/A
2026,,Eternal Atake [V1],"Akimbo
(with Young Thug)","- Main Song -
Akimbo (Easter)

Ran after someone with the song sent a snippet","$6,000","Feb 13, 2026","Feb 15, 2026",Normal,Completed,N/A
2026,,Eternal Atake 2,"Food Grade
(prod. ???)","- Main Song -
Food Grade (Normal V1 + ""Nitrous"" V2)

Ran just a few hours after it got previewed. The two bounces are supposed to be included. One ended up being fake (an edit).","$1,375","Feb 4, 2026","Feb 6, 2026",Normal,Completed,N/A
2026,,Lil Uzi Vert vs. The World 2 [V1],What You Mean + Bean (Kobe) Sessions,"- Main Song -
What You Mean (OG File + Sessions)
Bean (Kobe) (OG File + Sessions)

Ran immediately after Thot Back sessions finished, finished in a couple of hours.","$1,000","Jan 25, 2026","Jan 25, 2026",Normal,Completed,N/A
2026,,Lil Uzi Vert vs. The World 2 [V1],Thot Back Session,"- Main Song -
Thot Back (OG File + Sessions)

Finished in 2 minutes.",$500,"Jan 25, 2026","Jan 25, 2026",Normal,Completed,N/A
2026,,Forever Young,"Equal [V2]
(prod. Brandon Finessin & StarBoy)
(Can't Stand Us)","- Main Song -
Equal (Can't Stand Us)

2021 song, previewed","$1,800","Jan 4, 2026","Jan 14, 2026",Normal,Completed,N/A
2026,,Eternal Atake [V1],Pre-2020 Song,"- Main Song (Blind) -
Pre-2020 song 

Cancelled due to ''uncertainty'' about the song","$1,000","Jan 4, 2026",-,Blind,Cancelled,N/A
2025,,Pink Tape [V2],"Regular
(prod. Brandon Finessin)","- Main Song (Blind) -
Regular (2022)

Was started on the day of Christmas. Only info known is that it's post 2020. Was first for another song for 1k but was swapped for another  for 1.5k that was supposed to be unblind (but remained blind). It was announced during the switch that a pre-2020 song for 1k would be run next","$1,500","Dec 25, 2025","Jan 3, 2026",Blind,Completed,N/A
2025,,Pink Tape [V3],Gelato,"- Main Song - 
Gelato

2023 song, cancelled due to not enough donating","$2,500","Dec 17, 2025",-,Normal,Cancelled,N/A
2025,,Pink Tape [V3],"🥉 Philadel
(prod. ???)
(Act Up)","- Main Song - 
Philadel (Act Up)

Normal song that isnt blind for once, song is 2023. Song was leaked for free on Dec 16.","$2,500","Dec 11, 2025",-,Normal,Force Leaked,N/A
2025,,Multiple Eras,x6 Pack,"- Main Songs (Blind) - 
Cash Or Clout (2021)
64 (2020)
Saucy (2022)
Mixed Hoe (2021)
Can You Hear Me (2022)
Mobshit (2022)

Song and buy ran by Stewie, there is 6 songs and each will leak at every $500 raised:
1x 2020 brandon x StarBoy x Outtatown 
2x 2021 brandon x2 
3x 2022 3x akachi","$3,000","Dec 6, 2025","Dec 8, 2025",Blind,Completed,N/A
2025,,Barter 16,Wanted B16 Song,"- Main Song (Blind) - 
Wanted Barter era song

Said to be from the Barter 16 era and 'Wanted' by Bueberries. Song was cancelled and the x6 buy was started instead since it was more wanted.","$2,500","Dec 5, 2025",-,Blind,Cancelled,N/A
2025,,METROOOO PINK,"Playing For Keeps
(prod. Metro Boomin)
(Gothic, One Way)","- Main Song (Blind) - 
Playing For Keeps (One Way)

Announced by Bueberries, said to be a 2023 metro boomin song but wasn't specified if actually from the tape or not.","$2,250","Nov 30, 2025","Dec 4, 2025",Blind,Completed,N/A
2025,,Pink Tape [V3],"Factory
(prod. Akachi)
(Respectful)","- Main Song (Blind) - 
Factory (Respectful)

Said to be a wanted 2023 song by Bueberries.","$2,000","Nov 28, 2025","Nov 30, 2025",Blind,Completed,N/A
2025,,Pink Tape [V3],🥉 Deep Voice song,"- Main Song (Blind) - 
Deep Voice song
Percocet Pill
I Met A Girl From D.R.

Ran by bueberries and claimed to be ""One of the craziest deep voice songs"". The buy will be cancelled if it does not hit 50% finished by the 19th. Later, it turned out that seller (not bueberries) lied about having the deep voice song and instead replaced it with two melodic 2023 songs","$3,500","Nov 16, 2025","Nov 18, 2025",Blind,Completed,N/A
2025,,Eternal Atake [V1],"Racks (Session)
(prod. Oogie Mane, DJ Bangout, Nick Mira, Taz Taylor & Brandon Finessin)
(That's A Rack)","- Main Song  - 
Racks (Session)

Full buy for the entire session.",$200,"Nov 10, 2025","Nov 10, 2025",Normal,Completed,N/A
2025,,Eternal Atake [V1],"Racks [V2 & V4]
(prod. Oogie Mane, DJ Bangout, Nick Mira, Taz Taylor & Brandon Finessin)
(That's a Rack)","- Main Song  - 
Racks [V2]
Racks [V4]

Scam buy ran for 2 unbounced song versions that would've been included in the session if it was bought instead.",$650,"Nov 9, 2025","Nov 9, 2025",Normal,Completed,N/A
2025,,Pink Tape [V3],"Baby Daddy
(prod. Bugz Ronin)
(With The Shits)","- Main Song (Blind) - 
Baby Daddy

Buy ran blind but was cancelled on the 20th. Song ended leaking regardless for free on the 21th",$600,"Oct 19, 2025",-,Normal,Cancelled,N/A
2025,,Too Fast,"Kickback
(with YoungBoy Never Broke Again) (prod. ???)","- Main Song (Blind) -
Kickback

Another blind song for cheap.",$750,"Oct 17, 2025","Oct 19, 2025",Blind,Completed,N/A
2025,,Forever Young,"Nasty
(prod. Brandon Finessin & Clibbo)","- Main Song (Blind) -
Nasty (2020)

Completely blind buy for cheap.",$500,"Oct 16, 2025","Oct 17, 2025",Normal,Completed,N/A
2025,,Pink Tape [V3],"Stand Straight Up
(prod. Bugz Ronin)
(Michael Vick)","- Main Song (Blind) -
Stand Straight Up (Micheal Vick)
- Bonuses -
Slow Day [V1] (At $1k Raised)

x2 2023 song buy, not blind. ""OG"" version of Smack My Bitch up was added on later as a bonus at $1k since people weren't donating. This horrid buy finally reached enough raised on the 13th but the song didnt even surface for another 2 days sob","$2,000","Oct 1, 2025","Oct 15, 2025",Blind,Completed,N/A
2025,,Pink Tape [V3],Star Star & Wherever You Are Bundle,"- Main Songs -
Star Star
Wherever You Are (w/ Snow Strippers) (At $2,500 Raised)

Two PT V3 songs from 2023. Shuffle Till Im Dead leaked halfway through.","$5,000","Sep 27, 2025","Sep 28, 2025",Normal,Completed,N/A
2025,,Pink Tape [V2],"Melrose
(prod. Cash Cobain & Brandon Finessin)","- Main Song -
Melrose

Post-2020 buy.","$1,500","Sep 25, 2025","Sep 26, 2025",Normal,Completed,N/A
2025,,Lil Uzi Vert vs. The World 2 [V1],"Lil Momma
(prod. Bugz Ronin)","- Main Song (Blind) -
Lil Momma (2018)

Pre-2020 song, said to be ""insane"" by admins. Song was forceleaked during the buy.","$3,000","Sep 25, 2025",-,Blind,Force Leaked,N/A
2025,,Eternal Atake [V1],"Like The Way I'm Drippin'
(prod. Oogie Mane)","- Main Song (Blind) -
Like The Way I'm Drippin (2018)

Another pre-2020 buy, maria dropped a ton helping the buy finish in a day.","$2,500","Sep 24, 2025","Sep 24, 2025",Blind,Completed,N/A
2025,,Forever Young,"I Don't Wanna Be Here
(prod. Brandon Finessin, leqn & Elixsr)
(3 Heads)","- Main Song -
I Don't Wanna Be Here (Three Heads)

Post 2020 buy, maria dropped a ton of money","$1,500","Sep 23, 2025","Sep 23, 2025",Normal,Completed,N/A
2025,,Eternal Atake [V1],"Never
(prod. Bugz Ronin & Brandon Finessin)","- Main Song (Blind) -
Never (2018)

Pre-2020 buy, no idea why they wanted this much for this song but its pretty good. Some guy dropped 2k through paypal like a day after the buy started to finish it.","$3,055","Sep 20, 2025","Sep 21, 2025",Blind,Completed,N/A
2025,,Multiple Eras,x3 Post 2020 pack,"- Main Songs -
Curve (2021)
Nothing About It (Ducati) (2022)
Stuck With You (2021)
Blind ""Insane"" Pre-2020 song

- Bonuses -
At All (At $4,000 Raised)

Buy ran non-blind by bue. Has wanted songs. Ducati leaked at $1.5k to help people want to donate more for the others.","$4,000","Sep 17, 2025","Sep 20, 2025",Normal,Completed,N/A
2025,,Pink Tape [V2],x2 2022 Buy,"- Main Songs -
Crush It
Not So Bad

- Bonuses -
Wock (At $1.8k Raised)

x2 2022 song buy, not blind","$3,000","Sep 13, 2025","Sep 17, 2025",Normal,Completed,N/A
