Era,Name,Notes,Image / Length,Date Made,Date,Type,Available Length,Quality,Link(s)
,"Purple Thoughtz
(Purple Thoughtz EP Vol. 1)",,,,,,,,
,Music Videos,,,,,,,,
Purple Thoughtz,"White Shit
(with DJ Drama) (prod. SpaceGhostPurrp)","Music video for ""White Shit"". Directed by @directorluisaponte.",4:05,N/A,"Nov 1, 2017",Music Video,Full,Unreleased,https://mega.nz/file/4npkiQJK#XCzIy69NpSQE1O6gtq1ILWAM8rFqbfZHMcW7UXrql2k
,Features,,,,,,,,
Purple Thoughtz,"Steaktown - Steaktown Anthem
(prod. ???)","Music video for ""Steaktown Anthem"". Uzi's first ever music video, recorded sometime mid 2012 when he was 16.",4:00,"??? ??, 2012","Jul 22, 2012",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=eqkQ5flubvM
,The Real Uzi,,,,,,,,
,Music Videos,,,,,,,,
The Real Uzi,"Uzi
(prod. Charlie Heat)
(U.Z.I)","Music video for ""Uzi"". Earliest upload on Uzi's youtube channel. Directed by @yinkasoda & @kskhussle.",3:51,"Sep 27, 2014","Nov 5, 2014",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=WJUi0AWiL7g
,Features,,,,,,,,
The Real Uzi,"PHILLY ZOO (REMIX)
(feat. Leemazin, Spade-O, Nina Ross, Chynna, Young Savage, Ms. Jade & Lil Uzi Vert) (prod. DJ Diamond Kuts)","Music video for ""Philly Zoo"".",3:51,N/A,"Feb 6, 2014",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=AbhBYw-7yJw
The Real Uzi,"Kur - I Don't Give A Fuck
(feat. Lil Uzi Vert) (prod. Maaly Raw)","Music video for ""I Don't Give A Fuck"".",3:25,N/A,"Feb 4, 2014",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=R_xLVzVEyD8
The Real Uzi,"William Aston - Big & Puff
(feat. Lil Uzi Vert) (prod. Freshsz)","Music video for ""Big & Puff"". Directed by MDot Cinema.",4:27,"??? ??, 2014","Jul 16, 2014",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=r2k5STfG3Xw
The Real Uzi,"DJ Nick - 187
(feat. A$AP Ant & Lil Uzi Vert) (prod. DJ Nick & T187)","Music video for ""187"". Directed by @FLEXXXGOD.",3:40,"??? ??, 2014","Jul 28, 2014",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=vwYF7z-oorca
,Luv Is Rage,,,,,,,,
,Music Videos,,,,,,,,
Luv Is Rage,"Safe House
(prod. Don Cannon & Maaly Raw)","Music video for ""Safe House"". Directed By Spike Jordan. Later released as WorldStarHipHop exclusive.",3:58,"??? ??, 2015","Nov 4, 2015",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=8SUiK-HThYM
Luv Is Rage,"Super Saiyan
(prod. Slade Da Monsta)
(Super Saiyan Trunks)","Music video for ""Super Saiyan"". Released under it's original name ""Super Saiyan Trunks."" Features clips from the anime Dragon Ball, similar to the ""He Did It"" music video.",2:29,"??? ??, 2015","Jul 8, 2015",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=gtuDAr8Oe7g
Luv Is Rage,"All My Chains
(prod. Slade Da Monsta)","Music video for ""All My Chains"". Directed By Spike Jordan.",2:30,"Jan 27, 2016","Feb 19, 2016",Music Video,Full,Officially Released,https://www.youtube.com/watch?v=D_CWV1HKNTo
