Era,Name,Notes,Available Length,Leak Date,Type,Availability,Quality,Link(s)
,Luv Is Rage,,,,,,,
,Instrumentals,,,,,,,
Luv Is Rage,"7AM
(prod. Xay Scott, Lex Luger & DP Beats)",Instrumental for the released song '7AM'.,3:10,,Instrumental,Full,High Quality,https://pillows.su/f/d3debc106ae860939f078c13f1de8431
Luv Is Rage,"Finessin Hearts
(prod. DP Beats & PJ Pipe It Up)
(Left Me Lone)",Instrumental for the released song 'Finessin Hearts'.,4:36,,Instrumental,Full,High Quality,https://pillows.su/f/52ac0a8ae2be949bd84e757ed857a2cd
Luv Is Rage,"Grandmamie
(prod. Don Cannon & DJ DaddyAndre)
(Grandmother, Justin Bieber)","Instrumental for the unleaked song 'Grandmamie'. Was posted on soundcloud by Don Cannon himself on Apr 26, 2024, was later taken down in May 2025.",3:23,"Apr 26, 2024",Instrumental,Full,High Quality,https://pillows.su/f/e75891c2fff92fa68c1487b10520d721
Luv Is Rage,"Like This
(prod. Maaly Raw & Ike Beatz)
(Alone Time)",Instrumental for the leaked song 'Like This'.,3:58,"Aug 9, 2023",Instrumental,Full,High Quality,https://pillows.su/f/348084b92eb1809487e9bf09f0f35cf5
,Beat Loops,,,,,,,
Luv Is Rage,"Like This
(prod. Maaly Raw & Ike Beatz)
(Alone Time)",Beat loop for 'Like This'.,0:06,,Beat Loop,Full,Lossless,https://pillows.su/f/f724dd29173d50bcad4571f004dc5e48
,Lil Uzi Vert vs. The World,,,,,,,
,Instrumentals,,,,,,,
Lil Uzi Vert vs. The World,"Bye Bye Birdie
(prod. DP Beats)
(Bandz)",Instrumental for the leaked song 'Bandz'. Posted by DP Beats on Soundcloud.,2:57,"Feb 18, 2023",Instrumental,Full,High Quality,LINK NEEDED
Lil Uzi Vert vs. The World,"Lies
(prod. WondaGurl)
(Foreign Hoes)",Instrumental for the leaked song 'Lies'.,3:08,"Nov 26, 2016",Instrumental,Full,CD Quality,https://pillows.su/f/4e8d16b9cbcc8e4d8f02341dabe2fa8a
Lil Uzi Vert vs. The World,"Money Longer
(prod. Maaly Raw & Don Cannon)",Instrumental for the released song 'Money Longer'.,3:03,"Oct 6, 2023",Instrumental,Full,Lossless,https://pillows.su/f/75a9d7016e1c89659a06d2e70c05c245
Lil Uzi Vert vs. The World,"Malcolm In The Middle
(prod. Maaly Raw)
(Malcom In The Middle, Everytime, Fast Life)
[Unfinished]",Instrumental for the leaked song 'Malcolm In The Middle'.,5:00,"Mar 14, 2026",Instrumental,Full,High Quality,LINK NEEDED
Lil Uzi Vert vs. The World,"Pillz
(prod. Don Cannon, DJ Day-Day & Ging)
(3 Pills)","Instrumental for the leaked song 'Pillz'. Beat released to all streaming services by Don Cannon himself in April 2024 as '02thousandsixteenbeat 1',",3:32,"Apr 28, 2024",Instrumental,Full,CD Quality,LINK NEEDED
,Acapellas,,,,,,,
Lil Uzi Vert vs. The World,"Kanye West - Come and Go [V2]
(feat. Lil Uzi Vert) (prod. ???)
(That's On You)",Acapella for Uzi on 'Come and Go'.,3:03,"Mar 13, 2025",Acapella,Full,CD Quality,LINK NEEDED
,Sessions,,,,,,,
Lil Uzi Vert vs. The World,"A$AP Ferg - UziGang
(feat. Lil Uzi Vert & Marty Baller)","Single later released on A$AP Ferg's album, music video released on Dec 19, 2016.",N/A,"Mar 29, 2024",Session,Full,Lossless,https://mega.nz/folder/oW8nFQqR#uNh0tnLX2Bfqhh772xEYog
,The Perfect LUV Tape,,,,,,,
,Instrumentals,,,,,,,
The Perfect LUV Tape,"5 In One
(prod. MexikoDro)
(Five In One, My Number In Your iPhone)",Instrumental for the leaked song '5 In One'.,2:21,,Instrumental,Full,CD Quality,LINK NEEDED
The Perfect LUV Tape,"Fire
(prod. DP Beats)",Instrumental for the leaked song 'Fire'.,3:30,"Feb 6, 2025",Instrumental,Full,CD Quality,LINK NEEDED
The Perfect LUV Tape,"Gymnastics
(prod. DP Beats)
(Flexible, That's My Bitch)",Instrumental for the leaked song 'Gymnastics'.,4:39,"Aug 4, 2023",Instrumental,Full,CD Quality,https://pillows.su/f/266fe1151eb563d5ec7f79756a59c76e
The Perfect LUV Tape,"Yah Yah Yah
(prod. Lyle Leduff)
(4G Tires, Forgi Tires)","Instrumental for the unleaked song 'Yah Yah Yah'. Previewed on Lyle Leduff's IG Live on Mar. 23, 2019.",,"Mar 23, 2019",Instrumental,Full,Recording,https://pillows.su/f/f3f4f6f97f62ed1822b8cba5d33d769e
,Beat Loops,,,,,,,
The Perfect LUV Tape,"Do What I Want
(prod. Maaly Raw, Don Cannon & SpadeOfficial)
(I Do What I Want, Now I Do What I Want)",Beat loop for 'Do What I Want'.,0:15,,Beat Loop,Full,Lossless,https://pillows.su/f/8f21560eecdda1870f78f310e1c6b2d6
The Perfect LUV Tape,"Erase Your Social
(prod. Don Cannon & Lyle Leduff)
(Socials)",Beat loop for 'Erase Your Social'.,0:13,,Beat Loop,Full,Lossless,https://pillows.su/f/48031c50045bdc40772df42cb46e7f86
,Luv Is Rage 2 [V1],,,,,,,
,Instrumentals,,,,,,,
Luv Is Rage 2 [V1],"20 Min
(prod. Honorable C.N.O.T.E.)
(20 Minutes, 20 Til', 20 Till' I'm On, Listen)","Instrumental for the released song '20 Min"".",2:44,"Jun 5, 2021",Instrumental,Full,High Quality,https://pillows.su/f/4ebee0cff6d8882fd12d6851a18d1cda
Luv Is Rage 2 [V1],"3D Wrist [V1]
(prod. DP Beats)
(CD Wrist, 3D My Wrist)",Instrumental for the leaked song '3D Wrist'. This is the original instrumental used before it was updated in 2020.,2:57,"Apr 15, 2021",Instrumental,Full,High Quality,LINK NEEDED
Luv Is Rage 2 [V1],"For Real
(prod. DJ Plugg & Bobby Kritical)",Instrumental for the released song 'For Real'.,3:10,,Instrumental,Full,Lossless,https://pillows.su/f/ac0ff5c272d6c0b73c06ce900fa95821
Luv Is Rage 2 [V1],"Fruity Diamonds
(prod. DP Beats)
(Coloured Pebbles, Difference)","Instrumental for the unleaked song 'Fruity Diamonds'. Beat was named 'Difference_2', seemingly made on FL and on 10/4 or 10/9 2016?
Leaked beat is seemingly looped and missing full production. DP played the full uncut beat on his IG live while in a car.",3:21,"Aug 29, 2023",Instrumental,Partial,High Quality,LINK NEEDED
Luv Is Rage 2 [V1],"Gorilla Glue #4*
(prod. DP Beats)
(Triads)","Gorilla Glue #4 Inst, Uzi may have recorded on it before DP gave it to another artist",3:48,"Aug 4, 2023",Instrumental,Full,CD Quality,LINK NEEDED
Luv Is Rage 2 [V1],"Guts, No Glory
(prod. Da Honorable C.N.O.T.E. & Derelle Rideout)
(Boring shit)","Instrumental for the released song 'Boring Shit"".",2:57,"Jun 5, 2021",Instrumental,Full,High Quality,https://pillows.su/f/b4c5a18555098713aeee62427e5cf261
Luv Is Rage 2 [V1],"Hate On Me
(prod. DP Beats)",Instrumental to the unleaked song 'Hate On Me'. DP played it on his IG live.,,"Oct 28, 2016",Instrumental,Partial,Recording,LINK NEEDED
Luv Is Rage 2 [V1],"Hatin'
(prod. Don Cannon & Maaly Raw)
(Old N****s Hating, Old Niggas Hating)",Instrumental to the unleaked song 'Hatin'. Beat posted by Cannon to soundcloud.,2:25,"Dec 17, 2024",Instrumental,Full,High Quality,https://pillows.su/f/e99d49b0a2fff16dc9c1dd0663b0243b
Luv Is Rage 2 [V1],"IDK
(prod. DP Beats)
(I Don't Know, Call My Phone)",Instrumental to the leaked song 'IDK'.,2:48,"Jul 9, 2019",Instrumental,Full,High Quality,https://pillows.su/f/4a85dfa82b21e48588b7071ee6ffeb13
