Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
TOTAL,"$255,195.00",,,,,,,,,
2026,,Blind,Blind Lone + Carti Bonus,"Main Song
Destroy Lonely - talk to me
Goated by floppzy, bbcslimy/00slimy, chaos, k5, tiller
CLAP COUNT: ~

Bonus
BEEN ON (with L5) - Reached


Buy finished in under 3 hours within opening, however due to the seller ghosting for 36 hours, it's to be assumed he was trolling and had no intent to sell. Refunds have been sent out","$1,650","July 16, 2026","July 16, 2026",Normal,Cancelled,
2026,,BABY BOI,🥉 Wanted Song (Post-WLR),"Main Song
🏆 YVL ANTHEM

Goated by ~ 
CLAP COUNT: ~

Bonus
~


Ended up being pb to leaked before couldve been ran.",N/A,N/A,N/A,Normal,Force Leaked,
2026,,Whole Lotta Red [V1],🥉 Wanted Song,"Main Song
🥉 Right Now

Goated by ~ 
CLAP COUNT: ~

Bonus
~


Ended up being pb to leaked before could be ran. And this song turned out to be a stem edit by either Barry or marcop/terrance","5,500$",N/A,N/A,Normal,Force Leaked,
2026,,BABY BOI,"🥉 POP THESE DRUGS
(with A$AP Rocky) (prod. Ojivolta & Kelvin Krash) 
(GRIM REAPER, POP THEM DRUGS)","Main Song
🥉 POP THESE DRUGS (with A$AP Rocky)

Goated by bbcslimy, flopzyy, vad_3r, RAT, Gon Freecs, Filet Minion
CLAP COUNT: 1

Bonus
50% - Withdrawals Untagged -  [REACHED]
50% - Pop These Drugs Snippet - [REACHED]


Good groupbuy","5,750$","June 13, 2026","June 24, 2026",Normal,Completed,
2026,,BABY BOI,🏆 WITHDRAWALS*,"Main Song
🏆 WITHDRAWALS*

Goated by ~ 
CLAP COUNT: ~

Bonus
~


Sidepiece Hub originally wanted to group buy it, however someone stepped in and wanted to PB the whole thing and leak it himself, but the person who wanted ot PB to leak turned out to be another holder of the song who lied about wanting to PB and ended up pressing the seller to back out with their personal info. Juice comm kid yo hello spread fake AI rumors out of boredom.  But in the end the song was leaked by Goin Ham.","6,000$","June 9, 2026",Cancelled,PB to leak,Cancelled,
2026,,Playboi Carti,"Check It Out
(feat. A$AP Rocky) (prod. Young Chop)","Main Song
Check It Out (feat. A$AP Rocky)

Goated by Tiller & K5 
CLAP COUNT: ~

Bonus
100% - Pop These Drugs Snippet


~","1,650$","Jun 1, 2026","June 5, 2026",Normal,Completed,
2026,,MUSIC [V3],"K POP [V1]
(prod. Cardo Got Wings & Twisco)
(KETAMINE)","Main Song
K POP [V1]

Goated by ~ 
CLAP COUNT: ~

Bonus
~


$150 remaining from the flexin buy was used toward this.",450$,"May 24, 2026","May 24, 2026",PB to leak,Completed,
2026,,Playboi Carti,"Check It Out
(feat. A$AP Rocky) (prod. Young Chop)","Main Song
Check It Out (feat. A$AP Rocky)

Goated by ~ 
CLAP COUNT: ~

Bonus
~


Was planned to be ran, but comm decided not to go through with the buy.","2,350$","May 18, 2026","May 18, 2026",Normal,Cancelled,
2026,,Sen$ation,"🏆 Flexin' [V2]
(feat. OddysseyMajor) (prod. ???)
(Flexxin')","Main Song
🏆 Flexin' [V2]

Goated by Ice Cubes, waxred, mastem
CLAP COUNT: ~

Bonus
50% - 2x Headshot with Ye snippet


~

Original Price: 1,000$",850$,"May 16, 2026","May 16, 2026",Normal,Completed,
2026,,MUSIC [V3],"COCAINE NOSE [TOUR INTRO]
(prod. F1LTHY, 100yrd & Brak3)","Main Song
COCAINE NOSE [TOUR INTRO]

Goated by Ice Cubes


Leaked after a PB to leak set up by Nasca and Ice Cubes.",300$,"April 26, 2026","April 26, 2026",PB to leak,Completed,
2026,,BABY BOI,"🥉 LET'S DO IT [V2]
(feat. Lil Baby & Skooly) (prod. Clif Shayne, KP Beatz, DJ Moon)","Main Song
🥉 LET'S DO IT [V2]

Goated by ~ 
CLAP COUNT: ~

Bonus
~

Original Price: 2000, 1000

Song was force leaked after the GB switched sellers and the price hiked up. Leaked by Vinicius of OsamaHub.","1,500$",~2026,"April 25, 2026",PB to leak,Force Leaked,
2026,,MUSIC [V2],"🥉 INSANE*
(prod. F1LTHY)","Main Song
🥉 INSANE*

Goated by ~ 
CLAP COUNT: ~

Bonus
~


Raahim never intended to sell ""INSANE""— the whole ""lineup"" was to get the other songs done as fast as possible. There also is no proof of Raahim having the song.",,~2026,~,Normal,Cancelled,
2026,,MUSIC [V2],"CRIB
(prod. Digital Nas)","Main Song
CRIB

Goated by ~ 
CLAP COUNT: ~

Bonus
~


Was planned to be ran on Apr 3, 2026, but then Raahim (who was selling) left the community completely. Song ended up leaking on May 14, 2026.",,~2026,~,Normal,Cancelled,
2026,,Multiple Eras,"Club summer 2025 footage, 15 x Sky alt MV,
Telegram OG file","Main Song
Club summer 2025 footage (19 shots, Carti appears in 15 - 24.1gb)
30 videos shot with an iPhone (Carti appears in 26 - 3gb)
Sky MV alt angles (Multiple alt angles/takes, security camera footage)
Phantom OG File

Goated by Ice Cubes
CLAP COUNT: 0

Bonus
~


~ RSAB OG file was supposed to drop, after being forceleaked and revealed that it's ass and contains no additional unheard vocals, was compensated with PHANTOM OG file. Originally was priced at $800, but due to the buy going slow, funds were swapped to the Telegram OG file, but there would be a $1.3k donation making both the footage and the OG file drop.",$800 + $700,"Apr 1, 2026","April 4, 2026",Normal,Completed,
2026,,MUSIC [V1],"DRENCHED OUT
(feat. Ken Carson)","Main Song
DRENCHED OUT (feat. Ken Carson)

Goated by ~ 
CLAP COUNT: ~

Bonus
~


Song got leaked way before the buy even opened.",,~2026,~,Normal,Pbd to leak,
2026,,MUSIC [V1],"🥉 HEARD Y'ALL GETTIN' MONEY [OG File]
(prod. KP Beatz & Jonah Abraham)","Main Song
🥉 2x HEARD Y'ALL GETTING MONEY (with Swamp Izzo) [OG File] 
HEARD Y'ALL GETTING MONEY (without Swamp Izzo) [OG File] 

Goated by Hayden & Toaster 
CLAP COUNT: ~",750$,"Mar 1, 2026","Mar 1, 2026",Normal,Completed,
2026,,BABY BOI,"🥉 PUSH UP
(prod. DJ Moon & Lucian)","Main Song
🥉 PUSH UP

Goated by vq1m, Mason, Toaster, fiz, rednus
CLAP COUNT: 1

Bonus
20% - FUK OF IT (OG File) - [Reached]
40% - Fire Your Manager (OG File) - [Reached]
40% - CHARGE DEM HOES A FEE (OG File) - [Reached]
40% - Let's Do It (OG File) - [Reached]
75% - Destroy Lonely x ApolloRed1 - Want No War [Reached]


Raahim was given a degraded OG File for FUK OF IT by the seller","5,750$","Feb 25, 2026","Mar 2, 2026",Normal,Completed,
2026,,MUSIC [V1],WEAPON,"Main Song
WEAPON

Goated by Toaster, mike, Xfire, Raahim, soul, FunkyGamer36, pbcrider, siquitur, Mason
CLAP COUNT: 1

Bonus
30% - SHE WILL* (Untagged/OG File) - [Reached]
40% - New WEAPON snippet - [Reached]
75% - RICH SINCE A BOY (Untagged) - [Force Leaked]
75% - Trippie Redd x Playboi Carti - 0014 - [Force Leaked]
100% - Snippet of next GB song  - [Reached]


~","7,500$
6,000$","Feb 15, 2026","Feb 20, 2026",Normal,Completed,
2026,,MUSIC [V3],🗑️ 2022 Blind Previewed Song,"Main Song
🗑️ COFFIN*

Goated by Alex, Toaster, Xfire, Aatwa, dist
CLAP COUNT: 1

Bonus
ApolloRed1 - AFRICA


The song isn't even from 2022, it's from 2023.","6,500$","Feb 7, 2026","Feb 10, 2026",Blind,Completed,
2026,,MUSIC [V1],"YoungBoy Never Broke Again - Not My Friend
(feat. Playboi Carti) (prod. TrentonxKyle)","Main Song
Not My Friend (feat. Playboi Carti)

Goated by ~ 
CLAP COUNT: ~

Bonus
~


Meant to be ran by Raahim in February 2026 as a $10,000 ""blind, previewed comm grail"", but never happened. Leaked months later.","10,000$",~Feb 2026,N/A,Blind,Cancelled,
2026,,BABY BOI,"🥉 PUSH UP
(prod. DJ Moon & Lucian)","Main Song
🥉 PUSH UP

Goated by ~ 
CLAP COUNT: ~

Bonus
~


~","5,500$",~,~,Normal,Cancelled,
