Era,Name,"Notes
Join our discord server here  (LINK RE-UPd)
And our telegram channel here",Track Length,Release Date,Type,Streaming,Link(s)
,Kream,"(Nov 5, 2011) The High Chronical$ is officially released
(Fall 2012) (Kream morphs into Young Mi$fit)",,,,,
Kream,"⭐ Cry
(prod. Harry Fraud)","Released alongside a music video on July 17th, 2011. Commonly known as Cartis first official song.",3:29,"Jul 17, 2011",Single,No,https://www.youtube.com/watch?v=tIWpD2A155E&ab_channel=Kaijonesmedia
Kream,"Carolina Blue
(prod. Cookin Soul)","Carti's oldest released song that is still on his own socials. Released on Newgrounds on August 6th, 2012.",1:37,"Aug 6, 2012",Single,Exclusive,https://www.newgrounds.com/audio/listen/497783
,Young Mi$fit,"(Fall 2012) (Kream Morphs into Young Mi$fit)
(Nov 12, 2012) (Young Mi$fit is officially released)",,,,,
Young Mi$fit,"36 Villianz 
(prod. Jayyeah)",First song on the Young Mi$fit mixtape. Released on Carti's bandcamp.,3:19,"Nov 12, 2012",Mixtape,Exclusive,https://jcartier.bandcamp.com/track/36-villianz
Young Mi$fit,"ZOMBIE$
(prod. Playboi Carti)","Carti's 2nd oldest released song that is still on his own socials. Released on Newgrounds on February 3rd, 2013.",1:37,"Nov 12, 2012",Single,Exclusive,https://jcartier.bandcamp.com/track/zombie
Young Mi$fit,"Skit 
(prod. $ir Cartier)","Third track on ""Young Mi$fit""",0:40,"Nov 12, 2012",Mixtape,Exclusive,https://jcartier.bandcamp.com/track/skit
Young Mi$fit,"Blue Crystal$ 
(feat. $urgn) (prod. Tom Voduz)","Fourth track on ""Young Mi$fit""",3:38,"Sep 3, 2012",Mixtape,Exclusive,https://jcartier.bandcamp.com/track/blue-crystal
Young Mi$fit,"⭐ $teeze 
(prod. TDeeZy)","Track five on ""Young Mi$fit""",2:55,"Jul 15, 2012",Mixtape,Exclusive,"https://www.youtube.com/watch?v=H2dv-nfl15c&ab_channel=Everywhere%26Nowhere 
https://jcartier.bandcamp.com/track/teeze"
Young Mi$fit,$teeze [Music Video],MV for $teeze,2:55,"Aug 4, 2012",Music Video,No,https://www.youtube.com/watch?v=H2dv-nfl15c
Young Mi$fit,"Club Pink 
(feat. Nessly) (prod. Cold Hart)",Track 6. Released on Bandcamp,3:26,"Nov 12, 2012",Mixtape,Exclusive,https://jcartier.bandcamp.com/track/club-pink-ft-nessly
Young Mi$fit,"⭐ Van Go 
(prod. Jayyeah)","Track seven on ""Young Mi$fit""",2:08,"Nov 12, 2012",Mixtape,Exclusive,"https://jcartier.bandcamp.com/track/van-go
https://music.froste.lol/song/57321e8bc9d38157a24f633b1e855400 "
Young Mi$fit,"$kit 
(prod. $ir Cartier)","Track eight on ""Young Mi$fit""",1:25,"Nov 12, 2012",Mixtape,Exclusive,https://jcartier.bandcamp.com/track/kit
Young Mi$fit,"⭐ Paper Cha$in 
(prod. SonoSonoSoul)","Track nine on ""Young Mi$fit"", alongside being the outro track.",2:53,"Nov 12, 2012",Mixtape,Exclusive,https://jcartier.bandcamp.com/track/paper-cha-in
,$ensation,"(Nov 11, 2012) (Young Mi$fit is officially released)
(July 15th, 2013) (Sen$ation is possibly released?)
(Jan 8, 2014) ($ir Cartier changes his monikier to Playboi Carti)",,,,,
Sen$ation,"⭐ Outchea
(prod. Tay Lewis)","Was released on Cartis Group SoundCloud named ""iQ"", (https://soundcloud.com/moregang) alongside a music video in 2013. Released on Mar 28 9:30 pm and was the lead single for $ensation.",3:37,"Mar 28, 2013",Single,Exclusive,"https://www.newgrounds.com/audio/listen/532245
https://music.froste.lol/song/8e8a0666e6d602e9f159a6af4c08aa3d "
Sen$ation,"ZOMBIE$ 
($ ZOMB $)","Released on Carti's newgrounds page on February 3rd, 2013.",1:41,"Feb 3, 2013",Single,No,https://www.newgrounds.com/audio/listen/521959
Sen$ation,"H2O 
(prod. Jones Beatz)","Released alongside a music video on May 6th, 2013.",2:23,"May 6, 2013",Single,No,"https://www.youtube.com/watch?v=6zBL-NECY38&ab_channel=srafhgs
https://music.froste.lol/song/299af4d9327da172bbc9a60439e02582 "
Sen$ation,"This Ca$h
(feat. Cultie) (prod. MelroseZee)
(Cash)","Released by Playboi Carti sometime around May 31st, 2013.",3:46,"May 31, 2013",Single,No,https://music.froste.lol/song/2334a7adf89081f70178d5dde22d1638
Sen$ation,"Terror Shit 
(prod. MelroseZee)","Released by Playboi Carti on June 20th, 2013. Later taken down, but Carti then got terrorusa to reupload and host the song on his page alongside Sauce and For My Set on September 4th, 2015.",4:18,"Jun 20, 2013",Single,Exclusive,http://music.froste.lol/song/9501af89358ac1f2bef514e681e9b245/play
Sen$ation,"For My Set
(prod. Indolympus)","From 2013. Released and hosted by terrorusa in alongside Sauce and Terror Shit on September 4th, 2015.",2:03,"Nov 4, 2015",Throwaway,Exclusive,https://music.froste.lol/song/952716242bfcfde6b45daaa05e945259/play
Sen$ation,"⭐ 10kk A Couple Thousands For The Hoe$ 
(prod. $ir Cartier)","Released by Playboi Carti on Soundcloud. Reposted 4 times, with the last being on September 20, 2013.",3:43,"Sep 3, 2013",Single,No,http://music.froste.lol/song/b0c0a09b3dd0d25458d04b67880f365e/play
,"death in tune
(Awful Records, FACE, Red Tape)","(Jan 8, 2014) - Carti releases 'YUNGXANHOE' under the Artist Name 'Playboi Carti' on SoundCloud
(Early 2014) - Playboi Carti signs under the label 'AWFUL RECORDS'
(April 13, 2015) - Ian Connor announces 'Cash Carti - The Mixtape'.
(May 13, 2015) - Playboi Carti releases 'death in tune - EP'",,,,,
,FACE ,"(2014) Carti signs to Awful Records
(March, 28, 2014) Carti releases Holyfield and announces 'FACE'
(May 18, 2014) Playboi Carti releases talk and scraps the project",,,,,
death in tune,"⭐ YUNGXANHOE
(prod. 454)","Made in Nov-Dec 2013. Released as a single on Playboi Carti's Soundcloud. Originally was released under the name ""Ps2 GLITCHES X XAN HOE"" The same instrumental was also later used by XXXTENTACION on his track ""Bloodstains"".",2:56,"Jan 8, 2014",Single,Exclusive,https://soundcloud.com/playboicarti/yungxanhoe
death in tune,"✨ Heavy
(prod. Izzie B)",Released as a single on Playboi Carti's Soundcloud.,3:23,"Feb 8, 2014",Single,Exclusive,https://soundcloud.com/playboicarti/heavy-by-playboicarti
