Era,Name,,Designer,Art Type,Photo,Project Type,Use,Link(s)
The Noise,The Noise,Official cover for the Noise EP. Image shown is a recreation from revealed physical packaging.,,Recreation,,Front Cover,Used,
House Of Balloons,House of Balloons,"Official cover art for House of Balloons, The Weeknd's first mixtape.",Ben Swantek,Digital,,Front Cover,Used,
House Of Balloons,House of Balloons,Cover art used for the streaming release of House of Balloons.,Ben Swantek,Digital,,Front Cover,Used,
House Of Balloons,House of Balloons,"Cover art used for the remastered release of House of Balloons, adding Twenty Eight to the tracklist.",Ben Swantek,Digital,,Front Cover,Used,
House Of Balloons,"House of Balloons
(10th Anniversary Edition)",Official cover art for the ten year anniversary of House of Balloons.,Daniel Arsham,Scan,,Front Cover,Used,
Thursday,Thursday,"Official cover art for Thursday, The Weeknd's second mixtape.",Ben Swantek,Digital,,Front Cover,Used,
Thursday,Thursday,"Cover art used for the remastered release of Thursday, adding Valerie to the tracklist.",Ben Swantek,Digital,,Front Cover,Used,
Thursday,"Thursday
(10th Anniversary Edition)",Official cover art for the ten year anniversary of Tuesday.,Mr. Yanen,Digital,,Front Cover,Used,
Echoes Of Silence,Echoes of Silence,"Official cover art of Echoes of Silence, The Weeknd's third mixtape.",Ben Swantek,Digital,,Front Cover,Used,
Echoes Of Silence,Echoes of Silence,"Cover art used for the remastered release of Echoes of Silence, adding Till Dawn (Here Comes The Sun) to the tracklist.",Ben Swantek,Digital,,Front Cover,Used,
Echoes Of Silence,"Echoes of Silence
(10th Anniversary Edition)",Official cover art for the ten year anniversary of Echoes of Silence.,Hajime Sorayama,Digital,,Front Cover,Used,
Trilogy,Trilogy,"Official cover art for 'Trilogy', combining The Weeknd's three mixtapes into one compilation album.",Ben Swantek,Digital,,Front Cover,Used,
Kiss Land,Kiss Land,"Official cover for 'Kiss Land', The Weeknd's debut studio album.",,Digital,,Front Cover,Used,
Kiss Land,Belong to the World,Single cover for 'Belong to the World'.,,Digital,,Front Cover,Used,
Kiss Land,Kiss Land,Single cover for 'Kiss Land'.,,Digital,,Front Cover,Used,
Kiss Land,Live For,Single cover for 'Live For'.,,Digital,,Front Cover,Used,
Kiss Land,Love in the Sky,Single cover for 'Love in the Sky'.,,Digital,,Front Cover,Used,
Kiss Land,Wanderlust,Single cover for 'Wanderlust' and it's respective remixes.,,Digital,,Front Cover,Used,
Kiss Land,Kavinsky - Odd Look,"Single cover for 'Odd Look', featuring The Weeknd.",,Digital,,Front Cover,Used,
Kiss Land,Kavinsky - Odd Look,Cover for the EP release of 'Odd Look'.,,Digital,,Front Cover,Used,
Pre-BBTM,King of the Fall,Single cover for 'King of the Fall'.,,Digital,,Front Cover,Used,
Pre-BBTM,King of the Fall,Cover for the 2020 re-release of 'King of the Fall'. Featured is a shot from the music video.,,Digital,,Front Cover,Used,
BBTM,Beauty Behind the Madness,"Official cover for 'Beauty Behind the Madness', The Weeknd's second studio album.","Drop & Ben, Kalen Hollomon",Digital,,Front Cover,Used,
BBTM,"Beauty Behind the Madness
(10th Anniversary Edition)",Cover art seen on the 10th anniversary vinyl.,,Digital,,Front Cover,Used,
BBTM,Acquainted,,,Digital,,Front Cover,Used,
BBTM,Can't Feel My Face,,,Digital,,Front Cover,Used,
BBTM,Can't Feel My Face (Martin Garrix Remix),,,Digital,,Front Cover,Used,
BBTM,Earned It,,,Digital,,Front Cover,Used,
BBTM,In the Night,,,Digital,,Front Cover,Used,
BBTM,Often,,,Digital,,Front Cover,Used,
BBTM,Often (Kygo Remix),,,Digital,,Front Cover,Used,
BBTM,The Hills,,,Digital,,Front Cover,Used,
BBTM,The Hills (Remixes),,,Digital,,Front Cover,Used,
BBTM,The Hills (RL Grime Remix),,,Digital,,Front Cover,Used,
Starboy,Starboy,"Official cover for 'Starboy', The Weeknd's third studio album.",Nabil Elderkin,Digital,,Front Cover,Used,
Starboy,Starboy (Deluxe),Official cover for the deluxe edition of Starboy.,Nabil Elderkin,Digital,,Front Cover,Used,
Starboy,Die For You,Single cover for 'Die For You'.,Nabil Elderkin,Digital,,Front Cover,Used,
Starboy,Die For You (Remix),Cover for the 2023 Ariana Grande remix of 'Die For You'.,Nabil Elderkin,Digital,,Front Cover,Used,
Starboy,False Alarm,Single cover for 'False Alarm'.,Nabil Elderkin,Digital,,Front Cover,Used,
Starboy,I Feel It Coming,Single cover for 'I Feel It Coming'.,Nabil Elderkin,Digital,,Front Cover,Used,
Starboy,Party Monster,Single cover for 'Party Monster'.,Nabil Elderkin,Digital,,Front Cover,Used,
Starboy,Reminder,Single cover for 'Reminder'.,Nabil Elderkin,Digital,,Front Cover,Used,
Starboy,Reminder (Remix),Cover for the Young Thug and A$AP Rocky remix of 'Reminder'.,Nabil Elderkin,Digital,,Front Cover,Used,
Starboy,Rockin',Single cover for 'Rockin'.,Nabil Elderkin,Digital,,Front Cover,Used,
Starboy,Secrets,Single cover for 'Secrets'.,Nabil Elderkin,Digital,,Front Cover,Used,
Starboy,Starboy,Single cover for 'Starboy'.,Nabil Elderkin,Digital,,Front Cover,Used,
Starboy,Starboy (Kygo Remix),Cover for the Kygo remix of 'Starboy'.,Nabil Elderkin,Digital,,Front Cover,Used,
Post-Starboy,Pray For Me,Single cover for 'Pray For Me'.,,Digital,,Front Cover,Used,
"My Dear Melancholy,","My Dear Melancholy,","Official cover for 'My Dear Melancholy', The Weeknd's first extended play. Photograph taken by Joachim Johnson.","jedejr, Joachim Johnson",Digital,,Front Cover,Used,
"My Dear Melancholy,","My Dear Melancholy,","Earlier takes on the 'My Dear Melancholy' cover, shared by jedejr on Instagram.","jedejr, Joachim Johnson",Digital,,Front Cover,Unused,
"My Dear Melancholy,","My Dear Melancholy,","Earlier takes on the 'My Dear Melancholy' cover, shared by jedejr on Instagram.","jedejr, Joachim Johnson",Digital,,Front Cover,Unused,
"My Dear Melancholy,","My Dear Melancholy,","Earlier takes on the 'My Dear Melancholy' cover, shared by jedejr on Instagram.","jedejr, Joachim Johnson",Digital,,Front Cover,Unused,
"My Dear Melancholy,","My Dear Melancholy,","Earlier takes on the 'My Dear Melancholy' cover, shared by jedejr on Instagram.","jedejr, Joachim Johnson",Digital,,Front Cover,Unused,
