Era,Name,Notes,Image / Length,Date,Type,Available Length,Quality,Link(s)
,Trilogy,"(12/21/2011) (Echoes Of Silence is released)
(11/13/2012) (Trilogy is released)",,,,,,
Trilogy,Trilogy [Instrumentals],"Official instrumentals for ""Trilogy"". Leaked in late 2016. Missing instrumentals for following songs: ""D.D."", ""Outside"", ""Initiation"", ""Next"", ""Echoes Of Silence"" .",,,Instrumental,Full,High Quality,Link
Trilogy,The Fall Tour,"Files for the ""The Fall Tour"". Leaked on Feb. 3, 2023.  Includes ""Birds Interlude"".",,,,Full,Lossless,Link
Trilogy,The Fall Tour Rehearsal,"Rehearsal with live vocals that leaked on Feb. 3, 2023",,,,Full,High Quality,https://pillows.su/f/f21413c58d8a90a8d8e47ea6f61a36fa
,Kiss Land,"(12/21/2011) (Echoes Of Silence is released)
(09/10/2013) (Kiss Land is released)",,,,"After the release of the Trilogy mixtapes, Abel went to various places around the world to perform and work on his debut album, working once again with producer Illangelo and later working with producers such as DannyBoyStyles and DaHeala. In March 2013, Abel would announce 'Kiss Land' as the title and release a handful of singles over the course of the year before the September 10th release. Kiss Land was a symbolism for the tour life according to Abel, a universe created by him to express his fear of the unknown, being inspired by horror filmmakers like John Carpenter, David Cronenberg & Ridley Scott to create a fearful, sonically unpleasant atmosphere.",,
Kiss Land,Kiss Land [Instrumentals],"Official instrumentals for ""Kiss Land"". Leaked in late 2016.",,,,Full,Lossless,Link
Kiss Land,Other Music Videos*,"On Oct. 8, 2013 executive VP at Republic Records has announced that a video will be shot for each of the 10 songs on ""Kiss Land"". It is unknown if the rest of the videos were filmed.",,,,Confirmed,Not Available,
Kiss Land,Victorious Episode,"Allegedly it was fully filmed featuring ""The Weeknd"" as a special guest but never released. Sources are dubious but it is possible that it does in fact exist. ",,,,Rumored,Not Available,
Kiss Land,BBC Radio 1 interview w/ Zane Lowe,"Interview from 2013 in which Abel discusses every song on the album. As of 2021, only small portion of the interview is avaliable, while the rest is lost.",,,,Partial,Recording,Snippet
Kiss Land,Kiss Land Fall Tour Live In LA,"Recording of the live performance at Greek Theatre, including here because it's hard to find.",,,,Full,High Quality,Link
Kiss Land,Kiss Land Fall Tour Rehearsal,"Rehearsal with live vocals that leaked on Feb. 3, 2023",,,,Full,High Quality,Link
Kiss Land,Why Feel Bad [Studio Session],"Leaked on Dec. 7, 2023.",,,,,,Link
,"Untitled
(2014 Album)","(09/10/2013) (Kiss Land is released)
(08/XX/2014) (Republic Records offers Abel making original music for the Fifty Shades of Grey film)",,,,"Following the criticism and underperformance of his debut album 'Kiss Land', Abel continued to work on music shortly after it's release. In 2014, Abel released singles such as 'King of The Fall' and 'Often' to keep fans held over until his second studio album alongside a series of one-night concert events. Eventually, whatever project Abel had at the time eventually got scrapped after Republic Records offered him opportunites to gain more mainstream appeal, such as creating original music for the 'Fifty Shades of Grey' film and collaborating with Ariana Grande.",,
Pre-BBTM,Ariana Grande - Love Me Harder (feat. The Weeknd) [Stems] ,"Official stems for ""Love Me Harder"".",,,,,,
Pre-BBTM,King Of The Fall Tour,"Files for the ""King Of The Fall Tour"". Leaked on Feb. 3, 2023. Will link an edit without the ""1 2 3 5"" ",,,,Full,CD Quality,Link
Pre-BBTM,Landr Hakkasan ,Files for the performance at Landr Hakkasan.,,,,Full,CD Quality,Link
