Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"12 Album Track
0 Single
0 Feature
0 Production
0 Other","House Of Balloons
(The Weekend)","(02/24/2011) ('What You Need' is released on YouTube)
(03/21/2011) (House Of Balloons is released)",,,Other,,
House Of Balloons,"What You Need [V4]
(prod. Jeremy Rose)","Released in Nov. of 2010 as part of the ""Inside The Dangerously Empty Lives of Teenage Girls"" EP, this version features slightly different mix, as well as several seconds of silence in the beginning and in the end.",4:04,"Nov 24, 2010",Album Track,No,https://pillows.su/f/ff011211bb8fa46ccc0b8ac00001610e
House Of Balloons,"The Morning [V1]
(prod. Jeremy Rose)","Released in Nov. of 2010 as part of the ""Inside The Dangerously Empty Lives of Teenage Girls"" EP. This OG version features a heavily slowed down vocal take. Intro is different, beat is different.",5:04,"Nov 24, 2010",Album Track,No,https://pillows.su/f/8d4647fe91ca13467c8d1c86c15e870d
House Of Balloons,"Loft Music [V1]
(prod. Jeremy Rose)","Released in Nov. of 2010 as part of the ""Inside The Dangerously Empty Lives of Teenage Girls"" EP. This OG version is only 2 and a half minutes instead of 6. Outro is completely different, also sounds like it has a muddier mix.",2:50,"Nov 24, 2010",Album Track,No,https://pillows.su/f/945f2f3ecff237bc4026eb94767674fb
House Of Balloons,"⭐️ What You Need [V1]
(prod. Jeremy Rose & The Weeknd)","The first official release under the name ""The Weeknd"". Uploaded to the YouTube channel ""xoxxxoooxo"" on Feburary 24th, 2011 and re-released to streaming services on March 21st, 2021 for the 10th anniversary of 'House of Balloons' as track 2. Samples 'Rock The Boat' by Aaliyah.",3:26,"Feb 24, 2011",Album Track,Yes,https://open.spotify.com/track/4Yw8TyBm9J8cpy2guHUYog?si=c559cc50aa80463b
House Of Balloons,"⭐️ Wicked Games [V1]
(prod. Doc McKinney & Illangelo)","Original mix uploaded to the ""xoxxxoooxo"" YouTube channel on March 5th, 2011. Became track 5 on 'House of Balloons', and was later released as a single on September 25th, 2012.",5:25,"Mar 5, 2011",Album Track,Yes,https://open.spotify.com/track/00aqkszH1FdUiJJWvX6iEl?si=d4c88cdfb2324ec4
House Of Balloons,"⭐️ High For This [V1]
(prod. Dream Machine)","OG Filename: 01 High For This
Track 1 on the debut mixtape 'House of Balloons'.",4:09,"Mar 21, 2011",Album Track,Yes,https://open.spotify.com/track/2ye9iWj5V4g6k6HFeTTAKa?si=b46637c0d22d439c
House Of Balloons,"⭐️ House Of Balloons / Glass Table Girls [V1]
(prod. Doc McKinney & Illangelo)",Track 3 on the debut mixtape 'House of Balloons'.,6:47,"Mar 21, 2011",Album Track,Yes,https://open.spotify.com/track/2r7BPog74oaTG5shNYiUnV?si=3bdd6da193974937
House Of Balloons,"⭐️ The Morning [V1]
(prod. Doc McKinney & Illangelo)",Track 4 on the debut mixtape 'House of Balloons'.,5:14,"Mar 21, 2011",Album Track,Yes,https://open.spotify.com/track/4jBfUB4kQJCWOrjGLQqhO0?si=3f64f622c6464918
House Of Balloons,"The Party & The After Party [V1]
(prod. Rainer, Jeremy Rose & The Weeknd)",Track 6 on the debut mixtape 'House of Balloons'.,7:39,"Mar 21, 2011",Album Track,Yes,https://open.spotify.com/track/0GROiXm03OrMC5ltXLhGIu?si=c9fca1f23cab48a4
House Of Balloons,"Coming Down [V1]
(prod. Doc McKinney & Illangelo)",Track 7 on the debut mixtape 'House of Balloons'.,4:55,"Mar 21, 2011",Album Track,Yes,https://open.spotify.com/track/3mHO1J6kfiArjBo1zhLFGP?si=c38ef705d39c48e1
House Of Balloons,"Loft Music [V1]
(prod. Jeremy Rose & The Weeknd)",Track 8 on the debut mixtape 'House of Balloons'.,6:03,"Mar 21, 2011",Album Track,Yes,https://open.spotify.com/track/2yBz1hupoOBncorzuKcJ2z?si=4c2bdab872df40a2
House Of Balloons,"⭐️ The Knowing [V1]
(prod. Doc McKinney & Illangelo)",Track 9 on the debut mixtape 'House of Balloons'.,5:42,"Mar 21, 2011",Album Track,Yes,https://open.spotify.com/track/6tjsbysvZh8Pq8DZA5ldrn?si=63e82ddada3646e1
"9 Album Track
1 Single
0 Feature
0 Production
0 Other",Thursday,"(03/21/2011) (House Of Balloons is released)
(08/18/2011) (Thursday is released)",,,Other,,
Thursday,"⭐️ Rolling Stone [V1]
(prod. Doc McKinney & Illangelo)","Released as a promotional single on May 25, 2011. It later became track 8 on 'Thursday'.",3:50,"May 25, 2011",Album Track,Yes,https://open.spotify.com/track/4dXnS1YXBkn4oAIxRLPJcK?si=a92bb62047c54ecf
Thursday,"⭐️ The Birds Pt. 1 [V1]
(prod. Doc McKinney & Illangelo)","Released as a promotional single on June 15, 2011. It later became track 5 on 'Thursday'.",3:34,"Jun 15, 2011",Album Track,Yes,https://open.spotify.com/track/5SF1kcOiOmtZFUIQNGC4TC?si=6433e7686c0c4c73
Thursday,⭐️ Trust Issues (Remix),"Remix of Drake's ""Trust Issues"", released on YouTube.",3:21,"Jun 25, 2011",Single,No,https://www.youtube.com/watch?v=YVCV6hyv7ac
Thursday,"⭐️ Lonely Star [V1]
(prod. Doc McKinney & Illangelo)",Track 1 on 'Thursday'.,5:49,"Aug 18, 2011",Album Track,Yes,https://open.spotify.com/track/5JpSjNcjuP8L9QrYmv3xcn?si=2d788178c6f74ab7
Thursday,"Life Of The Party [V1]
(prod. Doc McKinney & Illangelo)",Track 2 on 'Thursday'.,4:56,"Aug 18, 2011",Album Track,Yes,https://open.spotify.com/track/6eJbjaoLRlfwrfWpeS6alF?si=ac97c2d97f944ca0
Thursday,"Thursday [V1]
(prod. Doc McKinney & Illangelo)",Track 3 on 'Thursday'.,5:20,"Aug 18, 2011",Album Track,Yes,https://open.spotify.com/track/0l1p13Fbujayv894H0hfpS?si=c8cb2294dae149f7
Thursday,"⭐️ The Zone [V1]
(feat. Drake) (prod. Doc McKinney & Illangelo)","Track 4 on 'Thursday'. It was later released as a single on November 16, 2012.",6:58,"Aug 18, 2011",Album Track,Yes,https://open.spotify.com/track/53qYItjefG5SUf62428dIw?si=3859a9066e8a4d40
Thursday,"The Birds Pt. 2 [V1]
(prod. Doc McKinney & Illangelo)",Track 6 on 'Thursday'.,5:50,"Aug 18, 2011",Album Track,Yes,https://open.spotify.com/track/2yYDijitHN6psA2tH0ndXs?si=517ba688e3ac497c
Thursday,"Gone [V1]
(prod. Doc McKinney & Illangelo)",Track 7 on 'Thursday'.,8:06,"Aug 18, 2011",Album Track,Yes,https://open.spotify.com/track/7xgYvziLsxNd0UznaEw8Oi?si=e2caaad898ed4baa
Thursday,"Heaven Or Las Vegas [V1]
(prod. Doc McKinney & Illangelo)",Track 9 on 'Thursday'.,5:53,"Aug 18, 2011",Album Track,Yes,https://open.spotify.com/track/5JQ5Acrgv1VrO9UtMUN052?si=1c2e419e61fc41b7
"9 Album Track
1 Single
3 Feature
2 Production
0 Other",Echoes Of Silence,"(08/18/2011) (Thursday is released)
(12/21/2011) (Echoes Of Silence is released)",,,Other,,
Echoes Of Silence,Florence + the Machine - Shake It Out (The Weeknd Remix),"Remix of Florence + the Machine's song 'Shake It Out', by The Weeknd.",5:17,"Sep 26, 2011",Production,Yes,https://open.spotify.com/track/7haQRXWkfeBtpBs983BQYm?si=b5141556df414b70
Echoes Of Silence,"Initiation [V1]
(prod. DropxLife & Illangelo)",,,,Single,No,
Echoes Of Silence,"⭐️ Drake - Crew Love
(feat. The Weeknd) (prod. Illangelo, The Weeknd & 40)","Track 4 on Drake's album 'Take Care'. It was later relesed as a single on July 30, 2012.",3:28,"Nov 15, 2011",Feature,Yes,https://open.spotify.com/track/0V4l4GQhgnWQGtCWpvA7va?si=b2f5987d29f746e2
Echoes Of Silence,"Drake - Cameras / Good Ones Go Interlude
(prod. Drake & 40)",Track 12 on Drake's album 'Take Care'. The Weeknd's vocals feature on the second part of the track.,7:14,"Nov 15, 2011",Feature,Yes,https://open.spotify.com/track/2FbGlEPAjNhWvrVvlentVq?si=222f332c19c84449
Echoes Of Silence,"Drake - The Ride
(prod. Doc McKinney & The Weeknd)",Track 18 on Drake's album 'Take Care'. The Weeknd's vocals feature on the track.,5:51,"Nov 15, 2011",Feature,Yes,https://open.spotify.com/track/4xRxYWgAtL6pzRz94GlZlA?si=af171945830f4da5
Echoes Of Silence,Lady Gaga - Marry The Night (The Weeknd & Illangelo Remix),"Remix of Lady Gaga's song 'Marry The Night', by The Weeknd & Illangelo. Track 5 on 'Born This Way: The Remix'.",4:03,"Nov 18, 2011",Production,Yes,https://open.spotify.com/track/5bfivmKwgSni611w5gmAFa?si=222f261446d6489d
Echoes Of Silence,"⭐️ D.D. [V1]
(prod. Illangelo)
(Dirty Diana)",Track 1 on 'Echoes of Silence'.,4:34,"Dec 21, 2011",Album Track,Yes,https://open.spotify.com/track/0WdJTI3UVvUMbLwPk5ObKI?si=70850ca243024581
Echoes Of Silence,"Montreal [V1]
(prod. Illangelo)",Track 3 on 'Echoes of Silence'.,4:10,"Dec 21, 2011",Album Track,Yes,https://open.spotify.com/track/0UGdO687azruy9tFlCxO6F?si=a66e543a449e4066
Echoes Of Silence,"Outside [V1]
(prod. Illangelo)",Track 4 on 'Echoes of Silence'.,4:19,"Dec 21, 2011",Album Track,Yes,https://open.spotify.com/track/58yC1Q6XKjmHeWkEWh9O6B?si=1d5b2bafc9774bc1
Echoes Of Silence,"XO / The Host [V1]
(prod. Illangelo)",Track 5 on 'Echoes of Silence'.,7:24,"Dec 21, 2011",Album Track,Yes,https://open.spotify.com/track/0Hs5enNuaAXmJssAybWbOw?si=162933d6c73544e6
Echoes Of Silence,"⭐️ Initiation [V2]
(prod. DropxLife & Illangelo)",Track 2 on 'Echoes of Silence'.,4:20,"Dec 21, 2011",Album Track,Yes,https://open.spotify.com/track/3QWENKFYGEgp3itgTnrgq9?si=b5c5922cc54c44b9
Echoes Of Silence,"Same Old Song [V1]
(feat. Juicy J) (prod. Illangelo)",Track 6 on 'Echoes of Silence'.,5:12,"Dec 21, 2011",Album Track,Yes,https://open.spotify.com/track/37zSTGaP8bfBDGpJnUmSDl?si=97fa7d9f091745ca
Echoes Of Silence,"The Fall [V1]
(prod. Clams Casino & Illangelo)",Track 7 on 'Echoes of Silence'.,5:45,"Dec 21, 2011",Album Track,Yes,https://open.spotify.com/track/0JGoOLSl8A80mSPBL7ya9U?si=d5ec0290b5384e92
Echoes Of Silence,"⭐️ Next [V1]
(prod. Illangelo)",Track 8 on 'Echoes of Silence'.,6:01,"Dec 21, 2011",Album Track,Yes,https://open.spotify.com/track/6pG3yiKNsX03ZFTFWdOasv?si=8abe335aa22a48f7
Echoes Of Silence,"Echoes Of Silence [V1]
(prod. Illangelo)",Track 9 on 'Echoes of Silence'.,3:59,"Dec 21, 2011",Album Track,Yes,https://open.spotify.com/track/3weHnt82LuCTMa2AnZFM78?si=fc686f3dc29d4193
"30 Album Track
0 Single
2 Feature
0 Production
1 Other",Trilogy,"(12/21/2011) (Echoes Of Silence is released)
(11/13/2012) (Trilogy is released)",,,Other,,
Trilogy,"2 Chainz - Like Me
(prod. Mano)",2 Chainz samples The Weeknd's 'The Birds Pt 1' on this song featured on his debut studio album 'Based on a T.R.U. Story'.,3:49,"Aug 14, 2012",Feature,Yes,https://open.spotify.com/track/6R0gPYPpafPjSxmHtNHzUq?si=c3f73d9c35554727
Trilogy,"Wiz Khalifa - Remember You
(feat. The Weeknd) (prod. Dpat & Illangelo)","Track 16 on Wiz Khalifa's 'O.N.I.F.C.' album, released September 24th, 2012.",4:50,"Sep 24, 2012",Feature,Yes,https://open.spotify.com/track/0g6mKqhGtUIEoLSmV8ozi8?si=aeafca30c15b4e18
Trilogy,"Wicked Games [V2]
(prod. The Weeknd, Illangelo & Doc McKinney)","Remastered mix. Released as a standalone single on October 22nd, 2012. Pulled from streaming services and replaced with the original mixes in late 2023.",5:23,"Oct 22, 2012",Album Track,Yes,https://open.spotify.com/track/6VwBbL8CzPiC4QV66ay7oR?si=500d0de902d04d60
Trilogy,"High For This [V2]
(prod. Dream Machine)",Remastered mix.,4:07,"Nov 13, 2012",Album Track,Yes,https://open.spotify.com/track/5fohLPNqO6TqwrZ7BoUWUT?si=cf8b66d17d464945
Trilogy,"What You Need [V2]
(prod. Jeremy Rose & The Weeknd)",Remastered mix. Gets rid of the Aaliyah sample. Pulled from streaming services and replaced with the original mixes in late 2023.,3:16,"Nov 13, 2012",Album Track,Yes,https://open.spotify.com/track/7IpDQcksaT8SxS7vOX4SRm?si=a1fe1378c5434250
Trilogy,"House Of Balloons / Glass Table Girls [V2]
(prod. Illangelo & Doc McKinney)",Remastered mix.,6:45,"Nov 13, 2012",Album Track,Yes,https://open.spotify.com/track/50iiDJGpAPdr2VTrz999XA?si=4f2368cf6e43467e
Trilogy,"The Morning [V2]
(prod. Doc McKinney, Illangelo & The Weeknd)",Remastered mix.,5:12,"Nov 13, 2012",Album Track,Yes,https://open.spotify.com/track/6u0dQik0aif7FQlrhycG1L?si=75173185229a4292
Trilogy,"The Party & The After Party [V2]
(prod. Rainer, Jeremy Rose & The Weeknd)",Remastered mix.,7:39,"Nov 13, 2012",Album Track,Yes,https://open.spotify.com/track/0dcf0L6F1LUA1nE2zWH4J2?si=6dbb72c65ab14ef0
Trilogy,"Coming Down [V2]
(prod. Doc McKinney & Illangelo)",Remastered mix.,4:55,"Nov 13, 2012",Album Track,Yes,https://open.spotify.com/track/3PsS445MHcmtroGTstfTbm?si=575b6b6366124892
Trilogy,"Loft Music [V2]
(prod. Jeremy Rose & The Weeknd)",Remastered mix.,6:03,"Nov 13, 2012",Album Track,Yes,https://open.spotify.com/track/7xqANDRz8JFxkwfY65WISy?si=c2e883321aa14731
Trilogy,"The Knowing [V2]
(prod. Doc McKinney & Illangelo)",Remastered mix.,5:40,"Nov 13, 2012",Album Track,Yes,https://open.spotify.com/track/6AirEKLAv80bFaIDKpMi7I?si=596f852d3601445c
Trilogy,"⭐️ Twenty Eight
(prod. Doc McKinney & Illangelo)","Released as a bonus track for 'House of Balloons' and as a single on November 13, 2012.",4:18,"Nov 13, 2012",Album Track,Yes,https://open.spotify.com/track/1FJrsh1NbV9eRw5JQt3M4e?si=882dc9ba26e543e8
Trilogy,"Lonely Star [V2]
(prod. Doc McKinney & Illangelo)",Remastered mix.,5:49,"Nov 13, 2012",Album Track,Yes,https://open.spotify.com/track/0p3sSUXDohjddeKlnvGbCD?si=a9502902e0ac47cc
Trilogy,"Life Of The Party [V2]
(prod. Doc McKinney & Illangelo)",Remastered mix.,4:56,"Nov 13, 2012",Album Track,Yes,https://open.spotify.com/track/4yzaniwZb01bp0gT5BYwBv?si=dc442ecc10904703
