Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
"0 OG File
7 Full
0 Tagged
0 Partial
0 Snippet
0 Unavailable",Bulleez N' Nerdz,,,,,,,
Bulleez N' Nerdz,"Get In There
(prod. Benny Liang)
(For Real)",Leaked in 2012. This is the first song ever recorded by The Weeknd back in 2007. It was produced by Benny Liang (@Benstar16) in 2006. The beat was originally called “For Real”. The vocals for the track were subsequently recorded in 2007 at Wisdom’s house.,2:56,,"May 4, 2012",Full,High Quality,https://pillows.su/f/2a173fa05e745464c7e4705bc212fe29
Bulleez N' Nerdz,Godzilla,First song that Bulleez N' Nerdz recorded.,3:57,,,Full,CD Quality,https://pillows.su/f/be3eca6d7ec327b266332226d5c1d682
Bulleez N' Nerdz,"Have You Tonight
(feat. Majes-D)","Unknown if it's Abel's or Majes-D's song. Abel is rapping and singing on this track, which wasn't common for him during this era, stylistically HOB.",4:31,,,Full,High Quality,https://pillows.su/f/3678c75d440c7ed7de39b38538e9b9ee
Bulleez N' Nerdz,In The Mood,"Leaked on YouTube on Dec. 7, 2011. Possibly could've been officially released, but since he was so small it is hard to tell in the current year.",2:54,,"Dec 7, 2011",Full,High Quality,https://pillows.su/f/b31b1c6b9155c2f2299aef1a1ed61756
Bulleez N' Nerdz,"When The Grip Hits
(feat. Rex B Mental)","Leaked on YouTube on Dec. 7, 2011. Possibly could've been officially released, but since he was so small it is hard to tell in the current year.",4:10,,"Dec 7, 2011",Full,High Quality,https://pillows.su/f/29685e51d25155ab3477a29839669ad6
Bulleez N' Nerdz,"Majes-D - World High
(feat. The Weeknd)","Likely officially released sometime in 2010, but the origins are unclear. A YouTube channel which posted it in 2013 (the only found surviving copy of it online) says ""(2010)"" in the description, suggesting the track was released in 2010. However, judging from Abel's vocals and rapping style on the track, as well as Majes-D feature, it was likely recorded around 2008.",2:20,,"Sep 13, 2013",Full,High Quality,https://www.youtube.com/watch?v=2xRHOkOEGXA
Bulleez N' Nerdz,"Rex B Mental - Krispy
(feat. Bulleez N' Nerdz)",Leaked in June of 2011.,3:11,,"Jun 1, 2011",Full,High Quality,https://pillows.su/f/a6a814f8bd387e189e6a0acf22f960a0
"5 OG File
10 Full
0 Tagged
4 Partial
0 Snippet
3 Unavailable",The Noise,,,,,,,
The Noise,"Appointment
(prod. Kid Klassic)","OG Filename: Abel - Appointment
OG Filename (Metadata): Appointment
Part of a compilation tape of songs leaked by ""salty producers"" according to a tweet Abel made in 2012. Posted in 2009 by AbelOfficial on YouTube.",4:27,2009,,OG File,High Quality,https://pillows.su/f/589bb61a703ae690007d53928a509952
The Noise,"⭐️ Birthday Suit [V1]
(prod. Kid Klassic)","OG Filenames: AbelBirthday Suit - Abel
OG Filename (Metadata): Birthday Suit(DRAKE DEMO)
Part of a compilation tape of songs leaked by ""salty producers"" according to a tweet Abel made in 2012. Posted in 2009 by AbelOfficial on YouTube. This song was a demo meant for Drake.",4:55,2009,,OG File,High Quality,https://pillows.su/f/a0972308913e093d9ba83ce8cd59f956
The Noise,"Birthday Suit [V2]
(prod. Kid Klassic)","Released on streaming services in 2021 as track 6 on The Noise demo CD, only including here because it's fairly unknown and slightly different from the leaked version.",,,,Full,High Quality,Link needed
The Noise,"Cure
(prod. Kid Klassic)","Part of a compilation tape of songs leaked by ""salty producers"" according to a tweet Abel made in 2012.",2:33,,,Full,High Quality,https://pillows.su/f/884a1fd15e1031a26d04723b6edb3f6b
The Noise,"⭐️ Do It
(prod. Kid Klassic)","OG Filename: AbelDo It - Abel
OG Filename (Metadata): Do It
Part of a compilation tape of songs leaked by ""salty producers"" according to a tweet Abel made in 2012. Posted on August 16, 2009 by AbelOfficial on YouTube.",4:08,2009,,OG File,High Quality,https://pillows.su/f/d284cff82021947ef21fbb8d8a7b4cae
The Noise,"Fix Me
(prod. Kid Klassic)","Title revealed on an AMA by Kid Klassic, said to be about someone who feels incomplete/broken.",,,,Confirmed,Not Available,Link needed
The Noise,"I Like It
(prod. Kid Klassic)","Song created by Kid Klassic and Abel, given to Swedish rapper Rebstar and released as his song ""I Like It"" in 2010.",,,,Confirmed,Not Available,
The Noise,"Love Through Her
(prod. Kid Klassic)","OG Filename: AbelLove Through Her - Abel
OG Filename (Metadata): Abel - Love Through Her (rough)
Part of a compilation tape of songs leaked by ""salty producers"" according to a tweet Abel made in 2012. Posted in 2009 by AbelOfficial on YouTube, was also released on Bandcamp on March 18, 2010.",4:04,,"Mar 18, 2010",OG File,High Quality,https://pillows.su/f/58b3d8891dee937a6f17404b56c2c535
The Noise,"⭐️ Material Girl
(prod. Kid Klassic)","OG Filename (?): Material Girl(written & produced by The Noise)
Part of a compilation tape of songs leaked by ""salty producers"" according to a tweet Abel made in 2012. Released on March 18, 2010 by Abel on Bandcamp.",4:16,,"Mar 18, 2010",OG File,High Quality,https://pillows.su/f/a0cc5a153bab6197dbf334b60ce5b74d
