Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
"There’s God and There’s FLYGOD, Praise Both","He Got A Gun
(prod. Daringer)
(He Got A Gunn)","Track 1 off Westside Gunn's 2016 mixtape ""There’s God and There’s FLYGOD, Praise Both"".",4:07,"Jul 19, 2016",Off-Streaming,Full,CD Quality,Link Needed
"There’s God and There’s FLYGOD, Praise Both","Loco
(feat. Inkredible Nes & Conway the Machine) (prod. Daringer)","Track 2 off Westside Gunn's 2016 mixtape ""There’s God and There’s FLYGOD, Praise Both"". This song is currently unavailable.",,"Jul 19, 2016",Off-Streaming,Full,Not Available,
"There’s God and There’s FLYGOD, Praise Both","Peter Luger
(prod. Daringer)","Track 3 off Westside Gunn's 2016 mixtape ""There’s God and There’s FLYGOD, Praise Both"". Peter Luger Steak House is a steakhouse located in the Williamsburg section of Brooklyn, New York City, with a second location in Great Neck, New York, on Long Island. It was named to the James Beard Foundation’s list of “America’s Classics” in 2002.",2:37,"Jul 19, 2016",Off-Streaming,Full,CD Quality,Link Needed
"There’s God and There’s FLYGOD, Praise Both","Jimmy Hart
(prod. Daringer)","Track 4 off Westside Gunn's 2016 mixtape ""There’s God and There’s FLYGOD, Praise Both"". James Ray Hart (born 1944) is an American professional wrestling manager, executive, composer, and musician currently signed with WWE in a Legends deal.",4:36,"Jul 19, 2016",Off-Streaming,Full,CD Quality,Link Needed
"There’s God and There’s FLYGOD, Praise Both","Pissy Work
(feat. Benny The Butcher) (prod. Daringer)","Track 5 off Westside Gunn's 2016 mixtape ""There’s God and There’s FLYGOD, Praise Both"".",2:45,"Jul 19, 2016",Off-Streaming,Full,CD Quality,Link Needed
"There’s God and There’s FLYGOD, Praise Both","Wang Outro
(prod. Daringer)","Track 6 off Westside Gunn's 2016 mixtape ""There’s God and There’s FLYGOD, Praise Both"".",1:13,"Jul 19, 2016",Off-Streaming,Full,CD Quality,Link Needed
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",WestSide DOOM,,,,,,,
WestSide DOOM,???,Previewed on Westside Gunn's Instagram story.,,,Throwaway,Full,Low Quality,Link Needed
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",Hitler Wears Hermes 5,,,,,,,
Hitler Wears Hermes 5,"Unknown [Earl Sweatshirt, Knxwledge, The Alchemist & Daringer Collaborations]","Earl Sweatshirt was present at the studio with Alchemist, Knxwledge and Daringer while Gunn went live at Instagram in September 2017. Unknown what came from that meeting.",,,Unknown,Confirmed,Not Available,
"0 OG File(s)
1 Full
0 Tagged
0 Partial
0 Snippet(s)
3 Unavailable",Pray For Paris,,,,,,,
Pray For Paris,"Allah Sent Me
(feat. Benny The Butcher & Conway The Machine) (prod. Daringer)","“Allah Sent Me” is the the 7th track on Westside Gunn’s Pray for Paris. It features his Griselda labelmates Benny the Butcher and Conway the Machine. The track is produced by Griselda’s in-house producer Daringer. On December 23rd, 2021, the track was removed from Spotify. The song remains on other streaming services.",3:32,,"Apr 17, 2020",Full,Lossless,"Link 1
Link 2
Link 3"
Pray For Paris,"🏆 ???
(feat. Playboi Carti & A$AP Rocky) (prod. Metro Boomin)","A collaboration between Westside Gunn, Rocky, Playboi Carti and Metro Boomin was announced by Westside Gunn on a Instagram live stream sometime in 2019 or 2020. This information may actually be false as Westside Gunn has had a reputation of lying in the past, so this song actually existing could be total lie.",,,Unknown,Conflicting Sources,Not Available,Link
Pray For Paris,Unknown [Kanye West Collaborations],"In the middle of March 2020, Griselda went to Wyoming to work with Kanye. These sessions are more than likely to have brought up ""Keep My Spirit Alive"", ""Tell The Vision"", Conway's ""Water"" JESUS IS LORD reference, and most likely other unknown collaborations as well, as Westside Gunn said he and Kanye had more collaborations together, and Waterfalls confirmed that Conway recorded more reference tracks for Kanye. It is said that Benny The Butcher never recorded for Kanye.",,,Demo,Confirmed,Not Available,https://twitter.com/PhotosOfKanye/status/1238097306731327498?t=DDPo1hHNV3HAtpa45VE_Ng&s=19
Pray For Paris,Unknown [Havoc Collaborations],"Rapper and producer Havoc was seen at Ye's Wyoming ranch in March 2020, with Westside Gunn and Conway The Machine. Unknown what he worked on, if anything.",,,,Confirmed,Not Available,
"7 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",WHO MADE THE SUNSHINE,,,,,,,
WHO MADE THE SUNSHINE,"Kanye West - Keep My Spirit Alive [V21]
(ref. Dem Jointz) (feat. KayCyy, Westside Gunn & Conway the Machine) (prod. E.VAX, Dem Jointz, Rico Nichols & Darius Woodley)
(Keep Our Spirit Alive)","OG Filename: Keep My Spirit Alive 81 - 07.18.20 Evan w DemJointz
Version of ""Keep My Spirit Alive"" seen on the iTunes tracklist posted by Kanye, contains a few extra lines along side E.VAX production. Seemingly the first known version of ""Keep My Spirit Alive"" with the Westside Gunn & Conway The Machine verses. Leaked on September 8th, 2023 as a bonus for the ""God Got Me"" groupbuy.",6:29,"Jul 18, 2020","Sep 8, 2023",OG File,High Quality,https://pillowcase.su/f/28fe44081fd8f087db1469a5b332b93a
WHO MADE THE SUNSHINE,"⭐ Kanye West - Keep My Spirit Alive [V22]
(ref. Dem Jointz) (feat. KayCyy, Westside Gunn & Conway the Machine) (prod. FnZ, Dem Jointz, Rico Nichols & Darius Woodley)
(Keep Our Spirit Alive)","OG Filename: KEEP MY SPIRIT ALIVE (Dem Jointz Edit 166bpm) ST
Version on the Visual Album tracklist. Contains the best overall mix and full Kanye verses (including the Trump diss) + Griselda verses and KayCyy on the hook. Was meant for the July 24 release date.",6:17,Jul 2020,"Aug 7, 2022",OG File,CD Quality,https://pillowcase.su/f/fadbb1c15c97f1a73001c35abdaf68af
WHO MADE THE SUNSHINE,"Kanye West - Keep My Spirit Alive [V23]
(ref. Dem Jointz) (feat. KayCyy, Westside Gunn & Conway the Machine) (prod. E.VAX, Dem Jointz, Rico Nichols & Darius Woodley)
(Keep Our Spirit Alive)","OG Filename: Keep My Spirit Alive 81 - 07.18.20 Evan w DemJointz.1_02
Identical to the version seen on the iTunes tracklist posted by Kanye, with some additional gaps of silence included in the bounce (probably by mistake) as well as a few weird cuts.",7:24,"Jul 31, 2020","Jan 21, 2023",OG File,CD Quality,https://pillowcase.su/f/dd17a6ddacd0ed0c272cde797aab9e3e
WHO MADE THE SUNSHINE,"Kanye West - Keep My Spirit Alive [V24]
(ref. Dem Jointz) (feat. Westside Gunn, Conway the Machine & KayCyy) (prod. BoogzDaBeast, FnZ, Ojivolta, Rico Nichols & Darius Woodley)","OG Filename: KEEP MY SPIRIT ALIVE 8.15.20
Version of ""Keep My Spirit Alive"" played at Las Vegas, similar to the December 2020 version. Contains different mixing throughout the song and different drums over Kanye's verses. Originally thought to not have the Kanye verse, however, it's been said that Kanye played a little bit of his verse and then skipped to the next song.",6:33,"Aug 15, 2020","Oct 1, 2023",OG File,CD Quality,https://pillowcase.su/f/606c46351f838e0a3adb70dd7ae808b4
WHO MADE THE SUNSHINE,"Kanye West - Keep My Spirit Alive [V25]
(ref. Arrowstar, Consequence & Dem Jointz) (feat. KayCyy, Westside Gunn & Conway the Machine) (prod. E.VAX, Dem Jointz, Rico Nichols & Darius Woodley)
(Keep Our Spirit Alive)","OG Filename: KEEP MY SPIRIT ALIVE 9.9.20 CO...
Version of ""Keep My Spirit Alive"" with additional Consequence and Arrow punch-in vocals. Leaked as a bonus for the ""God's Test"" groupbuy. Potentially used on a November 2020 tracklist.",4:20,"Sep 9, 2020","Jul 17, 2022",OG File,CD Quality,https://pillowcase.su/f/dbecee96bf6d1d68fa6f39c6d2db6ae5
WHO MADE THE SUNSHINE,"Kanye West - Keep My Spirit Alive [V26]
(ref. ???, ???, Arrowstar, Consequence & Dem Jointz) (feat. KayCyy, Westside Gunn & Conway the Machine) (prod. E.VAX, Dem Jointz, Rico Nichols & Darius Woodley)
(Keep Our Spirit Alive)","OG Filename: Keep My Spirit Alive V1 (Boogz Edit) 09.15.20
Version of ""Keep My Spirit Alive"" with punch ins from Arrowstar, Consequence, Dem Jointz & 2 different unknown reference artists. Production is different than previous versions. Later used on a December 8th album copy. Leaked on September 17th, 2023.",6:21,"Sep 16, 2020","Sep 17, 2023",OG File,CD Quality,https://pillowcase.su/f/dad440aa915a2e6aea0358fcbc333c88
WHO MADE THE SUNSHINE,"Kanye West - Keep My Spirit Alive [V27]
(ref. Dem Jointz) (feat. Keedron Bryant, Westside Gunn & Conway the Machine) (prod. E.VAX, Dem Jointz, Rico Nichols & Darius Woodley)
(Keep Our Spirit Alive)","OG Filename: KEEP MY SPIRIT ALIVE (MIX THREE W Keedron Bryant)
Version of ""Keep My Spirit Alive"" said to be from September 2020. Has Keedron Bryant replacing KayCyy's hook, less Kanye vocals, a different mix, and different drums. Unexpectedly leaked for free on January 23rd, 2022.",6:05,,"Jan 23, 2022",OG File,CD Quality,https://pillowcase.su/f/8253616f0b9ae6c7f1c6f420de52b619
"8 OG File(s)
3 Full
0 Tagged
0 Partial
1 Snippet(s)
3 Unavailable",Hitler Wears Hermes 8: Sincerely Adolf,,,,,,,
Hitler Wears Hermes 8: Sincerely Adolf,???,"OG Filename: 210502 WESTSIDE GUNN 150
A throwaway from the 'Hitler Wears Hermes 8: Sincerely Adolf' sessions, dated May 2nd, 2021. Leaked on LEAKED.CX on April 27th, 2023.",2:04,"May 2, 2021","Apr 27, 2023",OG File,CD Quality,Link Needed
Hitler Wears Hermes 8: Sincerely Adolf,"Kanye West - Keep My Spirit Alive [V28]
(ref. Dem Jointz) (feat. KayCyy, Westside Gunn & Conway the Machine) (prod. E.VAX, Dem Jointz, Rico Nichols, Darius Woodley, BoogzDaBeast & FnZ)","OG Filename: KEEP MY SPIRIT ALIVE 12.5.20
Version of ""Keep My Spirit Alive"" used on a December 12th album copy and the New Years tracklist. Likely similar to the July version vocally (KayCyy), with production elements from the Keedron version. Leaked on September 17th, 2023.",6:07,"Dec 5, 2020","Sep 17, 2023",OG File,CD Quality,https://pillowcase.su/f/89d5e536c90ffa8a7546d56d53b66e0b
Hitler Wears Hermes 8: Sincerely Adolf,"Kanye West - Keep My Spirit Alive [V29]
(ref. Dem Jointz) (feat. KayCyy, Westside Gunn & Conway the Machine) (prod. E.VAX, Dem Jointz, Rico Nichols & Darius Woodley)
(Keep Our Spirit Alive)","OG Filename: KEEP MY SPIRIT ALIVE MIKE DEAN MIX 3 FLAT
Version with similar production to the Keedron Bryant version. Has weird mixing. Leaked by Jabba after he leaked his entire vault on October 2, 2022. Likely from around July-August 2021, as that's when MIKE DEAN mixed the album.",6:47,,"Oct 2, 2022",OG File,High Quality,https://pillowcase.su/f/65bc859af67879417b476ab8146c7cfc
Hitler Wears Hermes 8: Sincerely Adolf,"Kanye West - Keep My Spirit Alive [V30]
(feat. Westside Gunn, Conway the Machine & KayCyy) (prod. BoogzDaBeast, FnZ, Ojivolta, Rico Nichols & Darius Woodley)","OG Filename: Keep My Spirit Alive V2 (No Drums)
Similar to the 2020 FnZ version, but with no drums. Contains the OG sample and production, as well as the full Kanye verse.",6:10,"Jul 28, 2021","Sep 17, 2023",OG File,CD Quality,https://pillowcase.su/f/0ba330a8252978f3a1d61df382f34e66
Hitler Wears Hermes 8: Sincerely Adolf,"Kanye West - Keep My Spirit Alive [V31]
(feat. Westside Gunn, Conway the Machine & KayCyy) (prod. BoogzDaBeast, FnZ, Ojivolta, Rico Nichols & Darius Woodley)","OG Filename: KEEP MY SPIRIT ALIVE FV BOOGZ Organ version
version of ""Keep My Spirit Alive"" with organ production. Has KayCyy's vocals untuned and unmixed. Leaked on October 30th, 2023.",6:33,,"Oct 30, 2023",OG File,CD Quality,https://pillowcase.su/f/bfe38b6fe8e07d76f50ff6013ca89510
Hitler Wears Hermes 8: Sincerely Adolf,"Kanye West - Keep My Spirit Alive [V32]
(feat. Westside Gunn) (prod. BoogzDaBeast, FnZ, Ojivolta, Rico Nichols & Darius Woodley)","First known version of ""Keep My Spirit Alive"" with the updated instrumental. Made sometime prior to LP2, and has some alternate production from the LP2 version of the song. The hook appears to be done by Ye, but is pitched up. It's unknown if Conway is on this version, or if there is a Ye verse. Snippet was included in a video recording some of the LP2 sessions.",,,,Snippet,Recording,Link Needed
Hitler Wears Hermes 8: Sincerely Adolf,"Kanye West - Keep My Spirit Alive [V33]
(ref. Dem Jointz) (feat. Westside Gunn, Conway the Machine & KayCyy) (prod. BoogzDaBeast, FnZ, Ojivolta, Rico Nichols & Darius Woodley)","Played at the second listening party at Mercedes Benz Stadium. Has new instrumental. Song was cut-down from the original version with shorter verses from Ye and Conway. Cons has later gone on to say that Ye cut down his verse because he felt the song was too long. The intro with KayCyy harmonizing over the beat was replaced with Ye, even for ""Pt 2"" on the Deluxe.",3:45,,"Aug 5, 2021",Full,CD Quality,https://pillowcase.su/f/b55302426b8e20bc94590eb7c30d2d6a
Hitler Wears Hermes 8: Sincerely Adolf,"Kanye West - Keep My Spirit Alive [V34]
(feat. Westside Gunn & Shenseea)","OG Filename: KEEP MY SPIRIT ALIVE
Seen on a pre-LP3 tracklist. Has ""feat. WESTSIDEGUNN/SHENSSEA"" added onto the tracklist. Is longer than all other known versions of ""Keep My Spirit Alive"" made after the Las Vegas listening party. It's unknown what Shenseea contributed to the song.",6:48,,,Confirmed,Not Available,
Hitler Wears Hermes 8: Sincerely Adolf,"Kanye West - Keep My Spirit Alive [V35]
(ref. Dem Jointz) (feat. Westside Gunn & Conway The Machine) (prod. BoogzDaBeast, FnZ, Ojivolta, Rico Nichols & Darius Woodley)","OG Filename: Keep my spirit alive MIX TEST.01_01
Version of ""Keep My Spirit Alive"" proven by filenames of other version names.",,,,Confirmed,Not Available,
Hitler Wears Hermes 8: Sincerely Adolf,"Kanye West - Keep My Spirit Alive [V36]
(ref. Dem Jointz) (feat. Westside Gunn & Conway The Machine) (prod. BoogzDaBeast, FnZ, Ojivolta, Rico Nichols & Darius Woodley)","OG Filename: Keep my spirit alive MIX TEST.02_02
Found on an August 19th, 2021 copy of Donda. Version of ""Keep My Spirit Alive"" with the same structure as the release version, but with an alternate mix and uncensored.",3:41,,"Oct 14, 2023",OG File,CD Quality,https://pillowcase.su/f/6043f9bb4626c3797f479873fab09c11
Hitler Wears Hermes 8: Sincerely Adolf,"Kanye West - Keep My Spirit Alive [V37]
(ref. Dem Jointz) (feat. Westside Gunn & Conway The Machine) (prod. BoogzDaBeast, FnZ, Ojivolta, Rico Nichols & Darius Woodley)","OG Filename: Keep my spirit alive MIX TEST.03_03
Version of ""Keep My Spirit Alive"" proven by filenames of other version names.",,,,Confirmed,Not Available,
Hitler Wears Hermes 8: Sincerely Adolf,"Kanye West - Keep My Spirit Alive [V38]
(ref. Dem Jointz) (feat. Westside Gunn & Conway The Machine) (prod. BoogzDaBeast, FnZ, Ojivolta, Rico Nichols & Darius Woodley)","OG Filename: Keep my spirit alive MIX TEST.04_04
Seen on an August 21st 2021 copy of Donda. Version of ""Keep My Spirit Alive"" with the same structure as the release version, but with an alternate mix and uncensored.",3:41,,"Oct 14, 2023",OG File,CD Quality,https://pillowcase.su/f/6d56021a5640ccbd4ca1e81cf96b863e
Hitler Wears Hermes 8: Sincerely Adolf,"Kanye West - Keep My Spirit Alive [V39]
(ref. Dem Jointz) (feat. Westside Gunn & Conway The Machine) (prod. BoogzDaBeast, FnZ, Ojivolta, Rico Nichols & Darius Woodley)","OG Filename: Keep my spirit alive MIX TEST.05_05
Seen on an August 23rd & 25th, 2021 copy of Donda. Version of ""Keep My Spirit Alive"" with the same structure as the release version, but with an alternate mix and uncensored. Unknown if there are any other mix tests after this.",3:41,,"Oct 14, 2023",OG File,CD Quality,https://pillowcase.su/f/6e0c82c3941cea684b1e1a93b234e84f
Hitler Wears Hermes 8: Sincerely Adolf,"Kanye West - Keep My Spirit Alive [V40]
(ref. Dem Jointz) (feat. Westside Gunn) (prod. BoogzDaBeast, FnZ, Ojivolta, Rico Nichols & Darius Woodley)","Played at the August 26, 2021 listening party. Has Kanye doing the chorus instead of KayCyy and Conway The Machine's verse has been removed. CDQ mono leaked 1/13/24.",2:48,,"Jan 13, 2024",Full,CD Quality,"https://pillowcase.su/f/674ed80efbd52e95647d5b8fd6bdb72b
Link Needed"
Hitler Wears Hermes 8: Sincerely Adolf,"Travis Scott - LOST FOREVER
(feat. Westside Gunn) (prod. James Blake, Dom Maker & Elliott Baker)","Early version first played during Travis' 2021 Dior x Cactus Jack show. Later performed at Rolling Loud and many more events and shows across 2021 and 2022. Doesn't have the new instrumental part from The Alchemist, and is likely missing Travis' last verse; also has a much longer intro. Possibly the same version that features Benny the Butcher.",2:48,"Jun 25, 2021",Feature,Full,High Quality,https://krakenfiles.com/view/f2d2kl6B6i/file.html
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
2 Unavailable","Peace ""Fly"" God",,,,,,,
"Peace ""Fly"" God",Unknown [KayCyy Collaboration],"KayCyy stated in an interview for Lyrical Lemonade on Febuary 28th, 2022, that Westside Gunn just gave him a verse, most likely for ""I'll Be Alright""",,,,Confirmed,Not Available,Source Needed
"Peace ""Fly"" God","KayCyy - Be Alright [V6]
(feat. Westside Gunn)
(I'll Be Alright, I'll B Alright)","KayCyy said he got Westside Gunn to record on ""Be Alright"" like he intended. Westside Gunn said he just gave a verse to KayCyy in Febuary 2022, so we assume a version exists with Gunn's vocals over the original beat.",,Feb 2022,,Confirmed,Not Available,
"0 OG File(s)
2 Full
0 Tagged
0 Partial
2 Snippet(s)
0 Unavailable",10,,,,,,,
10,2AM In Greece*,Snippet that was posted on Instagram the same day HWH10 released. The snippet was deleted shortly after. May have been a throwaway from HWH10.,,,Feature,Snippet,Low Quality,Link Needed
10,"⭐ Science Class [OG]
(feat. Busta Rhymes, Raekwon, Ghostface Killah & Stove God Cooks) (prod. Swizz Beatz)",The original version of Science Class that was removed from streaming platforms probably because of sample clearance issues.,4:56,Oct 2022,Off-Streaming,Full,Recording,https://krakenfiles.com/view/zqTTujdZ52/file.html
