Era,Title,Notes,Length,Release Date,File Date,Availability,Quality,Link(s)
,Dreams In 3-D,"(2004 - 2006) (as Tyler, The Creator)
Dreams In 3-D is one of Tyler's earliest projects containing some of his earliest work, which contains 18 tracks in total. Every instrumental from this project was finished in early 2006. This project was planned to be recorded on, but ultimately never happened. This would later become the basis for At Your Own Risk.",,,,,,
Dreams In 3-D,Dreams In 3-D,"Album copy. Advertised as OGF, but the tagging is weird.",46:55,"Aug 25, 2025","Mar 21, 2006",Full,CD Quality,https://pixeldrain.com/u/nA9Zr7MR
,"At Your Own Risk [V1]
(Dreams In 3-D [V2])","(2005 - 2007) (as Ace)
At Your Own Risk is another one of Tyler's earliest projects that was set to release on MySpace in 2008, containing a lot of reworked beats from Dreams In 3-D. This was mainly an instrumental album, with the only songs actually having vocals being Get Fresh, Speakerboxx & Sorry.... This project was likely shelved in favor of Stereo-Type sometime in early 2007, but was later worked on later that year. Tyler ended up making a final instrumental copy of this album in 2008 that he burned onto CD's and gave to friends. Although he is never known to have recorded on this copy, the instrumental copy is known to be had.",,,,,,
At Your Own Risk [V1],At Your Own Risk,"Album copy, burned onto CDs. One notable owner of this CD is Burtono, who was going to sell it to both Pac & Horse. Unfortunately, Pac ended up using the CD money to buy Flower Boy sessions, so Burtono ended up saying he lost these. This copy is, however, known to be had.",,,2008,Confirmed,Not Available,N/A
,"Stereo-Type
(A Stereo-Type, Stero-Type)","(2006 - 2008) (as Ace)
Stereo-Type is a mixtape that was set to release in 2008. Supposedly this entire project had vocals, but all that has leaked from this project are instrumentals (apart from I Dream & Speakerboxx, these are from that copy). This vocal copy of the project is currently lost. Made alongside Radio Arcade.",,,,,,
Stereo-Type,Stereo-Type,"Album copy, burned onto CDs. One notable owner of this CD is Burtono, who was going to sell it to both Pac & Horse. Unfortunately, Pac ended up using the CD money to buy Flower Boy sessions, so now these CDs are fully lost.",,,,Lost,Not Available,N/A
,"At Your Own Risk [V2]
(Dreams In 3-D [V3])","(2007 - 2008) (as Ace)
After At Your Own Risk was scrapped in early 2007, Tyler revived it in mid to late 2007. Every instrumental from the earlier copy got completely reworked into practically different tracks with the only similarities being the name. Planned to be recorded on and released around the same time Stereo-Type & Eargasm would've been in early to mid 2008.",,,,,,
At Your Own Risk [V2],At Your Own Risk,"Album copy, made around 2007 - 2008. Was set to be groupbought, but had to be cancelled due to internal conflict.",,,,Confirmed,Not Available,N/A
,Eargasm,"(2007 - 2008) (as Ace)
Eargasm was originally supposed to be a sampler for Stereo-Type, but later turned into its own album. A preview playlist containing songs from Eargasm was released on MySpace in 2008, with a full release set for the same year.",,,,,,
Eargasm,Eargasm,"Album copy, burned onto CDs. One notable owner of this CD is Burtono, who was going to sell it to both Pac & Horse. Unfortunately, Pac ended up using the CD money to buy Flower Boy sessions, so now these CDs are fully lost.",,,,Lost,Not Available,N/A
,Unique Style ,"(2007 - 2009) (as thrashpolo)
Unique Style is the first known project Tyler has made under the alias ""thrashpolo"". Worked on from 2007 to 2009, and contains 16 instrumentals. This project has a cover, but is not leaked.",,,,,,
Unique Style,Unique Style,"Album copy, confirmed to be had. Was set to be groupbought.",,,,Confirmed,Not Available,N/A
,"Infinite Rhythms
(Infinite Rhyhtms)","(2007 - 2008) (as thrashpolo)
Infinite Rhythms is another project made under the thrashpolo alias. Currently not much is known about it other than the fact it was worked on alongside Unique Style, being worked on from Early 2007 - Late 2008.",,,,,,
Infinite Rhyhtms,Infinite Rhythms,"Album copy, confirmed to be had.",,,,Confirmed,Not Available,N/A
,Radio Arcade,"(2007 - 2008) (as Ace)
Ace project that was teased alongside Stereo-Type, thought to be a Poly/Mono project but isn't one. Shares similarities with Stereo-Types artwork.",,,,,,
Radio Arcade,Radio Arcade,"Album copy, confirmed to be had.",,,,Confirmed,Not Available,N/A
,Bodega,"(2007 - 2008) (as Tyler, The Creator)
Relatively obscure project that was really only shared around with friends, quite a bit of this project was made at school. The songs on this project were tagged with many different artists, those being: Tyler, The Creator, Ace, Casey Veggies (CaseyV.), Skoolie300 (Skool Boy), brandUn DeShay, Trenard Moody (T Moody), & Mak Milli (K Mak). This project's last modified date is May 13th, 2008, but some songs were made later than that. This is one of three of Tyler's earliest projects that we have in full.",,,,,,
Bodega,Bodega,"Album copy, has Love Bomb (Remix) as the outro.",,,,Confirmed,Not Available,N/A
Bodega,Bodega,"Album copy. Advertised as OGF, but might not be.",,"Jul 18, 2025","May 13, 2008",Full,High Quality,https://pixeldrain.com/u/Y8tCNrjR
,The Blair Bitch Project,"(2008) (as Ace)
Project teased for release in early 2008 by Tyler on his blogspot. Only info about project this is the low quality covers and two instrumentals reused from The Odd Future Tape, possibly meant to be recorded on. ",,,,,,
