Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s),Info / Notes(radioLove invite here)
(as Ace Creator),Dreams In 3-D,,,,,,,,
Dreams In 3-D,Dreams In 3-D [Promotional Cover #1],,,,,,,/wolfgold/art/dreams-in-3-d-promotional-cover-1.png,Promotional cover used for Dreams In 3-D.
Dreams In 3-D,Dreams In 3-D [Promotional Cover #1] [Original Image],,,,N/A,,,,"The existence of At Your Own Risk [Alternate Cover #2] proves this exists, probably lost though."
Dreams In 3-D,Dreams In 3-D [Promotional Cover #2],,,,,,,/wolfgold/art/dreams-in-3-d-promotional-cover-2.png,Another promotional cover used for Dreams In 3-D.
(as Ace Creator),At Your Own Risk,,,,,,,,
At Your Own Risk,At Your Own Risk [Cover],,,,,,,/wolfgold/art/at-your-own-risk-cover.png,"Cover for ""At Your Own Risk."""
At Your Own Risk,At Your Own Risk [Early Cover],,,,,,,/wolfgold/art/at-your-own-risk-early-cover.png,"Early version of the ""At Your Own Risk"" without saturation, the Caution line and includes a date which, along with other dates for other albums, helped prove that this album predates Eargasm and Stereo-Type."
At Your Own Risk,At Your Own Risk [Alternate Cover #1],,,,,,,/wolfgold/art/at-your-own-risk-alternate-cover-1.jpg,"Alternate cover for ""At Your Own Risk,"" apparently real."
At Your Own Risk,At Your Own Risk [Alternate Cover #1] [Original Image],,,,,,,/wolfgold/art/at-your-own-risk-alternate-cover-1-original-image.jpg,"Original image of the alternate cover for ""At Your Own Risk."""
At Your Own Risk,At Your Own Risk [Alternate Cover #2],,,,,,,/wolfgold/art/at-your-own-risk-alternate-cover-2.png,"Alternate cover for ""At Your Own Risk,"" apparently real."
At Your Own Risk,At Your Own Risk [Tracklist #1],,,,,,,/wolfgold/art/at-your-own-risk-tracklist-1.png,"First tracklist for ""At Your Own Risk."""
At Your Own Risk,At Your Own Risk [Tracklist #2],,,,,,,/wolfgold/art/at-your-own-risk-tracklist-2.png,"Second tracklist for ""At Your Own Risk."""
At Your Own Risk,Air Balloon [Single Cover],,,,,,,/wolfgold/art/air-balloon-single-cover.png,"Cover for the ""Air Balloon"" single."
At Your Own Risk,Air Balloon [Single Cover] [Orginal Image],,,,,,,/wolfgold/art/air-balloon-single-cover-orginal-image.jpg,"Orginal image for the cover of the ""Air Balloon"" single."
(as Ace Creator),The Recipe(Collaboration with Burtono),,,,,,,,
The Recipe,The Recipe [Cover],,,,,,,/wolfgold/art/the-recipe-cover.png,"Cover for ""The Recipe"" by Burtono, produced by Tyler."
The Recipe,The Recipe [Promotional Cover],,,,,,,/wolfgold/art/the-recipe-promotional-cover.png,"Promotional cover for ""The Recipe,"" confirms the existence of two songs."
(as Ace Creator),Stereo-Type(A Stereo-Type),,,,,,,,
Stereo-Type,Stereo-Type [Cover #1],,,,,,,/wolfgold/art/stereo-type-cover-1.jpg,The main cover for Stereo-Type. Inspired by Andy Warhol.
Stereo-Type,Stereo-Type [Cover #2],,,,,,,/wolfgold/art/stereo-type-cover-2.jpg,"Alternate cover for ""Stereo-Type."""
Stereo-Type,Stereo-Type [Cover #2] [No Text],,,,N/A,,,,"No text version of Stereo-Type Cover #2, confirmed to exist but not available."
Stereo-Type,Stereo-Type [Cover #3],,,,,,,/wolfgold/art/stereo-type-cover-3.png,"Another alternate cover for ""Stereo-Type"" with a Stereo-Typo. Get it? Like a typo in a cover that is for Stereo-Type? Silly Ace boy. The source image was originally meant as an ad for Tyler's conceptual clothing brand ""Team Blox""."
Stereo-Type,Stereo-Type [Cover #4],,,,,,,/wolfgold/art/stereo-type-cover-4.png,"Another alternate cover for ""Stereo-Type."" Used for Radio Arcade Cover #3."
