Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2026,,CHROMAKOPIA,CHROMAKOPIA Bundle,"Super Sad Song (Like Him) [FAKE]
Sticky [FAKE]
Mask (Take Your Mask Off) [FAKE]

SurferRocker (Best Interest) [FAKE]

None of this was real, & I guess the seller figured out that we figured out it was fake, so he stopped responding to us LOL.",$350,N/A,N/A,Normal,Cancelled,
2026,,Unique Style,Full Unique Style Copy,"Unique Style [16x Track Album Copy]

This buy is likely not going to happen due to Peep being exiled from comm.","$1,200",N/A,N/A,Normal,Cancelled,https://pixeldrain.com/u/vB5VyRCS
2026,,Cherry Bomb,Bad Reception,"Bad Reception

The buy was canceled after very little community interest, seller opted to privately sell the song rather.",$200,"May 28, 2026","May 28, 2026",Normal,No,
2026,,Cherry Bomb,Bad Reception,"Bad Reception

Price was reworked after low community interest.",$300,"May 28, 2026","May 28, 2026",Normal,Reworked,
2026,,Locked Away,3x Files,"3x Locked Away Files

Seller canceled shortly before start, reason unknown.
(THIS HAD ABENOTBABE INVOLVEMENT, THANK FUCK IT DIDN'T RUN.)",$500,"May 21, 2026","May 21, 2026",Normal,Cancelled,
2026,,The Blair Bitch Project,Full Blair Bitch Project Copy,"The Blair Bitch Project [14x Track Album Copy]

Buy was canceled after a different seller started leaking one of the organizer's vaults out of distain for the buy running.
(Seeing Abe's track record, this is probably for the best.)",$700,"Mar 25, 2026","Mar 25, 2026",Normal,No,
2026,,Cherry Bomb,Kali Uchis Bundle,"Kali Uchis - Raygay (prod. Tyler, The Creator)
Toronto (See You Again) [Solo Kali Demo] (prod. Tyler, The Creator)
Kali Uchis - In My Bed (prod. Tyler, The Creator)

~16x Kali Uchis bonuses [Every $100 Paid] 

Buy was done in collaboration with Kali Hub","$2,000","Feb 20, 2026","Mar 5, 2026",Normal,Yes,
2026,,CALL ME IF YOU GET LOST [V2],Neon Peach + In The Moment,"Neon Peach (Alternate Tyler Verse) [$175 Paid]
In The Moment (Demo Tyler Verses) (Donator Exclusive) [$350 Paid]

In The Moment was changed to a donator exclusive after no one was donating. Was leaked randomly about 2 months later by [REDACTED].",$300,"Feb 3, 2026","Feb 6, 2026",Normal,Yes,
2026,,At Your Own Risk [V2],Full At Your Own Risk Copy,"At Your Own Risk [Final Instrumental Copy]

Runaway [V3] [$200 Paid]
Return Of Saturn [V2] [$400 Paid]
Speakerboxx (Instrumental) [V2] [$600 Paid]
Sorry... (Instrumental) [V4] [$800 Paid]
Soon [V3] [$1000 Paid]
Purple X Toys [V4] [$1200 Paid]
Get Fresh (Instrumental) [V2] [$1400 Paid]

Speakerboxx (Instrumental) [V1] CDQ
Soundz On Acid [V2]
Adams Family (Instrumental)
LGK

The organizers mislead comm into thinking this buy wasn't run in association with Birdie (it was). As a result, when the buy was $170 away from finishing Birdie tried to raise the price to $2.5K. Funds were being sent to the sellers every $200, so most of the money ($1530) raised had already been sent. A whole bunch of stuff leaked as an apology, but that doesn't make up for the money being lost.","$1,700","Jan 25, 2026","Jan 30, 2026",Normal,No (Scammed),
2026,,CHROMAKOPIA,Answer My Call,"Answer My Call (feat. Daniel Caesar)

Katy Perry - E.T (feat. Kanye West) (Session) [$600 Paid]

GOATS: josefbenz, mlomofficial, sillymaan, grace, db2923, taymirrorball13",$750,"Jan 17, 2026","Jan 17, 2026",Normal,Yes,
2026,,CHROMAKOPIA,Answer My Call,"Answer My Call (feat. Daniel Caesar)

Katy Perry - E.T (feat. Kanye West) (Session) [$600 Paid]

In an effort to get the buy to finish, $100 was taken off the price.",$850,"Jan 15, 2026","Jan 17, 2026",Normal,Reworked,
2026,,Cherry Bomb,For The Time Being + Border Control,"For The Time Being (feat. Kali Uchis)

Unspecified Instrumental (Paid Exclusive) [$1000 Paid]
After The Storm (Photoshoot) (Paid Exclusive) [$1200 Paid]
Surprise Unknown Snippet (Kali Solo See You Again) [$1400 Paid]
Border Control (feat. Kali Uchis) [$1500 Paid]
Various Paid Exclusive Bonuses [Every $100]


Buy was done in collaboration with the beautiful Kali Hub. Border Control was meant to be for donators only, but various members of the community chose to mess that up.

GOATS: haiimroo, sillymaan, dmurphy, jooble, luisuchis, tonyshhnow, yoctavious, hearts.emoji","$1,600","Jan 3, 2026","Jan 5, 2026",Normal,Yes,
2025,"$5,960",Multi-Era,24+ Songs,"24+ Show Mixes / Demos / Instrumentals
3.46 GBs of Loiter Squad Alt Videos and Others

November (Demo Mix) [$100 Paid]
Awkward (Show Mix) [$200 Paid]
Tamale (Show Mix) [$300 Paid]
Domo Genesis - Go (Gas) (Rough Mix) [$??? Paid]
Answer (Outro Show Mix) [$??? Paid]
Rusty (Intro) [$??? Paid]
OKAGA, CA (Show Mix) [$??? Paid]
RUN (Show Mix) [$??? Paid]
DEATHCAMP (Show Mix) [$??? Paid]
FIND YOUR WINGS (Show Mix) [$??? Paid]",$700,"Dec 16, 2025","Dec 22, 2025",Normal,Yes,
2025,"$5,960",Multi-Era,24+ Songs,"24+ Show Mixes / Demos / Instrumentals
3.46 GBs of Loiter Squad Alt Videos and Others

The buy was initially going to also include show mixes for SMUCKERS, BUFFALO (482), FUCK IT and Cowboy, alongside the PERFECT (MV Version). These got pb'd during the time it took to organise the GB, so $150 was cut off the price as compensation (PERFECT later leaked).",$850,N/A,N/A,Normal,Reworked,
2025,"$5,960",Eargasm,Herpes and Cupcakes + Vish,"Herpes and Cupcakes [FAKE]
Vish [FAKE]

Fish [V1] [$500 Paid] [FAKE]
4x Five Nights at Freddy's 2 (Movie Soundtrack) [$850 Paid]
PartyIsn'tOver (Dead Sams Instrumental Version) [$900 Paid]
Neptune [$900 Paid]
Sound On Acid [V1] [$1200 Paid]
See You Again (Dead Sams Instrumental Version) [$1400 Paid] [FAKE]
Run Away [V1] (Given To GOATS of the buy)

We initially got sent an AI fake of Vish, but got (what we thought was) the real thing in the end (it turns out it was AI anyway.) Tyler (bm200902) joined the server where the buy was happening, but was banned after he didn't say anything.

GOATS: SillyMaan, Prophecy, thisinee, MLOM, Rian, hearts.emoji, Juggler, y7seven, agent_j_, Marin, & jooble.","$1,800","Nov 17, 2025","Dec 6, 2025",Normal,Yes (Scammed),
2025,"$5,960",Stereo-Type,I Dream,"I Dream (Vocal Version) (HQ OGF) [FAKE]

Finally Something Different [$200 Paid]
Dixon [$300 Paid]
Shitface [$400 Paid]
Naughty [$450 Paid]
Cloud High [$500 Paid]
Crikle [$600 Paid]
For The Club [$800 Paid] [FAKE]

I Dream was confirmed fake by Tyler himself to be AI on Instagram. The beat is real but the song is completely fake and made by abenotbabe.

GOATS: agentj, alex., heartemoji, poopman, juglover, y7seven & mlom",$900,"Oct 21, 2025","Oct 24, 2025",Normal,Yes (Scammed),
2025,"$5,960",CALL ME IF YOU GET LOST [V2],Voicemail #3 (Instrumental),"Voicemail #3 (Instrumental)

Baking Soda
Smile Cheese Take A Picture",$700,"Oct 11, 2025","Oct 15, 2025",Normal,Forceleaked,
2025,"$5,960",CALL ME IF YOU GET LOST [V2],Voicemail #3 (Instrumental),"Voicemail #3 (Instrumental)

Baking Soda
Toys X Blox! [V1]",$800,"Oct 11, 2025","Oct 11, 2025",Normal,Reworked,
2025,"$5,960",CALL ME IF YOU GET LOST [V2],Voicemail #3,"Voicemail #3 (aka NUMBER, NUMBER)

Supposedly just an instrumental, we didn't find this out until after the groupbuy server was made.","$1,000","Oct 11, 2025","Oct 11, 2025",Normal,Reworked,
2025,"$5,960",Dreams In 3-D,Full Dreams In 3-D Copy,"Dreams In 3-D [Full Album] + OG Files

3x AYOR Files (Lounges X Blox, 12:01 & Sorry....)",$800,"Aug 18, 2025","Aug 24, 2025",Normal,Yes,
2025,"$5,960",CALL ME IF YOU GET LOST [V2],Perfect Love,"A$AP Ferg - Perfect Love (feat. Tyler, The Creator)

Buy was planned to happen along with Mother but was decided to run separate, later forceleaked 3 hours into the buy.",$530,"Aug 15, 2025","Aug 15, 2025",Normal,Forceleaked,
2025,"$5,960",CHROMAKOPIA,Mother,"Mother (CHROMAKOPIA + OG File)

Loop2

Loop2 wasn't advertised as a bonus, but it did leak alongside the main.",$150,"Aug 14, 2025","Aug 15, 2025",Blind,Yes,
2025,"$5,960",Bodega,Full Bodega Copy,Bodega [Full Album] + OG Files,$400,"Jul 30, 2025","Aug 4, 2025",Normal,Yes,
2025,"$5,960",WOLF [V1],Toilet Milk + You're Drunk,"Toilet Milk [V2]
You're Drunk [V2]
Midnight Hour

Tramp 3
DNC

These leaks were given out to people who paid an hour in advance (which means the worst person you know had these songs before you)
Donate next time.",$400,"Jul 14, 2025","Jul 18, 2025",Normal,Yes,
2025,"$5,960",Dreams In 3-D,La La Land...,La La Land...,$150,"Jun 29, 2025","Jul 1, 2025",Normal,No,
2025,"$5,960",Dreams In 3-D,Retail Price,"Retail Price (Instrumental) [V1]

Promo (Instrumental) [CDQ]

These leaks were supposed to be shared privately among the people who donated, but def had to mess it up for everyone.",$150,"Jun 28, 2025","Jun 29, 2025",Normal,Yes,
2025,"$5,960",CALL ME IF YOU GET LOST [V2],Perfect Love,"Perfect Love (feat. A$AP Ferg)

1x Steve Lacy Song
2x Steve Lacy Instrumentals
Blind A$AP Ferg Song
530 (prod. Mike Dean) [FAKE]

Holder (bud) was revealed to be a major scammer, taking money from several groupbuys ($700 from a Drake GB & $90 from a Carti GB), and the buy was cancelled. The alternate 530 did leak, however it turned out to be a fake.",$750,"Apr 6, 2025","Apr 11, 2025",Normal,No (Scammed),
2025,"$5,960",WOLF [V1],Unorthodox,"Unorthodox (Instrumental)

Taffy
Fish [Demo]
Super Martian Robot Girl

The $30 is money for CashApp transfer.",$330,"Mar 1, 2025","Mar 8, 2025",Normal,Yes,
2025,"$5,960",WANG$AP,What A Day,"What A Day [Original Version]

Blind MF DOOM Bonus
3x Blind Madlib Bonuses
MF DOOM - Haywire
MF DOOM Info
SAFARI (Instrumental)
LUMBERJACK [Demo Sample Clearance]
3x Ab-Soul Bonuses

Unfortunately, this groupbuy was also a scam and the person selling the music, aka Mario Kart (later revealed to be SMC), has run off with the money. There are currently several stories on what happened and why, one common story is that Tyler's team directly contacted the seller, who redirected them to representatives from Sony, UMG & WMG.",$400,"Feb 8, 2025","Feb 9, 2025",Normal,Yes (Scammed),
2025,"$5,960",WOLF [V1],Half/Half,"Half N Half

XoXo (Instrumental) [V2]
Handsome Sounds (Instrumental)",$300,"Feb 6, 2025","Feb 7, 2025",Normal,Yes,
2025,"$5,960",Flower Boy,May 2017 Flower Boy Copy,"Flower Boy (May 17th, 2017 Copy) [16x Tracks w/ extra refs and different productions]

I Came / Pink
What A Day [Original Version]

Unfortunately, this groupbuy was a scam and the person selling the music (Gaws) has run off with the money with no return in sight at all (he was later spotted loitering on YouTube comments).",$500,"Dec 20, 2024","Dec 23, 2024",Normal,Yes (Scammed),
2025,"$5,960",WOLF [V1],WOLF [V1] Bundle,"Tron Cat (Instrumental) [V1]
KittyKat [V3]
You're Drunk [V2]

Leuz",$650,"Nov 30, 2024","Dec 4, 2024",Normal,No,
2025,"$5,960",IGOR,Solange - My Skin My Logo,"Solange - My Skin My Logo [Early Version]

Hunter
Tamale [Early Version] [FAKE]
Quartz [Early Version] [FAKE]
2x THANK YOU [Early Version] [FAKE]

This groupbuy should've been the first sign that the seller (Gaws) wasn't a trustworthy individual.",$350,"Oct 5, 2024","Oct 9, 2024",Normal,Yes (Scammed),
2025,"$5,960",WANG$AP,What A Day + And What,"What A Day [Original Version]
And What [V1]

Unknown Tyler Bonuses","$2,000","Jun 26, 2024","Jun 26, 2024",Normal,No,
2023,"$3,700",CALL ME IF YOU GET LOST [V2],A$AP Rocky - Roddy Piper,"A$AP Rocky - Piper (feat. Tyler, The Creator) [V2]",$700,"Jul 24, 2023","Aug 6, 2023",Normal,Yes,
2023,"$3,700",CALL ME IF YOU GET LOST [V2],FUCKYOUMEAN,FUCKYOUMEAN,$500,N/A,N/A,Normal,Yes,
2023,"$3,700",CALL ME IF YOU GET LOST [V2],Penny,"Penny

My Level (feat. Lil Yachty)",$500,N/A,N/A,Normal,Yes,
2023,"$3,700",Multi-Era,Born To Win,"John Ross (I Ain't Got Time! Demo) [V1]
Born To Win",N/A,N/A,N/A,Normal,Yes,
2023,"$3,700",Radical 2,Still Tippin' Freestyle,Still Tippin' Freestyle,N/A,N/A,N/A,Normal,Yes,
2023,"$3,700",WOLF [V3],Casey Veggies - Sus Homie,Casey Veggies - Sus Homie [V1],N/A,N/A,N/A,Normal,Yes,
2023,"$3,700",Dinosaur,Pale,"Pale

Midnight Funkathon
My Room","$2,000",N/A,N/A,Normal,Yes,
2023,"$3,700",CALL ME IF YOU GET LOST [V2],GOLFBOYSHIT,GOLFBOYSHIT,$500,N/A,N/A,Normal,Yes,
2023,"$3,700",CALL ME IF YOU GET LOST [V2],CANTYOUSEE,CANTYOUSEE,$500,N/A,N/A,Normal,Yes,
2022,"$2,500",Scum Fuck Flower Boy,DeathValley,DeathValley,$500,"Dec 20, 2022",N/A,Normal,Yes,
2022,"$2,500",Dinosaur,OF Theme,"OF Theme

Meatjuice
PG-13
Dream Away",$300,N/A,N/A,Normal,Yes,
2022,"$2,500",Dinosaur,Yamaka,Yamaka,"$1,200",N/A,"May 20, 2022",Normal,Yes,
2022,"$2,500",Zombie Circus,Rotten Sarah,Rotten Sarah,$500,N/A,N/A,Normal,Yes,
2021,"$1,000",WANG$AP,Run It,Run It [V2],"$1,000",N/A,N/A,Normal,Yes,
