Era,Name,Info/Notes,Length,Leak Date,File Date,File Date,Type,"Availability
(aka Snippet Central)",Quality,Link(s)
Ace,Fly,Loose instrumental made in 2007.,,"Jun 8, 2026","Jun 29, 1905",,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/RMKzjqqn
Ace,Odd Future,"Instrumental posted to the ""Thrashpolo"" myspace account sometime in 2007. Shown on a poll on the myspace page.",4:00,"Jun 5, 2026","Jun 29, 1905",2007,Instrumental,Full,CD Quality,https://pixeldrain.com/u/caXgLr1W
my good beats,⭐️ Lotus,"Instrumental made in 04 tagged with ""my good beats"". Was initially believed to be fake as was thought to have used a lead preset (Morphine) that only released in 2007, however the preset was misidentified (it's actually from the Neptunes & Pharrell Williams Megakit by DJ X in FL 5, which came out in 2004).",,"Jun 5, 2026","Jun 26, 1905",Fake Leak,Instrumental,Full,High Quality,https://pixeldrain.com/u/Aa7x6ubQ
Eargasm,Clouds,Eargasm track. Was thought to have been leaked but the file we had was a fake. Track 16 on the project.,3:35,"Jun 5, 2026","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/WKBX683G
Infinite Rhyhtms,Infinite Rhyhtm,"First known song off of ""Infinite Rhyhtms"". Made in 2008. Samples ""Call Me When You Get This"" by Corrine Baliey Rae.

payton is a salty bitter retard don't buy his Tumblr jet age",5:54,"Jun 5, 2026",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/3AG1UgeJ
Dinosaur,⭐️ Asthma (Instrumental),"Instrumental to ""Asthma"", recorded on by Tyler and Earl. Made in 2009.",3:37,"Jun 5, 2026","Jul 1, 1905",,Instrumental,Full,High Quality,https://pixeldrain.com/u/FNMVAGbR
Dinosaur,Pigs Fly (Instrumental) [V1],"Instrumental to ""Pigs Fly"", made on April 23rd, 2008.",3:33,"Jun 5, 2026","Apr 23, 2008",,Instrumental,Full,High Quality,https://pixeldrain.com/u/6eYonS7k
The Dead Sams,⭐️ Ferris Wheel [V2],"Later version of ""Ferris Wheel"", features additional drums and a completely different production. Track 4.",4:02,"Jun 5, 2026",,,Instrumental,Full,CD Quality,https://pixeldrain.com/u/rb7VKRXK
The Recipe,"Burtono - ???
(prod. Burtono & Tyler, The Creator)",Unknown snippet which apparently is a collaboration between Burtono and Tyler made in 2004. Any other information about this instrumental is unknown at the moment. Its probably not meant for The Recipe but since this is the only burtono era we have we will keep it here.  burtono and tyler met in 05 btw,,"Jun 4, 2026","Jun 26, 1905",,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/R66zUCKo
Cherry Bomb,Bad Reception [V2],"Title of a song from the freeperm archive, mentioned on August 24th, 2014. “Wow. This song i just made. Idk if it’s good or not. It’s 50 seconds long. It’s called Bad Reception. It’s about phone call.” Was available for groupbuy on May 28th, 2026 for $200 but was canceled after the song was privately bought.",1:15,"May 28, 2026",,,Song,Snippet,CD Quality,https://pillows.su/f/344b125e7294d736b21fc73b987deede
Dreams In 3-D,We Dream In 3-D (Reprise),"Reprise of ""We Dream In 3-D"", allegedly supposed to go after ""3-D"" on the Dreams In 3-D tracklist.",1:34,"May 22, 2026","Jun 28, 1905",,Instrumental,Full,CD Quality,https://pillows.su/f/91901fc95aa6c3a26b56d0318e136214
The Dead Sams,✨ Head On My Arm,Tagged as track 9 of The Dead Sams.,3:05,"May 20, 2026",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/WzVF4UGz
At Your Own Risk [V2],"✨️ 7-Up Girl [V3]
(Purple X Toys Pt. 2)","Final At Your Own Risk version of ""7-Up Girl,"" completely different from the first 2 versions. Made in 2007-2008 for the final copy of the album. Instrumental only. File was originally named ""Purple X Toys Pt. 2"" until being relabeled for the CD.",,"May 16, 2026",,,Instrumental,OG File,High Quality,https://pixeldrain.com/u/zEkyRrgH
PinkGold SquarePixals,Monster,"PinkGoldSquarePixals track that was confirmed to be from this album through Tyler's Blogspot. Originally thought to be the instrumental ""Deh Output"".",,"May 16, 2026","Jun 30, 1905",,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/gZyYoAoy
Eargasm,🏅 Herpes and Cupcakes (Instrumental) [V2],"Version of the ""Herpes and Cupcakes"" instrumental with a different pitch and a bridge.",,"May 15, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/LxJCCtf3
my good beats,Dream,"Instrumental tagged with ""my good beats"" made in 2005. Was going to be track 1 of a very early copy of Dreams In 3-D.",,"May 13, 2026","Jun 27, 1905",,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/uc79Dvk2
Ace,Late... Again (2/2),Loose instrumental made in 2007 and posted to Tyler's imeem in early 2008. Was thought to have been leaked but the file we had was a fake.,2:57,"May 5, 2026",,2008,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/eNKaodRL
Ace,Instrumentation [V1],"Loose instrumental, year unknown.",,"May 5, 2026",,,Instrumental,Snippet,High Quality,"https://pixeldrain.com/u/mkGaeuAF
https://pixeldrain.com/u/xWAfzsHA"
Unique Style,???,"Track 6 of ""Unique Style"" year unknown.",,"Apr 30, 2026","May 14, 2026",,Instrumental,Snippet,High Quality,se
Zombie Circus,Spooky,"Zombie Circus instrumental, year unknown. Was thought to have been leaked but the file we had was a fake, however a real snippet exists.",,"Apr 30, 2026",,2008,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/mWc2XSYW
At Your Own Risk [V2],Imagination [V4],"Final At Your Own Risk version of ""Imagination,"" differences/similarities to the original version are unknown. Made in 2007-2008 for the final copy of the album. Instrumental only.",,"Apr 29, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/LEcSexTn
The Dead Sams,Cowboy (Instrumental) [V1],"Original version of Cowboy made for The Dead Sams, possibly made sometime in 2011.",,"Apr 29, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/uRyFojqw
WOLF [V2],Magnetic,"Song made for Wolf, instrumental only. One of the songs that Tyler said he needed to work on in the freeperm archive on June 3rd, 2012.",,"Apr 29, 2026",,,Instrumental,Snippet,High Quality,https://www.youtube.com/watch?v=4f4GHWRmjQ0
Unique Style,???,"Track 1 of ""Unique Style"" made in 2007.",,"Apr 26, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/vB5VyRCS
