Era,Name,"Notes
(Join the Wu-Tang Discord)",Designer,Art Type,Image,Project Type,Use,Link(s)
Demo Tape,Demo Tape,"Cover for the released demo tape, unknown if it was used, but possibly used when shopping the demo. ","Allah Mathematics
(Ronald Maurice Bean)",Unknown,,Front Cover,Unknown,
Demo Tape,Wu-Tang Logo,"The official logo for Wu-Tang Clan. Drew by Mathematics in 1991. Official sketch shared by Mathematics on the ""Mathematics"" app.","Allah Mathematics
(Ronald Maurice Bean)",Photo,,Other,Used,
Demo Tape,Enter The Wu-Tang,"Promotional cover for RZA's debut single ""Ooh I Love You Rakeem"". This photo was part of the official press kit distributed to media outlets to promote the single. This cover could mean that some earlier demo version ""Protect Ya Neck"" exists and it therefore is way older than we thought.",Unknown,Scan,,Promo Art,Unknown,
Enter the Wu-Tang (36 Chambers),Protect Ya Neck,"Cover for the ""Protect Ya Neck"" single. It's possible Mathematics also designed this one.",Unknown,Digital,,Front Cover,Used,
Enter the Wu-Tang (36 Chambers),Method Man (Remixes),Cover for the Method Man (Remixes) single put on streaming services.,Unknown,Digital,,Front Cover,Used,
Enter the Wu-Tang (36 Chambers),Enter The Wu-Tang (36 Chambers),"Cover for Enter The Wu-Tang (36 Chambers) used for Vinyl releases, CD releases and on streaming services. U-God, Method Man and Masta Killa aren't on the cover because they didn't show up on the day of the shoot. U-God was in custody, rest is unknown why they weren't there.",Daniel Hastings,Digital,,Front Cover,Used,
Enter the Wu-Tang (36 Chambers),Enter The Wu-Tang (36 Chambers),Back cover for CD releases.,Daniel Hastings,Scan,,Back Cover,Used,
Enter the Wu-Tang (36 Chambers),Enter The Wu-Tang (36 Chambers),Back cover for vinyl releases.,Unknown,Scan,,Back Cover,Used,
Enter the Wu-Tang (36 Chambers),Enter The Wu-Tang (36 Chambers),Unedited and uncropped version of the cover.,Daniel Hastings,Digital,,Front Cover,Used,
Enter the Wu-Tang (36 Chambers),Enter The Wu-Tang (36 Chambers),One of the shots that wasn't used.,Daniel Hastings,Digital,,Front Cover,Unused,
Enter the Wu-Tang (36 Chambers),Enter The Wu-Tang (36 Chambers),One of the shots that wasn't used.,Daniel Hastings,Digital,,Front Cover,Unused,
Enter the Wu-Tang (36 Chambers),Enter The Wu-Tang (36 Chambers),"One of the shots that wasn't used for the album cover. Later used for the cover of the ""C.R.E.A.M."" single.",Daniel Hastings,Digital,,Front Cover,Unused,
Enter the Wu-Tang (36 Chambers),C.R.E.A.M,Cover art for the C.R.E.A.M. single.,Unknown,,,Front Cover,Used,
Enter the Wu-Tang (36 Chambers),Can It All Be So Simple / Wu-Tang Clan Ain't Nuthing ta F' Wit,Front cover for the Can It All Be So Simple / WTCANTFW Promo Vinyl.,Unknown,Scan,,Front Cover,Used,
Enter the Wu-Tang (36 Chambers),Da Mystery of Chessboxin',Front cover for the digital Da Mystery of Chessboxin' single release.,Unknown,Digital,,Front Cover,Used,
Enter the Wu-Tang (36 Chambers),Shame On A Nuh,Front cover for the Shame On A Nuh Promo CD.,,,,Front Cover,Used,
Wu-Tang Forever,Wu-Tang Forever,"Front cover for ""Wu-Tang Forever"".",Unknown,Digital,,Front Cover,Used,
Wu-Tang Forever,Wu-Tang Forever,Back cover.,Unknown,Scan,,Back Cover,Used,
The W,The W,"Front cover for ""The W"".",Unknown,Digital,,Front Cover,Used,
The W,The W,Back cover for CD releases.,Unknown,Scan,,Back Cover,Used,
The W,The W,"Unedited and uncropped version of the back cover.

Someone find this in higher quality.",Unknown,Digital,,Back Cover,Used,
The W,The W,One of the shots for the back cover that wasn't used. Has Ghostface Killah kneeling instead of RZA. Doesn't have the ODB tribute bandana. Could just be a promo cover.,Unknown,Digital,,Back Cover,Unused,
