Era,"Name
All content from this tracker is sourced from existing sources online, collected for the purpose of being showcased in one location, all rights are reserved with the original artists.","Notes
(Join the Wu-Tang Discord)",Length,Date,Type,Portion,Quality,Link(s)
,,"""CTRL + -"" to zoom in/out ::: ""CTRL + F"" to search keywords",,,,,,
Join the Wu-Tang Discord!,,https://discord.gg/hHK9zJhuah,,,,,,https://trackerhub.cx/sh/1dA2h1kQffOmUUeCy6YMu8IYdGGqnhnWuabKdK7emyyU
"(RZA, GZA, Ol' Dirty Bastard, Method Man, U-God, Ghostface Killah, Inspectah Deck, Raekwon)",,"1990-1992
(Wu-Tang Clan Demo Tape 1992, Enter The Wu-Tang (36 Chambers) [V1])",,,,"This album was never officially released to the public. All tracks are poor demo quality early recordings, which differ from later album versions. The cover art is the original Logo drawn by Allah Mathematics, it is not known if this was the intended cover art for the album but it was possibly used when shopping the demo. The tape later evolved into Enter The Wu-Tang (36 Chambers).",,
,Other,,,,,,,
Demo Tape,Wu-Tang Clan Demo Tape,Full rip of the Demo Tape cassette.,28:07,1992,Other,Full,Low Quality,SOON
Demo Tape,"I'm On A Mission
(wr. Method Man, Raekwon)",First ever song Mef wrote. Collab with Raekwon to impress Cappadonna. We don't know if it was ever recorded which is why it's in misc.,,,,Lost,Not Available,
"(RZA, GZA, Ol' Dirty Bastard, Method Man, U-God, Ghostface Killah, Inspectah Deck, Raekwon, Masta Killa)",,"1992-1993
(The 36 Chambers Of Death, Shaolin Swordsmen, Shoalin Swordsmen, Demo Tape [V2])",,,,"Wu-Tangs debut album, seen by many as one of hip-hop's greatest albums, mostly because of its uniquely raw and gritty sound that mixes soul-sample boom-bap beats with rugged vocals and iconic kung fu movie samples. The album was originally going to be called ""Shaolin Swordsmen"".",,
,Videos,,,,,,,
Enter the Wu-Tang (36 Chambers),Can It Be All So Simple [Music Video],,,,Music Video,Full,Low Quality,
Enter the Wu-Tang (36 Chambers),C.R.E.A.M. [Music Video],,,,Music Video,Full,Low Quality,
Enter the Wu-Tang (36 Chambers),Da Mystery of Chessboxin' [Music Video],,,,Music Video,Full,Low Quality,
Enter the Wu-Tang (36 Chambers),Method Man [Music Video],,,,Music Video,Full,Low Quality,
Enter the Wu-Tang (36 Chambers),Protect Ya Neck [Music Video],,,,Music Video,Full,Low Quality,
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan Ain't Nuthing ta F' Wit [Music Video],,,,Music Video,Full,Low Quality,
,Live Performances,,,,,,,
Enter the Wu-Tang (36 Chambers),"Live at ""The Fever""
(in The Bronx, New York City)","Performance at the Fever just a few weeks after the release of 36 Chambers. This performance was also seen in Wu-Tang: An American Saga - Season 2, Episode 8. The show however has notably included stories for entertainment, so it's unclear if they were actually uninvited or not.",,~ Dec 1993,Live,Full,Recording,https://www.youtube.com/watch?v=L2v6S0Fnokg
,Other,,,,,,,
Enter the Wu-Tang (36 Chambers),Enter the Wu-Tang (36 Chambers) [2007 Remaster],"Official remaster of 36 Chambers, released March 2007 in Japan. 
A lossless rip is unfortunately not in our hands yet.",1:01:37,"Mar 7, 2007",Other,Full,High Quality,SOON
"(RZA, GZA, Ol' Dirty Bastard, Method Man, U-God, Ghostface Killah, Inspectah Deck, Raekwon, Masta Killa, Cappadonna)",,1995 - 1997,,,,"The second Wu-Tang album. Features mostly classical music samples, in contrast to the soul-based samples of their first album. RZA even arranged for an orchestra to perform, recorded it, and later sampled the recording(s).",,
,Videos,,,,,,,
Wu-Tang Forever,It's Yourz [Music Video],,,,Music Video,Full,,
Wu-Tang Forever,Reunited [Music Video],,,,Music Video,Full,,
Wu-Tang Forever,Triumph [Music Video],,,,Music Video,Full,,
,Other,,,,,,,
Wu-Tang Forever,"Shaolin Brew [V1]
(perf. Method Man, Raekwon, Ghostface Killah, RZA, U-God) (feat. St. Ides) (prod. RZA)
(St. Ides Commercial)","Earlier, extended version compared to the released commercial. Featuring a performance from RZA and U-God. Beat is slightly pitched down, as well as some mixing differences.",0:57,,Commercial,Full,High Quality,https://pixeldrain.com/u/giE76aqX
Wu-Tang Forever,Wu-Tang Forever [Promo Sampler],Promo sampler of Wu-Tang Forever sent to radio stations. Features songs from the album and interviews by The RZA.,,1997,Sampler,Full,Lossless,
Wu-Tang Forever,Wu-Tang Forever [Promo Sampler / Clean],Clean promo sampler of Wu-Tang Forever.,,1997,Sampler,Full,Lossless,
"(RZA, GZA, Ol' Dirty Bastard, Method Man, U-God, Ghostface Killah, Inspectah Deck, Raekwon, Masta Killa, Cappadonna)",The W,1999 - 2000,,,,"The third Wu-Tang album. Gritty and stripped-back, with a darker, more minimal sound.",,
,Other,,,,,,,
The W,"Careful (Click, Click) [Music Video]","Official music video of Careful (Click, Click).",,,,Full,Lossless,
The W,Gravel Pit [Music Video] [V1],Original version of the music video.,,,,Full,Lossless,
The W,Gravel Pit [Music Video] [V2],Official music video of Gravel Pit.,,,,Full,Lossless,
The W,I Can't Go to Sleep [Music Video],Official music video of I Can't Go to Sleep.,,,,Full,Lossless,
The W,Protect Ya Neck (The Jump Off) [Music Video],Official music video of Protect Ya Neck (The Jump Off).,,,,Full,Lossless,
,Other,,,,,,,
The W,The W [Promo Sampler],Sampler with snippets of The W tracks sent out exclusively in France.,,2000,,Confirmed,Not Available,
"(RZA, GZA, Ol' Dirty Bastard, Method Man, U-God, Ghostface Killah, Inspectah Deck, Raekwon, Masta Killa, Cappadonna)",,,,,,"The fourth Wu-Tang album. Feels looser and more upbeat than The W, with a return to some of the classic Wu energy. The production leans heavier on horn stabs, military-style drums, and funk samples–less gritty then earlier stuff. ODB is mostly absent, and Cappadonna had fallen out with the group, but it still clicks in places.",,
,Videos,,,,,,,
Iron Flag,Uzi (Pinky Ring) [Music Video],Official music video of Uzi (Pinky Ring).,,,,,,
Iron Flag,Y'all Been Warned [Music Video],Unreleased music video of Y'all Been Warned.,,,,,,
,Other,,,,,,,
Iron Flag,Iron Flag [Promo Sampler],Sampler CD of Iron Flag hosted by Mister Cee. Features two songs not found on the released Iron Flag: Take It Back to Brooklyn and Exclusive ODB Freestyle.,,2001,Sampler,Full,Lossless,
"(RZA, GZA, Ol' Dirty Bastard, Method Man, U-God, Ghostface Killah, Inspectah Deck, Raekwon, Masta Killa, Cappadonna)",,2007,,,,"The fifth Wu-Tang album. Dark and more experimental. RZA leans into psychedelic rock, live instruments, and a stretched-out vibe. It’s way different from the classic Wu sound, and not everyone in the group liked this sound.",,
8 Diagrams,,,,,,,,
8 Diagrams,,,,,,,,
8 Diagrams,,,,,,,,
,Other,,,,,,,
8 Diagrams,8 Diagrams Mixtape,"Official mixtape hosted by Mathematics released in 2007 by LOUD Records as a prelude to 8 Diagrams. Features songs from the album, along with other already released tracks and ""Watch Your Mouth"", which was going to be the album's first single, but ultimately wasn't.",,2007,Mixtape,Full,High Quality,
"(RZA, GZA, Method Man, U-God, Ghostface Killah, Inspectah Deck, Raekwon, Masta Killa, Cappadonna)",,2012 - 2014,,,,"The sixth Wu-Tang album. A mix of the old and new sound, with some of the classic Wu sound but a lot more polished. RZA’s production is smoother, with soulful samples and more refined beats.",,
,Other,,,,,,,
A Better Tomorrow,,,,,,,,
A Better Tomorrow,,,,,,,,
