Era,Name,"Notes & Info
(Join the Wu-Tang Discord)",Video Length,Date,Portion,Quality,Link(s)
Demo Tape,"Ooh I Love You Rakeem (Music Video)
(perf. RZA)",First ever Wu-Tang related music video.,4:18,,Full,480p,https://www.youtube.com/watch?v=O7_3tlhlm78
Enter the Wu-Tang (36 Chambers),"Can It Be All So Simple (Music Video)
(perf. Raekwon, Ghostface Killah)",,4:58,,Full,480p,https://www.youtube.com/watch?v=7m148vZDwJA&list=TLPQMTIwNDIwMjUi25ly1ySR3Q&index=2
Enter the Wu-Tang (36 Chambers),"C.R.E.A.M. (Music Video)
(perf. Raekwon, Inspectah Deck, Method Man)",,4:02,,Full,480p,https://www.youtube.com/watch?v=PBwAxmrE194
Enter the Wu-Tang (36 Chambers),"Da Mystery Of Chessboxin' (Music Video)
(perf. U-God, Inspectah Deck, Raekwon, Ol' Dirty Bastard, Ghostface Killah, Masta Killa)",,4:47,,Full,480p,https://www.youtube.com/watch?v=pJk0p-98Xzc&list=TLPQMTIwNDIwMjUi25ly1ySR3Q&index=3
Enter the Wu-Tang (36 Chambers),Da Mystery Of Chessboxin' (Music Video Behind The Scenes),"Behind the scenes was filmed for the TV-show ""Yo! MTV Raps"", Method Man promotes his album ""Tical"" in the credit scene.",–,,Full,Less,https://www.youtube.com/watch?v=60h9Cc2eRtI&list=TLPQMTIwNDIwMjUi25ly1ySR3Q&index=7
Enter the Wu-Tang (36 Chambers),"Method Man (Music Video)
(perf. Method Man, GZA)",,4:27,,Full,480p,https://www.youtube.com/watch?v=PEnwXYJcSZc&list=TLPQMTIwNDIwMjWkzCwToazbnA&index=4
Enter the Wu-Tang (36 Chambers),"Protect Ya Neck (Music Video)
(perf. Inspectah Deck, Raekwon, Method Man, U-God, Ol' Dirty Bastard, Ghostface Killah, RZA, GZA)","In the intro of the MV the song is called ""Protect Ya Neck (13th Chamber)"".",4:49,,Full,480p,https://www.youtube.com/watch?v=R0IUR4gkPIE&list=TLPQMTIwNDIwMjWkzCwToazbnA&index=2
Enter the Wu-Tang (36 Chambers),"Wu-Tang Clan Ain't Nuthing Ta F' Wit (Music Video)
(perf. RZA, Inspectah Deck, Method Man)","Features a promo to Ol' Dirty Bastards album ""Return To The 36 Chambers: The Dirty Version"", as well as a partial music video teaser to ""Shame On A Nuh"" (which never came).",3:08,,Full,480p,https://www.youtube.com/watch?v=HnOZea4Zgbc&list=TLPQMTIwNDIwMjWkzCwToazbnA&index=3
Enter the Wu-Tang (36 Chambers),"Shame On A Nuh (Music Video)
(perf. Ol' Dirty Bastard)","It is unknown if this music video was ever fully recorded, but a teaser of it exists at the end of the ""Wu-Tang Clan Ain't Nuthing Ta F' Wit"" music video.",–,,Partial,480p,https://www.youtube.com/watch?v=cCucS69Yxmo
Wu-Tang Forever,"It's Yourz (Music Video)
(perf. Raekwon, U-God, RZA)",,3:53,,Full,480p,https://www.youtube.com/watch?v=9OmS51lDEYg&list=PLgqG4_1QEXwlAh_snhim7IKUqsVZ70X5S&index=10
Wu-Tang Forever,"Older Gods (Music Video)
(perf. Ghostface Killah)","Was partially played at the end of the ""It's Yourz"" music video. Unknown if it was ever fully recorded.",–,,Partial,480p,https://www.youtube.com/watch?v=9OmS51lDEYg&list=PLgqG4_1QEXwlAh_snhim7IKUqsVZ70X5S&index=11
Wu-Tang Forever,"Reunited (Music Video)
(perf. Ms. Roxy, GZA, Ol' Dirty Bastard, RZA, Method Man)",,4:02,,Full,480p,https://www.youtube.com/watch?v=40a5UNO5T44&list=PLgqG4_1QEXwlAh_snhim7IKUqsVZ70X5S&index=9
Wu-Tang Forever,"Triumph (Music Video)
(perf. Inspectah Deck, Method Man, Cappadonna, U-God, RZA, GZA, Masta Killa, Ghostface Killah, Raekwon)","This is the only song that features all 10 members (Ol' Dirty Bastard does the hook, which isn't really a verse, which is why he isn't in perf.).",6:18,,Full,480p,https://www.youtube.com/watch?v=cPRKsKwEdUQ&list=PLgqG4_1QEXwlAh_snhim7IKUqsVZ70X5S&index=2
The W,"Careful (Click, Click) (Music Video)
(perf. RZA, U-God, Masta Killa, Cappadonna, Ghostface Killah, Inspectah Deck)","One of the shots for the back cover of ""The W"" was shot in the same location as some of the clips of this music video.",4:33,,Full,480p,https://www.youtube.com/watch?v=GUz5_UlvqQ8&list=PLgqG4_1QEXwlAh_snhim7IKUqsVZ70X5S&index=14
The W,"Gravel Pit (Music Video) [V1]
(perf. Method Man, Ghostface Killah, U-God) (feat. Paulissa Moorman)","Original music video for Gravel Pit, which had some parts censored in V2. Why was the money amount + money sound and logo from the Wu-Wear wallabies removed in the second version. WTF?",,,Full,480p,https://www.youtube.com/watch?v=Ujqcr25-WCk
The W,"Gravel Pit (Music Video) [V2]
(perf. Method Man, Ghostface Killah, U-God) (feat. Paulissa Moorman)","The intro is shot in the same location as ""Careful (Click, Click)"".",5:58,,Full,480p,https://www.youtube.com/watch?v=Of-lpfsBR8U&list=PLgqG4_1QEXwlAh_snhim7IKUqsVZ70X5S&index=3
The W,"I Can't Go To Sleep (Music Video)
(perf. Ghostface Killah, RZA)",,4:01,,Full,480p,https://www.youtube.com/watch?v=S2S0zu3M0rY&list=PLgqG4_1QEXwlAh_snhim7IKUqsVZ70X5S&index=16
The W,"Protect Ya Neck (The Jump Off) (Music Video)
(perf. Inspectah Deck, Raekwon, Method Man, Masta Killa, RZA, Ghostface Killah, U-God, Cappadonna, GZA)","Again shot in the same location as the ""Careful (Click, Click)"".",4:39,,Full,480p,https://www.youtube.com/watch?v=1_-3Bh1VFI8
Iron Flag,"Uzi (Pinky Ring) (Music Video)
(perf. U-God, Ghostface Killah, RZA, Method Man, Inspectah Deck, Masta Killa, GZA)",,4:27,,Full,480p,https://www.youtube.com/watch?v=_rR8fKgRJ0M&list=PLgqG4_1QEXwlAh_snhim7IKUqsVZ70X5S&index=8
The Saga Continues,"People Say (Music Video)
(perf. Method Man, Raekwon, Inspectah Deck, Masta Killa) (feat. Redman)",,4:45,,Full,1080p,https://youtu.be/iBViC-fEdm0?si=4SNG9PX7-HNGM6ob
The Saga Continues,"Lesson Learn'd (Music Video)
(perf. Inspectah Deck) (feat. Redman)",,4:47,,Full,1080p,https://youtu.be/dy1dlm__GdY?si=WIv4LSGDdDXIgQnU
"Black Samson, The Bastard Swordsman","Claudine (Music Video)
(perf. Method Man, Ghostface Killah) (feat. Nicole Bus)",,3:56,,Full,1080p,https://youtu.be/PevDftElMQY?si=YViGejvEELl1lMGv
"Black Samson, The Bastard Swordsman","Mandingo (Music Video)
(perf. Raekwon, Inspectah Deck, Method Man, Cappadonna)",Fully made using AI.,4:29,,Full,1920p,https://youtu.be/ZBTb_xJBh5c?si=AGssIRplSJZa0u2s
"Black Samson, The Bastard Swordsman","Warriors Two, Cooley High (Music Video)
(perf. Method Man) (feat. Benny The Butcher)","Hey look, it's fucking AI again.",2:32,,Full,1920p,https://youtu.be/Byg2GgpR1X0?si=OAs8DetTJeU_61pQ
Return To The 36 Chambers,Ol' Dirty Bastard - Brooklyn Zoo [Music Video] [V1],,,,Full,1080p,https://www.youtube.com/watch?v=vdfwzlpK0P8
Return To The 36 Chambers,Ol' Dirty Bastard - Brooklyn Zoo [Music Video] [V2],,,,Full,1080p,https://www.youtube.com/watch?v=GRblYfKwa88
Return To The 36 Chambers,Ol' Dirty Bastard - Shimmy Shimmy Ya [Music Video],,,,Full,1080p,https://www.youtube.com/watch?v=h2zgB93KANE
N***a Please,Ol' Dirty Bastard - Got Your Money [Music Video],,,,Full,1080p,https://www.youtube.com/watch?v=XXTzm5GtqVo
,Raekwon - Ice Cream ,,,,,,
