Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
Pre-Releases,"No More Mr. Nice Guy?
(perf. Ghostface Killah) (prod. ???)","1991 Ghostface Killah song called ""No More Mr Nice Guy"" from back when he still called himself ""D-Love"". A disstrack against ""Killer Hill"". Talked about in ""Wu-Tang: An American Saga"". It is possible this song simply does not exsist, however Ghostface Killah stated in a couple songs that he did have a local hit. So it is probably real.",,1991?,Other,Lost,https://www.youtube.com/watch?v=dKdIj0yP_9k
Pre-Releases,"Who Got The Hype?
(perf. Method Man) (prod. ???)","1991 Method Man song called ""Who Got The Hype"" from back when he still called himself ""Shotgun"". This isn't really a disstrack against ""Stapleton"", but Ghostface Killah still took it that way and released ""No More Mr. Nice Guy"" locally. That is if either of these songs really exist.",,1991?,Other,Lost,https://www.youtube.com/watch?v=UwDnDRs5iZ8
Enter The Wu-Tang (36 Chambers),"Bring Da Ruckus
(perf. Ghostface Killah, Raekwon, Inspectah Deck, GZA, RZA) (prod. RZA)","Track 1 on Enter The Wu-Tang (36 Chambers).
Samples In the Rain by The Dramatics, Synthetic Substitution by Melvin Bliss and CB#2 by Ralph Vargas and Carlos Bess.",,"Nov 9, 1993",Album Track,Yes,https://open.spotify.com/track/1v5cgIyffYtfEx0swttdoE?si=ae40ba86709849ee
Enter The Wu-Tang (36 Chambers),"⭐ Shame On A Ni**a
(perf. Ol' Dirty Bastard, Method Man, Raekwon) (prod. RZA)
(Shame On A Nuh)","Track 2 on Enter The Wu-Tang (36 Chambers).
Later released as a single sometime in 1994.
Samples Black and Tan Fantasy by Thelonious Monk, Mama Said Knock You Out by LL COOL J and Different Strokes by Syl Johnson.",,"Nov 9, 1993",Other,Yes,https://open.spotify.com/track/7IwURvEfVcdxUCjLKUu6sv?si=cc176cc9f83645cc
Enter The Wu-Tang (36 Chambers),"Clan In Da Front
(perf. GZA) (add. RZA) (prod. RZA)","Track 3 on Enter The Wu-Tang (36 Chambers).
Samples Ba-Lue Bolivar Ba-Lues-Are by Thelonious Monk, Honeybee by New Birth and Synthetic Substitution by Melvin Bliss.",,"Nov 9, 1993",Album Track,Yes,https://open.spotify.com/track/4LaiF2h7gsybmURceGYLqh?si=97e1ac0204a646db
Enter The Wu-Tang (36 Chambers),"Wu-Tang: 7th Chamber
(perf. Raekwon, Method Man, Inspectah Deck, Ghostface Killah, RZA, Ol' Dirty Bastard, GZA) (add. U-God) (prod. RZA)","Track 4 on Enter The Wu-Tang (36 Chambers).
Samples Spinning Wheel by Lonnie Smith, Down in the Valley by Otis Redding and As Long As I've Got You by The Charmels.",,"Nov 9, 1993",Album Track,Yes,https://open.spotify.com/track/5wcY4XgawQ2se8VjDLhedQ?si=69988e7067a54b5a
Enter The Wu-Tang (36 Chambers),"Can It All Be So Simple
(perf. Raekwon, Ghostface Killah) (prod. RZA)","Track 5 on Enter The Wu-Tang (36 Chambers).
Later released as a single on February 22, 1994.
Samples I Got The... by Labi Siffre and The Way We Were / Try to Remember by Gladys Knight & The Pips.",,"Nov 9, 1993",Other,Yes,https://open.spotify.com/track/1Mi6uegC4pRxQZw1CB5Fk9?si=d367638b06fd4268
Enter The Wu-Tang (36 Chambers),"Intermission
(perf. Method Man, Raekwon, RZA, Ghostface Killah)","Skit played after Can It Be All So Simple on CD and digital releases, or Protect Ya Neck on vinyl releases.",,"Nov 9, 1993",Album Track,Yes,
Enter The Wu-Tang (36 Chambers),"⭐ Da Mystery of Chessboxin'
(perf. U-God, Inspectah Deck, Raekwon, Ol' Dirty Bastard, Ghostface Killah, Masta Killa, Method Man) (prod. RZA, Ol' Dirty Bastard)","Track 6 on Enter The Wu-Tang (36 Chambers).
Later released as a promotional single sometime in 1993.",,"Nov 9, 1993",Other,Yes,https://open.spotify.com/track/4xOTVtbCPcfxMs2hSt9D6i?si=39651576b8b24f78
Enter The Wu-Tang (36 Chambers),"⭐ Wu-Tang Clan Ain't Nuthing Ta F' Wit
(perf. RZA, Inspectah Deck, Method Man) (prod. RZA, Method Man)","Track 7 on Enter The Wu-Tang (36 Chambers).
Later released as a promotional single sometime in 1994.",,"Nov 9, 1993",Other,Yes,https://open.spotify.com/track/24vNw0Z0srb4zYXwrakw8E?si=2de1f4bc636649fa
Enter The Wu-Tang (36 Chambers),"⭐ C.R.E.A.M.
(perf. Raekwon, Inspectah Deck, Method Man) (prod. RZA)
(Cash Rules Everything Around Me)","Track 8 on Enter The Wu-Tang (36 Chambers).
Later released as a single on January 31, 1994.",,"Nov 9, 1993",Album Track,Yes,https://open.spotify.com/track/119c93MHjrDLJTApCVGpvx?si=fb824184daf44a10
Enter The Wu-Tang (36 Chambers),"⭐ Method Man
(perf. Method Man) (add. GZA, Raekwon, RZA, Ghostface Killah) (prod. RZA)","Track 9 on Enter The Wu-Tang (36 Chambers).
Released as the B-Side to the Protect Ya Neck re-release on May 3, 1993.",,"May 3, 1993",Album Track,Yes,https://open.spotify.com/track/5XLC8xoqyua4U7wJiZAWik?si=a5793c43209c4680
Enter The Wu-Tang (36 Chambers),"👑 Protect Ya Neck
(perf. Inspectah Deck, Raekwon, Method Man, U-God, Ol' Dirty Bastard, Ghostface Killah, RZA, GZA) (prod. RZA)","Track 10 on Enter The Wu-Tang (36 Chambers).
Released as a single on December 14, 1992.",,"Dec 14, 1992",Other,Yes,https://open.spotify.com/track/1Sgj10byiGzPpI2IrXSFEn?si=488cba35f49e430d
Enter The Wu-Tang (36 Chambers),"Tearz [V2]
(perf. RZA, Ghostface Killah) (prod. RZA)
(After The Laughter Comes Tears)","Track 11 on Enter The Wu-Tang (36 Chambers).
Features new vocal takes, updated mixing and an intro.",,"Nov 9, 1993",Album Track,Yes,https://open.spotify.com/track/7y5zXpTN4J7K0PngQYa655?si=95b3bd377be94f15
Enter The Wu-Tang (36 Chambers),"⭐ Wu-Tang: 7th Chamber (Part II)
(perf. Raekwon, Method Man, Inspectah Deck, Ghostface Killah, RZA, Ol' Dirty Bastard, GZA) (prod. RZA)",Track 12 on Enter The Wu-Tang (36 Chambers).,,"Nov 9, 1993",Album Track,Yes,https://open.spotify.com/track/4mkdUdHTDfnbcie1vSmbCK?si=4928eeb3ea5c46b2
Enter The Wu-Tang (36 Chambers),"Conclusion
(perf. Inspectah Deck, Method Man, Ghostface Killah)","Skit played after 7th Chamber (Part II), or Method Man (Skunk Mix) on international releases.",,"Nov 9, 1993",Album Track,Yes,https://open.spotify.com/track/4mkdUdHTDfnbcie1vSmbCK?si=4928eeb3ea5c46b2
Enter The Wu-Tang (36 Chambers),"Method Man - Skunk Mix
(perf. Method Man) (prod. RZA)",Track 13 on the international release of Enter The Wu-Tang (36 Chambers).,,"Nov 9, 1993",Other,Yes,https://open.spotify.com/track/0ihWmU2nYNXyO0thRSuDQb?si=de2dbaf127984144
