Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
,INSTRUMENTALS,,,,,,7 / 13,,
Enter The Wu-Tang (36 Chambers),"Can It All Be So Simple
(prod. RZA)",Released on the single.,,,5:04,,Yes,,
Enter The Wu-Tang (36 Chambers),"Da Mystery of Chessboxin'
(prod. RZA, Ol' Dirty Bastard)",Released on the promotional single.,,,4:40,91 / 92,Yes,,
Enter The Wu-Tang (36 Chambers),"Wu-Tang Clan Ain't Nuthing Ta F' Wit
(prod. RZA, Method Man)",Released on the promotional single.,,,3:32,,Yes,,
Enter The Wu-Tang (36 Chambers),"C.R.E.A.M.
(perf. Method Man) (prod. RZA)
(Cash Rules Everything Around Me)",Released on the single. Includes the hook vocals.,,,3:40,180.7,Yes,,
Enter The Wu-Tang (36 Chambers),"Method Man
(prod. RZA)",Released on the single. Just a minute long.,,,1:32,101.6,Yes,,
Enter The Wu-Tang (36 Chambers),"Protect Ya Neck
(prod. RZA)","Released on the single. On the first pressings the instrumental is 1 minute longer than the ""Bonus Beats"" version.",,,2:18,,Yes,,
Enter The Wu-Tang (36 Chambers),"Tearz
(prod. RZA)
(After The Laughter Comes Tears)",Released on the B-Side of the original Protect Ya Neck single.,,,3:17,91.5,Yes,,
,INSTRUMENTALS,,,,,,11 / 29,,
Wu-Tang Forever,"For Heaven's Sake
(prod. RZA)",Leaked.,,,,,Yes,,
Wu-Tang Forever,"Maria
(prod. RZA)",Leaked.,,,,,Yes,,
Wu-Tang Forever,"A Better Tomorrow
(prod. 4th Disciple)",Leaked.,,,,,Yes,,
Wu-Tang Forever,"It's Yourz
(prod. RZA)",Released on the single.,,,,,Yes,,
Wu-Tang Forever,"Triumph
(prod. RZA)",Released on the single.,,,,91,Yes,,
Wu-Tang Forever,"Impossible
(prod. RZA)",Leaked.,,,,,Yes,,
Wu-Tang Forever,"Deadly Melody
(prod. RZA)",Leaked.,,,,,Yes,,
Wu-Tang Forever,"The Projects
(prod. RZA)","Leaked as ""Projects International"".",,,,,Yes,,
Wu-Tang Forever,"Duck Seazon
(prod. RZA)",Leaked.,,,,,Yes,,
