Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
Demo Tape,Prince Rakeem - 7 Demo Tracks,"Found on a casette RZA made back when he was still referred to as Prince Rakeem. The Wu-Tang Clan hasn't formed yet, I'm still putting it on the tracker because it features some tracks that appear on the original tracklist.

1. Oh I Love You Rakeem
2. Oh I Love You Rakeem (Jeep Dub)
3. Which Way Is Up
4. That's One To Grow On
5. Problems I Got To Solve Them
6. It's Murder
7. I'm Taking Heads Off",,"Tracklist dates to:
ca. Spring 1991
Leaked on:
July 25, 2023",,Secondary,
Demo Tape,Prince Rakeem,"Found on a cassette RZA made back when he was still referred to as Prince Rakeem. The Wu-Tang Clan hasn't formed yet.

1. Sexcapades
2. Deadly Venom",,"Tracklist dates to:
ca. Spring 1991
Leaked on:
July 25, 2023",,,
Demo Tape,Prince Rakeem,"Found on a cassette RZA made back when he was still referred to as Prince Rakeem. The Wu-Tang Clan hasn't formed yet. This cassette contains Prince Rakeem Station ID's Recorded at Prime Cut Studios Inc. for various rap radio shows to promote his single.

1. Station ID's",,"Tracklist dates to:
August 1, 1991
Leaked on:
July 25, 2023",,,
Demo Tape,Prince Rakeem - New Demo's,"Found on a casette RZA made back when he was still referred to as Prince Rakeem. The Wu-Tang Clan hasn't formed yet.

1. Enter The Wu-Tang
2. Perversion
3. Mab Flavor
4. Problems
5. You Have Been Boned - Instrumental",,"Tracklist dates to:
ca. August 1991
Leaked on:
July 25, 2023",,Secondary,
Demo Tape,"Prince Rakeem, Various Songs","Found on a cassette RZA made back when he was still referred to as Prince Rakeem. The Wu-Tang Clan hasn't formed yet.

1. Gotta Have Game
2. Illusion Of Love
3. Life Is A Struggle",,"Tracklist dates to:
September 17, 1991
Leaked on:
July 25, 2023",,,
Demo Tape,"Prince Rakeem - I Gets Down For My Crown, 2 Versions","Found on a cassette RZA made back when he was still referred to as Prince Rakeem. The Wu-Tang Clan hasn't formed yet.

1. I Get Down For My Crown
2. I Get Down For My Crown (Edit)",,"Tracklist dates to:
November 6, 1991
Leaked on:
July 25, 2023",,,
Demo Tape,Wu-Tang Clan,"First ever casette that uses the name ""Wu-Tang"". Although it is already called Wu-Tang, only GZA (The Genius) makes an appearance on the casette.

1. Illusion Of Love Remix - Remix By RNS (Tee Tee)
2. Illusion Of Love - Original Mix
3. Enter The Wutang (Inst Only)
4. Pass The Bone (feat. The Genius)",,"Tracklist dates to:
March 3, 1992
Leaked on:
July 25, 2023",,Secondary,
Demo Tape,Wu-Tang Clan,"Earlier tracklist that includes track durations. These track durations could be guesses, because the tape might've been found and the durations dont match, which is why some songs are marked as Unknown.

1. Wu-Tang Master 4:10
2. Problems 4:20
3. After The Laughter 3:10
4. The Wu's Coming Through 3:10
5. Cutting Heads 2:00
6. Enter The Wu-Tang 3:18
7. Enter The Wu-Tang (Instrumental)",,"Tracklist dates to:
March 24, 1992
Leaked on:
July 25, 2023",,Secondary,
Demo Tape,Wu-Tang Clan,"Single, released on a cassette and was later put on the Demo Tape alongside Bring Da Ruckus.

1. It's All About Me",,"Tracklist dates to:
April 13, 1992
Leaked on:
July 25, 2023",,Secondary,
Demo Tape,Demo Tape,"The original tracklist for the demo tape, containing a more condensed selection of the tracks, aswell as some name and placement changes.

1. Enter the Wu-Tang
2. Wu-Tang Master
3. Cuttin' Headz
4. Problems
5. It's All About Me
6. After the Laughter
7. Bring Da Ruckus
8. The Wu Is Comin' Thru",,"Tracklist dates to:
ca. 1992
Leaked on:
May 5, 2019",,Secondary,
